STE_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
1,2871,6415,17416,15895,13002,8652,2906,845,206,68209,91259,163220,412778,400603,370748,270019,69067,7652,668,1786008,2388,4358,10919,11561,13793,15787,11008,4037,605,74460,361,1871,8468,9812,8320,5287,811,96,5,35036,6673,13528,39730,44837,47627,38990,9052,998,68,201508,354,1562,6917,9441,9277,6706,1216,96,3,35572,16370,34097,81480,70333,59265,42003,10742,1019,62,315373,1948,6029,20526,26018,25033,18335,4698,700,60,103345,42882,50728,71123,59135,52684,41641,11549,1450,108,331311,58965,38236,45808,32209,25478,20336,5499,672,52,227269,2704,9936,32245,37531,40189,35585,10059,1077,45,169360,1261,4509,17522,20059,14652,7885,1768,249,30,67940,847,11747,49963,61174,43017,21025,4733,682,99,193284,1241,4785,14267,15266,13255,9092,3635,858,137,62541,2969,24226,90445,88395,62558,39404,15340,2426,134,325903,2438,9745,27333,26404,25252,20280,5704,638,26,117824,2543,12474,47255,56605,56348,39058,8210,543,30,223065,8912,23499,68087,72857,74103,56766,16152,1340,51,321757,9153,44459,124680,113136,111604,96929,26323,2433,95,528815,4447,6490,12324,10438,8622,6213,2233,397,38,51197
2,2208,5208,14455,12913,11024,7336,2323,680,181,56323,76734,141868,364878,342681,312136,220450,54634,5610,475,1519464,2138,4032,10803,11009,12526,13316,9003,3294,449,66571,81,397,1752,2330,2269,1592,375,47,3,8853,6896,14054,43155,49938,53920,41836,9492,958,66,220318,243,1511,8015,10567,8442,5928,1079,70,8,35870,11541,32321,82066,67947,55724,37449,9017,882,56,297004,1623,5469,17364,21517,22307,16188,4126,527,49,89166,38887,51165,64165,50380,46820,34726,9616,1076,59,296885,52228,37232,41462,26266,19861,14613,3911,433,26,196031,1761,9607,32880,34683,31930,27693,7699,676,24,146955,1226,3727,12517,14478,10393,5587,1283,169,4,49391,442,6935,33383,41303,28180,13850,3301,456,69,127921,619,3359,11762,11193,9601,6484,2476,537,55,46092,1595,16750,75781,74635,52082,31266,11756,1864,86,265811,1904,8592,24844,21850,20744,15782,4733,578,28,99061,1597,9555,39959,45392,42609,30812,7199,706,37,177848,5986,18073,63440,66580,62184,46691,12357,982,39,276332,4931,34118,112486,99966,93886,76950,20374,1589,72,444377,5445,7518,13391,11030,8887,5777,2028,320,23,54414
3,2597,4253,9964,9433,8286,5616,1850,564,135,42695,78419,114531,260122,264169,257836,182289,43372,4487,340,1205562,2424,4514,11725,10215,11843,12078,7274,2578,308,62968,592,2921,12310,15496,13606,8343,1341,101,3,54708,6142,11857,28074,31615,32518,24531,5237,556,28,140574,444,1411,5182,7752,7692,5365,900,66,0,28813,9860,21623,53438,51501,45355,31563,7828,722,39,221919,1765,4151,10988,13383,14184,10417,2620,319,14,57847,36092,35043,46349,36767,36177,27787,7656,843,53,226774,55267,28518,34368,22235,18222,13106,3783,469,30,176001,1964,6788,21967,25260,27320,24410,7300,750,22,115779,842,2537,5691,5686,4950,3012,760,99,4,23581,539,4236,14901,17747,15039,8105,1990,304,36,62896,875,3117,8528,9499,9507,7466,3327,720,65,43101,2289,13479,40891,43450,34942,21207,7645,1000,30,164942,2368,7465,18561,17924,18086,13524,3806,366,9,82111,1258,8999,30949,37112,39745,26704,5021,335,19,150139,5053,13889,39845,52128,56004,39560,9317,776,36,216600,6767,31698,87262,84425,83064,66397,15349,1093,35,376083,4074,5475,8690,7315,6413,4403,1472,235,22,38096
4,562,1070,2269,2155,1981,1580,615,238,53,10523,23499,38087,86683,86539,85521,68120,16568,1732,155,406903,974,1918,4886,5511,6383,6483,3972,1186,142,31445,89,590,2918,2872,2457,1632,291,23,0,10882,2137,4362,11545,13233,14568,11578,2577,283,12,60292,139,486,2356,2718,2737,2011,364,21,0,10833,2746,7219,17441,14978,13608,10656,2713,272,15,69645,536,1299,3539,4238,4998,3936,1048,129,5,19716,13243,13057,16287,12577,12483,10344,2757,304,24,81065,15262,10258,11083,7087,5744,4541,1132,162,10,55283,485,2143,6719,7231,7723,7607,2106,216,13,34248,235,737,2097,2370,1732,1110,293,43,0,8616,169,1425,5353,6390,5525,3369,737,126,5,23099,150,687,2019,2114,2146,1959,772,200,21,10066,482,3761,12882,13735,10600,7262,2843,400,19,51984,680,2840,7116,6308,6824,5978,1646,150,10,31558,364,2870,10958,14332,14350,10655,1856,97,0,55489,1502,5123,15048,17421,17121,13562,3702,278,8,73765,1765,10581,32073,30194,29308,26361,6113,414,12,136825,1364,1708,2716,2100,1804,1383,507,92,6,11681
5,1198,2098,5046,5119,4375,2977,994,288,56,22147,36933,56817,136153,140185,131628,96653,24456,2366,147,625345,1019,1839,4853,5162,5833,5976,3784,1226,153,29842,865,5390,24582,28513,23420,13947,2280,135,7,99138,2914,5115,13467,16049,15960,12060,2947,340,18,68877,228,711,3033,4094,3722,2817,541,32,5,15183,4263,9833,27738,28085,23374,17705,4296,327,19,115637,976,2313,6560,7654,7553,5571,1443,182,16,32262,18258,19011,22394,18357,17669,14336,4192,461,29,114700,24454,14843,16988,11790,8637,6450,1892,209,14,85287,1121,3655,11634,13154,13402,12254,3893,357,14,59476,526,1017,2423,2437,1930,1312,395,64,0,10111,205,1461,6339,7971,6856,4152,1129,187,12,28314,315,1228,3703,4068,4152,3297,1512,327,31,18631,853,6229,21830,25250,19108,12015,4374,595,41,90293,1171,3588,9209,9072,8376,6715,2037,231,8,40409,772,4109,15439,18732,19226,15265,3513,298,13,77370,2681,6733,20830,26183,29057,22581,6042,477,14,114581,2806,13912,41057,40809,38462,31656,8479,630,16,177823,2642,3082,4775,3986,3182,2387,910,163,8,21114
6,158,229,631,475,529,423,171,78,18,2713,6817,10551,27738,25415,26717,22018,5224,527,40,125045,427,966,2907,2398,2467,2361,1239,388,37,13195,19,130,565,615,603,511,110,3,0,2564,723,1279,3567,3298,3545,3077,661,63,9,16224,28,156,972,1189,1150,809,143,11,0,4456,1199,2489,5512,4298,3857,3460,891,82,3,21785,180,430,1150,1165,1371,1101,304,34,0,5739,3375,3436,5592,3873,3899,3240,940,103,0,24459,4147,2834,5375,2635,2097,1727,542,66,3,19429,148,537,2050,1931,2335,2554,725,88,5,10366,73,184,589,611,541,445,123,9,0,2569,49,275,1166,1294,1076,738,172,26,0,4796,51,235,594,484,603,527,241,59,7,2813,191,805,3193,3064,2719,2065,858,125,4,13019,175,543,1625,1527,1659,1434,382,42,3,7392,137,781,3412,4475,5247,3778,697,45,0,18565,389,1222,4461,5686,6102,4866,1236,73,3,24037,424,2982,10281,8437,8983,8589,1912,117,8,41735,481,444,956,816,845,762,282,30,8,4617
7,124,205,518,401,325,230,86,23,0,1902,2580,4532,15139,12837,11062,8339,2163,170,6,56842,195,431,655,468,486,513,247,45,6,3045,29,144,717,923,926,523,61,6,0,3332,145,216,593,622,610,469,130,8,0,2792,14,55,349,427,413,362,73,5,0,1705,332,688,2335,2300,1906,1442,391,36,0,9432,45,127,385,413,380,322,88,9,0,1776,1079,988,2105,1382,1209,982,361,36,0,8142,1415,1011,2595,1368,920,759,237,22,0,8330,107,307,1120,977,1043,972,272,35,0,4830,27,75,255,215,158,153,43,0,0,933,12,70,338,316,250,188,64,7,0,1243,20,82,291,274,287,237,117,30,0,1346,87,354,1696,1422,1079,912,352,30,0,5942,82,257,814,752,746,584,171,19,0,3419,247,1815,5140,4930,4446,2910,654,37,0,20171,264,637,2328,2594,2402,1958,514,33,0,10741,250,1141,5304,4189,3104,2606,762,46,3,17407,221,338,809,533,425,310,132,14,0,2780
8,93,236,631,422,284,158,51,13,6,1893,6850,13594,32054,29313,23547,13928,3191,293,29,122796,32,62,148,107,87,119,76,30,5,674,0,15,33,40,36,19,5,0,0,150,293,425,1040,826,864,503,159,29,0,4140,23,144,529,485,402,243,42,3,0,1882,777,2088,5109,3851,2696,1614,433,54,3,16632,71,235,430,441,402,309,79,9,3,1977,2901,3301,4260,2170,1630,1277,468,61,7,16072,4301,3536,4108,1880,1084,735,192,25,0,15863,92,363,1402,1147,1041,859,303,25,5,5234,97,316,975,1000,806,407,89,18,4,3711,29,287,978,997,699,400,120,22,6,3531,71,354,832,660,501,390,153,39,11,3007,287,2597,7741,7272,5132,2982,971,133,9,27126,168,597,1776,1518,1201,920,284,33,3,6496,708,4679,17739,21444,18316,9249,1513,86,3,73737,1107,2242,5253,5696,4932,3146,877,97,8,23343,640,2937,8239,6750,5131,3646,1013,82,0,28448,674,780,1014,764,628,427,171,39,6,4510
9,5,4,9,5,7,8,6,5,0,50,66,83,203,231,266,266,106,20,0,1244,0,0,6,4,9,11,0,0,0,34,3,5,11,20,29,22,9,0,0,103,4,0,4,4,5,13,3,0,0,34,0,0,10,16,5,16,9,0,0,51,14,20,40,35,54,52,13,4,0,226,0,0,6,3,4,5,3,3,0,34,14,10,16,34,35,53,30,11,3,204,35,20,32,37,49,56,24,4,0,259,0,13,25,19,19,24,9,0,0,114,0,0,0,0,3,7,6,0,0,15,0,0,6,6,6,5,0,0,0,25,0,0,0,8,4,5,0,0,0,20,0,3,6,11,19,31,7,3,0,75,5,6,17,34,31,36,15,3,0,151,37,62,154,122,123,94,38,6,0,641,0,9,35,28,32,43,9,0,0,164,0,4,33,36,39,50,29,3,0,200,12,9,5,8,14,15,4,0,0,70
