STE_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
1,52741,186730,400162,380154,289438,217410,166952,72024,19117,1784738,11600,17928,29488,27151,26892,23381,15797,8200,2220,162656,22344,25930,72153,75956,117016,147709,97576,52054,14029,624767,4767,4262,10454,12879,18140,26057,36064,25824,8411,146861,1100,1209,5189,7348,10325,18235,29696,26472,12728,112313,206,855,3900,3955,4511,6158,5846,4512,2433,32388,12016,17141,41387,35395,29437,27354,25249,21106,11970,221058,104779,254065,562745,542842,495766,466310,377186,210198,70905,3084786,58936,194345,454080,430654,331359,235640,151809,63868,20385,1941078,7881,12498,23537,23048,26644,24514,16617,9510,3166,147418,12794,16195,49570,55136,106006,152782,127598,72554,25968,618610,2763,2394,7866,9815,15479,26486,41669,30149,15355,151974,639,756,3415,5449,8806,18477,32174,29933,20209,119866,158,575,3130,3614,5359,7900,8291,7294,5034,41354,10678,13608,34877,29977,24850,24521,26088,25960,22413,212971,93847,240371,576479,557690,518504,490326,404247,239275,112531,3233270,111673,381083,854242,810806,620798,453054,318766,135898,39504,3725814,19481,30431,53024,50198,53531,47890,32414,17710,5391,310081,35141,42124,121728,131093,223024,300492,225172,124613,39994,1243381,7523,6651,18319,22696,33620,52547,77733,55976,23761,298838
2,41826,163451,358443,329337,237054,164358,123051,51781,13924,1483222,8793,15613,34112,31763,56755,64489,37318,13280,3401,265520,9986,13571,39299,41947,55596,67961,50936,27164,7429,313892,3096,3053,10070,11814,16908,23070,24708,17404,5353,115470,1368,1533,5488,7165,8289,12846,22280,27746,14210,100927,249,1019,3959,4124,4409,4975,4584,4051,2140,29518,8411,11896,29669,24563,21278,19164,17621,14758,8127,155488,73734,210133,481039,450699,400289,356870,280501,156196,54581,2464037,46167,168293,403776,376172,286253,192421,120573,46867,16139,1656659,5066,9526,23317,22418,50641,69225,44939,18947,5820,249893,5134,7794,23635,25723,40991,58981,60365,35123,12816,270561,1658,1728,5802,7365,12485,21159,27484,19187,9169,106037,743,961,3888,5707,8118,13942,29266,36919,23571,123125,159,696,3284,4195,5244,6527,6623,6581,4404,37710,7686,9995,26747,22655,18939,17803,19072,18524,15198,156622,66613,199000,490447,464236,422663,380058,308318,182146,87122,2600610,87996,331749,762223,705498,523303,356781,243625,98646,30067,3139884,13858,25138,57424,54178,107397,133714,82255,32227,9226,515417,15119,21363,62933,67668,96581,126943,111303,62288,20244,584450,4756,4780,15870,19178,29391,44235,52189,36588,14518,221508
3,43339,126311,241094,225027,183553,121520,95703,42979,9624,1089142,6212,8668,21632,22348,26810,25947,16572,6743,1415,136347,10792,12029,41962,47810,74678,103735,83268,36174,8024,418466,3252,2188,6769,8904,12389,17674,18450,10649,3079,83357,1031,868,2820,3979,5747,9576,19653,24244,9418,77333,170,414,1735,1638,1826,1965,1722,1237,620,11332,8498,11902,28096,24480,23616,21333,18834,13666,6380,156813,73298,162397,344108,334184,328619,301746,254198,135694,38566,1972804,45811,132981,277207,267431,217802,139212,87982,37114,10490,1216018,4359,6419,18401,19686,26808,27287,17808,7625,1923,130326,7238,8831,30137,35591,66792,110581,103378,47504,14649,424699,2081,1488,4877,6315,9460,15442,18705,11680,4711,74750,586,559,2005,2997,4493,7695,19125,26051,15260,78764,136,360,1512,1822,2111,2152,1933,1476,990,12495,7873,10367,24284,20352,18601,18107,18006,15891,11595,145071,68079,161004,358429,354190,346063,320467,266934,147340,59615,2082122,89155,259289,518301,492455,401355,260733,183689,80088,20112,2305165,10569,15090,40037,42034,53621,53230,34381,14373,3339,266679,18029,20864,72098,83400,141464,214314,186644,83677,22675,843163,5333,3675,11642,15217,21847,33119,37146,22328,7795,158103
4,12665,42252,79592,70812,59906,44072,35256,15665,4317,364535,3154,6361,15647,15919,22486,27921,18783,6337,1542,118158,2117,3288,11451,13250,15638,21736,19703,11250,3217,101649,614,573,2394,3070,3754,6106,6177,4542,1784,29011,277,346,1215,1676,1887,3241,6789,8583,4631,28638,56,185,716,981,1148,1135,962,768,474,6417,1986,2590,6181,5780,5735,5717,5132,4164,2194,39471,20858,55600,117201,111479,110555,109924,92794,51308,18155,687874,13601,43567,90627,84028,70418,51263,33505,14592,5107,406704,1786,3956,10452,11964,20214,29869,21291,7284,2459,109267,1248,2144,7752,9283,12274,20383,25593,15252,5588,99519,382,417,1597,2178,2755,5022,6593,6101,3162,28204,153,186,918,1381,1571,2733,7011,10281,7785,32013,31,103,682,1061,1397,1323,1175,1201,989,7967,1834,2169,5245,4721,4622,4798,5465,5502,3925,38283,19032,52544,117277,114614,113247,115392,100624,60219,29018,721955,26266,85818,170220,154839,130328,95336,68755,30256,9421,771237,4939,10317,26106,27878,42708,57784,40076,13618,3995,227421,3363,5431,19203,22530,27908,42120,45294,26505,8803,201168,987,992,3994,5247,6512,11127,12773,10641,4950,57214
5,21126,59539,121390,122052,95355,70291,53060,22781,5600,571200,4139,6412,17097,17890,18498,15484,8667,3600,761,92562,5307,7720,24765,27680,38368,47095,36470,15788,3826,207030,1463,1052,2957,3760,4732,6638,7959,5773,2041,36376,411,402,1259,1711,2212,3389,6182,7336,3694,26603,80,182,861,1076,1266,1168,972,793,445,6834,3737,5563,16041,15716,14456,11878,8438,6075,3260,85157,36254,80876,184371,189890,174884,155954,121755,62140,19628,1025750,22196,61811,142148,140849,107661,78611,50243,21289,6663,631463,2585,4475,13275,14176,18289,20064,11415,4439,1179,89907,3737,5593,17601,20341,32737,42602,42810,20425,7062,192904,1088,779,1971,2660,3419,5293,7720,6416,3251,32601,321,274,1006,1647,2255,3351,6345,7920,5464,28591,64,122,723,1096,1253,1384,1278,1088,905,7909,3389,4431,11636,10132,8955,8297,8236,7490,5902,68463,33376,77486,188361,190909,174566,159605,128052,69066,30421,1051841,43326,121353,263540,262898,203018,148905,103304,44067,12264,1202660,6726,10887,30376,32070,36783,35548,20086,8034,1943,182465,9042,13320,42367,48025,71100,89700,79283,36210,10891,399934,2551,1832,4925,6425,8151,11937,15681,12185,5293,68977
6,2830,10383,24570,18436,13724,11549,10754,4605,1223,98067,1165,1601,3264,3193,2916,2186,1546,737,182,16778,1812,2580,7208,7250,12616,15841,10578,4566,1024,63465,213,173,593,620,1322,2954,4378,3037,560,13854,105,108,315,342,514,1061,1979,2085,1202,7698,19,32,179,164,191,195,175,108,59,1125,751,859,2246,1802,1874,2040,2149,1661,755,14130,6894,15740,38366,31794,33148,35822,31559,16799,5003,215114,3132,11079,26937,22334,17474,14471,10494,4419,1396,111744,935,1388,3307,3160,3515,3162,2081,839,224,18611,1028,1699,5295,6060,11610,15523,12384,6223,2055,61892,156,138,406,406,987,2400,4505,3453,931,13390,76,77,257,278,355,737,1480,1877,1988,7113,13,35,163,164,228,174,144,117,71,1105,642,795,1981,1622,1585,1883,2203,2118,1214,14048,5993,15210,38350,34026,35755,38349,33292,19056,7880,227910,5960,21462,51503,40766,31203,26018,21251,9025,2624,209815,2094,2997,6570,6356,6430,5347,3622,1573,400,35390,2843,4282,12504,13306,24219,31358,22961,10787,3079,125354,370,308,1002,1023,2311,5353,8881,6494,1489,27242
7,1291,4778,12658,10187,7074,5240,3959,1133,128,46454,569,973,2214,1916,2223,2349,1238,254,20,11761,860,1212,3126,3085,3369,3878,2767,705,93,19100,393,337,788,803,796,896,848,292,44,5191,313,269,597,644,721,704,921,518,119,4809,41,76,152,158,189,196,186,104,38,1136,677,1137,3042,2483,2504,2347,1757,552,109,14602,4141,8780,22582,19282,16884,15604,11672,3556,546,103048,1489,4905,15429,11823,8337,6279,3438,884,147,52733,426,794,1886,1713,1996,2292,1230,244,38,10621,565,835,2309,2268,2649,3222,2571,674,113,15206,290,290,690,711,697,716,651,238,49,4342,238,230,511,566,647,715,819,479,159,4372,32,43,98,151,189,228,277,147,70,1238,673,907,2664,2100,1991,2007,1478,442,130,12383,3720,8002,23589,19330,16513,15472,10465,3099,709,100898,2781,9687,28088,22015,15416,11520,7397,2021,272,99186,996,1768,4105,3631,4224,4639,2466,499,53,22382,1426,2045,5434,5353,6026,7100,5331,1387,207,34307,686,625,1482,1509,1497,1609,1503,525,92,9531
8,4229,14616,32403,28799,21662,14915,10753,5022,1422,133813,329,550,1169,1149,1170,1078,667,301,103,6526,616,855,2407,2172,3171,3826,2645,1405,455,17557,131,92,314,324,406,467,675,507,184,3097,31,40,178,225,241,355,632,692,361,2758,12,27,169,145,133,106,105,90,34,824,585,1017,1972,1405,1020,809,725,562,302,8392,5935,17196,38616,34220,27809,21545,16201,8580,2860,172968,4566,15342,34191,30657,22775,15760,10492,4645,1416,139844,269,366,850,880,997,1129,822,476,187,5978,409,538,1736,1709,2881,4372,4434,2658,1049,19794,92,72,263,253,332,554,1021,765,404,3750,38,35,121,169,240,497,898,998,637,3640,10,26,106,90,133,185,159,191,117,1018,581,889,1693,1152,862,682,822,707,525,7914,5955,17263,38963,34916,28220,23176,18652,10442,4338,181928,8788,29961,66594,59456,44436,30675,21246,9668,2839,273657,600,918,2023,2030,2164,2205,1488,783,287,12499,1025,1393,4146,3882,6054,8197,7081,4069,1499,37355,221,162,576,578,736,1016,1699,1272,588,6847
9,38,81,201,191,132,142,112,36,7,937,0,10,13,16,33,34,15,4,0,135,8,4,32,24,88,143,85,29,16,433,4,3,4,3,15,16,19,16,3,73,0,0,6,5,9,12,45,16,3,85,0,0,0,0,0,8,16,11,6,50,13,44,194,118,105,95,74,34,0,680,65,149,444,364,384,452,362,148,30,2397,31,100,202,221,180,161,105,41,10,1048,4,0,13,13,28,34,12,7,0,113,7,3,6,27,76,114,88,28,9,355,0,0,4,0,8,8,22,7,0,51,0,0,3,5,12,17,21,5,0,56,0,0,0,0,0,14,18,18,7,59,13,24,63,63,73,90,49,29,3,405,47,123,290,332,377,438,303,142,34,2095,67,181,401,408,312,305,217,82,17,1990,8,10,26,34,61,68,26,16,0,248,15,8,39,56,170,252,171,58,26,795,6,5,5,11,16,26,35,20,4,128
