STE_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1,19809,36017,43491,38865,44537,64972,113307,89858,45213,496074,23344,53367,67778,55429,55296,65883,81334,50021,19226,471670,14725,59769,84120,66357,62505,64693,58236,32448,9670,452515,8442,63145,116767,87688,83837,79548,49441,21866,6641,517384,3965,53738,146741,110920,101719,92651,49112,16925,4046,579814,1246,31565,121602,93113,80874,66662,29966,8948,2237,436215,544,14860,104682,89586,76971,59089,23361,7833,2355,379281,248,6351,73641,75816,65049,46414,15566,4501,1204,288794,205,5474,112631,160865,129167,80135,22359,5956,1543,518333,85,790,19286,41679,34507,20051,6185,1957,589,125128,240,982,22861,74057,80238,45905,15274,5440,1679,246672,29789,35515,83618,71483,60559,54687,50360,45944,38771,470737,485,1282,3484,2305,1995,2924,2663,841,229,16209,458094,496960,1143885,1103810,1017332,960639,785015,450783,183834,6600358
2,12343,33052,37874,32993,37177,48420,86936,69676,36988,395455,13245,43889,57930,46809,46187,50381,62726,38689,15170,375031,7699,45013,71686,56658,52415,50771,46271,25330,7892,363735,4951,49680,106555,78291,71693,63371,38726,16293,5219,434772,2426,40969,132066,96425,85535,72952,35304,11626,3076,480383,669,21226,109305,81085,67819,53313,21728,6455,1693,363297,340,9529,93012,79263,65529,47817,16880,5514,1786,319669,149,3771,58755,63592,51833,35407,11074,3044,874,228490,145,2968,82197,124731,98591,60460,15990,4122,1186,390384,69,534,13029,31021,26401,15471,4379,1286,419,92604,176,865,13378,49713,56372,32094,10617,3684,1279,168173,22104,26972,64790,53918,47015,40406,37411,33060,26537,352216,428,929,2207,1504,1635,2381,2133,678,186,12085,363818,411018,974557,917239,825346,740000,591497,339275,141988,5304738
3,13429,22794,28672,25620,29667,41816,82077,59993,26459,330529,15746,34120,45994,38075,38013,44677,61753,36119,11654,326146,10847,40900,58194,46095,43156,42778,40397,21212,5530,309106,6855,45642,83848,63258,60640,53523,32782,13131,3423,363106,3163,34824,93872,77225,72825,62900,30219,9573,2074,386676,1041,19690,72149,62817,57740,45192,17672,4820,1073,282199,486,9687,60992,59626,54783,39567,13504,4219,1183,244041,211,4058,39264,47847,45378,30502,8720,2223,504,178703,164,3943,53174,86774,82974,49756,11821,2872,656,292133,62,513,8712,19434,19307,11467,3120,954,251,63822,191,697,8637,29483,35835,21726,7472,2704,730,107481,21714,26680,60278,50665,47266,42049,37789,29665,19570,335666,365,1516,4674,1951,1409,1794,1658,628,150,14152,313921,325377,707640,690701,676466,624345,523095,283841,98393,4243779
4,3901,8684,10887,9829,11723,17551,32117,25606,14128,134423,4417,12295,17151,13793,13683,16587,22624,14083,6155,120780,2431,12525,19831,16443,15375,15919,16088,8968,3159,110737,1441,13588,28688,22674,21268,19960,12712,5768,2004,128096,741,10914,34276,27934,26313,24013,11857,4088,1080,141214,210,5673,25326,22140,20562,17013,7107,2033,534,100609,133,2468,19991,19836,18162,14310,5264,1721,572,82460,53,1021,11986,15405,14386,10656,3214,917,246,57863,39,782,14290,24762,24563,16601,4471,1224,311,87045,24,136,2013,4769,5038,3425,1128,377,110,17014,52,273,2133,7069,9267,6935,2687,1019,348,29780,5391,5763,13239,11887,11582,11023,10254,9126,6781,85047,112,256,922,539,392,483,495,163,63,3432,99127,108934,235649,226812,224327,225911,194020,111755,47260,1473786
5,6323,11465,13940,12866,13069,17281,35877,27058,12210,150086,6933,15601,21032,18674,17236,18598,27147,16276,5837,147334,4585,16538,24258,21182,18726,18226,18865,10027,3202,135611,3149,18464,34447,27777,25601,22709,15743,6406,2078,156386,1709,16285,44645,36660,33155,29665,14982,4568,1187,182863,697,9957,37572,31971,28142,23323,9481,2459,585,144186,394,5739,33776,31683,28206,22419,7511,2025,686,132446,182,2812,23996,26363,23956,17380,5082,1058,278,101103,189,3556,38443,55145,50158,33793,8120,1533,436,191369,40,555,8348,14985,13735,8802,2243,514,153,49377,107,456,7655,22877,25524,15905,4792,1451,390,79163,9371,12172,31552,28755,25436,21025,16100,12534,9544,166498,163,717,1874,990,874,1140,932,310,93,7090,153301,159356,374865,382035,350552,316910,250900,131620,50187,2169729
6,1242,2482,4349,3524,4321,6346,11592,8392,3812,46063,1415,3456,6466,4617,4721,5863,7519,4377,1661,40102,848,3811,7415,5257,4986,5403,5408,2917,911,36945,508,4198,9830,6759,6331,6561,4122,1783,580,40677,218,3258,11217,8225,8046,7890,3869,1256,316,44288,58,1678,7479,6400,6182,5376,2105,602,126,30001,23,728,5515,5651,5759,4830,1614,538,170,24829,19,281,3406,4244,4558,3496,957,216,40,17215,6,175,3653,6360,7072,4979,1211,289,84,23827,3,31,450,1011,1245,919,312,104,30,4106,32,67,556,1647,2228,1764,722,287,81,7387,1916,1928,4522,3559,3566,3801,3923,3255,2125,28591,21,151,364,148,84,105,80,36,15,1003,29991,31142,77117,66003,69016,74301,64962,35905,12902,461341
7,431,760,1417,1233,1278,1578,2626,1169,300,10801,532,989,2019,1460,1230,1499,2007,708,134,10574,460,1229,2311,1634,1200,1381,1429,466,91,10194,474,1691,3733,2260,1860,1837,1458,405,67,13783,303,1913,5300,3378,2781,2693,1431,304,27,18127,126,1545,4621,3214,2556,2114,991,171,19,15347,42,744,4324,3391,2763,2233,782,153,12,14439,16,314,2922,2730,2409,1778,579,80,6,10842,19,259,3767,5381,4989,3600,909,109,10,19035,5,36,556,1035,1037,827,260,32,0,3784,12,34,505,1379,1574,1273,468,83,14,5332,1932,2366,6343,5045,4529,4266,3102,899,193,28667,109,1324,925,266,128,220,118,34,6,3121,14531,18162,47139,38908,33551,31321,22276,6701,1261,213854
8,983,2497,2267,1508,1397,1813,3400,2718,1321,17905,1121,3312,3698,2123,1572,1929,2775,1940,770,19245,842,3290,4363,2364,1780,2042,2761,1743,615,19793,735,3945,6631,3793,2738,2767,3071,1727,599,26020,352,4222,9517,5660,4067,3859,3331,1566,467,33034,138,3521,9719,5838,3971,3530,2628,1069,337,30746,54,1853,10173,7030,5161,3932,2269,877,233,31587,16,569,6980,6917,5184,3530,1551,491,136,25377,19,431,10592,16771,14044,7768,2198,611,170,52602,9,54,1281,3365,3176,1855,549,138,45,10462,16,55,1379,5593,6372,3867,999,272,94,18651,1353,2172,3988,2849,2059,1592,1471,1224,1055,17749,45,92,177,177,139,179,152,49,7,1020,26526,34599,77804,69342,56194,44930,35030,19085,7204,370711
9,14,12,11,20,29,37,80,59,21,279,11,18,31,33,37,71,57,24,9,282,19,19,41,48,45,61,51,15,3,304,13,40,58,56,84,88,32,12,4,382,14,33,100,65,79,81,34,6,0,399,4,11,61,47,49,55,29,3,0,260,0,13,55,53,47,63,24,5,0,270,0,3,42,45,45,39,21,4,0,199,0,7,49,80,89,78,31,0,0,330,0,0,7,7,22,19,7,6,0,71,0,0,7,10,16,24,9,7,0,70,29,65,253,179,173,160,103,56,7,1041,0,4,8,0,3,5,0,0,0,23,220,273,745,701,767,893,673,295,60,4630
