STE_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
1,535656,950315,436296,390484,480016,294746,222152,300659,69119,3679434
2,440112,787559,398368,347186,391225,262883,187462,276638,61594,3153029
3,307244,525251,333228,301292,310258,211739,166169,246645,46242,2448063
4,109074,180006,110228,109004,104748,70883,50435,87925,14816,837114
5,161022,287708,200397,154362,157780,101668,101225,123298,22239,1309706
6,32391,51109,35448,34604,29789,21826,16122,28487,4706,254482
7,15461,26522,16007,17714,15120,7295,6149,9781,2462,116512
8,44313,78043,23917,27158,36088,15245,6013,12417,5262,248457
9,501,399,421,398,290,150,142,269,42,2614
