STE_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
1,104072,252621,189827,1734029,20668,2301216,1984,11512,5988,236192,3578,259250,531910,9988,17229,18823,3476,581418,32511,5581,3189,13015,408,54702,38085,13269,8383,26779,440,86949,458027,210977,152608,1552974,22769,2397359,130465,4218,13914,3540,652,152784,26192,4180,3308,14582,231,48482,67899,19666,14338,138274,1810,241988,74152,14883,7767,43893,810,141505,15329,3428,1764,5753,143,26419,248010,5119,3949,3305,580,260967,111949,50528,34381,531329,4768,732950,129400,36361,16340,117496,1780,301379,68264,816,2368,742,291,72476,108943,25689,11452,31323,791,178204,29728,3978,2249,7538,259,43756,32007,9994,5531,30833,447,78812,25182,6300,3869,4038,322,39703,25893,11473,8176,6659,326,52522,34398,6072,4606,14226,332,59629,24853,2469,2616,5364,238,35540,26609,4151,1688,1229,357,34028,104563,51449,37271,421409,3633,618317,27032,2949,1908,3953,196,36040,29305,4759,3536,1796,142,39540,38439,2866,2470,6312,313,50400,17718,1330,1037,970,70,21125,114675,2294,4078,2281,704,124036,16757,5223,3375,19187,175,44720,979101,80877,65058,101462,7286,1233788,51658,4271,3208,33214,414849,507204,3179224,508868,368862,3517858,477714,8052530
2,85253,199284,149816,1307287,16615,1758254,1411,3519,1965,54522,958,62379,393461,6279,12095,13060,2161,427056,31795,5180,2727,11074,367,51150,44803,16229,10175,36496,565,108264,357832,169575,125780,1212059,18039,1883280,81945,2061,8838,1896,390,95128,18267,3025,2283,11165,194,34938,56633,18525,13100,121197,1637,211087,104483,17548,9082,48638,1134,180887,14129,3032,1697,5662,185,24696,264020,5292,3615,3073,558,276568,83436,42362,28802,447462,4157,606217,167577,42795,19880,150792,2412,383452,19077,251,868,269,52,20521,31176,7196,3354,7084,247,49056,32875,4639,2572,9013,289,49383,38322,9805,5744,26919,487,81281,18574,3016,2286,1775,201,25854,21811,8191,6082,3752,221,40052,35286,6587,4803,15194,345,62217,19465,1920,1962,3738,163,27257,19882,1779,819,369,229,23071,86773,42649,32107,364577,3314,529422,22777,2500,1525,3028,236,30060,18747,3250,2559,1324,107,25982,20646,1891,1578,4505,163,28780,42646,3190,2196,2507,175,50706,112619,2011,3944,1878,563,121012,11524,3531,2465,14127,138,31783,818100,60305,49548,78239,6166,1012354,44561,3322,2590,26891,293460,370816,2676587,408831,297707,2732989,343873,6459990
3,45003,187527,153878,1333895,15976,1736282,1498,10111,5964,185759,2901,206231,134395,3935,7087,14188,867,160479,9191,2152,1063,4372,107,16887,37834,11993,7753,23607,420,81614,430989,167717,129888,1230642,17189,1976418,58057,1926,10659,2774,451,73856,17468,2951,2264,10484,185,33347,55791,19734,14661,218866,2075,311133,11684,4699,2215,14162,188,32950,8592,1876,941,3025,89,14515,85733,3025,2060,2689,253,93757,90401,37455,26681,414798,3546,572879,46911,17949,8330,79303,982,153482,23684,207,1170,275,56,25393,3798,1341,662,3665,40,9502,2046,403,255,644,23,3374,6616,3058,1709,10796,132,22317,47991,7556,5392,3579,455,64973,37667,13639,10021,5570,446,67355,16554,3416,2645,10341,184,33146,10405,1413,1433,4288,141,17678,29350,3211,1539,834,338,35273,109510,41362,31194,346444,3011,531523,7310,972,558,1253,79,10171,27653,3468,2811,1187,131,35256,17202,1817,1370,5204,144,25737,7446,745,558,814,39,9604,30444,877,1637,836,147,33953,14313,3606,2411,14458,178,34964,370983,43975,42482,104484,4825,566748,22242,2937,2637,29646,303300,360761,1445183,349440,276590,2777708,346816,5195745
4,17812,60870,46684,444969,5969,576310,327,1988,994,35240,793,39336,53394,1023,2069,2104,277,58872,5713,1096,585,2705,74,10163,13114,4451,2925,8750,174,29420,149242,60167,47407,409388,6829,673028,17433,496,2508,676,135,21245,3514,690,549,3346,50,8142,19941,8749,6194,98368,1055,134306,20394,4311,1972,13675,285,40636,3357,810,367,1527,44,6107,41467,817,592,628,94,43598,24739,9681,6713,93305,975,135423,44859,11851,4964,41389,708,103771,4230,92,336,152,16,4825,3040,880,461,1526,27,5932,1033,181,118,480,5,1816,3122,1045,612,3026,51,7859,2201,753,450,505,49,3954,3140,1653,1181,772,41,6787,11263,2076,1311,5551,137,20340,4715,493,511,1127,60,6904,399,130,34,27,5,591,31953,12464,9651,93565,1053,148692,5330,635,368,936,35,7303,4753,659,565,277,21,6268,3837,430,349,1139,28,5788,2930,224,209,156,15,3535,20618,761,816,566,135,22892,5829,1355,982,4506,64,12736,149288,12928,10148,21437,1484,195273,7109,660,563,8208,69561,86099,576538,118360,87593,904752,86021,1773257
5,33455,117072,97454,538055,6803,792836,721,4403,2523,71986,1599,81234,105545,2456,4596,3716,573,116888,10306,3039,1647,8924,177,24098,26484,7486,4989,13793,279,53034,357102,106304,85901,446614,8415,1004339,41729,636,3452,809,192,46812,11476,1319,1167,3302,86,17349,29792,6797,5822,36033,554,78998,6541,2297,1196,6083,86,16198,3535,683,428,1051,36,5737,70700,2539,1789,2073,213,77319,81359,19171,14185,118275,1510,234497,52012,17672,8571,58382,830,137467,7973,128,474,131,19,8719,2080,478,270,589,16,3433,6744,1197,754,2565,67,11329,2300,866,459,1671,27,5334,24021,3344,2305,1101,302,31067,16686,6597,3997,1998,177,29458,13780,2338,1914,5476,138,23643,5032,427,711,991,54,7221,2739,362,134,87,26,3340,84302,22208,17430,108230,1380,233549,6783,630,393,739,43,8577,27495,2647,2315,750,110,33323,8838,751,658,2306,75,12628,5809,521,361,407,28,7134,21591,541,1022,443,79,23676,13787,2544,1794,5651,88,23861,273894,22854,22820,28057,2421,350044,13732,1330,1121,8299,153055,177541,1106922,207521,165903,1015043,173974,2669363
6,2408,17033,12303,189405,2650,223796,79,722,369,25300,362,26840,10795,228,416,817,52,12312,574,224,70,412,11,1299,4687,1719,1184,4057,50,11688,31702,16391,11700,178665,3142,241599,2465,84,690,134,22,3391,1016,197,140,890,20,2257,4568,1694,1028,12290,176,19752,1155,360,133,970,23,2628,525,236,68,297,8,1131,5254,181,174,241,15,5865,5822,3169,2026,44700,522,56233,2616,1245,368,4185,68,8475,794,30,95,48,6,969,203,83,28,144,0,459,71,20,12,39,0,142,294,143,65,339,10,856,580,261,165,239,7,1260,1178,620,399,441,15,2654,1774,576,268,1474,16,4111,632,89,78,258,7,1058,114,49,26,24,0,218,7718,4001,2769,37364,384,52236,283,65,26,94,7,469,1054,168,152,87,7,1463,791,88,75,336,14,1301,611,40,28,50,4,739,1379,33,69,26,11,1515,1343,355,252,1255,14,3214,29271,3500,2748,6989,349,42860,1199,204,150,4202,24129,29882,101424,30672,21666,368623,30492,552867
7,2054,6453,6334,48766,559,64154,100,1029,573,54530,1048,57276,5397,235,399,1031,55,7120,182,72,33,162,6,454,1370,494,326,918,21,3139,13633,5492,4882,39567,639,64210,7029,144,771,271,35,8248,722,95,106,341,5,1270,2293,728,624,6020,65,9729,2168,698,323,1182,36,4401,230,57,34,91,3,414,5120,106,79,86,16,5408,3563,1355,1113,13835,150,20019,1686,616,277,2451,39,5068,440,3,50,13,5,508,100,28,16,82,4,224,46,14,10,30,4,99,169,93,41,251,8,563,1187,212,214,166,16,1792,917,368,218,147,20,1666,559,133,99,398,4,1195,255,40,47,109,0,453,333,41,12,44,9,445,3395,1356,1117,11544,111,17520,113,18,5,38,0,173,616,88,70,44,12,829,705,47,38,148,9,948,663,36,31,37,3,777,1551,41,107,36,13,1749,475,112,106,502,6,1203,22976,1839,2141,4754,305,32013,986,79,71,1134,28239,30508,66965,12693,11475,139311,30867,261309
8,4901,18068,15282,103805,619,142668,130,518,305,7583,68,8604,22770,669,1375,1176,108,26096,3165,554,284,1567,30,5598,2806,1277,833,2861,22,7793,25766,15554,12276,90310,638,144548,6064,192,785,231,28,7301,1479,360,281,983,11,3110,4967,1841,1434,10713,84,19030,2557,628,338,1991,21,5537,930,274,194,599,5,2004,19381,396,346,274,26,20438,5850,3961,3032,39303,202,52337,5394,1871,973,6931,67,15229,3094,57,257,59,3,3472,810,264,107,436,0,1625,907,171,81,288,8,1451,628,270,206,854,14,1966,758,248,183,200,9,1396,1252,700,527,378,11,2866,2530,523,481,1430,17,4984,1203,165,188,426,11,1990,762,169,70,39,10,1043,6982,4249,3398,30411,156,45192,1506,242,135,295,12,2197,1377,237,232,125,6,1978,2113,266,212,491,23,3096,1899,136,149,127,8,2328,5305,155,326,139,29,5949,1172,475,319,1648,11,3615,57698,5482,5430,7148,318,76081,2257,180,128,1335,16337,20229,167280,33677,27758,205282,18305,452302
9,44,158,131,898,8,1240,3,4,0,149,0,158,339,14,16,29,0,390,0,4,0,6,0,15,22,4,12,14,0,55,398,110,103,517,22,1147,66,0,8,0,4,73,12,4,4,10,0,24,36,9,7,60,0,110,0,0,0,3,0,8,6,0,0,0,0,3,26,0,4,0,0,33,84,28,18,148,8,285,19,4,6,12,0,44,8,0,0,0,0,8,3,0,0,3,0,6,3,0,0,0,0,3,5,4,0,0,0,12,40,10,6,5,0,54,86,23,33,5,0,150,9,5,0,0,0,15,6,4,3,0,0,11,8,0,0,0,0,7,109,20,22,165,4,328,5,0,0,0,0,5,24,0,0,0,0,26,15,0,0,3,0,17,0,0,0,0,0,0,10,0,0,0,0,10,7,3,0,7,0,21,448,236,220,698,23,1627,17,7,4,27,1068,1122,1478,412,392,2008,1125,5425
