STE_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
1,35325,4352,5441,136,85,45342,11739,1299,1357,49,20,14458,10622,1259,1296,48,14,13238,19349,1950,2310,97,28,23735,27080,2625,3372,97,46,33227,77695,7765,10963,236,83,96751,88384,10093,15026,209,107,113823,135450,16207,29025,296,201,181182,89366,10527,18966,162,159,119182,93976,12300,16945,152,136,123501,95637,15027,12647,188,146,123643,46702,5420,7103,142,85,59445,731334,88817,124463,1815,1098,947530
2,35145,4408,2334,70,44,41999,13732,1467,714,23,10,15946,12396,1269,703,29,4,14407,22867,2355,1290,59,21,26592,31625,3316,2229,58,22,37255,92800,10540,8980,163,72,112547,110452,13361,11739,152,109,135814,154277,18525,13806,198,131,186929,73548,10170,5652,92,57,89514,64875,10387,4534,80,59,79938,56961,9657,3229,77,55,69975,47078,5568,2898,76,38,55661,715754,91019,58112,1075,618,866575
3,24307,1717,1705,147,100,27979,9832,973,622,46,17,11486,8945,959,694,44,17,10655,17315,1797,1436,117,28,20698,25636,2778,2315,94,51,30880,80731,9047,7234,219,112,97339,101580,9424,7779,162,137,119080,129477,7376,6772,172,149,143945,59319,2383,2366,70,52,64196,45821,1595,1910,51,71,49439,30797,977,1507,70,80,33425,33599,2191,1908,100,74,37872,567351,41210,36242,1297,891,646990
4,10751,1162,326,33,30,12301,5772,728,183,10,9,6696,5608,709,194,14,11,6535,10916,1336,465,34,17,12763,15318,1809,792,19,22,17965,42706,4459,1843,48,94,49154,43018,4180,1221,32,70,48526,38693,3688,741,42,76,43246,14597,1335,225,19,32,16203,11726,953,164,17,19,12880,8342,619,147,19,18,9143,10671,1056,311,24,27,12095,218111,22033,6619,314,427,247510
5,14873,1439,501,63,31,16899,5367,512,178,15,7,6090,4863,521,227,18,8,5642,8898,1052,421,52,13,10438,12656,1516,684,66,12,14937,43977,5345,2274,91,37,51729,61384,6145,2326,93,48,70001,83280,6147,1976,104,75,91578,37613,2427,789,46,37,40910,30010,2061,713,46,23,32842,23078,1338,510,51,47,25022,19471,1527,540,63,27,21633,345471,30029,11129,701,366,387703
6,3576,114,74,8,11,3780,2268,67,45,10,0,2389,2169,62,43,10,0,2290,4286,141,113,13,5,4554,6166,152,143,7,3,6484,16216,380,345,24,14,16978,13489,262,195,25,5,13969,10456,193,106,16,16,10777,3456,63,29,4,7,3561,2556,45,29,7,5,2641,1701,34,23,6,4,1769,3261,67,62,8,4,3406,69607,1573,1201,130,72,72590
7,572,39,82,30,4,730,183,26,26,5,0,249,177,27,37,6,0,244,355,70,79,23,3,534,517,101,143,19,3,787,1772,356,389,43,10,2578,2628,385,445,27,12,3494,4575,307,405,27,13,5328,2642,114,164,20,3,2944,2072,76,120,18,3,2293,1260,42,77,12,5,1391,970,76,93,23,6,1175,17721,1622,2066,272,72,21749
8,2159,359,244,0,0,2757,611,96,71,0,0,781,527,118,96,0,0,734,897,222,228,0,0,1338,1196,314,397,0,0,1906,3761,1237,1954,0,3,6957,5694,2353,2401,0,6,10452,11809,2768,2002,0,0,16581,7991,955,610,0,5,9568,7248,696,510,0,4,8466,4990,407,309,0,4,5711,2120,367,288,0,0,2773,48997,9892,9102,7,31,68028
9,18,0,3,0,0,20,6,0,0,0,0,6,5,0,0,0,0,9,21,3,0,0,0,26,22,0,0,0,0,21,67,8,6,0,0,72,45,0,0,0,0,49,44,4,0,0,0,45,15,0,0,0,0,15,6,0,0,0,0,6,3,0,0,0,0,9,19,0,0,0,0,19,261,13,6,0,4,286
