STE_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
1,2613505,2650620,5264125,8221,6416,14635,15959,13647,29600,6862,8314,15172,109248,138342,247589,7434,8055,15486,10972,10147,21120,17428,19918,37347,13379,15446,28824,13756,15636,29396,22532,25564,48097,111819,97050,208870,16637,21244,37884,14460,13051,27507,27732,27615,55347,14407,12520,26926,24554,22610,47168,4709,10171,14879,24063,28955,53020,32685,30589,63272,19083,20516,39603,35854,29062,64913,7834,7900,15733,60062,58253,118317,19733,14158,33892,42315,64616,106928,5898,7901,13803,6753,7894,14646,24525,25132,49653,15974,15470,31443,6209,8352,14556,9931,21684,31610,142041,132510,274552,16613,18168,34787,43008,54988,97995,193798,206499,400298,214403,209127,423527,8733,8724,17458,3983117,4086869,8069984
2,2075604,2123726,4199333,14370,11040,25411,5419,4881,10300,4612,5745,10354,74832,96564,171397,7303,7907,15208,7024,7022,14043,5642,6769,12408,11762,13302,25063,21766,24774,46542,11967,13339,25307,139887,118100,257988,8669,11948,20615,11632,10272,21903,13190,12873,26069,9108,8243,17347,31826,32711,64546,2723,6536,9262,6728,8707,15437,9618,9055,18677,29536,32975,62511,11041,9106,20147,9048,9013,18068,49408,49480,98892,18271,12668,30937,27046,41352,68397,5971,8167,14128,8118,9810,17924,15236,15893,31125,35142,32827,67970,4275,6425,10698,6693,14294,20989,106435,104154,210585,11363,12498,23859,40948,52565,93512,167355,180720,348079,159526,155424,314954,6285,6640,12918,3185385,3287530,6472911
3,1833739,1873427,3707164,2696,2054,4742,1715,1592,3308,5878,7081,12961,23580,32269,55854,1822,1850,3671,1673,1338,3008,6633,7851,14485,10030,11264,21293,1818,1619,3436,6077,6787,12867,38778,33099,71875,3225,5503,8730,4226,3813,8035,2751,2589,5338,6798,5924,12720,7371,6096,13466,3887,9354,13243,8858,10800,19656,896,783,1684,7467,9248,16714,5495,5312,10806,7250,6903,14152,103379,105230,208613,3595,2848,6443,17059,34515,51572,2446,3371,5817,3399,4173,7577,24647,25165,49816,6132,5913,12043,6826,9793,16617,3738,10189,13924,116175,113629,229804,9818,10573,20387,10508,14034,24540,93939,102990,196935,163913,148549,312462,8411,6494,14902,2566627,2644020,5210647
4,628525,639412,1267932,4676,3523,8200,1184,1061,2239,1203,1403,2605,11090,14571,25659,1397,1423,2818,894,786,1675,617,691,1305,4311,5071,9387,3845,4280,8128,2146,2102,4246,24301,20598,44899,933,1439,2371,2694,2526,5218,887,746,1633,1686,1606,3292,8113,8504,16616,459,1171,1628,1749,2095,3847,912,906,1824,4089,4994,9079,3696,3555,7251,2962,3092,6060,6852,6610,13463,3207,2458,5667,5533,9958,15491,2070,2689,4762,1247,1541,2788,3944,4249,8190,2741,2563,5307,663,1074,1739,1128,2504,3630,54076,57218,111288,2550,2660,5211,7446,9580,17022,30182,32383,62566,40170,38038,78209,2083,1533,3619,876266,900612,1776877
5,828926,827526,1656451,3322,2412,5734,1495,1327,2817,2700,3590,6287,12208,16214,28417,2217,2287,4506,1353,1177,2526,756,739,1494,5077,6335,11413,1048,1100,2153,3028,3504,6531,31816,29258,61073,5308,8760,14067,3359,3068,6431,1922,1710,3631,9443,8689,18131,9434,8759,18191,1348,3379,4728,2870,3557,6427,673,577,1252,14575,17696,32275,2294,2158,4457,4397,4508,8903,39748,36047,75794,4678,2931,7603,15810,21738,37553,2374,3251,5622,7207,8756,15965,21874,22978,44852,4764,4403,9169,1342,2667,4009,2581,7422,10008,117789,118251,236039,5067,5302,10369,7760,10309,18069,62522,69109,131631,86267,68531,154794,4126,3417,7540,1333486,1343420,2676904
6,214425,223352,437776,141,149,291,368,231,599,468,562,1033,2935,3835,6773,128,104,235,107,92,202,116,150,267,999,1083,2075,227,234,457,402,452,858,3601,2543,6145,240,373,614,288,268,559,56,65,119,364,385,755,486,380,869,119,336,454,353,418,768,67,41,112,612,838,1458,3357,2880,6236,1025,1049,2071,2718,2762,5486,1061,416,1480,668,1775,2445,232,344,578,251,340,588,1012,1081,2096,732,634,1364,274,404,675,218,637,856,11380,11084,22464,983,1080,2063,596,807,1396,5243,5501,10742,15038,14888,29924,659,388,1046,271935,281974,553908
7,91247,87807,179056,33,15,44,426,275,697,191,234,422,687,1060,1747,25,12,39,50,33,80,275,272,546,449,558,1010,673,528,1203,148,193,340,2809,2409,5217,486,967,1451,76,44,114,25,11,35,434,425,860,329,239,569,72,152,221,174,204,384,36,21,60,368,448,816,1628,1370,2996,236,267,507,2340,2118,4458,462,237,700,2582,3799,6382,73,101,170,138,205,341,566,530,1100,692,611,1308,167,352,514,279,841,1125,3901,3742,7643,649,621,1276,576,794,1367,4378,4651,9025,14888,12618,27506,2435,772,3205,134983,129526,264516
8,151911,153723,305635,448,294,739,1001,927,1928,639,740,1378,5366,6802,12165,637,710,1343,296,251,544,493,568,1063,991,1183,2174,456,546,1003,934,968,1902,9156,8094,17248,489,833,1321,583,532,1115,402,344,742,466,438,898,953,949,1903,235,609,844,1163,1385,2552,252,221,464,1279,1556,2841,3068,2635,5699,459,527,990,2643,2451,5095,1671,1235,2907,1990,3070,5062,423,571,995,545,634,1176,1124,1214,2344,1597,1684,3282,292,401,693,503,1109,1614,8124,7740,15862,1577,1767,3337,1704,2377,4073,10937,12111,23041,8393,7932,16327,553,597,1151,223744,229708,453454
9,1503,1437,2939,3,0,3,0,0,0,9,4,13,7,6,15,0,0,0,0,0,0,20,19,40,4,12,16,0,0,0,0,3,3,25,3,28,6,11,17,15,0,15,12,0,10,3,0,4,0,4,3,0,0,6,7,5,5,8,0,8,170,157,325,0,0,0,0,5,10,176,210,381,6,0,6,34,33,68,4,0,4,31,18,51,22,10,29,14,0,14,0,0,0,5,10,20,90,74,166,7,16,25,10,4,15,160,57,217,511,440,954,15,10,23,2900,2549,5446
