STE_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
1,537,632,1318,2103,3418,5367,8292,9320,6286,37281,599,529,905,2022,5834,14048,21182,17537,7341,70005,12964,62687,72440,61948,61463,54842,34450,18514,11919,391222,134,205,493,1122,2709,4884,7746,9230,6624,33145,21395,24484,37268,43370,51372,62318,54601,33203,21714,349727,585044,315971,395098,370975,306395,236225,144754,57882,16286,2428620,58931,37455,44258,41396,37672,34149,27115,19513,14591,315093,713663,462451,576979,558176,519029,490910,404767,239541,112626,4078142,1274,4080,13503,30458,70949,144589,196353,148821,66858,676888,96941,79005,89312,87103,79078,75764,66758,37406,13189,624556,1321,1758,4477,10224,23107,46003,68470,52149,19454,226966,81,103,180,275,813,2485,8361,22683,27649,62639,2197,4921,10458,24176,48378,88178,111656,74321,23774,388055,2277,2294,3657,7551,21306,54724,93693,85749,44366,315621,1426,1358,2451,4100,6901,11726,18647,19349,11085,77045,1423,1146,1899,3946,10652,26588,41606,34651,13654,135553,28445,96568,113408,102044,103588,93939,60450,30659,16552,645650,348,422,942,2134,5412,11625,19408,20869,11938,73100,55366,45775,60254,72889,89646,111952,99298,57936,32568,625676,1177433,675556,808453,751880,615798,468395,278814,111195,28966,4916486
2,459,524,1088,1681,2651,4094,5922,6600,4702,27711,481,392,790,1588,4403,9604,14842,12249,5548,49899,10942,54279,71326,57613,54128,46099,29232,16003,11433,351055,146,214,455,972,2322,3889,6253,7253,5631,27138,17663,21789,35121,37877,44058,49183,42656,27237,18176,293754,469274,254926,326074,303016,245750,181660,108710,42882,12478,1944766,43693,28332,34822,31803,29219,24952,19853,13661,9230,235563,567736,376184,490799,464609,423043,380432,308611,182280,87185,3280888,860,3284,11610,24564,55936,107607,144175,111414,52372,511822,74388,67333,87227,81872,70666,62233,53915,31045,11276,539957,1097,1429,3747,8264,18571,35552,52441,40107,15735,176949,82,111,164,209,567,1663,5810,16168,21019,45799,1786,3944,9015,20885,39310,66308,83360,56385,19908,300896,2096,1758,3091,5968,16817,41264,69841,64063,34967,239861,1240,1074,2052,3269,5327,8772,13226,13763,8266,56988,1090,854,1620,3071,7931,18230,28744,24333,10299,96172,23084,82243,110605,94380,90004,76965,49592,26019,15852,568731,405,423,834,1865,4745,9191,15404,16448,10008,59331,44973,40129,55793,63324,75527,87379,75592,46304,27059,516081,943796,547033,674801,615831,493816,361081,210108,82450,22348,3951261
3,320,482,945,1457,2222,3516,5190,5872,3677,23685,780,463,799,1747,4934,12018,17308,13005,4634,55695,11683,48820,56467,49954,48681,41148,24846,11917,6888,300419,130,161,396,931,2116,3884,5858,6100,3657,23246,17271,19105,27442,32396,38114,42248,35633,20872,11801,244874,377228,204578,225763,216574,189686,144338,90367,34458,8395,1491390,41448,28173,31100,28598,27357,24508,19425,12156,7160,219919,469142,314277,358633,354385,346259,320644,267105,147438,59652,2637531,873,3476,10869,24212,55106,102841,137046,94121,35495,464043,60088,53637,64416,65358,60611,55187,48783,25686,7384,441157,914,1360,3326,7799,17815,33641,50128,36017,11714,162706,84,83,150,230,556,1759,5883,14075,15076,37895,1586,3559,7014,15016,32271,54045,67159,42271,11325,234246,1861,2018,3082,5853,16479,39622,67114,57711,25686,219428,813,924,1680,2666,4511,7500,11720,12117,6389,48330,1799,1007,1630,3489,9176,22497,33827,26353,8498,108273,25603,75067,88028,81826,81664,70068,45531,21151,9892,498831,300,353,750,1726,4189,8654,14010,13830,6568,50373,44184,35207,44135,53718,65844,75292,65036,36933,17751,438105,760408,433983,461331,434151,381229,285954,176596,67339,15056,3016034
4,154,186,294,451,671,1088,1708,1768,1332,7649,194,144,211,555,1624,3820,5520,4456,2037,18564,2995,15442,19354,16625,16610,15571,10034,5339,3821,105789,40,53,134,263,652,1253,1933,2376,1812,8525,5390,6183,9503,10881,13187,15672,13632,8126,5601,88182,121472,67664,75986,71370,62503,52353,34599,14220,4130,504279,10380,6806,7088,7032,7276,6961,5706,4023,2426,57699,147451,100807,117398,114697,113319,115441,100673,60257,29029,899073,286,1102,3690,8011,18877,37964,51087,38655,18658,178330,20008,18566,22492,22394,20795,20985,18945,10658,3862,158708,301,395,932,2272,5293,11259,17640,13236,5345,56663,18,33,39,79,196,641,2248,6002,8051,17306,554,1241,2669,5993,12556,22580,28915,19428,7153,101099,535,559,923,1724,5447,14037,23970,21964,12598,81756,373,390,558,864,1395,2507,3820,3824,2378,16096,490,311,502,1031,2916,7235,10815,8789,3787,35883,6064,23672,30465,27578,28445,26661,17744,8806,5295,174729,90,92,239,470,1386,3020,4913,5213,3255,18689,13794,11385,15020,17958,22871,28147,24587,14020,8309,156085,244065,146127,159556,145921,127965,104424,66460,26872,7303,1028689
5,178,193,352,625,974,1440,2124,2214,1487,9588,282,187,308,643,1826,4398,6699,5230,2164,21733,4653,22269,27547,24028,21232,17634,10377,4972,3014,135722,64,63,160,405,870,1447,2368,2641,1897,9909,8005,8765,12618,15165,16920,18998,15944,9274,5507,111205,203525,102356,124437,124082,101455,77575,47377,17036,4517,802350,19817,12732,15431,14366,13532,11719,8892,5721,3598,105815,246246,152142,188470,191036,174677,159711,128137,69125,30451,1339997,484,1636,4899,10817,23921,44513,58718,41264,17608,203871,28308,23991,29325,30084,26759,23820,19937,10288,3405,195918,469,576,1496,3723,8070,15288,22203,15780,5569,73172,23,45,57,102,219,754,2403,6461,7551,17608,807,1674,3445,8038,16359,26821,33282,20511,6638,117569,670,660,1082,2396,7258,17608,28931,24540,11890,95034,455,387,705,1245,1971,3172,4746,4934,2798,20408,646,397,645,1224,3357,8259,13185,10514,3984,42218,9914,33691,42482,38882,35306,29568,18327,8487,4266,220925,120,132,290,763,1722,3353,5781,6075,3378,21617,20008,16118,20033,24601,29100,33406,29050,16223,8412,196951,411084,218953,253746,252741,208020,156244,92343,33222,8090,1634443
6,36,64,104,164,281,527,780,847,455,3246,52,24,87,217,718,1603,2357,1665,533,7264,1319,5871,7122,6449,6467,5634,3534,1520,885,38793,8,6,39,130,302,504,798,843,571,3216,1636,2013,2927,3486,4418,5085,4353,2422,1420,27758,35862,18120,24239,19197,18003,16438,10823,4253,1167,148101,3757,2430,2552,2392,2455,2495,2129,1453,711,20369,45063,29733,38369,34039,35769,38359,33307,19065,7880,281584,122,439,1431,3206,7796,15169,20001,13540,5364,67063,7091,6116,7005,6997,6866,6927,6481,3383,1004,51864,78,128,290,754,1807,3879,6024,4309,1495,18771,8,12,15,26,72,214,673,1596,1757,4376,187,404,857,1579,3455,6330,8335,5392,1608,28158,187,176,261,540,1716,4426,7608,6751,3133,24805,89,114,177,288,547,990,1626,1664,776,6269,106,73,180,423,1321,2987,4462,3271,1005,13833,2774,9110,11069,10347,10745,9572,6212,2598,1256,63681,21,23,68,205,581,1087,1923,1872,994,6771,4254,3702,4684,5596,7484,9145,7906,4206,2161,49133,71859,39634,51622,39497,36518,32766,21325,8294,2024,303541
7,19,33,83,143,224,299,248,130,52,1232,43,21,29,71,193,400,430,244,63,1505,233,1194,1940,1540,1197,1076,540,141,57,7919,7,0,13,39,88,151,151,117,31,603,650,568,1126,1316,1391,1531,1177,435,144,8330,19963,10707,16251,12304,9073,6940,3823,788,101,79956,2766,1793,2873,2286,2137,2175,1461,403,92,15975,24464,15039,23604,19348,16523,15481,10471,3106,705,128756,30,130,442,919,1936,3587,4254,1666,391,13357,1865,1429,2554,2325,2200,2238,1611,495,85,14796,28,36,120,254,634,1264,1634,698,92,4755,0,11,5,20,29,101,226,301,198,881,69,221,541,1224,2120,2955,2762,1033,198,11127,325,423,424,558,1080,1897,2347,1079,287,8418,68,66,139,260,425,558,534,288,80,2412,122,49,72,161,363,805,960,508,107,3152,552,1816,2900,2558,2175,1934,1106,291,82,13408,8,9,23,81,176,371,460,292,67,1474,1746,1128,1836,2244,2514,2875,2272,841,240,15700,40453,22649,32174,24867,18625,14131,7950,1749,204,162809
8,28,35,82,153,237,317,441,512,275,2087,31,38,70,161,289,590,867,755,332,3132,980,5930,6546,5092,4047,2710,1499,773,396,27969,9,12,28,66,144,229,315,421,300,1517,1492,2560,3836,4012,3775,3726,3154,1817,927,25296,33310,18784,25075,21577,15374,10343,6367,2431,604,133857,2273,2191,2149,1755,1441,1136,960,548,323,12773,40007,30326,38978,34928,28226,23191,18666,10447,4337,229114,80,377,1173,2441,4705,7484,9056,6625,2784,34727,5477,5669,7343,6766,5250,4276,3523,1837,614,40762,59,128,337,746,1450,2448,3461,2535,881,12048,3,10,3,15,31,102,342,960,1160,2633,129,310,705,1528,2690,3899,4430,2787,890,17380,121,170,252,507,1150,2361,3911,3625,1922,14016,71,74,171,295,474,646,981,964,504,4183,73,81,131,285,549,1074,1671,1484,614,5968,2097,8854,10198,8296,6818,4628,2608,1287,585,45378,15,26,49,132,287,499,774,892,550,3222,3796,4128,5901,6535,6659,6704,5637,3154,1407,43906,67410,40549,52926,44974,32144,20801,12021,4536,1084,276438
9,0,0,0,0,0,7,4,5,0,19,0,0,0,0,0,3,9,9,0,27,0,23,24,19,29,21,11,5,0,126,0,0,0,0,0,8,4,5,3,13,8,9,7,24,25,43,24,11,3,155,299,144,183,197,207,234,134,44,10,1449,65,40,67,68,79,75,47,32,4,470,384,231,296,332,379,437,307,142,34,2542,0,0,3,14,33,77,93,54,18,294,34,36,30,44,50,45,46,19,5,303,0,0,0,5,14,26,40,22,8,116,0,0,0,0,0,0,6,13,4,26,0,0,7,5,31,53,64,28,0,190,6,3,0,0,17,33,68,32,10,167,0,0,0,3,6,12,6,10,0,47,0,0,0,3,0,18,21,9,0,60,3,31,29,38,39,39,18,3,0,209,0,0,0,0,0,5,10,8,0,28,11,17,10,41,55,70,55,30,14,295,632,310,406,379,418,475,282,85,18,3007
