STE_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
1,10129,210180,15781,243,236336,12611,222724,19409,663,255408,31518,486364,45547,1939,565372,49543,455014,38760,1348,544675,63128,402133,31054,1061,497375,67122,372768,26919,1113,467917,43087,312597,21904,1196,378790,22123,171279,16995,404,210801,6553,54169,10251,101,71075,305820,2687231,226621,8071,3227741,11387,196163,13967,243,221757,15495,210098,15331,621,241550,47917,490595,38468,1539,578519,78146,447110,32918,954,559136,101518,391302,26218,931,519964,105309,362133,23475,1812,492722,62464,320455,21858,1462,406224,25665,192659,21220,445,239983,5060,87835,19735,127,112755,452956,2698352,213177,8132,3372615,21517,406345,29748,485,458094,28107,432823,34743,1282,496960,79429,976960,84013,3484,1143885,127691,902130,71682,2305,1103810,164640,793435,57269,1995,1017332,172437,734893,50383,2924,960639,105552,633050,43760,2663,785015,47793,363942,38210,841,450783,11614,142007,29989,229,183834,758772,5385583,439796,16209,6600358
2,8072,167232,11349,223,186878,11197,185238,14195,490,211127,29463,416412,35665,1192,482738,44713,377362,29051,883,452009,58046,319561,23066,890,401556,59536,278937,18709,916,358093,37852,227783,15121,893,281641,18795,125812,11714,297,156620,5582,42568,6475,83,54707,273247,2140907,165343,5867,2585370,9336,156991,10411,202,176941,14403,173498,11552,438,199893,45021,415686,30096,1018,491818,69784,369851,24976,620,465234,95630,307564,19854,747,423787,96441,267135,16854,1469,381901,56515,236275,15824,1238,309856,22236,145639,14410,377,182655,3998,71432,11758,99,87282,413356,2144061,155737,6215,2719371,17407,324223,21763,428,363818,25598,358737,25752,929,411018,74486,832098,65760,2207,974557,114499,747214,54025,1504,917239,153678,627123,42912,1635,825346,155980,546068,35565,2381,740000,94362,464055,30948,2133,591497,41027,271449,26123,678,339275,9572,113998,18239,186,141988,686603,4284971,321081,12085,5304738
3,6853,142258,11388,187,160684,7279,140999,14366,884,163526,18753,291925,33654,2908,347238,29561,276294,28517,1244,335607,38621,264628,25546,785,329582,40157,240634,21125,815,302730,29153,207929,17242,806,255140,15154,109380,11245,332,136105,3646,29859,5090,68,38661,189165,1703898,168166,8031,2069263,7740,135070,10253,180,153240,9374,140059,11781,632,161851,30904,300944,26776,1769,360401,51558,280622,22205,712,355097,65438,261256,19563,630,346888,66978,236090,17568,975,321613,42732,208519,15849,852,267954,16914,117529,12994,299,147737,2614,47770,9276,79,59729,294249,1727866,146279,6121,2174512,14588,277329,21640,365,313921,16653,281055,26152,1516,325377,49659,592872,60438,4674,707640,81114,556912,50724,1951,690701,104060,525886,45109,1409,676466,107134,476723,38694,1794,624345,71889,416457,33094,1658,523095,32066,226910,24237,628,283841,6260,77624,14364,150,98393,483417,3431768,314447,14152,4243779
4,2240,45955,2843,64,51102,2968,49772,3098,173,56020,7325,102474,7524,663,117986,11197,93566,6803,358,111930,15299,89095,6228,221,110847,18062,86486,5441,186,110171,12432,75951,4461,214,93060,6174,41932,3228,71,51404,1796,14719,1649,31,18195,77494,599963,41274,1979,720709,2518,42910,2550,53,48025,3643,46726,2463,82,52918,11445,100193,5757,266,117667,18213,91396,5089,184,114884,24608,84012,4697,167,113485,28850,82122,4471,294,115736,18017,78209,4449,284,100961,7155,49054,4046,90,60352,1264,24988,2779,31,29059,115714,599609,36303,1446,753076,4755,88865,5391,112,99127,6610,96501,5565,256,108934,18772,202667,13285,922,235649,29414,184967,11892,539,226812,39909,173112,10921,392,224327,46910,168607,9909,483,225911,30447,154166,8909,495,194020,13331,90993,7269,163,111755,3064,39711,4432,63,47260,193206,1199574,77571,3432,1473786
5,3208,70581,4826,75,78688,3533,70689,6804,403,81421,8886,156461,19170,1054,185574,14211,157474,18324,662,190677,18281,141112,15610,554,175557,19896,124298,11861,545,156598,13824,100533,7470,409,122241,6664,50680,4838,152,62335,1956,15081,2601,40,19675,90457,886923,91502,3892,1072768,3560,66432,4540,89,74614,4592,67950,5072,320,77932,14364,161267,12841,818,189288,23733,156227,11076,326,191359,30948,134453,9273,322,174994,33694,118143,7879,599,160317,20872,100389,6876,519,128659,7831,55474,5822,159,69285,1492,24503,4458,59,30508,141080,884831,67844,3202,1096955,6767,137012,9371,163,153301,8122,138636,11875,717,159356,23252,317727,32012,1874,374865,37941,313706,29398,990,382035,49227,275569,24878,874,350552,53585,242436,19742,1140,316910,34699,200928,14345,932,250900,14491,106158,10660,310,131620,3443,39590,7057,93,50187,231537,1771758,159342,7090,2169729
6,704,13689,1080,9,15478,815,13929,1011,128,15884,2368,33479,2531,244,38622,3089,26746,1983,106,31923,4432,26847,1890,41,33213,5432,28533,1877,42,35883,4030,25703,1844,41,31615,2023,13499,1278,13,16816,466,3965,573,4,5012,23357,186389,14063,634,224449,806,12764,934,6,14511,1089,13268,878,21,15260,3778,32495,2098,122,38488,5663,26675,1703,42,34082,7508,26678,1583,39,35806,9045,27644,1669,64,38417,5795,25714,1801,42,33353,2216,15278,1570,20,19091,371,6613,894,9,7891,36269,187134,13121,369,236894,1508,26454,2014,21,29991,1907,27197,1890,151,31142,6146,65979,4630,364,77117,8754,53424,3681,148,66003,11935,53528,3470,84,69016,14476,56176,3547,105,74301,9825,51417,3640,80,64962,4233,28782,2855,36,35905,840,10574,1470,15,12902,59627,373520,27189,1003,461341
7,424,6052,935,95,7502,498,6871,1441,1180,9994,1315,17602,3691,646,23254,1504,14740,3046,207,19498,1509,12654,2740,96,16995,1276,11949,2394,107,15723,822,9172,1685,59,11740,261,2813,492,14,3577,39,428,80,0,546,7643,82275,16509,2400,108830,491,5663,857,13,7028,590,6484,954,147,8170,1929,18853,2825,278,23884,2317,14793,2240,59,19407,2262,12255,2009,31,16558,2140,11363,1980,118,15598,1177,7925,1376,58,10535,295,2402,408,21,3125,47,552,111,8,714,11246,80290,12756,724,105017,921,11717,1793,109,14531,1088,13355,2399,1324,18162,3247,36455,6520,925,47139,3823,29534,5286,266,38908,3763,24909,4752,128,33551,3417,23312,4370,220,31321,1999,17093,3061,118,22276,554,5218,900,34,6701,81,981,188,6,1261,18890,162567,29263,3121,213854
8,634,12111,698,19,13461,867,15211,1144,50,17274,2103,34234,2307,88,38737,3185,29409,1640,100,34340,3955,22717,1154,72,27900,3704,17032,818,60,21617,2285,13295,634,65,16276,1303,6827,463,22,8612,358,2228,272,5,2864,18395,153064,9135,493,181083,679,11671,686,20,13059,1016,15238,1029,43,17328,2841,34245,1890,88,39065,4699,28935,1299,75,35004,5700,21612,915,63,28290,5549,16964,679,122,23317,3537,14432,697,87,18755,1525,8324,600,21,10468,287,3556,497,3,4342,25831,154987,8283,520,189630,1312,23784,1383,45,26526,1889,30453,2171,92,34599,4944,68480,4200,177,77804,7885,58345,2935,177,69342,9655,44329,2065,139,56194,9256,33999,1496,179,44930,5825,27723,1330,152,35030,2829,15147,1068,49,19085,643,5786,772,7,7204,44224,308049,17421,1020,370711
9,7,87,20,0,110,4,97,47,5,148,6,247,193,4,453,19,226,120,0,365,31,257,102,3,389,43,317,93,3,457,30,264,63,0,361,11,108,33,0,148,4,22,3,0,30,155,1625,665,15,2464,5,84,20,0,113,8,90,20,7,130,14,213,64,0,290,27,239,64,0,332,56,250,70,0,379,68,298,73,0,442,35,228,45,0,309,14,98,29,0,142,0,27,7,0,34,236,1529,390,10,2163,10,168,33,0,220,14,188,69,4,273,20,462,261,8,745,49,463,179,0,701,82,507,173,3,767,112,620,159,5,893,66,488,110,0,673,30,206,60,0,295,8,47,10,0,60,393,3152,1055,23,4630
