STE_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1,1743,1968,8608,12792,19129,36714,61873,56411,32944,232177,369,1435,7031,7566,9870,14057,14137,11809,7462,73745,22699,30746,76271,65372,54291,51880,51332,47064,34376,434030,198625,494434,1139222,1100528,1014269,956632,781435,449473,183436,6318056
2,2112,2494,9379,12875,16405,26791,51544,64672,37777,224051,412,1716,7245,8318,9653,11503,11208,10634,6550,67227,16094,21892,56413,47223,40221,36967,36689,33280,23325,312110,140348,409133,971484,914944,822955,736930,588817,338339,141702,5064649
3,1612,1427,4825,6977,10231,17269,38776,50296,24680,156095,306,778,3249,3458,3943,4116,3651,2719,1615,23833,16370,22267,52376,44832,42218,39439,36838,29560,17974,301886,141372,323402,702532,688376,674680,622219,521128,283032,98183,4054924
4,427,531,2136,3051,3456,5972,13802,18868,12413,60651,90,296,1399,2037,2543,2459,2136,1964,1468,14382,3815,4763,11428,10503,10351,10513,10587,9664,6118,77749,39895,108145,234468,226094,223805,225310,193420,111524,47170,1409827
5,731,673,2267,3361,4473,6742,12530,15257,9156,55192,137,306,1577,2172,2512,2557,2253,1878,1352,14746,7122,9997,27678,25849,23412,20179,16669,13566,9157,153623,69630,158361,372740,380802,349450,315562,249800,131204,50048,2077593
6,181,182,571,617,861,1795,3458,3960,3189,14811,30,68,339,324,413,369,324,225,133,2227,1398,1649,4225,3417,3458,3926,4357,3779,1969,28176,12881,30953,76713,65820,68902,74168,64854,35852,12879,443021
7,552,499,1114,1212,1375,1421,1742,997,282,9186,73,112,252,307,378,431,470,247,104,2374,1351,2043,5701,4585,4495,4357,3231,991,239,26994,7860,16778,46171,38613,33399,31078,22135,6660,1250,203952
8,74,70,298,400,486,850,1532,1694,994,6393,18,53,276,232,266,291,266,281,155,1840,1167,1901,3664,2557,1884,1484,1545,1268,829,16308,11891,34462,77573,69136,56033,44726,34854,19029,7195,354898
9,0,0,3,5,17,31,60,21,3,142,0,0,0,0,9,25,37,28,7,107,27,70,257,182,176,180,119,64,5,1087,115,272,741,691,765,892,664,295,60,4490
