STE_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
1,665,7112,47,7825,212989,15278,243,236336,5721,5415,162,11303,224750,18696,663,255408,111348,8699,2004,122050,397231,44146,1939,565372,275386,6649,4262,286291,219904,37130,1348,544675,171168,9150,2486,182802,283722,29783,1061,497375,33613,25550,647,59813,381111,25879,1113,467917,5593,34433,265,40294,316187,21114,1196,378790,909,7622,55,8590,185606,16203,404,210801,114,419,7,540,60475,9955,101,71075,604519,105048,9946,719510,2281973,218185,8071,3227741,1201,12594,113,13910,194101,13504,243,221757,13402,10289,578,24277,201790,14864,621,241550,183234,14478,5607,203313,336816,36841,1539,578519,338157,10453,8408,357022,170111,31047,954,559136,168194,22182,3560,193934,300037,25060,931,519964,16026,65873,960,82860,385440,22609,1812,492722,3940,56932,549,61416,322519,20832,1462,406224,867,9655,97,10621,208771,20154,445,239983,147,579,11,742,92683,19206,127,112755,725167,203039,19887,948094,2212269,204114,8132,3372615,1862,19708,162,21735,407095,28779,485,458094,19126,15710,742,35576,426537,33564,1282,496960,294584,23175,7606,325364,734049,80990,3484,1143885,613543,17101,12671,643312,390014,68174,2305,1103810,339359,31336,6051,376738,583766,54843,1995,1017332
2,505,5900,54,6455,169260,10936,223,186878,3349,4659,100,8110,188839,13685,490,211127,87421,8283,1532,97234,349908,34401,1192,482738,230030,5720,3707,239459,183897,27768,883,452009,142000,6823,2009,150828,227808,22033,890,401556,25918,21636,469,48022,291140,18021,916,358093,4343,35246,214,39803,226235,14708,893,281641,742,8430,48,9224,135989,11110,297,156620,80,412,6,497,47925,6204,83,54707,494389,97101,8146,599631,1820998,158866,5867,2585370,757,10181,67,11004,155670,10061,202,176941,7831,9249,401,17480,170881,11086,438,199893,142501,15557,4824,162884,299245,28672,1018,491818,276462,10476,8840,295779,145329,23502,620,465234,139857,18037,3545,161441,242631,18978,747,423787,13221,61339,891,75445,288725,16257,1469,381901,3487,60441,439,64364,229237,15013,1238,309856,826,9980,93,10895,157740,13637,377,182655,139,504,9,653,75248,11278,99,87282,585081,195760,19109,799948,1764718,148488,6215,2719371,1262,16079,122,17468,324933,20992,428,363818,11181,13907,501,25592,359721,24775,929,411018,229920,23836,6354,260116,649157,63078,2207,974557,506493,16191,12552,535235,329229,51269,1504,917239,281854,24859,5554,312266,470432,41007,1635,825346
3,657,6613,54,7324,142179,10989,187,160684,5912,4533,194,10645,138029,13970,884,163526,80092,7478,2232,89797,221718,32813,2908,347238,167179,6128,4435,177742,129130,27495,1244,335607,101584,8881,2328,112795,191203,24797,785,329582,18100,19912,430,38443,242722,20744,815,302730,3157,24570,144,27874,209664,16791,806,255140,519,5709,31,6264,118737,10778,332,136105,39,254,4,306,33358,4932,68,38661,377238,84087,9860,471186,1426745,163311,8031,2069263,1232,11555,125,12908,130237,9915,180,153240,12412,8704,701,21814,127969,11437,632,161851,125732,13097,6150,144986,187894,25760,1769,360401,209281,10033,9231,228536,104745,21103,712,355097,98806,21269,3657,123724,203691,18839,630,346888,8044,51170,618,59827,243721,17094,975,321613,1919,41976,281,44177,207678,15252,852,267954,481,7017,57,7548,127529,12356,299,147737,75,392,7,477,50187,8986,79,59729,457971,165211,20823,644001,1383644,140739,6121,2174512,1884,18166,177,20230,272421,20906,365,313921,18317,13240,900,32460,265996,25405,1516,325377,205821,20576,8381,234781,409616,58574,4674,707640,376460,16161,13662,406285,233876,48596,1951,690701,200387,30147,5981,236520,394896,43642,1409,676466
4,183,2166,19,2364,45902,2776,64,51102,1259,1715,41,3012,49843,2989,173,56020,25709,2786,698,29196,80877,7248,663,117986,56965,2029,1721,60716,44322,6533,358,111930,34315,2820,934,38073,66599,5951,221,110847,6291,8633,157,15081,89613,5291,186,110171,1114,13245,55,14418,74122,4309,214,93060,205,3228,8,3442,44857,3039,71,51404,18,167,0,183,16431,1544,31,18195,126061,36783,3631,166481,512560,39684,1979,720709,289,3608,32,3930,41583,2459,53,48025,2917,3155,166,6232,44256,2341,82,52918,40056,4647,2072,46775,65146,5474,266,117667,69016,3342,3626,75982,33976,4737,184,114884,31691,6984,1314,39997,68802,4519,167,113485,2850,21965,238,25053,86134,4258,294,115736,771,21302,113,22181,74247,4242,284,100961,191,3628,23,3844,52580,3835,90,60352,26,193,0,223,26128,2677,31,29059,147810,68828,7585,224228,492849,34549,1446,753076,470,5771,50,6292,87486,5235,112,99127,4177,4868,205,9250,94099,5332,256,108934,65769,7438,2772,75977,146026,12724,922,235649,125979,5374,5345,136699,78296,11270,539,226812,66011,9805,2251,78066,135398,10473,392,224327
5,294,3798,32,4123,69810,4685,75,78688,2123,2628,94,4847,69592,6584,403,81421,40123,4448,1203,45773,120015,18737,1054,185574,92352,3487,2897,98739,73530,17744,662,190677,54559,4315,1520,60391,99466,15145,554,175557,9868,11597,279,21745,122684,11628,545,156598,1700,16548,76,18323,96239,7272,409,122241,317,4055,27,4389,53151,4647,152,62335,45,212,0,251,16877,2511,40,19675,201374,51082,6129,258581,721353,88946,3892,1072768,462,6252,87,6799,63377,4351,89,74614,4995,4992,329,10318,62415,4882,320,77932,66116,8079,3771,77965,98172,12330,818,189288,112483,6112,6965,125561,54983,10493,326,191359,50991,11342,2448,64775,100979,8921,322,174994,4292,31489,372,36159,115869,7692,599,160317,1133,28269,171,29569,91957,6613,519,128659,289,4962,39,5289,58239,5602,159,69285,41,294,4,339,25789,4319,59,30508,240799,101790,14191,356782,671777,65201,3202,1096955,754,10051,120,10921,133181,9037,163,153301,7118,7620,423,15166,132005,11464,717,159356,106236,12528,4975,123737,218184,31066,1874,374865,204843,9596,9866,224301,128510,28240,990,382035,105546,15657,3966,125169,200444,24061,874,350552
6,56,640,7,701,13712,1053,9,15478,657,520,16,1195,13607,959,128,15884,8969,1018,290,10276,25641,2466,244,38622,16062,688,615,17360,12562,1887,106,31923,9397,1061,307,10771,20623,1772,41,33213,1950,2747,57,4752,29250,1836,42,35883,329,3625,14,3963,25838,1774,41,31615,60,834,3,901,14662,1235,13,16816,0,35,0,39,4414,554,4,5012,37481,11168,1314,49962,160307,13541,634,224449,104,1240,14,1371,12240,888,6,14511,1336,1050,75,2463,11942,829,21,15260,13222,1693,867,15788,20572,2014,122,38488,19309,1183,1344,21834,10603,1605,42,34082,9042,2795,463,12301,21965,1499,39,35806,821,7101,71,7986,28778,1593,64,38417,193,5922,24,6140,25480,1691,42,33353,46,999,6,1052,16497,1524,20,19091,6,47,0,57,6957,866,9,7891,44081,22033,2863,68977,155032,12514,369,236894,168,1888,19,2070,25953,1944,21,29991,1989,1570,94,3650,25548,1792,151,31142,22193,2712,1162,26059,46214,4475,364,77117,35372,1874,1957,39198,23168,3493,148,66003,18437,3857,774,23071,42592,3273,84,69016
7,82,910,34,1026,5484,892,95,7502,459,751,128,1334,6072,1405,1180,9994,4234,1052,421,5711,13290,3610,646,23254,7288,768,469,8531,7812,2946,207,19498,3821,909,222,4955,9262,2678,96,16995,797,1073,76,1945,11292,2372,107,15723,211,1008,18,1247,8775,1662,59,11740,20,195,6,228,2844,494,14,3577,3,13,0,17,452,75,0,546,16933,6690,1375,24994,65301,16136,2400,108830,185,1105,73,1361,4829,824,13,7028,908,925,215,2040,5056,926,147,8170,6673,1473,818,8958,11925,2716,278,23884,8694,1167,862,10721,6521,2108,59,19407,3346,1690,349,5384,9197,1949,31,16558,372,2361,110,2837,10721,1922,118,15598,106,1689,36,1834,7307,1339,58,10535,13,272,15,291,2419,391,21,3125,7,24,0,31,567,111,8,714,20294,10699,2477,33468,58545,12278,724,105017,271,2012,105,2389,10316,1719,109,14531,1367,1673,333,3376,11132,2331,1324,18162,10908,2522,1241,14674,25214,6328,925,47139,15980,1938,1338,19250,14338,5054,266,38908,7170,2605,567,10338,18462,4625,128,33551
8,36,614,4,652,12120,668,19,13461,192,401,10,599,15500,1121,50,17274,6357,795,138,7290,29132,2224,88,38737,17393,551,543,18487,14183,1564,100,34340,10226,581,295,11101,15639,1088,72,27900,1831,1641,53,3520,17236,797,60,21617,240,3123,16,3383,12211,611,65,16276,42,917,0,967,7161,457,22,8612,3,57,0,65,2531,270,5,2864,36325,8687,1047,46069,125713,8811,493,181083,43,927,7,982,11410,646,20,13059,495,789,24,1305,14979,997,43,17328,10078,1309,415,11806,25361,1807,88,39065,20367,901,1049,22315,11406,1208,75,35004,9287,1304,401,10996,16351,879,63,28290,812,4118,62,4982,17553,657,122,23317,176,5121,30,5331,12656,674,87,18755,45,1117,12,1172,8708,568,21,10468,9,45,0,54,3807,480,3,4342,41313,15636,1998,58953,122224,7925,520,189630,77,1542,7,1636,23529,1315,45,26526,690,1192,29,1910,30479,2122,92,34599,16436,2107,551,19099,54489,4032,177,77804,37756,1454,1591,40806,25591,2780,177,69342,19516,1887,697,22101,31987,1964,139,56194
9,0,6,0,7,87,19,0,110,0,5,0,5,96,45,5,148,49,5,3,57,202,186,4,453,108,12,5,128,120,115,0,365,79,11,5,96,190,98,3,389,24,31,0,52,313,86,3,457,8,23,0,32,264,61,0,361,0,9,0,9,107,32,0,148,0,0,0,0,25,0,0,30,272,89,18,379,1414,655,15,2464,0,6,0,6,84,15,0,113,9,12,0,23,79,20,7,130,70,16,4,92,138,63,0,290,146,13,14,172,95,62,0,332,78,18,6,102,208,69,0,379,12,52,0,69,298,69,0,442,0,30,0,33,226,47,0,309,0,8,0,8,105,32,0,142,0,0,0,0,25,3,0,34,319,163,28,509,1267,381,10,2163,0,14,0,14,168,37,0,220,9,16,0,28,172,71,4,273,121,18,9,145,338,255,8,745,256,21,24,298,218,179,0,701,160,33,13,198,401,165,3,767
