STE_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
1,93582,46671,48544,95214,48440,50392,98828,49302,51713,101016,49112,50925,100037,239659,249019,488682,48233,50828,99057,46135,49141,95273,45227,47823,93055,44427,47805,92239,43126,46288,89413,227142,241886,469032,42070,44948,87023,40718,44309,85024,39594,42631,82227,39206,42084,81288,37142,40324,77464,198730,214301,413026,36981,39552,76536,36151,38716,74865,34812,37120,71931,35089,36866,71955,35825,38207,74036,178865,190463,369330,29562,31672,61228,27645,30149,57794,26118,28484,54601,22492,25213,47704,21588,24009,45601,127397,139529,266925,83003,100014,183013,46069,64450,110516,20069,35644,55708,4450,11023,15468,394,1516,1911,8733,8724,17458,3983117,4086869,8069984
2,75407,36671,38616,75285,36949,39431,76375,37721,39620,77346,37196,39173,76366,185182,195599,380785,36641,38861,75502,34939,37635,72570,34717,36959,71675,33326,36049,69373,32382,35323,67708,172002,184830,356827,32187,34459,66642,30793,33599,64390,29351,32361,61711,28982,31850,60829,27983,30635,58615,149294,162899,312194,27323,30266,57586,26602,29593,56201,25505,28312,53819,25508,28235,53746,26510,29307,55818,131457,145715,277172,21943,23857,45799,20070,22492,42570,18710,21342,40050,16463,19031,35492,16252,18686,34939,93440,105408,198850,62878,76871,139746,35174,50316,85497,15614,27450,43062,3538,8282,11821,292,1132,1426,6285,6640,12918,3185385,3287530,6472911
3,61607,30274,32022,62288,31506,33118,64619,31500,33639,65136,31349,33396,64746,154584,163813,318400,31351,33356,64705,30085,31885,61962,29492,31272,60765,28424,30738,59160,27980,29580,57558,147326,156831,304152,27627,29152,56780,26910,28726,55639,26060,28156,54216,26145,27650,53797,25882,26784,52662,132626,140465,273094,25195,26237,51435,24659,26021,50682,23858,24938,48794,23435,24115,47551,24553,25328,49883,121706,126643,248342,19923,20481,40400,18854,19811,38669,17186,18078,35266,14588,15757,30349,14186,15229,29413,84729,89369,174097,51049,58068,109114,25657,34768,60424,10534,18595,29134,2208,5527,7734,194,758,951,8411,6494,14902,2566627,2644020,5210647
4,22020,11061,11423,22482,11213,11605,22817,11396,11842,23247,11290,11820,23108,55752,57921,113671,11538,12011,23547,11036,11684,22721,10800,11626,22422,10600,11049,21655,10257,11152,21411,54230,57524,111752,10047,10942,20986,9948,10495,20442,9594,10412,20007,9645,10384,20030,9301,10054,19352,48531,52284,100817,9071,10051,19129,9045,9746,18789,8666,9459,18120,8392,9263,17659,9141,9864,19005,44312,48391,92698,7243,8050,15290,6760,7635,14393,6269,6948,13213,5542,6413,11955,5295,6061,11353,31107,35100,66203,20230,25157,45388,11544,16174,27716,5228,9327,14554,1254,3099,4358,147,429,576,2083,1533,3619,876266,900612,1776877
5,32521,16116,16322,32435,16430,16582,33014,16589,16654,33241,16081,16411,32493,81469,82236,163706,16017,16286,32304,15275,15868,31145,14829,15629,30459,14364,15059,29429,14095,14632,28737,74586,77478,152063,14187,14748,28934,13222,14260,27479,12698,13713,26410,12491,13391,25881,12183,12928,25109,64776,69035,133812,12055,12402,24454,11546,12003,23541,11091,11735,22824,10994,11218,22211,11375,11755,23123,57050,59106,116155,8688,9081,17769,8186,8550,16735,7788,8259,16042,6593,7260,13854,6662,7163,13822,37907,40307,78215,24278,28821,53098,12900,17990,30889,5392,9285,14677,1244,2765,4006,109,416,517,4126,3417,7540,1333486,1343420,2676904
6,6626,3367,3620,6988,3663,3889,7551,3665,3901,7564,3910,4005,7911,17749,18897,36643,3794,4104,7905,3632,3993,7627,3658,3856,7510,3587,3714,7302,3413,3796,7208,18086,19466,37552,3534,3650,7181,3350,3500,6851,3112,3551,6665,3302,3419,6714,3279,3374,6652,16575,17490,34067,3101,3269,6371,3055,3230,6286,2842,3060,5903,2881,3037,5918,3120,3222,6338,15001,15817,30817,2357,2598,4955,2153,2435,4588,2114,2336,4454,1825,1985,3805,1776,1919,3692,10222,11272,21494,6580,7797,14376,3347,4705,8056,1370,2406,3775,271,686,952,18,79,98,659,388,1046,271935,281974,553908
7,3246,1585,1518,3099,1606,1533,3138,1639,1600,3238,1597,1589,3188,8082,7827,15909,1628,1677,3304,1474,1536,3013,1512,1508,3018,1494,1445,2934,1431,1489,2921,7531,7657,15193,1482,1384,2864,1371,1358,2727,1355,1258,2617,1261,1175,2435,1265,1058,2321,6734,6227,12964,1117,1050,2168,1113,943,2060,986,790,1776,875,730,1601,867,728,1593,4948,4246,9194,650,525,1173,534,435,973,467,399,871,426,322,748,380,306,690,2458,1992,4453,1104,1113,2218,377,447,818,139,211,356,32,47,73,4,3,9,2435,772,3205,134983,129526,264516
8,4851,2363,2400,4761,2274,2439,4715,2293,2324,4614,2281,2465,4742,11538,12148,23689,2161,2331,4492,2125,2241,4362,1956,2210,4169,1919,2159,4076,1859,2111,3969,10020,11043,21061,1797,2065,3862,1653,1919,3572,1705,1896,3598,1709,1901,3607,1566,1906,3467,8439,9669,18110,1560,1881,3447,1543,1814,3358,1530,1715,3243,1544,1750,3293,1594,1829,3424,7770,8990,16765,1328,1443,2769,1105,1323,2426,1055,1261,2316,893,1094,1987,919,1086,2006,5291,6212,11505,3296,4239,7535,1850,2596,4443,807,1265,2073,193,427,621,11,53,59,553,597,1151,223744,229708,453454
9,85,33,40,75,41,39,77,52,35,89,43,56,94,223,209,426,43,45,82,54,46,103,47,48,94,54,41,92,36,53,90,234,232,463,42,39,78,46,52,104,29,25,52,36,37,70,37,34,71,191,183,374,46,21,70,48,37,81,36,26,60,23,22,43,16,15,38,170,123,296,17,23,38,24,24,49,20,8,32,19,16,37,7,14,24,93,90,177,58,60,118,23,25,42,13,12,19,0,0,0,0,0,0,15,10,23,2900,2549,5446
