STE_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
1,95354,127328,222684,440595,515801,956401,7352,7913,15262,43766,49715,93477,3546,3611,7152,856227,947699,1803924,2464,3005,5468,98709,103262,201970,10135,13226,23357,7101,7767,14865,7682,9485,17170,15290,15480,30775,16898,18668,35563,32399,39154,71556,71283,81513,152795,4716,6328,11041,10306,12356,22659,75227,96156,171387,90692,102860,193553,2956,3302,6255,1797342,2037295,3834635,143712,129883,273602,182068,167184,349253,19529,20697,40225,695,721,1418,25149,22012,47165,17460,21141,38607,43309,43878,87178,1377237,1261863,2639103,12322,9789,22110,5123,8315,13439,1394680,1279966,2674646,298401,271905,570308,8733,8724,17458,3983117,4086869,8069984
2,90708,113422,204129,186308,233050,419362,1825,1884,3714,38072,43422,81489,2092,2081,4170,626102,702351,1328454,4458,5727,10186,105033,111409,216446,6712,8738,15447,5484,5948,11430,10171,12674,22841,9346,9702,19049,10635,12182,22815,25050,29220,54269,40257,47182,87437,3033,4378,7411,4986,5893,10881,64942,88543,153485,76196,88763,164964,1982,2342,4321,1222684,1415496,2638178,114467,99490,213956,141766,131148,272913,22216,24107,46326,201,189,390,49223,42510,91735,10138,12996,23135,59570,55691,115260,1288652,1220504,2509154,10502,8389,18891,4156,7051,11204,1303314,1235941,2539252,224382,205602,429984,6285,6640,12918,3185385,3287530,6472911
3,30160,43774,73941,269500,319101,588604,45,52,100,41168,46156,87325,1520,1543,3066,452714,515924,968641,3546,4448,7994,17303,18339,35636,10797,14127,24918,9681,10541,20216,21615,26174,47785,2130,2124,4255,11609,12911,24522,31960,38089,70054,52326,57731,110056,3898,5209,9102,7820,9491,17307,82061,106894,188951,74197,86316,160515,4261,4731,8987,1098153,1279891,2378042,36243,33341,69585,31296,29136,60430,2489,2582,5068,490,502,990,14824,12853,27676,9150,12618,21764,24456,25965,50430,1096059,1014780,2110833,8475,6638,15107,4011,6720,10728,1108537,1028134,2136671,226876,194702,421580,8411,6494,14902,2566627,2644020,5210647
4,14794,19007,33800,56508,70797,127301,11,3,10,12160,13945,26102,372,416,782,127710,147365,275075,1560,2229,3782,20769,21855,42629,2564,3436,5996,1305,1465,2776,19338,23585,42927,1026,976,1997,2985,3360,6340,9235,10982,20216,6101,6887,12988,1213,1689,2902,1340,1603,2940,35658,48378,84041,21709,25240,46946,1844,2017,3859,323394,386223,709610,20319,17787,38104,21408,18859,40276,551,601,1155,233,216,448,9252,8025,17274,3544,4793,8336,13029,13032,26061,416126,386627,802760,3152,2308,5461,1340,2252,3596,420625,391190,811814,60069,52378,112443,2083,1533,3619,876266,900612,1776877
5,24200,33499,57702,122089,148610,270697,21,16,41,20174,22573,42752,929,904,1834,234869,263589,498458,3227,4030,7254,12079,12982,25058,4812,6342,11153,2786,3175,5960,2857,3579,6437,1689,1643,3329,7531,8701,16233,12629,14947,27574,16588,18272,34862,1237,1824,3063,3208,3855,7065,18315,24865,43183,41574,48433,90010,1419,1630,3050,508043,589964,1098003,26888,25151,52043,34486,32248,66734,2741,2940,5677,564,533,1104,9817,8767,18582,4459,6209,10668,14837,15509,30352,591415,542293,1133711,4309,3104,7416,1787,2957,4750,597510,548361,1145869,120657,92324,212979,4126,3417,7540,1333486,1343420,2676904
6,2390,3219,5610,35513,43725,79243,0,0,4,3042,3427,6466,579,624,1201,32232,38366,70591,327,440,768,1189,1247,2434,955,1248,2203,633,701,1334,477,624,1101,143,147,292,1020,1205,2222,2177,2572,4749,3788,4324,8109,442,628,1066,517,613,1131,5796,8410,14205,6481,7446,13931,298,383,675,95610,116118,211725,5401,4347,9745,2899,2073,4968,183,200,383,26,25,47,1275,925,2202,854,1291,2152,2152,2247,4399,141203,133714,274916,980,746,1724,362,586,945,142543,135039,277587,20099,18354,38449,659,388,1046,271935,281974,553908
7,2030,2995,5025,8240,8864,17098,0,0,0,2783,3013,5801,8,6,11,20486,22527,43014,113,122,239,2341,2169,4511,248,306,555,276,302,579,2553,3078,5634,107,106,211,1091,1192,2288,1444,1743,3185,1213,1130,2346,113,148,265,407,474,887,4546,5335,9879,3744,4083,7829,111,109,217,49834,54716,104546,3435,2943,6379,1956,1480,3429,124,116,239,1748,1680,3429,771,669,1435,338,445,780,2848,2795,5643,51441,47195,98632,363,237,597,193,288,481,51996,47715,99706,20330,15999,36333,2435,772,3205,134983,129526,264516
8,5535,7144,12686,16559,20361,36928,4,10,10,1820,2046,3869,13,26,42,40708,46570,87279,108,126,230,3267,3505,6773,319,438,758,345,359,703,857,1109,1969,423,443,872,1167,1321,2487,1949,2264,4213,2872,3360,6228,228,267,500,347,407,750,3324,4601,7927,4874,5737,10607,140,174,315,79335,93121,172454,10767,9808,20578,7718,6900,14622,409,473,882,20,33,52,2311,2013,4326,734,949,1682,3063,2999,6068,101316,95506,196822,1289,938,2225,325,497,819,102928,96937,199867,13432,11729,25161,553,597,1151,223744,229708,453454
9,136,127,260,302,340,644,0,0,0,22,28,52,0,0,0,227,236,457,0,0,0,6,4,11,4,8,8,0,0,4,0,5,5,0,0,0,0,3,6,18,15,28,22,33,52,0,3,3,24,18,44,91,113,203,46,48,95,0,3,3,768,851,1621,13,5,17,398,356,756,3,0,5,4,7,14,0,0,5,4,8,17,10,20,33,810,705,1525,6,3,8,3,7,13,828,718,1541,734,459,1191,15,10,23,2900,2549,5446
