STE_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
1,0,0,7,96,920,2863,4428,3463,566,540,503,558,223,182,285,14635,0,0,17,181,831,4133,11427,6202,1325,1527,1381,1317,596,241,414,29600,61,184,962,1680,1692,2062,3409,2145,476,481,566,678,416,124,250,15172,465,1354,1558,3137,27703,38795,76639,42820,10516,11739,10282,12108,4050,721,5691,247589,112,1476,6688,2141,887,2447,841,226,41,36,41,25,14,8,497,15486,470,1375,3167,1999,2812,2661,3230,2379,525,607,520,478,216,90,600,21120,87,226,557,2291,9513,9134,7986,2999,649,588,786,909,485,239,904,37347,3904,5626,3324,2086,2615,2256,3845,1968,430,445,446,576,287,86,921,28824,411,5836,14308,3408,1014,629,506,1210,170,136,102,94,51,23,1486,29396,119,377,1104,4399,12561,13119,5963,3638,1099,1162,1019,1161,1125,451,808,48097,344,358,2149,3234,6795,17077,58771,41854,13640,14961,18022,19735,7010,1829,3103,208870,114,359,412,1788,4309,7726,9216,5206,1484,1537,1741,2169,923,102,812,37884,12,14,299,1057,3555,3509,5868,7865
2,0,0,3,29,552,2517,7434,8048,1286,1456,1057,1509,582,482,455,25411,0,3,16,103,261,960,3985,2437,505,573,529,503,259,60,98,10300,20,120,532,1065,1113,1333,2326,1704,385,370,430,496,217,87,158,10354,153,455,852,1110,11679,17430,53662,36496,9517,10353,9992,12027,3896,795,2986,171397,86,1430,6801,2307,916,2164,724,209,35,17,19,33,7,5,452,15208,255,1445,2335,1086,1485,1423,2481,1755,267,298,378,264,138,68,363,14043,31,65,160,600,2834,2476,3156,1408,271,297,304,386,169,51,213,12408,3690,6415,3041,1608,2059,1674,2765,1451,309,334,322,386,189,80,749,25063,443,8269,24067,5982,1700,751,595,2117,271,222,156,169,59,18,1728,46542,51,171,491,1618,5437,5473,4335,2846,763,806,876,952,759,272,452,25307,311,248,2604,3662,6380,12355,85733,51818,14949,16967,22622,26056,8533,1804,3942,257988,66,208,246,537,1396,3977,5810,2845,835,1016,1060,1379,797,88,345,20615,11,15,82,244,1452,1276,4250,9239
3,0,0,0,14,102,345,1183,1808,263,257,170,222,144,132,113,4742,0,0,5,37,59,280,1305,738,150,178,211,174,83,35,33,3308,30,139,672,1310,1417,1560,3002,2110,392,462,553,582,358,162,209,12961,136,409,388,420,2636,4008,17429,11369,3296,3695,3775,5200,1767,273,1064,55854,38,378,1319,448,229,760,229,85,28,10,11,12,7,4,118,3671,98,290,355,170,204,204,610,387,91,102,102,189,83,37,93,3008,38,120,367,830,3030,2985,3692,1589,262,295,312,362,186,80,345,14485,2102,3653,2401,1721,2904,1756,3230,1341,270,279,311,466,224,81,565,21293,145,870,1126,368,189,129,125,184,18,26,25,18,6,12,189,3436,50,104,290,705,2086,2613,2191,1691,489,405,533,699,539,199,271,12867,203,206,885,916,1436,2700,24562,16409,3928,4197,5508,6637,2432,593,1282,71875,107,395,332,414,727,1294,2113,1186,317,330,408,532,321,50,200,8730,3,24,42,124,558,517,1926,2936
4,0,0,0,0,32,366,2538,3014,420,418,379,570,156,163,127,8200,0,0,4,3,16,58,698,724,101,156,204,140,98,17,22,2239,3,40,170,306,368,329,590,304,66,85,84,113,72,33,39,2605,30,141,139,259,865,1204,7754,6074,1808,1994,1783,2443,697,85,390,25659,37,428,945,326,147,590,207,31,7,11,3,4,3,0,76,2818,36,219,140,48,105,102,338,242,53,91,67,124,59,12,30,1675,9,29,53,92,267,221,329,126,26,29,41,48,22,3,25,1305,1503,2953,1349,672,774,444,741,349,36,62,58,94,66,8,279,9387,103,2721,3470,720,257,124,121,229,28,17,4,27,10,3,296,8128,14,16,75,177,533,549,706,612,241,256,245,322,312,74,94,4246,95,95,449,431,445,939,13768,8881,2730,3108,4863,5894,2367,249,581,44899,20,98,54,103,166,265,516,422,131,106,154,180,102,9,50,2371,3,3,13,31,402,532,1085,1795
5,0,0,0,17,159,657,1924,1656,199,214,169,320,147,119,146,5734,0,6,13,94,78,164,1068,775,102,113,131,138,96,6,38,2817,4,49,366,701,729,871,1544,942,185,173,193,242,139,57,98,6287,37,42,78,238,1407,2257,10520,6527,1339,1375,1238,2032,671,93,564,28417,92,558,1385,467,311,917,440,127,16,17,5,10,6,0,158,4506,91,162,264,147,180,225,511,517,85,76,69,75,39,21,69,2526,12,35,55,114,260,169,303,243,22,39,52,55,28,50,50,1494,1314,1263,970,860,1701,975,2123,1050,149,143,194,269,123,35,243,11413,118,553,692,259,108,51,83,152,18,17,12,20,12,6,61,2153,15,23,174,497,1046,1040,1343,1013,231,202,245,284,213,61,141,6531,416,302,2418,2079,1971,2784,19760,14788,3067,2524,3674,4398,1541,311,1025,61073,56,161,109,298,1180,2949,4115,2091,482,493,525,632,619,77,292,14067,4,4,8,67,706,694,1523,2218
6,0,0,0,0,0,4,19,134,57,28,13,30,3,3,0,291,0,0,0,4,0,0,99,209,36,69,71,64,20,0,16,599,3,10,88,159,138,138,228,113,19,30,30,41,6,0,13,1033,15,27,31,19,83,136,1051,2053,902,817,740,620,143,14,128,6773,5,53,98,25,13,15,6,7,0,0,0,0,0,0,8,235,3,16,20,10,13,12,22,22,15,13,18,29,6,0,3,202,0,6,27,30,59,54,31,23,4,4,4,3,0,0,10,267,213,475,297,169,290,125,248,97,21,11,15,31,10,5,65,2075,5,94,208,50,27,9,16,20,4,3,5,3,0,0,16,457,3,6,29,36,77,48,127,199,46,57,62,98,58,12,3,858,31,17,97,61,69,125,839,1789,627,661,719,677,250,62,128,6145,15,40,13,20,29,53,137,123,45,35,24,49,14,0,11,614,0,0,4,3,30,24,54,182
7,0,0,0,0,0,4,19,10,0,0,0,0,3,0,5,44,0,0,0,5,12,17,125,214,59,88,75,63,31,3,9,697,4,8,29,57,52,45,87,78,12,12,9,21,5,3,8,422,3,17,15,11,68,62,427,380,141,154,170,190,57,0,52,1747,0,4,19,0,0,0,0,0,0,0,0,0,0,0,5,39,3,7,4,9,0,8,20,5,5,0,4,0,7,3,4,80,4,3,10,23,78,64,109,102,17,28,40,33,17,0,21,546,43,151,116,67,115,89,178,123,16,16,17,34,14,9,26,1010,0,93,283,190,101,113,117,204,21,11,0,5,4,0,57,1203,0,3,18,30,60,50,45,57,14,10,14,22,13,3,8,340,9,14,49,44,85,117,1303,1410,424,434,462,492,174,94,96,5217,3,12,11,80,106,223,304,247,78,80,103,108,54,7,34,1451,4,0,0,0,5,12,33,41
8,0,0,0,6,41,105,194,258,23,33,30,13,8,11,4,739,0,0,6,16,65,278,761,381,86,107,79,56,61,12,25,1928,0,14,80,192,160,219,281,191,22,48,43,52,46,12,18,1378,12,40,45,108,588,1120,3311,2781,898,1011,875,813,276,33,240,12165,7,135,621,233,113,127,38,33,4,0,6,0,0,0,27,1343,17,18,47,30,36,42,120,112,22,31,33,23,7,5,9,544,4,14,21,54,219,220,292,108,17,21,17,17,19,16,24,1063,368,470,236,151,185,193,277,117,32,28,22,38,9,3,45,2174,27,220,403,151,37,21,23,51,3,5,7,4,5,0,41,1003,9,22,70,179,392,357,332,241,44,51,46,48,55,16,41,1902,28,31,141,216,444,1129,5568,4252,1003,1160,1293,1186,465,95,265,17248,9,32,31,65,124,165,294,206,48,75,85,83,68,15,14,1321,0,0,6,17,118,127,218,335
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,8,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,4,0,0,0,0,0,8,40,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,6,15,0,0,0,0,0,0,0,9,28,0,0,0,0,0,6,6,4,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0
