STE_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
1,3983117,4086869,8069984,240676,227429,468116,514695,486822,1001515,236336,221757,458094,255408,241550,496960,565372,578519,1143885,544675,559136,1103810,497375,519964,1017332,467917,492722,960639,378790,406224,785015,210801,239983,450783,71075,112755,183834,8733,8724,17458,3886822,4001307,7888128,96295,85559,181854,132414,134311,266723,2654,2466,5119,2882,2926,5813,137952,139707,277659,2613505,2650620,5264125,1146480,1218399,2364880,2700661,2742395,5443060,1035143,1110313,2145453,3318097,3422861,6740964,72166,68294,140461,479867,454628,934497,180220,178221,358439,102446,109191,211633,135387,206156,341541,1796305,1953701,3750008,198069,184411,382478,663210,656605,1319820,183694,185863,369564,123457,128190,251646,32428,41385,73810
2,3185385,3287530,6472911,192525,183019,375542,407494,385144,792635,186878,176941,363818,211127,199893,411018,482738,491818,974557,452009,465234,917239,401556,423787,825346,358093,381901,740000,281641,309856,591497,156620,182655,339275,54707,87282,141988,6285,6640,12918,3117998,3220366,6338360,67387,67163,134552,30828,30888,61722,1107,977,2086,851,854,1710,32790,32718,65509,2075604,2123726,4199333,943966,1001733,1945703,2141301,2195103,4336402,866414,923146,1789559,2630114,2725634,5355746,57148,54135,111279,381569,361279,742851,149422,148332,297748,91178,96763,187939,112898,169608,282503,1491263,1665050,3156309,295458,281604,577059,346824,302897,649721,146353,134696,281052,113394,133363,246753,29558,37747,67309
3,2566627,2644020,5210647,151242,142160,293398,346118,327349,673467,160684,153240,313921,163526,161851,325377,347238,360401,707640,335607,355097,690701,329582,346888,676466,302730,321613,624345,255140,267954,523095,136105,147737,283841,38661,59729,98393,8411,6494,14902,2455837,2564331,5020166,110788,79691,190482,95439,98290,193726,10847,10941,21787,10994,11142,22139,117280,120369,237650,1833739,1873427,3707164,560564,615555,1176117,2060832,2121791,4182616,320818,362706,683518,2146903,2226994,4373896,41513,39135,80642,320825,304571,625396,112061,116001,228065,47108,59948,107051,74729,130853,205584,1095372,1222618,2317991,161281,155556,316844,446111,451750,897863,107414,97696,205113,81779,82193,163969,11362,12530,23891
4,876266,900612,1776877,48356,45903,94257,107200,101636,208833,51102,48025,99127,56020,52918,108934,117986,117667,235649,111930,114884,226812,110847,113485,224327,110171,115736,225911,93060,100961,194020,51404,60352,111755,18195,29059,47260,2083,1533,3619,849743,877088,1726836,26519,23519,50037,20144,20430,40577,505,485,986,498,476,974,21140,21396,42536,628525,639412,1267932,205482,221627,427111,678774,697568,1376344,153135,163983,317116,758326,784128,1542455,12886,12154,25039,101469,96350,197820,38463,38621,77077,20403,23348,43752,27921,43933,71854,366605,408873,775476,126755,117931,244687,110849,108472,219319,37196,35738,72934,30994,33928,64923,6427,7980,14409
5,1333486,1343420,2676904,83367,78621,161985,177349,167835,345188,78688,74614,153301,81421,77932,159356,185574,189288,374865,190677,191359,382035,175557,174994,350552,156598,160317,316910,122241,128659,250900,62335,69285,131620,19675,30508,50187,4126,3417,7540,1251424,1302746,2554173,82068,40668,122731,42856,42260,85117,884,741,1626,1071,998,2065,44811,43997,88813,828926,827526,1656451,414169,443945,858112,1000859,1009776,2010637,232166,257173,489338,1094775,1116691,2211468,23168,21673,44845,165693,156860,322551,57595,57688,115279,27386,30796,58182,37204,62734,99937,574515,634832,1209340,104910,102210,207117,220886,206340,427223,48021,43539,91563,28118,30013,58131,6857,7921,14777
6,271935,281974,553908,14525,13767,28288,32963,31312,64281,15478,14511,29991,15884,15260,31142,38622,38488,77117,31923,34082,66003,33213,35806,69016,35883,38417,74301,31615,33353,64962,16816,19091,35905,5012,7891,12902,659,388,1046,263170,273657,536831,8765,8317,17082,13518,14125,27644,599,626,1223,596,635,1224,14710,15386,30091,214425,223352,437776,41817,43343,85163,232844,243538,476385,23990,24548,48531,236007,247751,483761,3642,3538,7178,30802,29277,60082,11153,11066,22218,4459,5072,9526,10120,14063,24180,98482,112188,210672,18568,20627,39192,65835,64238,130077,16548,15920,32472,8930,8223,17148,1127,1110,2239
7,134983,129526,264516,8742,8064,16810,17411,16443,33856,7502,7028,14531,9994,8170,18162,23254,23884,47139,19498,19407,38908,16995,16558,33551,15723,15598,31321,11740,10535,22276,3577,3125,6701,546,714,1261,2435,772,3205,116271,118575,234845,18716,10950,29666,29097,29676,58772,375,329,705,931,927,1855,30398,30933,61331,91247,87807,179056,26421,28327,54746,78270,75335,153605,36807,39732,76539,103669,102473,206137,2153,2056,4210,15307,14458,29767,3808,3896,7700,1318,1765,3079,4350,7517,11868,46711,53039,99749,12586,11515,24100,20120,16199,36325,6064,5149,11212,5093,4643,9732,1134,1242,2379
8,223744,229708,453454,13763,12901,26659,28895,27183,56078,13461,13059,26526,17274,17328,34599,38737,39065,77804,34340,35004,69342,27900,28290,56194,21617,23317,44930,16276,18755,35030,8612,10468,19085,2864,4342,7204,553,597,1151,216237,222617,438857,7505,7094,14599,4265,4124,8387,120,104,223,142,159,300,4521,4386,8908,151911,153723,305635,62889,67459,130348,159574,162684,322256,54094,57597,111691,191379,197033,388414,4019,3861,7885,27715,26013,53729,10928,10869,21793,8418,9101,17516,12507,15773,28278,134175,140215,274391,8511,7984,16498,19805,21953,41763,5309,5773,11083,3555,4232,7786,823,1020,1845
9,2900,2549,5446,129,112,236,313,272,589,110,113,220,148,130,273,453,290,745,365,332,701,389,379,767,457,442,893,361,309,673,148,142,295,30,34,60,15,10,23,2111,2111,4225,787,435,1225,102,123,217,4,0,9,3,0,6,106,121,228,1503,1437,2939,873,661,1529,1189,1168,2357,1002,954,1959,1954,1867,3824,40,30,66,255,228,484,56,63,121,19,29,42,56,73,122,945,1061,2008,144,133,279,449,376,831,87,62,145,91,61,149,50,59,107
