STE_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
1,1669,3020,7707,8024,9234,10848,7462,2815,443,51219,319,1496,7100,8499,7232,4760,727,80,3,30214,4004,9561,27291,30313,32589,28017,6660,787,53,139282,281,1166,5162,7132,7039,5459,1020,82,4,27348,15479,31044,69578,57679,48497,34988,8865,811,47,266985,1377,3722,12263,15972,15628,12311,3283,537,43,65142,17402,23787,33779,27270,21762,17295,5651,903,68,147923,25911,17921,23257,16182,11526,9336,2965,423,38,107560,2010,7268,23830,27967,30153,28048,8289,885,39,128485,644,2289,9447,12382,9287,5070,1109,172,22,40411,354,5803,24160,31529,22250,10900,2776,491,78,98343,559,2017,6602,7654,6616,4937,2202,562,94,31249,1322,11263,45368,49289,34492,22744,10086,1785,120,176472,1427,5107,13001,12540,11798,9939,3234,403,16,57469,1524,6921,25156,29341,29879,22321,5142,377,21,120689,2893,6990,18748,18965,18256,15924,5911,639,29,88354,1648,8653,29274,26848,24473,21631,8038,1157,59,121779,2104,3165,6194,5363,4380,3393,1292,240,23,26161,3365,6542,14709,13885,13649,11465,3681,585,43,67922,3878,9206,24727,22745,19220,14587,4577,1230,266,100434
2,1468,2773,7236,7300,8283,8935,6045,2320,348,44720,66,312,1429,1905,1825,1383,322,39,5,7271,3294,9591,29959,34377,37243,30260,7106,750,52,152626,191,1016,5375,7058,6004,4747,894,64,8,25360,11004,29481,71531,57399,46652,31486,7575,734,53,255905,1129,3486,10645,13576,14403,11152,3001,402,39,57837,15835,22136,30057,23714,19423,14293,4868,687,46,131062,22177,16785,21011,13555,8782,6708,2106,275,15,91424,1279,7128,25130,26568,23745,21908,6463,575,22,112816,552,2032,7160,9205,6608,3658,810,114,5,30155,211,3639,16632,21570,14722,7335,1989,350,54,66515,274,1423,5371,5774,4776,3482,1503,366,38,23012,791,8021,38904,41984,29133,18342,7806,1437,73,146491,1123,4471,12112,10706,9940,8075,2737,394,21,49570,972,5067,20243,22165,20722,16045,4214,450,27,89912,2227,5622,18363,18436,15503,13159,4692,466,21,78495,1086,6316,24389,22263,19569,16440,5976,770,46,96852,2713,3678,7028,5565,4399,3042,1207,207,9,27833,1933,5386,13218,11863,11628,9661,3204,512,31,57429,2835,8051,22325,19964,17192,12735,3957,1006,216,88279
3,1598,3016,7446,6519,7607,8070,4908,1786,244,41201,439,2065,9475,12706,11476,7247,1203,78,3,44696,4031,8844,20375,22715,23282,17998,3833,428,21,101523,343,1076,3756,5647,5803,4416,732,56,0,21824,9124,19448,45908,42738,37587,26275,6460,586,27,188152,1242,2728,7129,8899,9436,7223,1864,245,13,38779,14587,15771,21496,16285,14122,10580,3493,486,34,96852,23569,12264,15804,10000,7628,5645,1950,316,19,77193,1464,4921,16227,18517,20254,19110,5977,623,17,87115,394,1352,3316,3500,3103,1949,483,74,0,14182,207,1873,6250,7799,6928,3790,1211,226,29,28315,392,1235,3680,4442,4525,3749,1887,476,47,20436,1013,6064,19997,23059,19288,12063,4986,718,21,87211,1330,3704,8511,8099,8174,6363,2017,229,3,38423,738,5285,16936,18925,21137,15448,3079,212,14,81778,1696,4268,10830,12483,12773,10650,3399,371,17,56478,1186,5982,19869,19214,18218,14406,4360,541,19,83803,1933,2615,4307,3594,3269,2328,820,147,20,19040,2778,5463,11274,10001,9188,7504,2391,342,24,48965,3432,6929,15343,14552,13030,9304,2956,808,169,66526
4,727,1437,3576,3898,4504,4573,2761,840,102,22409,60,399,2258,2395,2059,1418,255,17,0,8877,1173,3092,8348,9462,10529,8506,1871,216,12,43202,121,364,1761,1976,2120,1700,302,23,0,8369,2525,6557,15404,12812,11431,9055,2206,226,4,60225,413,946,2433,3001,3436,2795,776,99,5,13898,5626,5921,8014,5959,5041,4075,1376,187,15,36225,6343,4353,5468,3344,2444,1981,588,95,7,24618,389,1717,5503,5749,6027,6177,1794,185,5,27546,108,425,1259,1519,1119,731,175,31,0,5361,72,636,2248,2805,2262,1465,403,94,4,9989,72,330,948,1004,988,1007,451,119,19,4949,236,1884,6816,7549,5791,4077,1855,307,15,28530,410,1408,3438,2869,2923,2655,805,91,9,14609,214,1639,5871,7308,7587,6053,1050,69,0,29786,507,1622,4473,4644,4351,3791,1413,126,3,20930,359,2098,7225,7029,6288,5491,1780,212,4,30478,705,793,1389,1009,860,667,273,52,7,5760,726,1814,3863,3267,3509,2886,1059,142,13,17289,680,1662,3781,3556,3488,2703,911,324,69,17167
5,710,1308,3291,3421,3847,4015,2550,893,129,20161,650,3810,18419,22416,19082,11862,2014,112,4,78375,1831,3773,9658,11602,11643,9102,2232,257,16,50109,180,497,2052,2813,2748,2253,444,21,5,11011,3985,8674,23184,23336,19409,14844,3630,284,21,97352,675,1554,4461,5265,5145,3909,1049,132,10,22205,7437,8503,9945,7522,6347,5028,1964,277,21,47044,10572,6380,7742,5304,3379,2779,950,130,4,37238,842,2661,8726,9972,10002,9635,3189,291,14,45327,247,571,1410,1592,1246,808,257,45,0,6176,63,626,2550,3421,3129,1946,673,140,8,12553,147,488,1515,1789,1923,1591,900,227,22,8607,454,3166,11247,14106,11198,7321,2884,444,31,50852,689,1775,4131,3959,3733,3300,1170,163,10,18921,392,2190,7990,9346,9911,8435,2152,200,8,40629,955,2028,5519,5909,5958,5771,2162,224,10,28528,492,2565,8112,8385,7405,6261,2323,297,10,35843,1314,1482,2230,1801,1445,1171,514,112,6,10065,1451,2789,5746,5184,4714,3956,1432,193,15,25478,1793,3639,8618,8470,7476,5509,1867,420,94,37872
6,304,712,2134,1721,1758,1670,876,287,33,9501,14,112,476,545,542,475,97,5,0,2270,395,903,2663,2480,2655,2302,480,49,6,11938,23,100,664,811,853,666,127,11,0,3250,1138,2334,4997,3727,3358,3025,768,71,3,19416,130,290,864,859,1022,845,225,34,0,4269,1286,1455,2671,1687,1493,1263,481,58,0,10399,1582,1219,2689,1140,763,629,275,42,3,8343,104,381,1667,1485,1752,2025,609,72,4,8104,37,98,325,363,311,238,76,10,0,1465,15,102,438,550,436,324,100,18,0,1980,19,70,220,201,277,259,154,44,12,1256,82,366,1607,1610,1478,1177,561,103,4,6990,91,259,797,640,696,661,200,13,3,3357,58,337,1585,1972,2446,1897,373,31,0,8695,145,391,1331,1585,1618,1442,460,31,0,7000,61,551,2534,2033,1939,1776,583,51,4,9533,262,209,484,402,416,396,162,19,5,2346,232,469,1165,977,921,865,280,45,3,4957,173,397,1008,835,824,711,297,90,28,4367
7,104,259,425,292,298,338,175,35,5,1923,14,105,555,784,810,456,55,8,0,2789,98,143,452,469,443,362,93,10,0,2065,13,40,257,296,300,295,70,8,0,1274,292,600,1954,1895,1524,1163,325,34,0,7790,35,82,265,290,252,237,66,8,0,1234,446,490,1035,643,478,383,179,19,0,3667,660,503,1262,624,411,349,135,12,0,3962,63,220,874,749,799,776,227,24,0,3730,16,41,150,123,110,100,32,6,0,568,3,19,84,113,98,100,36,0,0,455,4,20,107,108,131,114,66,15,4,574,39,178,796,723,527,500,222,19,0,3010,40,133,383,341,344,289,97,11,0,1638,138,1146,2814,2501,2282,1499,376,20,0,10774,76,185,623,687,552,553,184,15,0,2877,62,254,1322,1276,845,667,274,24,6,4732,102,157,402,257,203,162,67,7,0,1357,136,196,593,513,423,396,132,7,0,2402,135,290,721,627,512,385,152,19,4,2846
8,24,37,102,60,59,74,42,24,5,423,0,11,24,31,30,16,4,0,0,120,125,275,779,614,658,372,118,14,0,2961,19,96,345,328,299,209,40,3,0,1333,721,1897,4501,3362,2318,1402,392,46,6,14646,48,162,315,346,290,225,61,9,0,1467,1144,1535,2381,1155,772,549,221,41,3,7799,2046,1755,2414,1101,601,364,106,17,0,8406,71,293,1168,927,798,696,255,26,5,4240,41,155,599,631,508,248,49,8,4,2245,17,138,431,481,361,190,63,14,6,1696,31,126,367,316,264,207,90,27,8,1437,113,1295,4282,4295,3095,1888,673,94,7,15740,87,299,825,784,578,449,149,24,0,3197,434,2233,8189,10469,9243,4898,934,62,3,36465,425,866,1820,1795,1442,993,331,39,3,7708,146,629,2138,1885,1365,915,334,43,4,7459,327,338,463,329,280,199,81,19,0,2056,163,411,846,736,640,386,158,26,0,3363,115,335,940,707,464,262,75,17,3,2912
9,0,0,4,0,4,10,0,0,0,24,0,0,12,16,23,18,9,0,0,83,0,0,3,3,5,11,3,0,0,25,0,0,7,7,3,8,8,0,0,37,13,14,33,29,46,48,18,4,0,204,0,0,3,0,4,3,0,5,0,23,5,6,11,12,10,20,7,3,3,74,12,6,17,18,18,22,5,0,0,97,0,8,20,16,10,17,6,0,0,79,0,0,0,0,3,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,14,0,0,0,4,6,17,4,3,0,31,3,0,9,10,13,20,6,3,0,61,22,42,96,72,60,63,27,4,0,380,0,6,6,8,7,8,5,0,0,29,0,0,6,16,15,12,12,0,0,50,4,3,4,8,11,11,0,0,0,33,0,0,4,10,6,6,8,3,0,44,3,5,14,12,9,15,12,3,0,73
