STE_CODE_2021,AG_15_19_Nbr_ch_ev_brn_No,AG_15_19_Nbr_ch_ev_brn_1,AG_15_19_Nbr_ch_ev_brn_2,AG_15_19_Nbr_ch_ev_brn_3,AG_15_19_Nbr_ch_ev_brn_4,AG_15_19_Nbr_ch_ev_brn_5,AG_15_19_Nbr_ch_ev_brn_6m,AG_15_19_Nbr_ch_ev_brn_Ns,AG_15_19_Tot,AG_20_24_Nbr_ch_ev_brn_No,AG_20_24_Nbr_ch_ev_brn_1,AG_20_24_Nbr_ch_ev_brn_2,AG_20_24_Nbr_ch_ev_brn_3,AG_20_24_Nbr_ch_ev_brn_4,AG_20_24_Nbr_ch_ev_brn_5,AG_20_24_Nbr_ch_ev_brn_6m,AG_20_24_Nbr_ch_ev_brn_Ns,AG_20_24_Tot,AG_25_29_Nbr_ch_ev_brn_No,AG_25_29_Nbr_ch_ev_brn_1,AG_25_29_Nbr_ch_ev_brn_2,AG_25_29_Nbr_ch_ev_brn_3,AG_25_29_Nbr_ch_ev_brn_4,AG_25_29_Nbr_ch_ev_brn_5,AG_25_29_Nbr_ch_ev_brn_6m,AG_25_29_Nbr_ch_ev_brn_Ns,AG_25_29_Tot,AG_30_34_Nbr_ch_ev_brn_No,AG_30_34_Nbr_ch_ev_brn_1,AG_30_34_Nbr_ch_ev_brn_2,AG_30_34_Nbr_ch_ev_brn_3,AG_30_34_Nbr_ch_ev_brn_4,AG_30_34_Nbr_ch_ev_brn_5,AG_30_34_Nbr_ch_ev_brn_6m,AG_30_34_Nbr_ch_ev_brn_Ns,AG_30_34_Tot,AG_35_39_Nbr_ch_ev_brn_No,AG_35_39_Nbr_ch_ev_brn_1,AG_35_39_Nbr_ch_ev_brn_2,AG_35_39_Nbr_ch_ev_brn_3,AG_35_39_Nbr_ch_ev_brn_4,AG_35_39_Nbr_ch_ev_brn_5,AG_35_39_Nbr_ch_ev_brn_6m,AG_35_39_Nbr_ch_ev_brn_Ns,AG_35_39_Tot,AG_40_44_Nbr_ch_ev_brn_No,AG_40_44_Nbr_ch_ev_brn_1,AG_40_44_Nbr_ch_ev_brn_2,AG_40_44_Nbr_ch_ev_brn_3,AG_40_44_Nbr_ch_ev_brn_4,AG_40_44_Nbr_ch_ev_brn_5,AG_40_44_Nbr_ch_ev_brn_6m,AG_40_44_Nbr_ch_ev_brn_Ns,AG_40_44_Tot,AG_45_49_Nbr_ch_ev_brn_No,AG_45_49_Nbr_ch_ev_brn_1,AG_45_49_Nbr_ch_ev_brn_2,AG_45_49_Nbr_ch_ev_brn_3,AG_45_49_Nbr_ch_ev_brn_4,AG_45_49_Nbr_ch_ev_brn_5,AG_45_49_Nbr_ch_ev_brn_6m,AG_45_49_Nbr_ch_ev_brn_Ns,AG_45_49_Tot,AG_50_54_Nbr_ch_ev_brn_No,AG_50_54_Nbr_ch_ev_brn_1,AG_50_54_Nbr_ch_ev_brn_2,AG_50_54_Nbr_ch_ev_brn_3,AG_50_54_Nbr_ch_ev_brn_4,AG_50_54_Nbr_ch_ev_brn_5,AG_50_54_Nbr_ch_ev_brn_6m,AG_50_54_Nbr_ch_ev_brn_Ns,AG_50_54_Tot,AG_55_59_Nbr_ch_ev_brn_No,AG_55_59_Nbr_ch_ev_brn_1,AG_55_59_Nbr_ch_ev_brn_2,AG_55_59_Nbr_ch_ev_brn_3,AG_55_59_Nbr_ch_ev_brn_4,AG_55_59_Nbr_ch_ev_brn_5,AG_55_59_Nbr_ch_ev_brn_6m,AG_55_59_Nbr_ch_ev_brn_Ns,AG_55_59_Tot,AG_60_64_Nbr_ch_ev_brn_No,AG_60_64_Nbr_ch_ev_brn_1,AG_60_64_Nbr_ch_ev_brn_2,AG_60_64_Nbr_ch_ev_brn_3,AG_60_64_Nbr_ch_ev_brn_4,AG_60_64_Nbr_ch_ev_brn_5,AG_60_64_Nbr_ch_ev_brn_6m,AG_60_64_Nbr_ch_ev_brn_Ns,AG_60_64_Tot,AG_65_69_Nbr_ch_ev_brn_No,AG_65_69_Nbr_ch_ev_brn_1,AG_65_69_Nbr_ch_ev_brn_2,AG_65_69_Nbr_ch_ev_brn_3,AG_65_69_Nbr_ch_ev_brn_4,AG_65_69_Nbr_ch_ev_brn_5,AG_65_69_Nbr_ch_ev_brn_6m,AG_65_69_Nbr_ch_ev_brn_Ns,AG_65_69_Tot,AG_70_74_Nbr_ch_ev_brn_No,AG_70_74_Nbr_ch_ev_brn_1,AG_70_74_Nbr_ch_ev_brn_2,AG_70_74_Nbr_ch_ev_brn_3,AG_70_74_Nbr_ch_ev_brn_4,AG_70_74_Nbr_ch_ev_brn_5,AG_70_74_Nbr_ch_ev_brn_6m,AG_70_74_Nbr_ch_ev_brn_Ns,AG_70_74_Tot,AG_75_79_Nbr_ch_ev_brn_No,AG_75_79_Nbr_ch_ev_brn_1,AG_75_79_Nbr_ch_ev_brn_2,AG_75_79_Nbr_ch_ev_brn_3,AG_75_79_Nbr_ch_ev_brn_4,AG_75_79_Nbr_ch_ev_brn_5,AG_75_79_Nbr_ch_ev_brn_6m,AG_75_79_Nbr_ch_ev_brn_Ns,AG_75_79_Tot,AG_80_84_Nbr_ch_ev_brn_No,AG_80_84_Nbr_ch_ev_brn_1,AG_80_84_Nbr_ch_ev_brn_2,AG_80_84_Nbr_ch_ev_brn_3,AG_80_84_Nbr_ch_ev_brn_4,AG_80_84_Nbr_ch_ev_brn_5,AG_80_84_Nbr_ch_ev_brn_6m,AG_80_84_Nbr_ch_ev_brn_Ns,AG_80_84_Tot,AG_85_over_Nbr_ch_ev_brn_No,AG_85_over_Nbr_ch_ev_brn_1,AG_85_over_Nbr_ch_ev_brn_2,AG_85_over_Nbr_ch_ev_brn_3,AG_85_over_Nbr_ch_ev_brn_4,AG_85_over_Nbr_ch_ev_brn_5,AG_85_over_Nbr_ch_ev_brn_6m,AG_85_over_Nbr_ch_ev_brn_Ns,AG_85_over_Tot,Tot_Num_child_evr_brn_No,Tot_Num_child_evr_brn_1,Tot_Num_child_evr_brn_2,Tot_Num_child_evr_brn_3,Tot_Num_child_evr_brn_4,Tot_Num_child_evr_brn_5,Tot_Num_child_evr_brn_6m,Tot_Num_child_evr_brn_Ns,Tot_Tot
1,201010,1091,159,20,8,7,27,19194,221518,203627,11598,4454,924,179,25,60,20059,240932,190457,33888,21674,7266,1957,484,220,21416,277374,128936,62066,58628,21632,6552,1759,933,19100,299605,69472,56216,95474,38496,12034,3542,2171,16988,294386,44694,40728,96210,45026,15053,4629,3162,14285,263790,40281,37477,96742,49250,16960,5234,3515,13555,263009,38121,36044,93272,49795,17432,5429,3476,12449,256019,35175,34120,89723,50401,18105,5520,3555,12419,249019,31693,32013,84555,52082,20027,5981,3585,11957,241886,25133,26681,74342,48288,19054,5576,3485,11731,214301,19170,19280,68302,44528,18020,5436,3463,12271,190463,12364,11522,46373,33766,15153,5032,3599,11706,139529,7472,6868,27729,23971,13056,5211,4538,11162,100014,7923,8169,25473,22936,14449,6827,7253,19600,112626,1055535,417772,883113,488388,188048,60689,43052,227892,3364483
2,160949,590,66,6,3,4,31,15081,176735,173661,6939,2470,450,63,17,48,15805,199449,170682,25909,14793,4611,1154,271,143,17592,235153,117325,54790,47498,15067,4003,1151,573,15228,255647,62678,48762,82959,29199,8097,2298,1456,13380,248826,39699,34317,81657,34242,10053,2993,2125,10709,215783,35562,31413,79655,38022,11594,3575,2609,10179,212622,32861,29103,79715,40084,12706,3612,2588,9759,210424,28464,25477,72537,40374,13483,3729,2457,9074,195599,24420,22742,66691,41019,14836,3961,2502,8657,184830,18717,18942,58918,37536,14081,3945,2347,8419,162899,13590,13608,53126,35798,14022,4134,2528,8905,145715,8216,7978,35294,26700,12114,4074,2973,8061,105408,5109,4947,21191,19198,10639,4330,3820,7634,76871,5558,6280,20481,18958,12031,5639,6227,12015,87185,897494,331793,717058,381281,138883,43726,32428,170494,2713153
3,138234,1239,133,15,4,5,28,13405,153060,130801,10497,4239,939,175,42,53,14480,161218,110509,24575,17365,6135,1830,481,221,14990,176119,70123,36542,39673,15513,5272,1637,937,12811,182517,40061,32557,60310,26110,8759,2939,2141,11602,184482,27509,25362,60619,29447,10683,3591,2878,9808,169905,26174,24804,62379,32353,11850,3997,3241,9881,174675,25156,23042,61455,33003,12242,4100,3110,9474,171582,22668,20388,57554,33788,13036,4199,2816,9376,163813,19352,17602,54359,35660,14193,4172,2603,8883,156831,15201,14537,49262,32998,13649,4042,2363,8421,140465,11659,11364,44752,30934,13031,3974,2381,8540,126643,7521,7013,28122,22247,10578,3769,2582,7538,89369,4415,3683,14442,14095,8495,3652,2886,6392,58068,4128,4099,12046,12260,8537,4415,4426,9748,59652,653500,257305,566710,325498,132341,45020,32667,155359,2168392
4,44013,266,27,5,0,0,8,3662,47975,45520,2557,1013,180,33,6,13,3518,52836,39105,8017,5073,1592,398,100,35,3412,57740,23964,12926,13165,4717,1294,388,225,2978,59661,13185,11347,21091,8332,2490,780,526,2680,60438,8729,8523,20754,9413,2872,946,719,2311,54258,8373,8141,21426,9968,3181,1044,779,2465,55386,8820,8144,22189,11074,3469,1006,809,2412,57926,8785,7559,22153,11280,3838,1149,768,2387,57921,7934,7036,22138,11917,4135,1185,701,2477,57524,6363,6012,20669,11302,3945,1021,592,2386,52284,4704,4802,19564,11267,3802,1013,577,2654,48391,2830,2661,12846,9123,3470,1066,654,2442,35100,1637,1594,7200,6746,3577,1249,892,2265,25157,1738,2085,6985,7003,4324,2057,1716,3130,29029,225699,91669,216287,113923,40829,13017,9014,41179,751624
5,67667,469,35,10,4,0,19,6333,74526,64745,4348,1616,356,43,5,23,6485,77610,56785,12319,8217,2680,698,174,63,7068,88009,38905,21258,22319,7998,2372,666,340,6613,100461,21847,18485,34989,14115,4198,1234,758,5892,101511,14305,13332,34006,15675,4975,1483,1062,4686,89519,12695,12168,33548,16448,5264,1663,1166,4679,87629,12218,11719,33203,16734,5610,1774,1237,4551,87047,10813,9837,30661,17483,6195,1763,1179,4319,82236,8758,8352,28722,18130,6683,1883,1050,3890,77478,6821,6910,25842,16752,6261,1696,1014,3734,69035,4701,5189,22552,14722,5771,1584,913,3678,59106,2809,2920,13624,10698,4666,1433,898,3257,40307,1698,1698,7494,7755,4454,1623,1093,3000,28821,1632,1744,6384,7028,4865,2261,1971,4570,30451,326402,130740,303199,166580,62051,19248,12788,72747,1093753
6,13071,120,9,0,0,0,6,1293,14499,12301,1200,446,100,11,0,5,1176,15236,12258,2875,1934,646,164,50,19,1267,19215,7623,4131,4002,1584,520,154,71,1071,19155,3975,3084,5734,2683,922,303,189,940,17827,2756,2445,5791,2766,1038,364,271,784,16216,2852,2411,6058,3164,1145,439,284,779,17135,3002,2581,6598,3554,1277,422,273,917,18629,2891,2371,6756,3768,1414,487,298,918,18897,2806,2147,6721,4305,1648,529,304,1004,19466,2219,1870,6137,3951,1618,460,245,988,17490,1696,1435,5468,3861,1512,495,226,1131,15817,1029,831,3461,2863,1338,473,282,997,11272,581,493,1843,1955,1178,541,388,821,7797,581,510,1617,1758,1232,622,588,974,7880,69626,28514,62567,36958,15028,5342,3436,15053,236522
7,5443,191,16,0,0,3,0,1358,7018,5351,942,296,66,17,0,3,1350,8025,6638,1571,1111,436,117,22,17,1680,11588,4714,2269,2079,949,329,128,53,1495,12022,2498,1731,2781,1350,570,205,137,1296,10567,1577,1203,2465,1351,614,249,191,1128,8783,1406,1047,2182,1309,614,224,216,1043,8051,1280,1017,2386,1500,673,279,200,1139,8475,1183,813,2183,1491,651,229,186,1096,7827,831,729,2266,1617,724,253,186,1051,7657,604,526,1849,1388,603,220,134,903,6227,361,343,1271,925,449,168,133,582,4246,184,132,537,442,236,87,102,270,1992,91,67,236,231,143,83,100,164,1113,62,42,114,120,93,69,87,124,705,32225,12632,21775,13168,5830,2229,1750,14686,104294
8,11958,41,3,3,0,0,0,1040,13041,15275,440,138,15,7,0,0,1406,17284,15094,1971,903,254,66,16,3,1189,19504,9525,4289,3476,921,236,62,35,930,19471,4991,3862,6533,2088,500,115,74,739,18896,3163,2632,6318,2488,611,174,100,543,16029,2569,2242,5905,2518,733,193,115,494,14764,2314,2017,5280,2386,735,176,114,436,13464,2003,1686,4596,2401,796,199,105,370,12148,1584,1518,4085,2351,818,207,124,351,11043,1144,1181,3612,2212,826,220,96,368,9669,944,983,3395,2168,830,208,133,337,8990,538,557,2225,1560,660,230,129,306,6212,288,321,1194,1160,608,221,162,286,4239,291,315,1067,1000,663,278,294,435,4337,71678,24056,48737,23532,8085,2290,1488,9235,189109
9,89,0,0,0,0,0,0,20,109,85,13,0,0,0,0,0,30,123,85,16,11,6,0,0,0,27,140,53,14,21,27,3,0,0,42,158,43,22,56,29,10,0,0,27,187,20,13,37,31,6,3,0,33,147,33,25,49,30,6,0,6,26,169,36,20,58,22,16,4,3,43,210,35,18,64,35,11,6,3,34,209,26,22,66,46,20,0,4,44,232,33,16,51,32,20,3,4,28,183,14,15,30,23,8,4,5,24,123,10,3,18,15,9,7,4,16,90,5,3,15,8,6,11,0,13,60,3,3,3,11,0,8,5,7,34,568,194,482,305,125,40,35,406,2156
