STE_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
1,963,1075,889,1160,485,208,549,27507,12,20,721,1040,1120,10346,14076,10748,4696,3384,2302,4840,1053,102,886,55347,101,527,2078,2217,3543,2724,5600,4971,682,898,1089,1331,541,110,527,26926,1561,13561,15093,3761,1432,1149,2018,3389,619,620,590,730,247,54,2332,47168,36,139,170,536,1666,2849,3967,2068,507,523,629,797,388,228,380,14879,9,3,64,2082,7687,9873,17646,7482,1570,1399,1472,1664,659,166,1247,53020,240,1454,8232,14716,11857,8610,8273,3645,768,857,773,876,456,214,2308,63272,82,346,1833,4083,8249,3974,7063,4409,1774,2121,2016,1870,654,165,969,39603,0,0,4,17,100,1362,13377,9686,4331,8289,13113,10747,2592,142,1140,64913,839,6076,1874,1067,1058,885,1446,833,232,209,254,297,124,46,486,15733,589,1303,6489,15330,20957,22299,23731,12467,2130,2074,2201,2281,1147,1022,4300,118317,32,373,5316,5085,2231,1750,1134,438,111,104,71,90,29,17,520,17311,11,25,108,442,1719,3256,6933,9199,2352,2478,2612,2528,1260,419,547,33892
2,1112,1095,1011,1109,376,308,325,21903,0,4,72,174,360,4978,6778,4913,2606,2005,975,2152,587,70,396,26069,107,695,1689,1591,2416,1136,3436,3108,445,489,628,856,322,76,347,17347,2177,23487,23194,4088,1393,1001,1692,2737,513,436,443,439,155,33,2753,64546,28,83,96,272,659,1491,2913,1401,348,365,436,542,290,109,228,9262,4,4,20,189,863,1541,6514,3179,634,648,631,634,269,59,247,15437,37,236,1873,4542,3269,2318,2900,1405,312,312,293,296,142,91,641,18677,44,254,1498,4017,9942,5491,14300,9812,3707,3985,3808,3130,1161,197,1145,62511,0,0,4,11,45,407,4683,3562,1376,2335,3236,3251,867,55,323,20147,649,9346,2008,1075,1206,690,1215,606,158,163,168,180,65,27,511,18068,289,677,3125,8477,13260,14915,24016,17118,2832,2772,2991,3045,1228,1214,2926,98892,66,482,4669,5463,3026,2080,1497,674,133,128,133,109,34,27,489,19011,8,24,68,201,695,1555,6628,10100,2087,2519,2555,2431,1097,471,487,30937
3,350,370,361,422,156,97,143,8035,0,10,33,32,48,422,970,776,467,275,650,1236,238,30,151,5338,117,398,983,1203,1770,1039,3314,2455,205,213,236,300,149,54,298,12720,697,3991,2824,792,367,413,959,1399,242,268,239,384,171,27,679,13466,15,106,71,187,1041,2633,4370,1926,377,450,498,716,397,112,346,13243,0,0,9,137,853,1957,7649,4026,831,858,984,1321,481,81,459,19656,27,60,253,329,256,166,256,123,31,32,25,36,24,7,57,1684,27,232,1222,1670,2616,1640,3754,2183,610,577,653,614,390,93,423,16714,0,0,3,8,32,146,2221,2258,782,1235,1808,1679,410,33,185,10806,613,5484,1722,1150,1364,815,1370,577,122,122,127,167,80,33,409,14152,313,913,6380,21902,36791,35895,53914,27406,3684,3381,3885,3976,1796,1690,6679,208613,5,23,187,237,208,198,126,63,14,29,6,17,4,0,27,1146,3,15,42,71,174,386,1579,2049,442,418,411,450,227,75,98,6443
4,241,252,231,382,104,53,82,5218,0,0,9,3,4,346,630,364,55,70,29,60,16,14,39,1633,32,199,602,471,478,208,544,459,35,44,45,43,21,5,101,3292,667,7170,5415,975,307,214,357,454,98,73,98,95,41,7,645,16616,3,40,21,28,96,258,543,252,53,53,48,122,65,14,34,1628,0,0,7,36,230,284,1618,783,161,155,197,194,98,4,82,3847,21,62,178,384,289,197,305,129,42,40,44,34,34,6,62,1824,14,51,383,685,1154,709,2044,1430,503,577,571,523,269,39,118,9079,0,0,0,4,11,32,1321,1580,710,1061,1024,1035,317,32,118,7251,185,3298,948,388,250,145,374,147,31,38,11,46,19,8,179,6060,82,144,829,2225,2967,2051,2441,1272,189,187,195,169,122,124,478,13463,17,45,86,82,38,46,29,16,0,0,0,5,4,0,5,373,5,0,14,26,25,174,879,1896,372,529,580,673,310,86,101,5667
5,229,198,229,293,92,50,105,6431,0,9,30,10,38,967,1189,790,134,111,120,82,30,14,100,3631,62,274,1073,1227,3007,1168,4112,5205,263,235,320,493,291,113,272,18131,882,6079,4661,1155,507,410,933,1783,267,189,190,271,140,24,699,18191,7,33,26,96,327,824,1499,683,142,169,240,308,159,88,117,4728,0,3,4,123,379,489,2528,1585,254,246,228,325,87,23,147,6427,3,16,100,217,281,163,202,104,32,15,19,20,17,3,63,1252,73,241,1127,2534,7040,3284,7917,4556,1063,1049,1112,981,572,70,640,32275,0,0,0,0,15,56,1072,925,360,415,632,646,250,18,76,4457,344,3538,870,620,876,511,992,483,75,78,84,119,66,14,229,8903,88,252,2321,7261,13483,10989,18959,14028,1087,1065,1147,1369,648,606,2489,75794,48,170,552,681,673,540,370,158,41,24,25,34,16,8,100,3436,16,20,70,107,171,342,1539,2383,467,540,558,766,425,75,125,7603
6,80,74,15,44,24,0,6,559,0,0,0,0,0,10,18,41,15,13,3,14,4,0,5,119,10,40,111,135,147,57,104,73,9,10,5,21,3,0,24,755,33,333,201,50,20,25,45,55,20,11,8,14,12,0,40,869,0,6,3,23,32,72,133,87,21,12,15,30,11,3,11,454,0,0,4,17,104,66,190,154,41,50,48,45,20,0,29,768,0,5,15,29,11,5,9,10,12,3,0,9,4,0,3,112,4,39,96,97,116,88,264,296,123,105,88,79,41,0,22,1458,0,0,0,0,0,15,562,2066,983,1149,799,442,86,13,116,6236,121,973,268,163,178,99,117,34,8,8,10,12,5,0,66,2071,38,77,430,1035,1239,930,856,347,60,47,52,67,50,34,224,5486,0,3,9,6,3,3,0,0,0,0,0,0,0,0,0,27,0,0,4,0,4,3,107,691,113,104,156,182,65,7,29,1480
7,3,0,7,11,0,0,6,114,0,0,0,0,0,12,18,9,0,0,0,0,0,0,0,35,0,12,54,49,71,45,205,236,30,20,30,61,26,6,19,860,11,93,112,53,9,21,44,92,11,23,20,40,9,3,29,569,0,0,3,5,11,28,58,58,8,10,4,19,3,5,4,221,0,0,0,6,22,31,132,96,30,24,12,17,0,3,10,384,0,0,0,5,0,3,13,14,0,0,4,0,0,5,0,60,4,18,63,111,153,68,119,96,42,39,27,39,16,5,16,816,0,0,0,0,3,8,376,747,488,519,419,297,83,4,49,2996,12,161,78,30,44,27,43,30,8,12,7,15,9,4,23,507,8,28,201,740,796,632,761,665,80,74,103,108,49,50,179,4458,0,0,5,4,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,5,24,11,108,258,43,58,62,81,32,6,9,700
8,38,49,50,72,45,5,15,1115,0,0,6,3,19,81,239,160,105,35,41,34,8,3,9,742,11,47,92,95,154,93,158,181,13,10,9,22,7,0,10,898,42,552,596,201,79,62,87,145,11,20,21,22,13,0,56,1903,0,16,14,45,77,135,282,145,27,20,22,16,21,12,14,844,0,0,5,53,184,278,905,637,87,89,87,93,55,13,77,2552,6,3,38,57,120,57,87,32,11,13,16,5,4,0,17,464,11,40,224,343,557,246,466,375,113,112,95,100,67,27,63,2841,0,0,0,3,17,36,559,1322,733,1310,1028,483,90,7,111,5699,35,408,132,73,74,46,84,61,10,8,10,14,10,3,15,990,34,88,354,689,876,887,949,622,87,79,100,72,61,55,139,5095,3,3,85,83,110,72,68,28,8,5,5,5,5,0,8,476,0,0,9,20,61,226,806,927,179,175,189,140,86,39,50,2907
9,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8,85,125,20,38,19,8,4,4,0,0,0,22,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,6,9,36,59,54,52,40,26,11,9,9,8,4,5,66,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,8,6
