STE_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
1,47011,44415,91426,47737,45433,93162,48349,45154,93502,48153,45373,93526,49153,46808,95959,240397,227178,467573,50857,48160,99017,50620,47671,98293,51086,48661,99754,52231,49012,101245,52301,49526,101824,257099,243025,500133,51628,48664,100290,51955,49391,101339,51361,48642,99999,51135,48720,99849,51145,48046,99191,257221,243457,500676,49238,46383,95624,48056,44811,92869,46805,43786,90590,46193,43434,89624,45794,43106,88903,236093,221518,457609,48766,45254,94022,51004,47623,98630,50861,47993,98852,51222,49117,100338,52887,50952,103839,254746,240932,495681,53770,52381,106153,55405,54557,109964,55680,55581,111260,56364,56711,113076,56574,58135,114711,277792,277374,555163,57580,60135,117727,58141,60438,118582,57489,59898,117385,56207,59507,115719,56212,59626,115836,285640,299605,585247,57275,59297,116569,57230,59343,116575,56912,59157,116072,57394,59302,116691,56059,57291,113357,284880,294386,579261,55343,56138,111485,52796,53123,105923,51295,52602,103905,49640,51228,100870,49367,50698,100062,258449,263790,522240,49181,50648,99833,49467,50920,100386,50245,52266,102507,51159,53557,104714,53037,55624,108668,253089,263009,516102,53441,56459,109894,49051,51464,100522,48523,51235,99762,46274,49012,95289,45937,47849,93780,243224,256019,499242,46132,47451
2,37180,35779,72960,38138,36015,74151,38147,36590,74743,39098,36735,75838,39789,37727,77515,192353,182851,375200,41437,39018,80453,40916,38863,79783,41271,38840,80112,41717,39375,81090,40975,38934,79906,206315,195026,401342,40008,37810,77816,40421,38790,79203,40123,37680,77803,40136,37761,77891,40253,37827,78079,200932,189863,390796,38547,36575,75122,37290,34968,72265,37024,34937,71958,36755,34859,71618,37038,35397,72433,186652,176735,363390,39868,37367,77228,41346,39540,80879,41699,39560,81260,42686,40388,83072,45041,42599,87644,210634,199449,410085,47003,44216,91214,48458,46273,94731,48287,47114,95404,47749,48326,96076,47380,49232,96612,238880,235153,474035,48635,50774,99402,48767,51902,100675,48315,51135,99447,48317,51317,99632,48632,50516,99152,242663,255647,498313,48613,51079,99691,48486,50979,99467,47839,49512,97356,48117,49394,97512,46464,47860,94322,239522,248826,488352,45443,46282,91724,43118,43917,87026,41968,42810,84776,40968,41612,82578,40109,41167,81272,211600,215783,427384,40001,40758,80756,40007,41787,81794,40118,42585,82696,40571,42643,83222,41885,44846,86729,202581,212622,415198,42605,46233,88838,40288,42590,82872,39942,42477,82414,38413,40312,78729,36849,38812,75657,198089,210424,408515,36643,38765
3,28812,27220,56025,29874,28074,57947,30343,28346,58690,30543,28896,59442,31530,29499,61030,151098,142031,293126,32801,31453,64256,33334,31352,64689,34037,32280,66319,34574,32520,67100,34548,33027,67574,169297,160630,329928,34532,33131,67665,35230,33718,68945,35588,33536,69122,35705,33341,69047,35523,32751,68276,176580,166475,343058,34180,32128,66311,33053,30951,64001,31748,30297,62053,30496,29503,60003,31017,30176,61192,160495,153060,313557,32158,31472,63626,32508,31801,64315,32136,32027,64169,32782,32677,65455,33054,33244,66296,162638,161218,323860,33979,33862,67840,34528,35018,69541,34666,35065,69730,34645,35570,70217,34330,36613,70938,172144,176119,348265,34965,37029,71997,35208,36840,72050,34123,36437,70563,33957,36111,70067,33930,36096,70019,172183,182517,354702,34639,36894,71533,34454,37103,71563,34364,36857,71222,35204,37755,72965,34483,35866,70355,173145,184482,357628,34146,35595,69737,32434,34262,66692,32081,33763,65840,31193,33062,64262,31373,33220,64597,161224,169905,331126,31760,33462,65219,32066,33923,65988,33187,34477,67664,34087,35909,69996,34868,36903,71768,165967,174675,340637,35766,37628,73391,33110,34968,68075,32257,34174,66432,30966,32600,63567,30724,32220,62946,162831,171582,334414,29959,31645
4,9453,8975,18423,9475,9046,18526,9556,9150,18705,9881,9222,19107,9960,9474,19427,48325,45870,94191,10443,9974,20413,10416,9846,20260,10705,10054,20759,10770,10179,20949,10950,10327,21277,53283,50379,103661,10610,10092,20699,11000,10119,21122,10778,10261,21037,10744,10417,21153,10726,10309,21037,53855,51198,105050,10570,9790,20360,10112,9616,19733,10279,9541,19824,9941,9447,19391,10133,9574,19708,51038,47975,99013,10558,10069,20630,11192,10407,21597,11178,10549,21734,11298,10711,22008,11619,11099,22716,55843,52836,108673,12002,11266,23267,12247,11539,23787,11579,11512,23097,11774,11664,23435,11491,11751,23246,59091,57740,116831,11781,11868,23649,11679,11958,23639,11741,11769,23517,11550,11996,23548,11476,12062,23539,58236,59661,117889,11671,12294,23966,11825,12164,23987,11819,12265,24087,11785,12012,23792,11272,11702,22976,58369,60438,118805,11196,11448,22647,10715,10905,21619,10570,10657,21237,10251,10540,20794,10465,10700,21169,53200,54258,107464,10409,10510,20921,10611,10663,21275,10670,10934,21599,10956,11304,22257,11501,11976,23480,54143,55386,109536,11954,12222,24181,11377,11701,23077,11351,11599,22945,11109,11338,22451,10683,11071,21753,56476,57926,114407,10796,11230
5,15836,14997,30838,16340,15496,31836,16659,15639,32303,16958,15994,32949,17497,16408,33898,83289,78544,161834,18041,16876,34923,17756,16624,34382,17621,16935,34558,17829,16930,34757,17590,16917,34513,88842,84295,173131,17790,16872,34660,17754,16873,34630,17547,16315,33867,17662,16813,34480,17602,16531,34125,88352,83406,171758,16752,15970,32725,16081,15037,31117,15816,14719,30534,14990,14501,29487,14976,14304,29277,78612,74526,153141,15717,14746,30463,15996,15381,31375,16390,15600,31994,16326,15679,32008,16599,16203,32805,81024,77610,158633,17273,16508,33785,17818,17299,35119,17735,17776,35509,17449,18161,35606,18033,18269,36299,88313,88009,176318,18693,19520,38217,19110,19846,38957,19172,20271,39447,19498,20287,39784,19734,20536,40271,96210,100461,196675,20210,20711,40920,20113,20647,40765,20072,20426,40499,20139,20240,40381,19554,19490,39041,100094,101511,201607,19298,19200,38500,18273,18187,36456,17786,17945,35733,17475,17150,34630,17088,17032,34123,89922,89519,179445,17279,17071,34355,17040,17365,34404,17148,17237,34386,17668,17453,35117,18495,18504,37001,87632,87629,175265,18943,18897,37835,17685,17546,35225,17579,17575,35156,16801,16759,33561,16366,16266,32634,87373,87047,174412,16248,16268
6,2821,2671,5498,2880,2760,5645,2931,2724,5655,2906,2720,5627,2975,2875,5849,14519,13758,28276,3194,2949,6138,3110,2975,6089,3169,3103,6278,3215,3120,6334,3170,3091,6256,15861,15239,31096,3386,3162,6549,3327,3079,6407,3473,3343,6808,3435,3230,6662,3467,3251,6720,17085,16069,33154,3352,3129,6475,3239,3012,6247,3042,2878,5925,2929,2781,5715,2913,2694,5606,15470,14499,29971,3008,2861,5865,3126,2867,5991,3093,3130,6216,3170,3060,6229,3365,3317,6684,15758,15236,30988,3557,3566,7120,4024,3781,7801,4088,3927,8013,3986,3951,7944,3940,3991,7926,19594,19215,38804,3957,4050,8008,3905,3963,7866,3784,3790,7579,3576,3742,7320,3561,3606,7167,18789,19155,37947,3525,3645,7168,3432,3700,7127,3340,3595,6934,3279,3403,6676,3290,3500,6785,16863,17827,34697,3082,3442,6527,2971,3241,6214,3050,3222,6272,2946,3199,6150,2899,3101,6001,14948,16216,31160,3076,3215,6288,3053,3263,6320,3206,3342,6553,3223,3575,6793,3472,3739,7209,16026,17135,33161,3614,3976,7589,3457,3702,7159,3499,3726,7225,3373,3609,6979,3207,3625,6827,17140,18629,35776,3149,3475
7,1612,1540,3146,1815,1614,3429,1708,1631,3340,1773,1579,3345,1824,1683,3509,8724,8046,16771,1757,1740,3501,1879,1704,3583,1810,1662,3472,1729,1735,3463,1771,1757,3531,8949,8605,17548,1786,1663,3449,1776,1608,3391,1655,1572,3228,1637,1505,3140,1588,1472,3059,8448,7819,16264,1501,1459,2961,1480,1380,2855,1470,1316,2784,1487,1427,2909,1476,1441,2917,7411,7018,14425,1661,1441,3103,1606,1452,3048,1755,1584,3338,1888,1713,3599,1905,1847,3751,8809,8025,16840,2137,2140,4274,2202,2260,4463,2213,2306,4516,2260,2455,4717,2286,2425,4714,11091,11588,22681,2441,2575,5013,2416,2454,4869,2297,2354,4645,2192,2345,4534,2179,2293,4470,11516,12022,23531,2273,2240,4521,2015,2270,4283,2122,2117,4241,2041,2011,4054,1905,1925,3824,10351,10567,20920,2059,2002,4061,1755,1783,3535,1842,1748,3587,1603,1717,3327,1680,1536,3215,8941,8783,17721,1694,1650,3339,1623,1499,3124,1632,1627,3255,1702,1640,3341,1733,1638,3370,8380,8051,16425,1897,1843,3744,1786,1722,3513,1684,1653,3336,1542,1659,3202,1613,1594,3204,8519,8475,16995,1661,1590
8,2714,2388,5103,2706,2616,5324,2715,2569,5284,2683,2563,5255,2918,2726,5642,13734,12875,26603,2990,2801,5787,3048,2820,5867,3023,2812,5840,2962,2901,5865,2888,2754,5640,14911,14088,28998,2888,2718,5609,2937,2756,5694,2772,2572,5342,2667,2520,5187,2699,2485,5176,13958,13044,27005,2655,2418,5079,2456,2282,4741,2410,2300,4709,2900,2888,5794,3015,3148,6162,13445,13041,26482,3240,3166,6402,3424,3350,6773,3490,3433,6921,3528,3623,7148,3540,3713,7257,17225,17284,34507,3711,3655,7361,3976,3850,7828,4015,3969,7984,4063,4029,8090,3955,4006,7960,19716,19504,39221,3914,4002,7918,3937,3957,7895,3732,3886,7620,3637,3818,7452,3710,3803,7520,18929,19471,38400,3738,3804,7537,3638,3914,7556,3662,3821,7479,3655,3659,7312,3590,3703,7295,18276,18896,37177,3523,3519,7043,3168,3407,6576,3217,3189,6407,3073,2920,5996,2975,2990,5972,15956,16029,31995,2877,2820,5704,2973,2979,5952,2866,2911,5783,2860,3030,5889,2938,3017,5958,14523,14764,29285,3001,2991,5994,2743,2795,5538,2600,2735,5334,2548,2522,5073,2403,2425,4826,13302,13464,26770,2325,2526
9,24,23,39,25,18,42,23,24,53,26,27,53,24,26,48,129,112,236,21,34,57,21,30,54,37,31,67,27,15,45,38,31,64,151,141,292,39,21,62,24,32,52,48,19,62,24,31,59,30,26,53,164,130,297,27,22,49,23,21,44,16,23,39,21,23,46,23,19,39,110,109,220,17,26,47,28,12,38,22,25,45,38,35,71,44,28,70,149,123,272,45,26,67,43,21,62,54,24,78,43,29,71,44,37,81,217,140,357,44,20,66,38,28,69,31,44,72,66,30,95,51,31,84,228,158,384,37,32,72,35,31,65,41,47,88,52,31,84,29,40,74,198,187,381,36,34,70,39,25,68,38,36,70,29,36,58,29,21,51,169,147,320,31,22,58,25,31,60,42,34,80,44,30,75,38,43,84,178,169,354,48,42,88,38,44,82,38,43,81,33,36,70,45,44,85,208,210,413,47,41
