STE_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1,121689,81781,95373,87758,80011,70939,53577,36163,23014,650297,1468380,953290,1140407,1101501,1015343,957714,782358,449936,183604,8052530
2,89870,60886,74723,66786,61345,51656,38610,25356,14713,483937,1167338,773479,972345,915737,823711,737608,589365,338595,141806,6459990
3,85851,60662,69327,63196,61106,52410,39702,23349,11455,467058,966113,637409,702966,688749,675052,622554,521435,283214,98243,5195745
4,21485,14873,16154,15789,16118,14881,11219,7326,3907,121747,302903,207687,234722,226269,223940,225427,193520,111590,47195,1773257
5,40860,27895,37025,35754,33332,27205,18218,10654,5857,236797,506723,311782,372990,381044,349678,315771,249970,131311,50090,2669363
6,7785,5251,5617,5075,5308,5221,4321,2688,1208,42474,92530,60960,76750,65855,68938,74197,64881,35869,12884,552867
7,5742,4084,6669,5463,5035,4768,3239,887,172,36053,50587,31264,46214,38641,33422,31098,22161,6668,1252,261309
8,4686,4645,4781,3762,3116,2367,1775,1009,537,26676,82610,60988,77621,69171,56053,44750,34875,19042,7200,452302
9,128,101,261,186,180,164,118,65,6,1212,819,488,741,697,767,893,669,295,60,5425
