STE_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1,..,12753,14827,4911,3448,2850,1479,506,206,40983,..,27788,40932,10691,9358,12054,8830,3363,917,113938,..,12059,38965,32541,39497,70684,89157,76907,40794,400604,8419,13076,11042,6074,5536,6839,5906,3131,1741,61760,361,521,858,525,610,1455,1176,343,80,5919,678209,432757,542209,528524,494258,467647,382870,217388,79700,3823548,..,15772,347089,632051,579957,543026,452813,229672,47556,2847938,..,60221,234122,129436,97257,69639,34614,10365,1385,637050,..,7407,39118,73611,94647,59663,28944,20413,13920,337734,1377286,..,..,..,..,..,..,..,..,1377286,..,387582,..,..,..,..,..,..,..,387582,..,245029,165492,52723,35399,19302,3740,147,0,521836,..,38015,33440,13407,15615,29183,32079,21790,12543,196073,..,26127,36426,13799,10107,7925,3985,1296,375,100036,..,59130,99545,28994,22945,26359,19534,7349,1710,265573,..,24263,83425,76308,89566,135018,147273,112180,55683,723718,17317,24166,22756,14092,12449,12818,10527,5074,2414,121622,737,1008,1741,1173,1187,2201,2078,624,144,10890,1395341,888724,1063148,1035592,959127,905144,735600,408927,135727,7527325
2,..,9065,10748,2860,1860,1401,757,240,108,27037,..,27029,39042,8612,6315,7876,5702,2157,511,97247,..,11583,41670,33633,35994,58614,72551,61416,33217,348673,5428,9308,8369,4290,3906,4586,3502,1965,1074,42424,238,328,563,337,490,1268,1069,295,57,4636,542919,351956,463870,442380,404527,364269,293600,166186,60727,3090431,..,9728,280372,528872,471724,425185,348290,176967,37109,2278239,..,44091,215316,116226,82687,53575,25012,7111,939,544957,..,4152,26645,57082,79421,48408,21587,14855,9882,262034,1104827,..,..,..,..,..,..,..,..,1104827,..,334023,..,..,..,..,..,..,..,334023,..,182820,132271,38114,26464,13262,2501,83,0,395510,..,30893,30978,10652,11398,20576,21205,13559,7774,147036,..,19157,27475,8432,5568,4059,2021,649,198,67561,..,57711,96742,23804,16011,17002,12271,4646,1001,229187,..,22443,85227,73183,79545,109076,117011,87754,45305,619544,10994,16938,17350,9959,8804,8675,6191,3226,1479,83625,479,670,1129,814,1017,1912,1803,520,104,8450,1116301,722629,913497,867146,782641,701727,557890,309370,103796,6075005
3,..,10700,9157,2926,2271,1986,1086,381,101,28598,..,24660,25320,6739,7343,9522,6592,2482,486,83143,..,9897,24087,19595,27704,47126,56517,46091,21499,252522,6012,10233,7712,4144,4671,6388,6074,2912,1116,49257,177,377,689,263,353,680,574,187,42,3338,443396,288272,330782,331923,324758,295101,240691,130155,41146,2426219,..,9363,193930,360176,359297,330796,280752,138616,24355,1697286,..,60010,170342,97687,73983,49686,23736,7125,896,483458,..,6718,33085,58306,64987,33085,16158,10876,6811,230030,899881,..,..,..,..,..,..,..,..,899881,..,220406,..,..,..,..,..,..,..,220406,..,149572,70717,25852,18279,9820,1945,80,3,276272,..,27999,19768,8252,9975,17175,18330,12116,6141,119757,..,21396,22432,8343,6631,5028,2835,966,235,67860,..,47856,58102,17604,16985,19810,14360,5474,994,181173,..,19321,52122,47540,61881,88048,94229,68047,29824,461009,12207,18915,16377,9932,9881,11554,11196,5165,1629,96855,357,682,1360,599,682,1111,1039,350,79,6263,912438,582244,638238,634292,622583,566103,464570,248810,70966,4740249
4,..,2904,2728,702,433,337,180,49,17,7351,..,6628,7304,1878,1975,2569,1820,622,134,22925,..,3184,8511,7311,10519,19834,24835,21657,12009,107859,2006,3190,2543,1483,1453,1749,1339,668,310,14739,34,81,130,84,103,234,207,52,11,939,141648,94787,111448,109605,108221,109740,94934,54781,19908,845070,..,3098,70454,122854,119393,121991,111866,58676,12106,620445,..,14641,51449,29633,24075,18471,9242,2505,342,150356,..,1746,9659,18745,22994,13673,6063,3959,2739,79584,286950,..,..,..,..,..,..,..,..,286950,..,81209,..,..,..,..,..,..,..,81209,..,52656,31321,9699,6749,3810,670,23,5,104936,..,9093,6955,2486,2833,5125,4919,2980,1771,36159,..,5956,6550,2085,1371,1098,539,116,46,17760,..,14193,18603,5551,4937,5602,3891,1303,270,54354,..,6366,19398,18510,25571,38776,41279,30868,16496,197274,4111,6028,5614,3607,3267,3301,2510,1130,464,30036,72,191,336,199,211,344,357,96,30,1833,291134,195173,220339,213372,211417,212190,181331,101663,34259,1660888
5,..,3633,3530,1099,701,578,269,89,34,9929,..,8313,10548,2936,2720,3144,2126,799,158,30742,..,5002,13882,10964,13650,23602,28990,23245,12075,131397,3111,4375,3727,2259,2131,2786,2423,1173,515,22496,137,177,332,166,201,475,432,116,36,2066,233405,140617,173195,178709,163291,146998,116667,61923,21721,1236522,..,4416,108018,204785,190864,171239,139128,67130,13591,899167,..,23491,84594,49355,35038,23936,10774,2991,428,230618,..,2486,14051,26665,30419,17091,7701,4639,2985,106037,473638,..,..,..,..,..,..,..,..,473638,..,119818,..,..,..,..,..,..,..,119818,..,78138,39632,12385,7826,4080,856,27,0,142942,..,14465,10497,4072,4256,7255,7554,4518,2599,55217,..,7414,8977,3346,2170,1537,763,256,57,24526,..,17430,26282,8382,6769,6943,4681,1713,341,72551,..,9988,31109,28233,32286,45137,48121,33839,16487,245193,6338,8185,7764,5396,4710,5052,4415,2022,743,44619,277,325,644,374,388,750,727,224,60,3767,480249,286162,331572,342995,314716,283022,224717,117359,37297,2418097
6,..,1086,1648,339,131,121,79,33,15,3438,..,1801,2835,611,619,879,709,255,55,7766,..,887,2466,2106,3560,6938,8768,7184,3444,35355,729,1218,904,517,531,655,456,217,90,5322,7,14,46,18,21,39,21,6,0,184,42928,27503,35843,32021,33744,36105,31345,17388,5599,262472,..,1089,20954,31487,34112,38918,36392,18178,3265,184392,..,5428,18053,11211,9405,7320,3636,969,107,56124,..,833,3974,6502,7021,3870,1796,1290,705,25989,86668,..,..,..,..,..,..,..,..,86668,..,20613,..,..,..,..,..,..,..,20613,..,16225,7612,2745,2138,1070,199,7,0,29991,..,2299,1695,629,826,1560,1463,940,480,9883,..,2188,4071,871,409,329,204,73,27,8169,..,3607,7142,1604,1406,1797,1445,552,126,17679,..,1727,5520,5147,7933,13199,14641,10430,4764,63364,1439,2297,2063,1259,1158,1252,832,358,126,10790,20,36,92,32,47,69,44,11,7,357,88128,56330,71175,61489,64461,69393,60651,32799,9602,514032
7,..,433,680,192,121,98,37,18,0,1575,..,675,1575,441,347,359,186,67,12,3658,..,420,1337,988,1254,1708,1440,722,194,8062,436,566,722,442,425,693,657,206,36,4181,10,24,43,16,10,67,33,16,0,212,21739,12602,19192,16118,13222,10714,6574,2366,511,103039,..,1604,11933,15981,12771,9976,5958,1973,235,60425,..,2511,8145,5223,3834,2333,879,178,17,23113,..,517,1849,2633,2444,1435,747,325,123,10078,43946,..,..,..,..,..,..,..,..,43946,..,6609,..,..,..,..,..,..,..,6609,..,7375,3235,1188,589,200,25,0,0,12606,..,2720,1828,1057,1174,1337,1051,457,162,9788,..,891,1556,454,312,255,117,40,4,3613,..,1460,3310,1042,855,815,464,147,16,8107,..,912,2877,2268,2861,3497,2880,1227,295,16813,949,1028,1360,862,752,1176,1328,425,64,7943,14,35,87,29,26,90,58,21,0,366,44914,25670,36171,30734,25617,21115,13492,4790,912,203412
8,..,993,1393,257,116,76,36,10,7,2892,..,3498,3394,582,361,455,271,90,40,8686,..,1029,3756,2785,2854,4106,4795,3686,1762,24789,404,845,815,397,326,412,396,194,66,3861,26,24,48,32,41,104,84,20,0,383,38749,25976,37019,33615,27295,22442,17911,9637,3181,215829,..,955,24038,41139,32867,25887,20776,10148,2046,157859,..,4670,17587,8720,5822,3443,1569,421,57,42290,..,233,1772,4246,5254,2852,1146,707,438,16650,79173,..,..,..,..,..,..,..,..,79173,..,20586,..,..,..,..,..,..,..,20586,..,11304,6220,1881,1167,538,113,4,0,21235,..,2221,2278,679,594,1036,1108,756,354,9034,..,2102,3527,755,349,235,86,26,11,7085,..,6658,8273,1747,1013,993,558,180,65,19485,..,1923,7720,6041,5912,7104,7201,5043,2390,43339,835,1601,1703,949,799,749,652,302,88,7685,43,63,97,69,80,155,140,38,7,700,80051,52320,73221,66226,53855,42988,33351,17629,5466,425115
9,..,3,4,0,0,0,0,0,0,9,..,7,5,4,5,10,0,0,0,32,..,6,13,18,21,69,64,43,17,256,13,15,11,8,3,6,7,3,0,61,0,0,0,0,0,0,0,0,0,3,332,166,179,249,253,316,214,113,28,1847,..,15,127,266,255,333,266,111,18,1390,..,26,83,66,83,79,32,9,0,383,..,4,11,32,51,21,13,9,6,135,696,..,..,..,..,..,..,..,..,696,..,93,..,..,..,..,..,..,..,93,..,106,38,24,11,7,0,0,0,179,..,16,8,9,8,17,15,13,11,111,..,4,8,0,0,0,0,0,0,18,..,7,9,7,10,14,9,0,0,58,..,21,43,39,62,134,113,66,23,497,13,18,16,12,14,13,17,6,0,102,0,0,0,0,3,0,0,0,0,5,710,310,338,457,492,620,465,211,56,3657
