STE_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
1,49636,91426,1610,142673,766547,48489,2924,960639,9534,91366,814,101714,638700,41943,2663,785015,1778,17276,154,19205,394371,36361,841,450783,262,1001,18,1280,153162,29162,229,183834,1329682,308091,29835,1667607,4494246,422304,16209,6600358
2,39138,82974,1354,123462,579869,34274,2381,740000,7831,95693,652,104172,455468,29720,2133,591497,1574,18407,141,20120,293729,24750,678,339275,221,911,15,1145,123173,17484,186,141988,1079469,292863,27255,1399587,3585714,307352,12085,5304738
3,26143,71080,1046,98269,486444,37841,1794,624345,5079,66549,430,72052,417343,32041,1658,523095,997,12726,88,13810,246263,23136,628,283841,123,653,7,784,83542,13923,150,98393,835205,249298,30683,1115192,2810390,304051,14152,4243779
4,9144,30599,394,40131,175746,9549,483,225911,1890,34547,166,36599,148367,8550,495,194020,396,6855,30,7283,97428,6877,163,111755,47,359,5,408,42563,4221,63,47260,273877,105616,11218,390712,1005410,74236,3432,1473786
5,14161,43082,662,57908,238550,19316,1140,316910,2829,44812,245,47893,188196,13884,932,250900,600,9017,63,9682,111389,10247,310,131620,85,510,7,598,42665,6826,93,50187,442173,152873,20320,615363,1393126,154149,7090,2169729
6,2772,9842,125,12741,58027,3427,105,74301,518,9547,35,10107,51319,3466,80,64962,107,1835,9,1954,31157,2762,36,35905,14,78,0,92,11371,1422,15,12902,81561,33197,4174,118933,315345,26055,1003,461341
7,1166,3434,182,4783,22015,4299,220,31321,318,2705,59,3079,16078,3001,118,22276,35,469,21,520,5266,884,34,6701,10,39,0,54,1017,185,6,1261,37219,17394,3849,58465,123843,28418,3121,213854
8,2642,5759,109,8509,34790,1454,179,44930,421,8245,50,8716,24868,1290,152,35030,88,2035,15,2139,15866,1028,49,19085,9,105,0,110,6337,753,7,7204,77645,24330,3050,105023,247936,16736,1020,370711
9,37,81,0,120,610,157,5,893,4,59,0,66,493,108,0,673,0,17,0,17,217,62,0,295,0,0,0,0,54,4,0,60,590,256,41,884,2683,1036,23,4630
