STE_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
1,24741,32655,57399,8469,10721,19188,9007,26305,35309,10532,54343,64876,32590,126387,158980,35952,78621,114570,110483,54331,164816,98106,67436,165541,120246,72683,192927,141421,57266,198690,106178,49127,155301,113463,40619,154086,250646,73336,323980,192965,11565,204526,166284,21073,187350,114275,5655,119928,389770,40242,430016,116205,14881,131086,23773,33688,57457,2065107,870923,2936034
2,20844,28676,49518,7584,9280,16867,8244,21593,29840,8858,42856,51711,26956,102342,129296,29537,64625,94167,88310,47310,135619,83047,59336,142385,101505,64865,166374,119946,53108,173051,92033,46784,138817,97782,36805,134590,214831,62083,276914,166290,9878,176169,136741,16744,153485,90148,4660,94801,270105,28607,298710,92653,12548,105201,20723,26908,47636,1676129,739014,2415149
3,13167,18556,31719,5483,6632,12116,5669,16222,21891,6543,33437,39978,21029,82446,103477,25089,57758,82848,77382,39820,117202,70711,50121,120830,84997,53457,138457,99157,43014,142170,74864,34476,109340,79804,27527,107328,172313,45053,217365,128428,8675,137102,103446,11950,115395,67387,3274,70662,180177,18407,198587,96821,12365,109181,15419,24925,40346,1327873,588118,1915993
4,4153,6563,10720,1867,2735,4609,2064,8061,10126,2497,16382,18877,8484,40930,49418,9922,25023,34940,31836,16738,48572,29656,20286,49939,34316,20865,55187,39214,15691,54903,28063,12412,40478,29480,9050,38527,61476,13512,74992,45048,2378,47422,34106,3190,37297,21207,829,22041,51137,4976,56114,31136,3335,34470,4832,8654,13489,470498,231612,702114
5,6470,9830,16296,2707,3621,6327,3143,9612,12748,3584,18084,21667,10585,40880,51459,12220,26557,38783,34479,18591,53064,31253,22751,54007,37845,26323,64169,43262,22093,65357,33987,19190,53172,36713,15490,52202,82468,27709,110177,65127,3904,69027,57026,7925,64955,36845,1844,38693,112676,12174,124851,69581,6774,76350,6983,12292,19271,686949,305642,992589
6,1152,1821,2972,599,795,1396,661,2502,3164,917,5312,6229,3110,14644,17758,3678,8466,12148,11718,5517,17231,10042,6514,16556,11349,6538,17895,13174,4482,17659,9254,3811,13064,9382,2727,12112,18976,3751,22729,13307,735,14042,9664,937,10598,5916,287,6200,12714,1532,14245,10423,1071,11492,1583,2949,4539,147619,74404,222027
7,272,751,1034,233,277,507,417,680,1099,361,1232,1593,962,1946,2903,809,1296,2100,1718,1528,3249,1755,2020,3776,2303,2601,4908,2726,2553,5280,2276,2237,4512,2489,2003,4494,6203,3674,9869,5131,862,5994,4548,1118,5668,3314,463,3777,8387,1880,10269,5665,939,6602,684,2159,2845,50246,30222,80467
8,542,1043,1589,239,390,635,248,990,1242,319,1927,2249,855,4232,5086,1096,2764,3862,2531,2713,5247,2737,3385,6117,4041,4177,8218,5688,4438,10129,5113,4869,9976,5486,4224,9706,14033,8438,22468,12128,1021,13149,12033,2044,14082,9814,619,10431,33714,3516,37228,6046,1100,7150,544,1013,1561,117214,52899,170110
9,8,14,23,7,13,23,6,14,18,12,36,43,20,80,99,21,50,67,50,53,104,55,55,107,64,60,123,72,50,122,63,33,96,72,38,109,127,36,166,97,0,98,75,19,95,57,4,60,94,18,111,97,8,102,26,30,56,1008,615,1629
