STE_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
1,736515,84536,93674,9807,1951,926483,731334,88817,124463,1815,1098,947530,249401,95153,307386,4923,1963,658827,37540,26334,29447,60,183,93563,8369,8385,11324,84,166,28336,82272,17504,38632,1729,953,141090,16803,3692,6121,3082,970,30662,2327,1027,1825,115,51,5338,396713,152095,394739,9987,4285,957820,29441,12398,14958,810,660,58266,95051,22092,44294,5114,1626,168171,1989053,359937,672124,27528,9619,3058269
2,649120,81551,41235,4542,732,777176,715754,91019,58112,1075,618,866575,245475,105905,144600,1966,742,498687,21499,14606,13617,27,42,49793,3878,3617,4196,46,67,11796,69580,18698,17927,885,394,107478,11199,2469,2126,2418,284,18506,2021,842,700,79,22,3671,353654,146138,183169,5422,1553,689936,25244,10561,6699,548,202,43262,85245,19691,21756,3424,571,130688,1829018,348963,310968,15003,3671,2507636
3,460135,40830,41377,17716,3432,563484,567351,41210,36242,1297,891,646990,223355,82119,106213,619,1180,413484,25875,12456,12192,67,134,50729,4040,3407,3668,50,92,11261,72171,15719,21518,829,828,111071,17475,10356,6979,5541,1741,42097,1810,991,909,107,26,3844,344729,125046,151481,7220,4002,632484,20758,9781,5648,961,818,37977,69454,17748,20818,7533,1541,117095,1462426,234619,255570,34731,10687,1998032
4,200255,20618,6583,2407,701,230565,218111,22033,6619,314,427,247510,55347,22945,18326,180,305,97106,12467,12995,4024,16,87,29591,3784,3871,1758,10,53,9476,32074,8661,5825,269,280,47104,5704,1300,1116,976,363,9455,709,465,259,19,10,1470,110080,50248,31307,1472,1102,194207,9268,6842,2512,209,207,19039,20260,6451,3142,1575,401,31834,557981,106196,50166,5978,2844,723158
5,245067,26772,8894,9860,989,291585,345471,30029,11129,701,366,387703,86674,32335,27848,204,218,147278,13880,11482,3145,43,92,28645,3213,2891,1271,66,60,7503,47468,11927,6703,567,288,66964,12318,2602,1242,3129,583,19879,894,491,201,34,7,1637,164449,61723,40417,4044,1253,271892,12739,6280,2414,785,462,22680,35232,8992,5320,5334,1023,55900,802965,133798,68180,20731,4092,1029762
6,77184,2346,1803,734,148,82219,69607,1573,1201,130,72,72590,18733,3456,4185,164,49,26587,5423,2155,1325,0,38,8946,1412,937,499,3,26,2876,13507,1643,1805,157,89,17205,1918,328,311,292,71,2916,310,128,64,6,4,506,41300,8637,8193,628,277,59040,3271,574,349,100,58,4349,8430,1241,869,621,73,11233,199792,14374,12418,2208,631,229427
7,8986,781,1087,3683,550,15091,17721,1622,2066,272,72,21749,5459,2797,6451,43,66,14812,4992,1582,837,24,44,7474,1793,275,151,23,45,2281,3065,933,1415,242,134,5788,2871,626,579,1064,443,5584,156,41,55,13,5,268,18330,6242,9482,1410,741,36209,2446,392,269,375,220,3705,4022,945,1287,1913,441,8609,51511,9981,14197,7652,2024,85374
8,35057,5883,4088,102,35,45167,48997,9892,9102,7,31,68028,9473,6297,13215,4,49,29035,4441,2736,1447,18,10,8655,394,324,299,0,8,1027,4868,2385,3480,9,42,10793,1697,480,591,40,40,2848,112,54,52,0,0,213,20986,12275,19090,71,153,52579,1070,843,843,4,25,2790,2982,1253,1972,181,25,6414,109097,30145,35098,367,275,174972
9,445,29,28,0,5,503,261,13,6,0,4,286,107,3,4,0,5,115,59,31,49,0,0,139,39,0,3,0,0,42,167,23,21,0,4,218,81,9,18,0,3,118,0,0,0,0,0,0,458,65,97,0,14,632,93,5,11,7,9,119,199,11,32,0,10,259,1456,125,176,9,41,1805
