STE_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
1,239633,70089,74705,80747,90399,32296,8535,29089,1572866,1250,231,296,69,93,165,159,65,45,12135,14513,1220934,331118,314733,86451,90943,97993,109054,41665,12162,59822,2364880
2,227150,60271,63913,70570,81500,29107,7959,23977,1313082,972,224,317,80,108,98,133,46,29,5211,7224,917165,315062,291595,73196,77302,84350,96513,35409,10712,44409,1945703
3,98253,24124,25514,29943,39205,15275,4425,10205,515032,654,192,186,34,36,64,105,46,32,3336,4677,568134,212380,168237,35975,36647,41735,52393,22247,7784,30581,1176117
4,43238,11865,12616,14719,18191,7516,1434,4312,233219,325,48,43,18,11,15,30,24,9,837,1345,216394,65071,56456,14166,14880,17353,21097,9173,2045,10466,427111
5,81379,15739,14497,16758,21834,9421,2459,6793,372443,534,146,119,27,27,31,57,34,8,2457,3432,415080,168039,142317,22570,20510,23068,29263,13500,4276,19489,858112
6,11026,4081,4057,3731,3427,1186,241,757,40173,71,10,4,10,4,3,4,7,0,134,250,40466,8754,13847,4732,4634,4379,4088,1514,358,2387,85163
7,7529,2380,2313,2256,2569,966,247,680,31934,25,7,18,5,6,7,15,9,0,160,254,19972,8818,10478,2952,2827,2879,3409,1396,511,1515,54746
8,17700,4651,5708,5496,4864,2053,472,1369,84741,54,11,15,9,8,9,6,9,0,197,325,58371,20081,22110,5457,6491,6315,5695,2603,743,2475,130348
9,96,24,16,16,12,8,0,62,711,4,3,0,0,0,0,0,0,0,214,220,797,148,150,35,24,25,21,21,5,308,1529
