STE_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
1,24,38,608,4778,21918,18476,21252,16350,3881,3892,4778,6285,2037,485,2116,106928,672,545,752,1203,4877,1491,1623,1115,265,271,260,246,85,28,376,13803,53,219,575,1496,2164,1844,3436,1880,547,560,547,504,392,158,270,14646,65,261,1108,4125,7402,9464,13798,5137,1548,1366,1468,1785,1034,390,698,49653,36,139,583,1329,5430,6565,8164,4600,847,789,839,1007,410,168,541,31443,0,3,39,205,2364,2995,2590,2362,651,700,854,1080,322,47,350,14556,9,19,128,663,2842,3729,9169,6897,2046,1434,1344,1557,572,163,1046,31610,6612,20755,56649,36653,30038,24586,43415,25314,4809,4541,4656,5088,2492,896,8050,274552,130,281,1535,2893,3227,4389,7722,5519,1357,1407,1580,1973,1415,555,800,34787,22,48,214,13086,27179,16935,13290,10646,2719,2743,2599,2937,1471,409,3700,97995,5123,12952,29581,46545,48998,52169,61017,43596,16123,15451,15628,17589,6421,1867,9917,382988,22352,76283,168315,190830,293267,318137,482872,314733,86451,90943,97993,109054,41665,12162,59822,2364880
2,13,35,205,2163,10551,7962,16528,12570,3240,3102,3693,5038,1634,453,1199,68397,866,1029,1277,1297,5382,1744,1067,601,131,126,107,103,29,16,343,14128,34,109,331,1079,2010,1999,5949,2924,718,735,672,634,381,136,215,17924,31,177,614,2638,4768,4856,9445,3630,887,999,907,1109,485,219,352,31125,66,384,1779,2992,7876,9004,19514,11526,2480,2783,3256,3703,1405,287,913,67970,0,4,12,108,1182,1774,2165,2135,537,588,828,854,265,56,192,10698,6,7,61,366,1682,1920,5967,4411,1413,1175,1320,1451,509,113,594,20989,5283,19977,47062,28960,23386,14623,32824,18138,3006,3122,3040,3213,1364,593,5983,210585,88,207,834,2003,2105,2908,5513,4142,895,1081,1099,1298,777,351,547,23859,10,18,147,9719,26136,16154,14635,10789,2530,2580,2498,3044,1453,360,3439,93512,4018,14076,25794,34001,40237,45304,63251,39728,11673,11044,11858,13744,4892,1582,7862,329069,18949,90168,157663,135393,199695,199660,430697,291595,73196,77302,84350,96513,35409,10712,44409,1945703
3,13,34,191,1360,7348,6112,13127,10434,2212,2069,2577,3360,1085,380,1269,51572,243,187,277,525,1930,699,832,498,110,113,92,117,52,16,120,5817,20,87,330,827,856,918,1914,967,253,274,287,340,213,101,178,7577,36,170,618,2099,3427,6828,20557,7198,1473,1698,1561,2044,936,463,709,49816,36,138,437,597,1185,1367,3505,2312,355,423,455,639,316,96,192,12043,0,0,22,80,1677,3967,3574,2725,677,693,1041,1258,501,52,345,16617,0,6,48,278,1093,1376,4212,2915,765,670,710,900,409,88,458,13924,4660,15857,43434,30504,25983,19836,48212,19862,3330,3004,2820,3311,1799,699,6479,229804,107,253,1123,1946,1911,2480,4867,3128,703,721,745,937,808,246,409,20387,3,22,65,2691,5718,3315,4299,3315,789,882,794,1011,567,132,944,24540,1773,5100,11623,16231,19717,22195,43672,27818,7639,7627,8854,12064,4893,1527,5045,195786,11667,39682,80090,92352,131932,133947,290845,168237,35975,36647,41735,52393,22247,7784,30581,1176117
4,3,11,29,338,1891,1717,3946,3475,688,718,733,1082,369,107,386,15491,216,228,336,326,2074,737,430,162,47,31,32,29,15,3,95,4762,8,30,121,276,304,268,656,390,133,146,135,171,89,21,45,2788,14,54,214,481,508,878,2850,1128,287,245,477,564,314,63,122,8190,3,41,66,208,263,268,1147,1263,248,373,464,554,281,23,102,5307,0,0,3,11,103,183,345,485,110,115,137,148,69,7,34,1739,0,4,3,99,585,440,998,617,150,127,157,190,93,35,121,3630,1886,10956,37266,18290,9240,5731,15150,5948,697,657,675,800,465,227,3296,111288,17,56,302,581,578,651,1176,752,172,155,196,185,197,67,126,5211,0,9,38,1913,4694,2458,2381,1912,566,561,649,756,432,68,577,17022,1346,2788,4278,3944,5738,7427,13314,8726,2933,2340,2731,3274,1471,387,1503,62194,6367,31923,57999,34939,36222,31156,82862,56456,14166,14880,17353,21097,9173,2045,10466,427111
5,5,7,51,483,2435,2116,11032,12501,2192,1581,1580,1971,709,211,678,37553,239,109,191,400,2404,689,611,546,69,66,71,61,30,11,115,5622,72,161,500,1570,2480,2395,4738,1832,360,389,389,434,318,59,270,15965,22,109,519,1822,4003,5727,19110,7920,1008,886,1006,1189,645,331,536,44852,53,91,202,387,873,858,2512,2114,283,279,313,721,306,31,144,9169,0,0,3,25,246,364,739,1352,174,174,299,437,93,15,88,4009,4,4,42,225,816,974,3244,2128,549,431,451,487,257,82,306,10008,2858,8482,44707,34110,33863,21735,49465,25166,2385,1915,1982,2260,1249,446,5410,236039,42,100,582,1047,1166,1257,2305,1614,321,309,360,487,365,153,251,10369,5,3,27,1681,4788,2852,2982,2331,548,557,471,631,337,84,770,18069,1006,1700,7782,8353,12414,15217,35460,20047,4394,4179,4727,6405,2760,900,2865,128199,8003,24561,72001,69953,102130,87701,218776,142317,22570,20510,23068,29263,13500,4276,19489,858112
6,0,0,12,65,328,267,494,491,167,120,189,133,73,8,97,2445,36,41,58,44,195,81,60,30,0,4,5,7,0,0,13,578,6,19,36,44,44,54,111,106,29,33,40,30,14,3,9,588,3,40,93,194,253,295,645,186,54,41,94,88,42,35,28,2096,0,5,13,19,58,31,153,432,189,150,136,105,38,11,21,1364,0,0,0,0,9,18,76,286,40,71,78,64,16,0,22,675,0,0,0,16,50,77,288,174,60,40,42,37,21,8,35,856,701,2713,6544,4232,2448,1285,2165,842,147,123,137,163,78,36,836,22464,6,24,136,270,228,267,499,287,56,58,64,72,48,13,45,2063,0,3,3,40,40,33,157,489,143,111,102,149,68,6,55,1396,194,480,867,866,883,792,1934,1698,583,565,582,636,278,74,273,10720,1454,5556,9832,7933,7230,5344,11874,13847,4732,4634,4379,4088,1514,358,2387,85163
7,0,3,5,128,612,434,1746,1709,384,334,326,396,118,34,151,6382,9,0,6,18,49,13,33,11,9,11,0,0,0,0,5,170,0,8,32,60,44,41,49,28,5,22,12,24,11,0,8,341,4,5,18,44,71,95,396,184,52,39,53,80,29,9,19,1100,0,5,17,44,75,58,176,303,156,140,149,117,34,10,21,1308,0,0,0,6,11,29,104,219,46,35,24,21,3,0,15,514,0,0,9,51,115,125,336,209,55,42,50,67,29,5,41,1125,84,466,1630,1144,791,580,1150,796,122,108,145,221,109,62,236,7643,8,5,49,88,70,102,141,202,41,60,102,148,136,109,24,1276,0,0,0,78,181,123,191,276,95,93,82,121,57,9,59,1367,33,151,465,968,969,812,1961,1368,449,326,339,557,270,73,275,9010,245,1263,3318,4147,4824,4081,10916,10478,2952,2827,2879,3409,1396,511,1515,54746
8,0,3,32,161,613,564,1111,1203,275,253,289,304,125,48,83,5062,42,39,69,78,417,118,105,62,10,11,15,8,5,0,18,995,8,24,66,142,160,128,277,158,49,46,30,23,17,19,20,1176,0,32,52,186,215,340,690,453,58,84,65,100,28,17,27,2344,0,15,60,114,505,566,925,633,91,107,93,88,33,14,24,3282,0,0,6,15,57,88,161,183,47,36,41,26,13,0,9,693,0,4,14,83,165,221,475,309,53,75,65,74,25,12,47,1614,436,1550,3769,2529,1816,1215,2212,1217,183,152,166,153,103,50,304,15862,13,29,164,329,348,421,721,503,90,140,139,176,153,63,46,3337,0,5,24,552,841,597,746,558,157,151,129,124,64,4,123,4073,295,688,1824,2132,2354,2562,4449,3130,802,946,1092,1200,536,135,426,22571,1431,4548,9325,9407,12351,13130,28269,22110,5457,6491,6315,5695,2603,743,2475,130348
9,0,0,0,0,3,3,18,26,8,0,0,0,0,0,6,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,14,18,0,6,0,0,0,0,0,0,0,4,51,0,0,0,0,4,4,14,7,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,4,0,0,0,0,0,0,20,3,12,32,27,21,6,32,12,3,0,6,0,0,3,9,166,0,0,0,3,0,7,5,5,0,0,0,6,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,5,0,10,11,12,12,34,21,0,3,3,4,3,0,105,217,13,39,103,200,251,112,230,150,35,24,25,21,21,5,308,1529
