STE_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
1,3072,6621,25640,30669,9135,57091,7061,37106,3039,179438,15969,56359,52540,61011,38175,46375,18052,35299,6374,330164,95252,271089,112402,89349,96478,55212,44496,59055,16812,840140,149937,256766,91021,71421,107927,45146,44210,47844,15912,830182,141829,188052,78487,70945,110793,43669,48688,53228,13014,748703,92436,125196,60171,54350,89081,35437,46220,52190,8917,563992,29648,40608,14569,11860,25360,10294,12287,14171,3234,162031,6662,5309,1366,830,2903,1399,1095,1651,1384,22607,844,329,91,43,169,128,39,111,429,2177,535656,950315,436296,390484,480016,294746,222152,300659,69119,3679434
2,2369,3318,16643,26005,6393,53581,4278,32744,2558,147891,13273,41690,47014,51700,31514,47346,15758,34110,5896,288296,77443,235918,109019,82982,84421,48389,41115,58060,15639,752984,123302,218709,86606,66118,87621,37432,38644,45111,14074,717626,117629,153287,72622,62830,89002,37423,40213,48166,11526,632692,75766,99169,52657,46653,70851,29294,37217,43939,7728,463278,24363,31339,12560,10169,19420,8267,9535,12699,2762,131120,5366,3899,1184,688,1899,1077,669,1694,1058,17532,602,232,67,27,107,80,31,114,346,1602,440112,787559,398368,347186,391225,262883,187462,276638,61594,3153029
3,2329,3234,17627,27438,7101,49615,6119,33776,2675,149909,10254,32096,37807,44066,25696,31759,13826,29524,4410,229437,50731,135285,85440,66808,61156,35462,33227,49534,10422,528068,80832,141354,73520,56628,68389,28770,33530,40559,10281,533864,84863,116481,62850,56881,73698,31297,36682,42841,9076,514659,55757,73863,44841,40718,57774,25723,33110,38498,6126,376411,17988,20593,10277,8183,14801,7976,8908,10549,2114,101392,4092,2243,832,547,1550,1075,740,1294,871,13235,413,102,34,19,95,61,34,71,271,1095,307244,525251,333228,301292,310258,211739,166169,246645,46242,2448063
4,635,821,4660,8393,1705,15542,1284,11165,766,44959,3390,10289,12439,15659,7736,11699,3898,10693,1375,77185,16833,47135,28397,25109,19691,12019,10648,17867,3071,180770,27189,47146,23179,20691,22705,9253,10092,14350,3084,177687,29344,37759,20820,19610,25117,10345,10945,15374,2966,172276,22133,27406,16353,16100,21534,9195,10747,14249,2219,139937,7732,8447,3957,3251,5639,2481,2625,3721,822,38673,1652,965,398,187,583,331,205,458,411,5188,161,46,26,12,27,32,7,39,99,449,109074,180006,110228,109004,104748,70883,50435,87925,14816,837114
5,902,1465,8170,13781,2969,23442,3220,16692,1183,71829,4589,14890,19948,22827,11486,16837,7772,14950,1979,115285,25510,74637,50985,33720,31020,16551,20646,24580,5051,282698,42524,78932,47058,30166,35575,13670,21700,21215,4959,295801,43788,61698,39098,28221,36603,14466,22191,20918,4381,271354,31305,41794,27996,20692,30660,12304,19968,18390,3037,206145,10239,12725,6618,4635,8571,3895,5325,5684,1087,58791,1973,1488,497,310,852,466,389,827,425,7224,193,77,20,10,51,30,12,53,128,577,161022,287708,200397,154362,157780,101668,101225,123298,22239,1309706
6,289,174,1854,2236,550,4398,442,2801,237,12971,1055,2260,4139,4277,2030,3268,1034,2902,360,21319,5407,12679,9648,8951,5799,4336,3449,6734,1038,58038,7614,12743,6864,6297,5937,2904,3008,4703,960,51036,8381,11482,6155,6444,7280,3267,3393,4959,905,52270,6675,8824,5343,5227,6443,2782,3748,4911,731,44681,2364,2692,1339,1084,1576,770,957,1325,304,12409,543,249,104,69,177,94,97,141,138,1616,51,21,10,5,11,9,0,4,45,147,32391,51109,35448,34604,29789,21826,16122,28487,4706,254482
7,82,137,609,1013,367,1458,171,1038,153,5040,437,1281,1594,2329,1186,961,436,1107,248,9587,2812,7880,4458,5330,3718,1695,1362,2310,644,30218,3917,6764,3758,3795,3324,1099,1225,1744,525,26148,3982,4982,2911,2927,3167,939,1351,1740,415,22422,3128,4086,2082,1866,2554,806,1233,1404,324,17479,970,1286,555,427,727,304,324,407,126,5121,122,97,34,30,74,28,38,36,29,477,4,9,0,0,7,0,0,3,12,31,15461,26522,16007,17714,15120,7295,6149,9781,2462,116512
8,543,568,1177,3461,833,4011,295,1881,172,12953,1934,5447,3377,5555,4231,3220,582,1597,520,26478,8721,23197,7523,6960,8790,3381,1596,3309,1483,64959,13586,21791,5179,4722,8099,1645,1112,2186,1340,59663,12199,15347,3739,3595,7646,1360,1073,1628,1027,47609,6049,8804,2268,2252,5120,1112,980,1352,540,28478,1120,2567,579,557,1217,425,347,414,151,7380,143,297,71,49,134,65,25,48,27,866,13,25,5,0,7,10,0,11,12,76,44313,78043,23917,27158,36088,15245,6013,12417,5262,248457
9,27,0,17,54,3,12,4,19,4,136,31,25,29,41,14,6,7,23,0,177,82,87,80,92,42,16,18,35,3,451,85,73,70,71,58,23,26,43,9,462,109,75,83,73,70,24,28,51,7,524,116,89,102,50,75,47,25,56,5,572,29,42,38,22,23,22,26,35,9,247,10,3,4,6,9,3,0,6,4,44,3,0,0,0,0,0,0,0,0,3,501,399,421,398,290,150,142,269,42,2614
