STE_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
1,15561,14660,30222,214234,202321,416557,10599,10196,20790,240397,227178,467573,16238,14847,31076,227984,215985,443974,12882,12199,25081,257099,243025,500133,15902,15271,31172,228791,216502,445293,12529,11689,24207,257221,243457,500676,14127,13395,27525,210547,197916,408462,11410,10209,21623,236093,221518,457609,12075,11870,23944,228945,217220,446170,13724,11838,25565,254746,240932,495681,10478,10572,21048,251818,252130,503955,15492,14670,30164,277792,277374,555163,8600,8930,17528,261988,276136,538121,15057,14543,29594,285640,299605,585247,7252,7773,15022,263276,272632,535912,14351,13981,28326,284880,294386,579261,6253,6826,13076,239513,245053,484566,12680,11914,24593,258449,263790,522240,6543,7363,13907,234636,244427,479064,11907,11225,23133,253089,263009,516102,6301,7214,13510,225569,238831,464395,11355,9976,21336,243224,256019,499242,5494,6229,11720,223026,232748,455777,11147,10036,21184,239659,249019,488682,4764,5257,10017,212393,227559,439952,9984,9073,19057,227142,241886,469032,8369,9505,17877,618313,708821,1327133,32278,38612,70893,658963,756936,1415902,137952,139707,277659,3641038,3748288,7389320,195401,190155,385554,3974388,4078142,8052530
2,3549,3449,6998,181181,172147,353326,7619,7254,14872,192353,182851,375200,3606,3451,7059,193555,182935,376486,9155,8637,17791,206315,195026,401342,3569,3415,6985,188466,178110,366578,8895,8340,17235,200932,189863,390796,3063,2968,6029,175625,166294,341915,7964,7482,15446,186652,176735,363390,2991,2970,5958,197637,187803,385440,10006,8678,18685,210634,199449,410085,2805,2661,5471,223639,221059,444702,12431,11434,23858,238880,235153,474035,2309,2310,4620,228950,242086,471040,11405,11243,22649,242663,255647,498313,1891,1843,3734,226727,236225,462943,10902,10767,21668,239522,248826,488352,1580,1680,3256,200454,205301,405760,9564,8802,18370,211600,215783,427384,1598,1665,3260,191944,202563,394509,9041,8393,17431,202581,212622,415198,1624,1671,3300,187820,200983,388812,8644,7763,16407,198089,210424,408515,1290,1424,2719,175892,187059,362950,7996,7119,15113,185182,195599,380785,1076,1133,2207,163946,177201,341152,6977,6493,13473,172002,184830,356827,1832,2071,3905,467368,549704,1017071,22497,26300,48793,491695,578078,1069770,32790,32718,65509,3003216,3109469,6112684,143099,138706,281798,3179099,3280888,6459990
3,13209,12567,25779,130662,122731,253390,7232,6723,13956,151098,142031,293126,13746,13166,26911,146763,139159,285928,8791,8303,17096,169297,160630,329928,14134,13457,27597,153341,144688,298023,9099,8328,17435,176580,166475,343058,11926,11718,23653,140433,133741,274174,8135,7599,15733,160495,153060,313557,10228,10328,20558,141949,141542,283490,10455,9355,19810,162638,161218,323860,9062,9221,18279,150809,155791,306595,12275,11117,23390,172144,176119,348265,7474,7862,15338,152786,164287,317070,11930,10364,22300,172183,182517,354702,6398,6973,13369,155480,167720,323201,11267,9793,21057,173145,184482,357628,5649,6231,11878,145476,155328,300808,10096,8347,18441,161224,169905,331126,5764,6436,12200,149555,159752,309300,10651,8482,19140,165967,174675,340637,5438,6042,11479,147169,157483,304659,10218,8057,18280,162831,171582,334414,4526,5070,9603,140477,150832,291310,9580,7913,17491,154584,163813,318400,3722,4090,7812,134922,145445,280373,8682,7291,15971,147326,156831,304152,6008,7205,13214,397994,441458,839450,24700,25527,50231,428700,474194,902891,117280,120369,237650,2287822,2379954,4667771,153110,137203,290317,2558214,2637531,5195745
4,2362,2179,4547,44342,42063,86407,1617,1623,3240,48325,45870,94191,2382,2262,4641,48901,46189,95089,2002,1931,3932,53283,50379,103661,2393,2329,4723,49383,46946,96327,2078,1923,4000,53855,51198,105050,2117,1975,4097,46989,44225,91221,1929,1774,3701,51038,47975,99013,1845,1820,3661,51837,49091,100931,2159,1926,4085,55843,52836,108673,1685,1683,3371,54868,53863,108725,2541,2193,4734,59091,57740,116831,1446,1542,2990,54326,55928,110251,2463,2185,4655,58236,59661,117889,1235,1273,2506,54690,56984,111673,2439,2180,4627,58369,60438,118805,988,1067,2049,49912,51292,101206,2298,1907,4205,53200,54258,107464,984,1136,2123,50770,52230,102998,2388,2023,4417,54143,55386,109536,1018,1155,2176,53037,54885,107920,2422,1894,4311,56476,57926,114407,818,954,1773,52550,55065,107615,2383,1902,4288,55752,57921,113671,728,784,1517,51339,54837,106171,2166,1900,4066,54230,57524,111752,1133,1243,2374,154737,181244,335982,6473,7476,13944,162342,189961,352305,21140,21396,42536,817677,844840,1662520,35367,32835,68206,874185,899073,1773257
5,4856,4403,9255,75022,71012,146035,3416,3132,6544,83289,78544,161834,4994,4551,9544,79810,75828,155639,4036,3914,7948,88842,84295,173131,4821,4815,9640,79543,74891,154434,3989,3698,7686,88352,83406,171758,4352,4174,8530,70889,67239,138125,3373,3115,6489,78612,74526,153141,3871,3591,7465,72405,70207,142613,4744,3814,8559,81024,77610,158633,3595,3460,7057,78229,79592,157824,6481,4959,11442,88313,88009,176318,3360,3115,6477,85722,92309,178030,7129,5033,12167,96210,100461,196675,2832,2757,5586,90182,93912,184091,7074,4846,11924,100094,101511,201607,2474,2412,4888,80965,83281,164246,6484,3834,10312,89922,89519,179445,2333,2289,4614,79079,81461,160533,6224,3884,10113,87632,87629,175265,2035,2324,4358,79073,80975,160054,6264,3742,10002,87373,87047,174412,1773,1943,3720,74179,76722,150906,5515,3573,9086,81469,82236,163706,1413,1530,2937,68614,72790,141410,4559,3160,7715,74586,77478,152063,2098,2642,4741,191099,214210,405307,10463,10863,21326,203655,227716,431372,44811,43997,88813,1204808,1234424,2439233,79746,61572,141315,1329364,1339997,2669363
6,1522,1360,2879,12392,11810,24201,611,586,1195,14519,13758,28276,1600,1561,3160,13520,12980,26497,745,699,1443,15861,15239,31096,1767,1702,3474,14535,13645,28176,784,718,1501,17085,16069,33154,1509,1375,2879,13212,12495,25706,754,628,1379,15470,14499,29971,1225,1212,2441,13778,13309,27090,749,716,1463,15758,15236,30988,993,1092,2081,17723,17285,35005,880,842,1718,19594,19215,38804,900,1043,1944,16987,17291,34280,898,821,1721,18789,19155,37947,793,987,1775,15278,16058,31333,798,788,1583,16863,17827,34697,661,832,1489,13622,14720,28335,668,666,1337,14948,16216,31160,686,787,1475,14571,15699,30260,770,652,1418,16026,17135,33161,737,885,1622,15590,16973,32562,816,780,1590,17140,18629,35776,599,754,1356,16309,17396,33701,848,743,1585,17749,18897,36643,613,655,1276,16681,18066,34753,789,744,1529,18086,19466,37552,1096,1156,2252,49717,56376,106097,2569,2726,5298,53384,60251,113636,14710,15386,30091,243903,254101,498002,12673,12098,24773,271277,281584,552867
7,2794,2568,5363,5335,4920,10254,601,550,1157,8724,8046,16771,3013,2773,5792,5278,5120,10402,656,707,1361,8949,8605,17548,3107,2920,6020,4713,4355,9066,628,543,1174,8448,7819,16264,3050,2845,5894,3831,3632,7470,528,538,1070,7411,7018,14425,2869,2692,5561,5027,4604,9630,914,727,1640,8809,8025,16840,2679,2623,5299,7163,7839,15001,1253,1124,2381,11091,11588,22681,2419,2500,4923,7801,8459,16262,1293,1055,2349,11516,12022,23531,2092,2275,4365,7121,7365,14494,1137,925,2058,10351,10567,20920,1904,1927,3832,6055,6046,12100,979,809,1788,8941,8783,17721,1695,1837,3533,5641,5450,11092,1036,760,1800,8380,8051,16425,1524,1821,3345,5923,5809,11726,1076,849,1922,8519,8475,16995,1169,1348,2517,5841,5613,11453,1073,866,1935,8082,7827,15909,858,1123,1983,5700,5708,11410,972,825,1802,7531,7657,15193,1211,1686,2897,12672,11049,23717,1909,1553,3464,15795,14291,30082,30398,30933,61331,88098,85978,174079,14056,11840,25898,132550,128756,261309
8,463,426,886,12904,12075,24983,371,368,738,13734,12875,26603,490,445,937,14007,13226,27232,414,418,831,14911,14088,28998,481,372,844,13091,12308,25391,390,372,762,13958,13044,27005,437,446,886,12449,12013,24463,558,575,1127,13445,13041,26482,473,475,950,15890,16008,31898,857,798,1656,17225,17284,34507,445,388,832,18446,18381,36818,828,733,1566,19716,19504,39221,332,361,699,17836,18426,36260,759,683,1443,18929,19471,38400,280,275,554,17368,18003,35370,630,619,1248,18276,18896,37177,225,278,505,15178,15318,30495,557,442,990,15956,16029,31995,235,217,444,13801,14153,27958,486,400,886,14523,14764,29285,202,208,406,12683,12900,25583,418,352,776,13302,13464,26770,172,160,333,10954,11685,22642,412,306,718,11538,12148,23689,103,143,244,9614,10625,20239,305,276,576,10020,11043,21061,188,198,384,26513,32124,58637,961,1127,2090,27661,33452,61112,4521,4386,8908,210730,217250,427977,7942,7472,15415,223190,229114,452302
9,4,8,9,109,93,196,11,19,29,129,112,236,0,12,14,134,120,248,13,13,26,151,141,292,8,11,21,125,102,231,27,18,42,164,130,297,13,9,13,89,90,177,12,14,27,110,109,220,5,11,16,120,93,210,21,22,44,149,123,272,6,8,13,180,103,285,31,20,57,217,140,357,3,0,10,177,113,295,44,33,81,228,158,384,7,0,7,154,156,311,33,26,58,198,187,381,3,8,6,138,114,251,31,29,61,169,147,320,7,15,20,146,136,283,24,21,49,178,169,354,6,13,22,154,153,312,45,38,81,208,210,413,13,5,14,180,177,353,31,34,60,223,209,426,3,11,17,182,191,375,39,35,74,234,232,463,21,25,42,432,398,836,84,61,146,541,480,1023,106,121,228,2327,2038,4368,449,378,828,2883,2542,5425
