STE_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
1,266731,1115173,996145,322768,188245,2889063,169202,3058269
2,182766,868579,885937,281384,160433,2379102,128533,2507636
3,110597,684839,709756,240724,135439,1881356,116673,1998032
4,50395,254169,253130,85369,48753,691826,31330,723158
5,49668,342017,381150,128729,72442,974009,55753,1029762
6,13435,77502,77991,30438,18883,218256,11175,229427
7,8666,29052,25521,8580,4701,76522,8852,85374
8,9544,66388,64944,18354,9303,168537,6436,174972
9,84,600,532,213,118,1549,253,1805
