STE_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
1,5042,26564,168675,763729,700376,187600,43414,93646,1989053,1078,12896,66851,56385,8371,1248,351,10913,158101,747,11887,45994,95957,31086,4413,871,10880,201836,1827,24785,112846,152340,39462,5659,1222,21799,359937,3152,29865,73592,22255,2521,501,329,12046,144266,2801,25143,112509,23126,1058,145,139,10673,175594,4166,43176,117669,30041,1133,157,97,12910,209349,3481,36016,66209,16805,688,55,58,8274,131582,211,1793,4244,2119,1289,573,230,877,11340,13812,135989,374219,94347,6692,1438,859,44776,672124,2491,7416,7710,3236,971,270,159,5281,27528,728,2060,2258,1505,868,314,228,1659,9619,23902,196810,665709,1015159,748364,195282,45879,167156,3058269
2,2539,14669,155103,832862,615022,107564,18900,82372,1829018,601,18184,102851,62580,11739,1162,301,12919,210332,265,4055,37777,67161,20396,2358,384,6237,138630,862,22237,140625,129741,32132,3527,686,19154,348963,1095,22014,53171,17816,1993,226,157,7396,103862,900,16292,30861,4850,302,61,42,3620,56935,1053,20755,36080,5076,258,28,35,4058,67347,1355,24690,41090,7434,262,26,41,6543,81442,24,351,354,200,142,53,22,235,1385,4426,84101,161559,35376,2967,392,294,21858,310968,1001,4134,4085,1633,519,99,68,3464,15003,185,646,813,802,441,92,104,593,3671,9012,125794,462182,1000417,651078,111675,20035,127438,2507636
3,4387,19092,101629,558007,564240,118586,27362,69123,1462426,672,9185,46088,30677,3301,287,150,8326,98694,450,6701,35269,74441,9017,563,224,9263,135925,1124,15888,81358,105119,12315,852,373,17589,234619,1266,16477,39037,13402,1443,234,174,7510,79548,598,8293,40079,9023,490,60,76,4144,62762,627,9279,29156,10393,591,52,30,3928,54056,756,14055,27046,8762,529,35,24,4846,56044,67,630,1037,402,226,129,77,591,3159,3311,48741,136366,41970,3278,513,375,21016,255570,7339,12813,3362,1893,1051,159,186,7925,34731,1620,3176,1628,1487,763,187,207,1619,10687,17782,99712,324350,708472,581646,120298,28504,117275,1998032
4,919,5674,51087,308364,144890,23134,4292,19609,557981,241,6556,35603,29957,2833,340,146,5214,80883,32,941,7432,13512,2076,260,44,1022,25314,275,7496,43033,43468,4906,597,189,6230,106196,210,6139,22339,3787,217,38,29,2099,34854,62,648,3200,539,26,0,5,326,4807,77,1124,3697,755,37,8,0,313,6009,73,1188,2014,488,10,10,0,267,4050,11,80,99,93,33,19,5,116,447,427,9180,31340,5658,330,64,41,3133,50166,799,1806,905,580,197,54,24,1619,5978,273,649,519,620,258,41,63,410,2844,2699,24805,126888,358692,150578,23894,4607,31002,723158
5,1334,7450,44872,291361,363156,50621,9303,34871,802965,221,7673,32438,46048,4557,389,188,6920,98428,106,2427,9911,16813,3652,392,121,1940,35371,328,10096,42353,62861,8212,779,309,8864,133798,165,4867,12064,3590,295,32,53,2044,23111,204,4215,8340,1873,72,8,10,1154,15881,242,5126,8482,2492,95,6,13,1373,17829,141,2364,5415,1669,69,3,18,703,10380,30,237,300,135,121,46,36,75,978,772,16809,34606,9760,652,100,128,5353,68180,4239,6935,2102,985,692,124,88,5560,20731,456,941,479,539,383,92,169,1038,4092,7134,42233,124407,365505,373097,51712,9996,55682,1029762
6,609,4089,31281,105568,39991,8056,1881,8326,199792,67,2432,5403,1097,147,38,10,1036,10230,22,409,1981,1150,281,79,21,201,4145,87,2837,7386,2248,421,112,34,1241,14374,133,2565,5237,1125,182,44,21,719,10031,61,379,614,118,20,7,3,81,1287,20,159,407,86,6,0,0,44,718,0,0,26,14,0,0,0,0,45,3,120,90,46,32,9,0,38,332,212,3220,6374,1384,243,61,31,892,12418,258,610,368,249,59,13,12,627,2208,47,137,144,122,67,13,26,76,631,1219,10893,45552,109576,40776,8251,1983,11166,229427
7,374,1578,4229,24173,13634,2706,788,4034,51511,66,1101,3112,1389,132,13,9,632,6447,15,249,1849,990,118,4,3,302,3536,86,1354,4965,2376,249,14,9,929,9981,78,861,2607,1125,105,11,7,585,5369,55,333,1220,373,3,0,0,222,2209,23,343,1916,1030,22,6,6,248,3598,44,518,1140,972,46,5,4,236,2959,3,18,5,0,3,3,0,18,63,202,2076,6886,3493,189,24,17,1309,14197,2112,2655,340,298,188,33,31,1987,7652,422,680,223,125,60,18,33,466,2024,3195,8345,16647,30467,14316,2792,883,8729,85374
8,95,839,4089,43504,45893,10000,1733,2932,109097,29,857,4943,7074,734,55,18,613,14320,36,1168,4305,7938,1629,100,18,617,15823,69,2021,9246,15013,2369,157,40,1233,30145,62,1511,2762,1140,141,7,5,388,6015,70,2539,4207,895,84,0,0,403,8201,78,4866,6289,1546,68,4,0,811,13663,53,2564,3039,687,21,0,0,334,6695,14,172,165,65,17,7,0,68,519,280,11640,16461,4336,339,22,13,2002,35098,17,56,72,19,3,0,0,189,367,14,65,69,48,35,6,11,28,275,484,14627,29939,62920,48639,10184,1799,6387,174972
9,3,85,270,567,272,55,10,195,1456,0,3,43,39,3,4,0,13,102,0,0,4,6,0,0,0,3,17,0,5,49,42,3,4,0,14,125,0,37,29,16,0,0,0,16,102,0,0,13,25,3,0,0,8,54,0,0,0,9,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,13,0,47,52,47,7,0,0,31,176,0,4,0,3,0,0,0,0,9,0,9,4,5,0,0,0,12,41,10,149,376,662,284,60,12,252,1805
