STE_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
1,97030,19800,1927,883,101227,15228,243,236336,81134,39292,5865,2865,106628,18971,663,255408,143854,145959,31498,14272,183092,44752,1939,565372,118267,176077,55131,25320,130567,37959,1348,544675,112831,166717,50834,21823,113465,30647,1061,497375,100963,147483,48783,23412,119349,26814,1113,467917,63974,105026,48531,26791,111238,22034,1196,378790,31832,47532,24037,15437,74608,16955,404,210801,9100,10396,4986,3487,32881,10125,101,71075,758986,858285,271577,134284,973052,223481,8071,3227741,96215,27698,3293,1368,79533,13414,243,221757,73525,58718,12722,7461,73495,15013,621,241550,95300,168872,69455,72198,133549,37604,1539,578519,51475,159197,111901,111202,92534,31855,954,559136,51000,169496,111116,79868,81884,25677,931,519964,49006,149831,101125,72709,94943,23295,1812,492722,31894,94339,84208,69321,102949,22050,1462,406224,21902,44848,37004,33584,81065,21147,445,239983,11795,14079,7419,5524,54235,19577,127,112755,482105,887078,538245,453227,794179,209642,8132,3372615,193245,47492,5221,2248,180761,28640,485,458094,154666,98004,18589,10320,180116,33987,1282,496960,239153,314829,100958,86470,316640,82361,3484,1143885,169744,335276,167038,136519,223102,69816,2305,1103810,163826,336214,161947,101691,195350,56324,1995,1017332
2,79242,13508,1126,537,81257,10982,223,186878,70050,31630,4188,1859,89078,13835,490,211127,130010,127617,24288,9927,154754,34952,1192,482738,105347,150358,42621,17566,106837,28404,883,452009,99083,136991,36434,14536,90789,22831,890,401556,83486,114975,33420,14498,92132,18682,916,358093,50598,79324,34337,17986,83326,15178,893,281641,24210,35670,17551,10771,56424,11703,297,156620,7168,8098,3869,2772,26332,6378,83,54707,649192,698161,197829,90439,780933,162948,5867,2585370,79419,19607,2103,763,64807,10039,202,176941,65308,47898,9131,4756,61097,11264,438,199893,87631,151294,56079,55871,110558,29367,1018,491818,46048,137304,92152,89843,75055,24206,620,465234,42474,143381,89951,62512,65221,19495,747,423787,38479,120635,78618,53768,72139,16796,1469,381901,23670,72676,64632,52962,78797,15889,1238,309856,16103,33733,29195,26552,62245,14448,377,182655,8784,11021,6165,4522,45046,11639,99,87282,407915,737549,428019,351551,634970,153141,6215,2719371,158655,33113,3229,1297,146064,21028,428,363818,135358,79521,13321,6613,150171,25097,929,411018,217646,278909,80362,65798,265315,64317,2207,974557,151398,287661,134768,107403,181888,52612,1504,917239,141562,280369,126389,77048,156012,42334,1635,825346
3,70003,13664,1247,649,64019,10928,187,160684,54814,26755,3580,1698,61667,14127,884,163526,93458,93109,19342,8497,96667,33254,2908,347238,79341,113189,32648,14071,67102,28014,1244,335607,80520,112638,30566,12984,66692,25393,785,329582,68625,95727,29842,14453,72036,21227,815,302730,42666,69732,33307,18869,72264,17490,806,255140,19233,29878,16588,11069,47603,11405,332,136105,4884,5424,2830,2146,18287,5022,68,38661,513542,560112,169957,84438,566324,166865,8031,2069263,69247,18535,2265,949,52150,9909,180,153240,48803,41920,9082,5617,44207,11590,632,161851,61468,110889,45301,47107,67620,26250,1769,360401,37803,113905,71577,64756,44709,21634,712,355097,42155,125646,68510,44232,46511,19204,630,346888,38083,103952,62826,42119,56016,17645,975,321613,21381,62053,55459,47399,64816,15994,852,267954,13045,26471,23121,22090,49751,12958,299,147737,6108,7150,3841,3076,30258,9213,79,59729,338096,610539,341996,277335,456035,144390,6121,2174512,139247,32198,3519,1597,116164,20829,365,313921,103610,68674,12664,7320,105866,25716,1516,325377,154930,203999,64646,55600,164287,59502,4674,707640,117146,227093,104223,78825,111807,49649,1951,690701,122672,238284,99080,57209,113208,44599,1409,676466
4,22737,3775,343,133,21349,2710,64,51102,20290,9081,1160,513,21794,3005,173,56020,33847,33085,6753,2747,33533,7360,663,117986,27121,39223,11156,4593,22810,6674,358,111930,28024,39202,10592,4070,22571,6162,221,110847,26516,36658,10793,4698,25870,5436,186,110171,16551,27547,12478,6626,25181,4473,214,93060,7624,12295,6710,4061,17469,3184,71,51404,2257,2815,1464,1067,8943,1621,31,18195,184963,203676,61444,28508,199513,40630,1979,720709,22407,5402,619,243,16851,2447,53,48025,18028,13374,2690,1569,14797,2377,82,52918,20916,37428,15509,15758,22183,5602,266,117667,11655,37509,24718,21833,14113,4871,184,114884,13073,42376,24376,14479,14391,4622,167,113485,12883,39974,24286,14807,19025,4469,294,115736,7457,24595,23104,18183,22841,4503,284,100961,5078,11276,10376,9509,19949,4067,90,60352,2972,3872,2198,1671,15554,2764,31,29059,114470,215811,127868,98044,159711,35723,1446,753076,45144,9177,960,374,38200,5158,112,99127,38316,22457,3852,2080,36589,5386,256,108934,54765,70508,22267,18502,55718,12968,922,235649,38772,76733,35870,26430,36921,11544,539,226812,41099,81580,34968,18540,36960,10782,392,224327
5,34430,6099,547,296,32548,4704,75,78688,27629,12163,1618,676,32256,6683,403,81421,51766,46642,8392,3835,54932,18955,1054,185574,47168,60013,15256,6807,42758,18008,662,190677,44248,56199,13466,5817,39763,15511,554,175557,37773,48144,12656,5969,39565,11942,545,156598,22214,35018,14571,7935,34551,7530,409,122241,9387,14571,7355,4769,21242,4861,152,62335,2541,3157,1519,1134,8704,2581,40,19675,277154,282007,75379,37251,306314,90787,3892,1072768,34034,8580,968,420,26194,4334,89,74614,25886,18515,3700,2412,22125,4976,320,77932,34247,56098,22291,26722,36548,12565,818,189288,20067,58032,37151,38741,26305,10744,326,191359,20014,62143,35018,23965,24373,9163,322,174994,18062,52573,31253,21838,28052,7924,599,160317,10025,30237,26747,23558,30663,6919,519,128659,5885,12839,11232,11051,22273,5842,159,69285,3249,4138,2308,1788,14519,4448,59,30508,171481,303151,170663,150480,231058,66919,3202,1096955,68465,14678,1516,709,58737,9033,163,153301,53516,30682,5308,3085,54385,11659,717,159356,86016,102736,30680,30565,91482,31518,1874,374865,67235,118048,52405,45545,69062,28756,990,382035,64263,118336,48482,29777,64129,24677,874,350552
6,6749,1135,104,50,6391,1041,9,15478,5529,2714,371,167,6008,967,128,15884,10722,10499,2217,1047,11399,2494,244,38622,7951,11082,3310,1416,6124,1928,106,31923,8266,11840,3176,1385,6648,1851,41,33213,8258,11612,3703,1843,8554,1877,42,35883,5112,8935,4370,2591,8747,1823,41,31615,2238,3780,2044,1616,5830,1284,13,16816,598,797,380,294,2355,573,4,5012,55415,62391,19685,10405,62070,13847,634,224449,6665,1601,211,99,5040,888,6,14511,4804,4004,864,649,4075,848,21,15260,6438,11835,5256,5117,7679,2042,122,38488,3681,11406,7308,6211,3762,1667,42,34082,4121,13592,7537,4410,4575,1536,39,35806,4115,13024,7927,5093,6539,1659,64,38417,2343,7745,7426,6180,7826,1789,42,33353,1402,3363,2959,3078,6692,1578,20,19091,806,1039,575,468,4110,879,9,7891,34368,67612,40065,31295,50295,12888,369,236894,13415,2738,314,150,11429,1933,21,29991,10331,6716,1236,818,10083,1822,151,31142,17158,22334,7476,6167,19074,4540,364,77117,11635,22489,10616,7630,9888,3593,148,66003,12388,25431,10714,5791,11227,3384,84,69016
7,2728,951,210,121,2507,890,95,7502,2457,1475,349,166,2966,1403,1180,9994,5457,5305,1276,622,6333,3625,646,23254,4181,5428,1686,837,4172,2986,207,19498,3755,4733,1365,660,3682,2708,96,16995,3344,4127,1192,595,3967,2386,107,15723,2072,2782,1071,580,3481,1690,59,11740,557,720,305,191,1294,497,14,3577,65,81,21,29,273,77,0,546,24607,25603,7477,3806,28670,16259,2400,108830,2628,1124,295,134,2019,819,13,7028,2121,1887,611,383,2100,920,147,8170,4658,6464,2619,2334,4763,2761,278,23884,2708,5709,3226,2649,2889,2173,59,19407,2585,5423,2531,1421,2589,1976,31,16558,2274,4725,2261,1307,2976,1939,118,15598,1222,2583,1638,1115,2559,1361,58,10535,334,602,412,333,1023,405,21,3125,105,89,37,28,337,110,8,714,18654,28599,13625,9699,21260,12465,724,105017,5362,2071,510,255,4525,1706,109,14531,4579,3363,958,551,5063,2324,1324,18162,10113,11769,3887,2958,11097,6385,925,47139,6890,11137,4911,3482,7068,5160,266,38908,6341,10153,3893,2084,6263,4685,128,33551
8,6710,1243,82,32,4689,687,19,13461,6624,3368,325,143,5624,1129,50,17274,11431,11927,2080,761,10185,2262,88,38737,7953,13488,3917,1294,5984,1595,100,34340,7027,11404,3062,927,4304,1101,72,27900,5203,8511,2480,901,3636,822,60,21617,3015,6026,2380,927,3217,643,65,16276,1519,2600,1206,603,2181,478,22,8612,462,541,274,153,1158,272,5,2864,49939,59122,15811,5741,40981,8993,493,181083,6657,1664,141,53,3857,663,20,13059,6470,4884,693,279,3954,1005,43,17328,8036,13952,4456,3400,7317,1813,88,39065,4293,12834,7448,5127,4003,1226,75,35004,3739,11918,6155,2727,2792,897,63,28290,3071,9043,4973,2409,3011,682,122,23317,1733,5546,4561,2861,3241,728,87,18755,979,2521,2066,1590,2686,604,21,10468,551,772,409,282,1837,483,3,4342,35530,63136,30903,18735,32699,8103,520,189630,13365,2907,221,89,8546,1353,45,26526,13095,8257,1022,423,9577,2138,92,34599,19469,25879,6541,4164,17505,4071,177,77804,12247,26325,11364,6417,9990,2824,177,69342,10770,23322,9217,3657,7097,1996,139,56194
9,35,9,3,4,42,15,0,110,27,18,0,0,46,49,5,148,71,56,13,13,106,192,4,453,68,78,26,11,62,115,0,365,70,101,31,19,70,99,3,389,97,125,42,18,76,82,3,457,39,100,38,34,87,66,0,361,17,27,10,10,50,33,0,148,3,3,7,3,15,3,0,30,431,517,163,117,555,655,15,2464,44,13,6,0,33,17,0,113,28,26,8,6,41,20,7,130,43,74,29,26,63,61,0,290,32,95,58,30,50,61,0,332,51,108,69,39,49,69,0,379,48,144,77,42,67,72,0,442,32,73,43,51,63,49,0,309,10,30,15,22,40,29,0,142,3,5,3,3,9,3,0,34,285,569,305,215,412,378,10,2163,79,23,3,0,79,33,0,220,53,49,7,6,88,70,4,273,109,129,38,33,170,253,8,745,104,172,87,46,111,179,0,701,118,202,96,63,120,164,3,767
