STE_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
1,88176,166946,427365,429576,377951,293981,92964,14957,1506,1893429,718,1344,3208,3538,4555,4939,3547,1216,154,23238,47,374,1370,1310,1094,529,81,17,5,4825,2667,3967,12434,14523,15042,10975,2392,216,12,62226,72,393,1754,2310,2241,1244,199,14,0,8227,890,3052,11900,12653,10768,7015,1879,205,15,48382,566,2302,8261,10043,9399,6028,1417,165,11,38204,25481,26939,37340,31872,30923,24349,5902,553,34,183394,33053,20322,22555,16028,13956,11000,2533,250,21,119707,694,2663,8409,9561,10041,7534,1772,190,9,40875,616,2216,8075,7678,5370,2815,667,82,3,27530,499,5941,25804,29644,20771,10121,1955,187,22,94943,682,2767,7661,7607,6637,4156,1432,302,40,31292,1644,12962,45070,39109,28069,16657,5256,640,19,149430,1014,4644,14334,13861,13456,10345,2473,231,6,60356,1013,5558,22104,27262,26473,16738,3069,163,9,102382,6019,16507,49337,53889,55847,40840,10240,705,25,233407,7510,35808,95402,86286,87131,75299,18294,1280,36,407039,2341,3322,6130,5082,4237,2812,945,161,15,25039,2862,5723,14197,12446,11737,7969,2119,239,12,57306
2,71159,146433,388113,374941,320550,242832,76484,11928,1122,1633561,668,1254,3561,3707,4243,4375,2966,971,104,21855,10,87,328,427,444,213,55,7,3,1581,3608,4469,13197,15569,16677,11577,2385,208,10,67693,57,493,2635,3512,2433,1185,182,4,0,10510,542,2839,10537,10555,9068,5969,1438,150,3,41104,490,1980,6719,7942,7904,5041,1125,119,9,31331,23051,29020,34105,26664,27395,20437,4747,384,22,165822,30050,20442,20453,12707,11077,7910,1803,158,11,104604,484,2477,7754,8112,8186,5782,1237,97,8,34140,672,1690,5362,5277,3783,1926,464,58,6,19232,229,3292,16752,19737,13457,6513,1309,109,13,61408,344,1934,6390,5419,4824,3005,981,173,17,23082,806,8727,36876,32647,22945,12927,3948,427,21,119320,783,4122,12737,11148,10805,7708,1995,182,7,49489,621,4487,19707,23223,21887,14766,2987,253,7,87940,3766,12445,45077,48146,46676,33524,7668,518,18,197839,3840,27805,88101,77707,74314,60515,14403,817,28,347525,2737,3841,6361,5464,4486,2735,823,107,8,26578,1761,5248,13765,11805,10499,7008,1813,179,18,52095
3,71494,114902,267945,269692,256816,194122,58021,8742,756,1242498,827,1497,4276,3695,4239,4014,2363,788,65,21763,152,856,2833,2784,2129,1092,139,19,0,10012,2111,3017,7700,8906,9233,6529,1403,136,12,39046,106,336,1422,2105,1889,950,165,9,0,6988,734,2179,7532,8762,7769,5292,1367,136,12,33766,526,1420,3858,4488,4753,3193,755,76,7,19072,21505,19272,24857,20484,22052,17210,4163,361,18,129918,31700,16257,18562,12237,10594,7459,1831,155,12,98801,504,1866,5738,6742,7066,5298,1316,131,7,28667,448,1189,2373,2178,1847,1063,272,28,0,9401,334,2367,8645,9950,8109,4312,779,80,8,34584,484,1880,4847,5056,4988,3714,1438,239,18,22661,1273,7416,20891,20399,15656,9146,2658,282,6,77727,1035,3764,10054,9822,9913,7159,1794,144,8,43687,520,3715,14005,18184,18602,11257,1941,118,7,68355,3356,9624,29015,39646,43234,28910,5920,403,14,160114,5576,25711,67393,65209,64844,51989,10990,560,11,292282,2142,2861,4376,3720,3143,2077,648,91,3,19054,2489,5055,11777,10383,9483,6014,1570,166,3,46959
4,21463,39099,94083,91141,86755,71818,22102,3454,294,430212,252,479,1302,1616,1879,1911,1210,348,43,9040,29,186,656,477,402,222,34,7,0,2004,970,1274,3193,3771,4038,3069,705,63,0,17081,18,122,594,746,611,309,63,0,0,2467,220,665,2037,2166,2172,1604,502,40,3,9419,128,351,1106,1242,1559,1137,268,35,0,5822,7610,7132,8274,6616,7438,6262,1380,111,13,44841,8920,5908,5618,3743,3298,2569,540,68,0,30661,96,429,1215,1479,1698,1432,311,36,9,6703,127,306,841,853,612,376,118,15,0,3249,95,787,3109,3585,3264,1902,329,30,0,13113,75,355,1073,1107,1157,949,321,76,7,5119,244,1870,6068,6182,4814,3182,987,90,8,23456,270,1431,3675,3447,3896,3325,844,58,3,16952,156,1231,5091,7027,6764,4595,805,28,0,25705,999,3503,10574,12776,12768,9775,2289,146,0,52835,1410,8487,24849,23171,23022,20873,4335,205,9,106347,658,914,1324,1093,941,712,238,35,3,5920,665,1586,3803,3298,3199,2343,666,92,3,15646
5,34893,58467,146543,155611,139725,109493,34337,4858,436,684356,303,537,1564,1742,1985,1960,1232,334,24,9680,217,1584,6161,6097,4333,2083,257,25,0,20763,1080,1343,3805,4445,4319,2961,720,86,3,18766,55,215,978,1281,979,566,98,4,0,4172,277,1154,4554,4753,3962,2861,666,50,0,18285,297,759,2099,2391,2411,1657,390,52,4,10054,10821,10506,12440,10836,11321,9311,2228,178,11,67652,13883,8468,9251,6483,5263,3672,948,74,6,48047,272,997,2910,3179,3403,2616,706,66,0,14150,275,446,1012,846,693,504,141,13,0,3936,137,834,3797,4553,3727,2205,457,47,9,15761,163,736,2181,2283,2230,1703,618,100,7,10026,391,3065,10580,11147,7912,4688,1494,149,6,39439,478,1814,5084,5121,4646,3415,863,71,5,21492,382,1920,7446,9386,9316,6832,1366,96,3,36739,1725,4709,15312,20277,23098,16810,3872,255,7,86053,2316,11346,32945,32426,31057,25401,6159,329,8,141983,1325,1597,2539,2184,1740,1211,397,51,0,11046,1340,2692,6444,5655,4855,3217,850,97,3,25155
6,6152,10777,30301,25620,25556,22661,7179,1084,106,129437,122,247,772,680,705,692,361,105,7,3692,0,20,89,70,67,34,13,5,0,300,328,374,900,819,892,771,179,15,3,4283,8,49,308,374,299,147,20,0,0,1207,55,157,517,575,496,431,126,15,0,2363,44,141,289,308,348,261,85,5,0,1467,2089,1983,2924,2185,2402,1982,458,41,0,14060,2561,1614,2684,1493,1334,1099,271,30,0,11081,43,154,387,445,579,532,120,14,0,2261,36,89,263,242,223,205,54,0,0,1111,32,175,732,753,639,416,77,7,0,2817,39,166,376,275,324,270,88,19,0,1557,114,437,1588,1454,1242,880,295,21,0,6032,87,287,831,886,967,770,185,25,0,4033,75,447,1820,2506,2802,1883,329,11,0,9876,246,827,3136,4104,4482,3427,773,44,6,17039,361,2430,7753,6403,7052,6807,1329,68,4,32207,220,230,472,420,428,370,122,13,0,2275,198,500,1265,961,910,636,186,19,0,4680
7,2460,5050,15076,13305,11358,9142,2959,307,22,59675,92,176,234,180,186,179,71,14,0,1123,11,40,160,140,110,71,6,0,0,542,52,75,139,153,167,106,35,0,0,722,0,16,98,132,117,70,5,0,0,434,38,89,382,401,381,282,63,5,0,1644,10,44,123,125,126,86,27,0,0,543,629,503,1069,742,731,595,185,17,0,4478,750,506,1337,748,507,405,104,14,0,4372,43,91,249,229,243,200,47,5,0,1104,15,32,110,95,49,55,9,0,0,361,3,45,255,199,153,88,33,0,0,789,11,55,191,167,156,127,47,10,0,767,50,178,901,700,551,412,131,14,3,2939,43,128,429,412,399,290,74,4,0,1779,113,671,2327,2432,2165,1408,275,10,0,9400,192,447,1708,1902,1847,1409,332,18,0,7864,187,887,3981,2910,2257,1939,488,21,3,12672,121,185,406,267,224,148,66,6,0,1422,91,158,534,506,365,251,77,5,0,1988
8,6096,12885,32909,30347,24070,14544,4183,570,49,125660,14,29,51,47,23,51,32,3,0,248,0,0,12,12,3,3,0,0,0,27,164,151,267,212,205,129,41,10,0,1182,10,54,186,159,109,40,5,0,0,554,54,184,605,491,381,209,48,8,0,1981,24,71,114,97,110,78,20,0,0,511,1751,1772,1879,1013,857,727,248,28,0,8270,2254,1780,1685,781,485,372,83,9,0,7458,21,72,235,217,237,164,44,4,0,996,53,161,375,364,296,159,38,13,0,1465,20,148,545,517,340,211,58,8,0,1835,39,224,466,346,239,177,59,14,3,1570,174,1302,3461,2980,2035,1096,302,37,0,11385,80,297,951,737,617,470,135,11,3,3297,272,2446,9555,10978,9076,4353,577,24,0,37279,680,1377,3436,3899,3488,2152,544,48,0,15632,497,2305,6100,4858,3768,2732,681,43,0,20993,343,444,548,432,347,229,91,14,0,2454,308,535,946,761,632,415,132,8,0,3751
9,70,98,242,228,257,306,142,22,3,1370,0,0,3,0,5,3,0,0,0,15,0,0,4,4,6,0,0,0,0,24,0,0,6,0,4,7,0,0,0,15,0,0,0,3,4,3,0,0,0,12,0,0,4,3,10,3,0,0,0,22,0,0,0,3,0,4,0,0,0,11,7,10,10,24,24,33,20,8,0,131,21,16,22,21,35,30,13,0,0,161,0,3,9,4,5,7,3,0,0,37,0,0,5,0,0,0,5,0,0,5,0,0,6,8,6,4,0,0,0,22,0,0,0,3,0,4,0,0,0,9,0,3,4,8,9,18,3,0,0,46,4,3,11,21,25,19,3,0,0,88,12,21,60,54,63,35,11,3,0,263,0,8,31,25,26,36,6,0,0,133,0,6,22,20,32,38,23,3,0,146,8,0,8,3,6,7,5,0,0,35,0,0,4,4,3,3,0,0,0,19
