STE_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
1,3219672,3364483,6584154,1269509,865099,2134609,431583,719187,1150775,192337,201718,394053,105030,84611,189644,1998465,1870615,3869076,1030044,1302101,2332141,5.3,4.5,4.9,62.1,55.6,58.8,58.8,53.1,55.9,238391,246533,484930,47523,87765,135281,537593,676426,1214021,256907,357796,614695,645067,341156,986224,25405,47520,72929,50635,84046,134682,721108,472719,1193832,3110862,3211021,6321882,582597,600594,1183195,2005859,2079050,4084906,1487095,1543601,3030694
2,2579500,2713153,5292655,1164672,703188,1867866,377394,697500,1074894,91497,118780,210271,89405,77826,167240,1722977,1597297,3320266,718031,978020,1696048,5.2,4.9,5,66.8,58.9,62.7,63.3,56,59.6,192145,205553,397698,50329,101736,152066,443079,555375,998456,224180,293000,517180,494179,259375,753558,18965,30084,49053,32016,47628,79642,545163,337090,882252,2523526,2618692,5142224,451755,467961,919713,1615287,1688722,3304014,1199353,1245009,2444356
3,2061240,2168392,4229629,878926,562806,1441728,270812,517730,788545,92762,125030,217791,75443,63574,139014,1317940,1269139,2587076,599436,768088,1367523,5.7,5,5.4,63.9,58.5,61.2,60.3,55.6,57.9,95475,102999,198471,30926,62410,93340,260036,374528,634562,163402,235850,399255,511951,285521,797478,24920,35353,60269,30598,45230,75828,567469,366101,933576,1934120,2006329,3940447,419329,450630,869960,1171415,1202911,2374327,1052746,1132404,2185150
4,718731,751624,1470350,302182,176972,479149,106486,203666,310152,21550,26265,47813,26762,20984,47745,456975,427882,884863,228171,292065,520230,5.9,4.9,5.4,63.6,56.9,60.2,59.9,54.1,56.9,36735,39882,76622,11247,21614,32865,95240,129343,224587,54311,72590,126898,163354,94871,258226,8543,11942,20486,10721,15109,25831,182618,121932,304548,711078,735985,1447065,109839,114420,224256,477844,492617,970463,301875,319039,620913
5,1068878,1093753,2162635,502128,286437,788565,142015,298066,440082,40220,40843,81062,36757,33289,70045,721118,658634,1379751,270530,375064,645595,5.1,5.1,5.1,67.5,60.2,63.8,64,57.2,60.6,55121,55131,110251,16779,33616,50391,150728,204018,354746,87898,113738,201641,252566,132184,384756,14182,20823,35004,13634,24368,38000,280386,177379,457757,1038194,1064575,2102770,180928,189819,370745,674013,686847,1360864,474843,501327,976172
6,223815,236522,460334,88476,51657,140135,33671,64660,98328,7291,8731,16014,8799,7235,16036,138235,132285,270518,73898,92752,166654,6.4,5.5,5.9,61.8,55.9,58.8,57.8,52.9,55.3,12821,14343,27166,3460,6746,10206,26784,37258,64047,15131,21147,36278,54144,31256,85395,2690,4918,7604,2869,4828,7692,59703,40996,100699,216464,225635,442096,36505,38477,74983,145134,150170,295308,95394,102076,197474
7,106433,104294,210728,43850,33654,77505,10342,17257,27599,5480,5926,11409,3556,3107,6662,63226,59944,123172,29626,32870,62492,5.6,5.2,5.4,59.4,57.5,58.5,56.1,54.5,55.3,5253,6438,11688,1537,3524,5061,11406,17499,28902,7516,8710,16230,22884,11034,33918,1378,1869,3251,1446,1704,3144,25708,14605,40315,92316,91407,183728,21710,22685,44397,58200,57173,115378,48176,49965,98137
8,180588,189109,369693,93308,70590,163896,26922,44490,71409,5437,7716,13156,5469,4548,10012,131132,127340,258468,41700,54548,96249,4.2,3.6,3.9,72.6,67.3,69.9,69.6,64.9,67.2,27304,25161,52463,6379,10267,16646,40364,49085,89454,15138,19074,34214,25168,14592,39763,1472,2023,3493,2003,3583,5587,28644,20198,48845,171210,177612,348825,40340,40907,81250,102974,108136,211109,97255,99704,196956
9,2445,2156,4603,998,649,1648,268,500,766,98,97,199,26,33,58,1397,1269,2670,620,511,1136,1.9,2.3,2.1,57,59,57.9,56,57.6,56.8,65,75,144,30,61,95,206,269,480,144,205,344,551,204,759,40,56,95,18,44,61,612,302,914,1783,1731,3510,387,362,746,1255,1221,2480,796,787,1577
