STE_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
1,3836,12171,10604,10820,10096,8693,4358,985,61557,11384,32646,44221,21172,10557,4103,721,61,124862,21151,86013,85300,85850,93700,73349,39076,10966,495400,17386,41907,37562,35879,30902,21631,11081,3341,199688,2953,8814,9708,10527,9517,6342,2965,746,51570,5115,23181,19124,16494,14721,10481,5104,1663,95884,1621,11274,11056,11444,12889,14721,6104,1581,70692,19978,85190,92843,71881,53304,36374,14932,3423,377925,9887,35851,33017,31404,25421,19798,8161,1946,165483,7486,19953,16224,10340,6885,4529,1731,417,67570,6336,16693,16766,12448,8445,5153,2540,534,68905,720,617,364,275,313,325,193,143,2952,1861,5386,6306,6116,5126,3585,1746,586,30704,35586,50672,44964,37673,33381,28730,23017,12880,266895,145282,430373,428056,362343,315240,237823,121715,39275,2080099,5207,14525,14228,11541,9075,5697,2194,536,63002,2612,11511,14929,7789,4899,2115,465,36,44370,2316,12565,11211,7654,7282,4361,2702,1402,49500,2263,7119,5854,4135,2580,1271,441,98,23763,2321,5332,5038,4379,3401,1659,576,115,22817,20577,71684,57680,50661,49729,34966,15398,5085,305778,10517,46401,45619,43127,40085,36546,15432,4201,241919,29574,120844
2,4955,11507,9667,9482,8340,6787,3329,693,54772,7912,30625,39099,17945,8704,3515,503,45,108355,18681,73046,69994,68231,67814,51550,26930,7750,383990,14257,42805,32950,27646,21568,13912,7298,2193,162633,2691,8013,8895,8581,7172,4212,1790,492,41833,4487,20918,16624,13378,11380,7749,3265,1053,78847,1777,10677,10153,9533,10760,11609,5685,1256,61459,15735,66436,72975,55609,38722,24989,9704,2312,286478,9313,30093,26376,23283,18191,14180,5589,1276,128296,7689,20438,15351,8988,5233,3346,1356,334,62747,4964,16318,15800,9647,6692,3491,1636,387,58944,543,554,353,217,199,171,103,30,2168,1601,5627,6917,5914,4429,2947,1392,441,29261,25400,37784,32183,27678,23574,20129,16495,8795,192045,120010,374845,357324,286133,232778,168589,85072,27059,1651815,6923,15438,14553,10739,6865,3807,1219,349,59892,2034,12044,13686,6341,3627,1393,255,17,39403,2248,11390,10453,6791,4938,2917,1941,1075,41742,1980,7581,5654,3818,2165,894,304,78,22481,2165,5051,4801,3768,2640,1020,322,82,19847,18602,70883,54352,43537,38179,26625,12048,4261,268490,8261,40750,39570,36766,33589,30070,13338,3129,205480,18522,86735
3,2481,6076,6099,5862,4846,4422,2033,399,32221,4516,12532,15689,9574,4961,2138,398,29,49831,21202,61704,63696,62608,63241,51868,25532,5946,355792,9515,27366,26549,25134,22457,17685,8423,1967,139085,2491,5314,6812,7508,6201,3791,1807,374,34298,3995,15449,14050,12920,10322,6737,2928,777,67172,1250,6141,7816,8644,8816,8689,4042,759,46155,15435,35941,41845,38040,28296,19687,7584,1481,188308,10732,20599,18613,17733,13351,10420,4193,799,96440,5567,10021,7331,4813,3142,2297,881,235,34287,6658,12093,11342,9305,6237,3894,1631,296,51457,880,417,206,173,141,169,82,30,2099,1635,3303,4200,4234,3378,2250,1092,319,20416,26248,34480,31139,29477,25448,21641,15339,6951,190720,112608,251435,255384,236020,200825,155680,75958,20357,1308275,3267,7574,7928,5948,4020,2493,840,182,32258,1009,3792,4389,3042,1942,910,191,13,15284,2427,6833,6268,4613,3493,1987,1096,468,27187,1227,3958,3303,2344,1294,625,192,43,12968,1932,3662,3895,2931,2077,861,237,40,15634,17485,50214,43116,38434,35333,23187,9992,2866,220614,6429,25279,33327,34146,28522,22980,9142,1938,161758,24115,63570
4,807,2422,2657,2552,2175,2191,1036,217,14053,1708,4983,5698,2929,1758,845,129,10,18067,6064,20213,19552,20715,21270,18126,9369,2776,118084,3183,8684,6324,5904,5536,4327,2503,753,37206,1050,2580,2927,3021,2478,1616,585,150,14404,1403,5180,4701,4176,3838,2781,1209,351,23642,487,2914,2654,2588,3065,4203,1845,310,18064,3666,13025,15164,13054,10339,7530,3051,760,66598,2854,7339,7057,6163,5517,4667,1910,395,35905,1821,3353,2770,1751,1306,937,354,92,12382,1674,4177,3634,2789,2097,1248,514,131,16269,110,94,64,60,54,40,25,8,459,439,1252,1441,1350,1081,848,424,160,6991,6059,7861,7522,7371,6948,5948,4758,2509,48963,31314,84078,82175,74424,67459,55310,27714,8619,431101,1067,2903,3089,2211,1545,1068,354,98,12341,381,1919,1746,978,596,329,60,8,6017,626,2169,1923,1512,1110,720,544,299,8902,410,1421,1033,786,466,275,79,16,4487,799,1458,1478,1164,820,353,77,18,6177,5437,18219,15371,13536,14427,9991,3996,1414,82391,2204,9432,9593,8918,8671,9111,3994,932,52840,5272,19511
5,1801,4511,4798,4485,3743,2995,1305,251,23889,2630,6039,8368,4628,2410,975,188,10,25246,12128,42023,44373,39757,36648,27502,12063,2981,217479,4278,13427,12106,10319,9464,7245,3480,1002,61327,1225,2791,3628,3520,2973,2074,982,253,17449,1920,7252,7028,6256,5006,3162,1487,405,32532,806,3308,3740,4036,4562,4221,1856,439,22975,7205,17291,22453,19187,14400,9918,4076,859,95388,4630,9145,8810,7843,6296,4980,1989,416,44115,3223,4633,3770,2281,1537,1237,433,99,17206,2383,5740,5976,4378,3181,1723,799,144,24323,402,204,99,79,103,78,49,16,1024,716,1896,2308,2178,1668,1056,557,157,10532,11684,19307,19101,17234,13744,9521,6545,3444,100576,55040,137555,146546,126186,105725,76697,35803,10493,694049,2438,5848,5989,4256,2700,1430,432,112,23209,467,2278,2746,1530,1020,411,84,7,8542,1405,5064,4709,2806,1788,1075,552,329,17728,547,2249,1877,1261,777,353,87,26,7170,1029,2369,2664,1843,1177,477,112,33,9708,8530,26784,23256,18834,17375,11633,5326,1687,113425,4384,14643,17545,17973,15632,11421,4597,1187,87370,10355,31415
6,182,776,790,849,802,710,350,87,4555,521,2251,1483,743,532,260,52,0,5836,1482,5822,5103,5688,6518,5336,2797,718,33469,1119,3220,2385,2466,2680,1861,996,244,14973,368,978,1181,1196,1025,663,266,74,5759,264,1409,1175,1189,1216,925,363,95,6643,90,683,920,907,1114,1330,574,132,5749,944,5971,3647,3031,2693,2031,813,182,19303,592,1997,1764,1832,1696,1548,524,109,10061,329,858,753,592,496,439,183,34,3692,533,1408,1220,1023,850,488,172,30,5718,37,51,16,13,14,21,10,3,163,125,395,404,421,330,282,143,36,2138,2226,2814,2307,2410,2529,2504,1939,807,17546,8818,28626,23152,22352,22499,18411,9185,2549,135606,297,935,873,715,540,339,94,29,3822,104,763,308,227,174,112,23,0,1713,145,559,463,439,387,243,124,72,2433,85,357,275,187,161,70,19,0,1158,210,580,531,534,396,168,45,12,2476,1495,4914,3928,3696,4280,3245,1440,443,23435,481,2393,3152,3101,3311,3083,1553,448,17515,1763,8002
7,54,276,301,257,269,223,60,9,1445,262,722,575,269,175,93,5,0,2110,1090,3626,3206,3041,2952,2160,610,82,16762,328,1133,1049,868,882,619,195,29,5103,213,385,469,429,370,260,66,4,2194,144,867,838,587,530,286,69,6,3330,66,389,402,399,510,467,136,17,2382,414,2398,1783,1381,1128,763,175,7,8045,359,1215,1232,957,742,529,130,17,5194,107,310,292,179,157,97,34,6,1174,269,635,570,388,282,158,36,0,2334,13,13,15,17,11,11,0,0,75,62,206,263,241,145,101,26,3,1047,2255,3471,2872,2819,2629,1875,561,112,16587,5647,15650,13859,11825,10783,7642,2104,286,67794,107,410,353,265,190,110,24,0,1453,41,256,217,116,83,36,4,0,753,94,381,290,183,131,81,22,8,1198,31,141,102,73,44,16,0,0,412,209,329,291,228,129,49,11,5,1246,619,3321,2181,1566,1720,970,219,54,10646,288,1463,1574,1461,1451,1038,259,25,7558,810,3573
8,489,1622,1412,1308,1222,1089,620,172,7934,1234,4261,4528,2638,1676,651,110,3,15109,841,4360,3961,3450,2948,2359,1284,474,19674,773,2302,1748,1439,1121,787,525,170,8858,107,512,513,487,428,286,171,51,2572,316,1509,1263,899,689,462,211,77,5430,100,802,873,771,633,602,359,84,4218,1136,5677,5643,4451,2998,1849,710,175,22627,1417,4890,4421,3770,2804,2456,1182,299,21240,511,1313,1183,721,422,281,101,20,4554,397,1093,932,665,362,166,89,18,3724,42,24,9,10,8,15,9,0,121,159,456,520,416,280,241,144,71,2286,1827,2472,1944,1358,1037,772,604,329,10341,9360,31291,28956,22396,16631,12002,6105,1935,128686,589,1763,1552,1241,863,588,213,57,6870,388,1455,1312,778,578,240,47,3,4807,117,739,710,368,281,195,90,47,2560,128,461,347,258,171,94,20,3,1484,155,450,379,377,199,96,45,12,1705,1232,4743,3623,2656,2296,1686,887,330,17465,559,2608,2804,2352,2093,2112,1193,304,14025,1633,7564
9,5,11,5,4,17,8,7,0,48,0,0,12,0,4,3,0,0,28,25,63,49,68,85,62,15,4,373,11,23,14,31,34,22,6,5,151,3,8,4,4,10,0,0,0,30,3,6,10,10,0,15,3,0,47,0,4,10,9,10,9,3,0,48,6,20,23,16,21,16,9,0,110,8,22,32,17,5,15,8,0,110,0,3,4,4,5,4,0,0,25,4,14,16,13,18,0,0,0,53,0,0,0,0,0,0,0,0,0,0,5,4,6,8,3,0,0,24,64,193,121,109,96,75,42,3,705,134,372,297,296,317,237,87,14,1755,0,5,12,8,0,0,0,0,26,0,7,6,6,0,0,0,0,13,0,0,4,6,4,0,0,0,19,4,0,0,0,0,0,0,0,11,0,5,3,9,4,0,0,0,18,7,27,19,23,31,37,9,4,158,7,22,33,30,30,24,11,0,164,18,42
