GCCSA_PEP_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
1GSYD,0,0,7,97,909,2835,4345,3128,523,481,477,494,219,179,258,13947,0,0,16,171,813,4058,10994,5695,1205,1323,1236,1164,556,226,391,27852,37,121,574,1072,1129,1471,2339,1503,361,338,427,502,296,98,157,10427,398,1210,1436,2945,27061,37955,74186,41150,10035,11081,9623,11189,3853,666,5348,238145,76,1100,5540,1793,786,2141,683,204,43,27,40,24,9,9,414,12871,404,1169,2936,1902,2754,2573,3000,2211,496,556,464,391,189,73,545,19654,51,150,423,2024,9033,8722,7478,2673,570,502,665,746,325,57,746,34172,2156,2539,1888,1333,1540,1588,2889,1499,341,346,359,464,221,75,513,17751,345,5187,13265,3156,926,574,467,1138,164,129,100,88,47,17,1357,26971,95,339,968,4143,12201,12864,5690,3437,1026,1069,957,1094,1056,434,736,46103,203,227,1710,2755,6329,16201,53702,36894,12149,13410,16109,17591,6099,1657,2664,187687,72,211,323,1691,4148,7431,8683,4825,1385,1387,1615,1959,815,92,733,35388,9,14,284,1022,3405,3388,5615,7444
1RNSW,0,0,0,3,11,28,86,332,44,50,30,63,5,9,25,692,0,0,0,11,16,84,429,505,123,212,147,151,35,16,22,1751,25,60,388,608,558,591,1069,638,112,141,133,176,117,25,95,4750,67,144,119,186,639,841,2454,1670,479,663,661,917,194,53,340,9446,36,375,1151,345,103,308,158,24,0,7,4,4,4,0,86,2611,69,205,230,94,62,90,232,168,32,53,53,89,21,26,58,1469,36,76,139,266,482,413,511,325,81,94,120,164,155,178,155,3180,1745,3087,1429,752,1073,670,951,472,85,109,90,115,71,16,406,11079,64,656,1046,248,84,55,38,73,3,11,3,9,4,6,127,2420,25,38,133,258,361,253,272,202,71,93,61,60,71,12,75,1998,139,127,440,482,465,876,5071,4956,1494,1553,1912,2143,908,179,440,21183,42,145,89,90,156,291,530,380,93,145,131,207,113,10,76,2496,9,0,13,33,155,122,258,414
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,0,0,3,29,535,2452,7028,7183,1174,1344,980,1388,532,453,408,23509,0,3,12,96,252,924,3760,2269,485,527,510,466,246,56,97,9697,11,88,377,832,890,1103,1852,1426,305,310,376,414,191,74,122,8367,130,426,727,1073,11495,17109,52073,35450,9185,9967,9493,11415,3782,781,2814,165916,50,1035,5745,1973,807,1921,665,192,29,17,19,31,7,3,352,12850,221,1345,2220,1049,1449,1384,2326,1679,246,278,335,219,111,44,335,13257,16,59,135,540,2672,2329,2930,1268,251,269,277,323,128,38,173,11420,2634,4346,2266,1205,1579,1421,2328,1245,257,277,280,332,156,68,515,18907,399,7849,23333,5773,1654,711,571,2082,254,214,151,161,59,18,1608,44834,46,159,462,1554,5330,5367,4183,2689,730,768,827,887,708,258,414,24393,248,187,2389,3450,6175,12011,81317,48509,13972,15856,21123,24202,7789,1697,3552,242489,46,154,212,497,1321,3838,5532,2624,783,944,972,1258,722,81,306,19280,11,15,72,235,1389,1227,4088,8816
2RVIC,0,0,0,0,12,63,410,868,115,114,78,120,46,32,43,1898,0,0,5,8,8,36,222,163,23,46,26,40,16,0,4,595,11,34,151,233,226,228,467,273,75,56,54,84,27,15,38,1983,24,29,122,43,190,317,1588,1039,332,381,500,612,111,23,174,5477,31,391,1060,333,106,247,64,18,3,0,0,6,0,0,100,2363,33,94,112,36,29,39,155,73,27,26,49,42,27,24,31,789,14,9,27,59,159,145,223,139,16,24,29,61,39,9,33,986,1059,2068,767,404,473,253,435,198,52,52,34,61,37,15,233,6156,43,421,737,211,42,42,21,33,14,3,5,6,0,0,122,1707,3,13,30,59,106,107,159,146,35,35,47,65,54,10,39,914,68,59,212,206,209,345,4409,3309,981,1108,1500,1856,746,103,386,15498,19,60,33,35,80,145,286,221,48,74,91,123,76,9,43,1336,0,0,11,8,57,53,162,423
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,0,0,0,7,85,297,1072,1644,239,229,152,208,138,118,99,4293,0,0,5,25,43,213,921,526,117,125,146,96,49,33,24,2318,15,56,288,580,691,730,1482,1011,179,203,271,239,144,80,93,6058,78,294,284,303,1938,3029,13469,8487,2474,2762,2721,3838,1322,219,783,41999,11,134,650,240,129,518,147,56,7,9,10,6,7,4,47,1966,35,123,137,67,104,111,402,251,62,64,54,92,64,21,42,1639,20,45,207,551,2403,2415,2779,1138,197,195,216,239,110,59,223,10790,1099,1349,907,725,1252,813,1605,642,141,132,142,217,115,53,237,9428,107,591,699,234,130,82,76,121,14,15,16,11,3,7,135,2245,19,73,171,487,1663,2148,1698,1221,357,302,384,517,399,145,211,9801,96,104,530,618,1082,2085,18518,11725,2656,2916,3894,4611,1615,373,835,51660,58,203,174,237,483,860,1382,669,168,197,217,278,183,25,102,5232,4,16,18,64,350,364,1528,2445
3RQLD,0,0,0,9,18,53,107,161,20,27,18,8,3,12,15,452,0,0,5,9,18,76,380,215,35,60,69,79,36,7,13,993,21,82,384,732,723,831,1524,1107,216,262,282,344,215,82,107,6901,60,111,106,111,703,970,3961,2880,824,929,1052,1357,443,54,278,13849,27,241,671,210,103,239,83,29,14,3,3,0,5,0,67,1699,62,166,218,104,98,89,207,139,30,36,44,97,24,11,52,1367,24,68,160,278,627,569,915,452,65,100,94,124,75,20,121,3692,998,2303,1494,997,1647,938,1630,695,129,150,167,244,110,25,330,11863,38,280,434,137,58,42,46,66,4,10,6,5,0,5,62,1196,34,29,117,216,426,465,493,466,129,107,149,175,138,54,61,3060,104,100,350,304,350,609,6042,4686,1272,1277,1615,2020,814,225,443,20216,49,195,158,177,243,435,730,516,143,135,187,254,131,27,100,3495,0,4,26,63,206,148,395,494
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,0,0,0,0,32,359,2468,2867,406,396,379,553,150,163,111,7881,0,0,4,3,16,58,677,688,101,152,196,135,96,12,22,2162,3,21,141,262,324,292,508,280,57,74,82,105,64,29,29,2274,23,136,126,248,848,1178,7550,5886,1734,1910,1702,2355,685,81,372,24844,36,346,808,283,136,581,209,28,7,9,3,4,3,0,57,2510,38,211,131,48,96,96,328,243,52,84,64,110,55,6,33,1590,7,21,44,82,240,197,294,94,20,30,35,27,18,3,19,1143,1265,2306,1051,526,625,380,629,301,22,56,49,81,60,7,224,7587,92,2563,3223,671,232,113,120,220,28,19,3,26,10,3,252,7571,11,18,67,167,521,542,692,592,232,249,247,319,308,66,84,4122,81,83,400,361,389,837,13229,8524,2642,2964,4653,5661,2288,231,535,42887,18,78,48,91,148,251,462,387,108,94,131,136,78,10,41,2073,0,3,13,31,394,521,1069,1775
4RSAU,0,0,0,0,0,15,71,150,16,26,0,19,9,0,14,311,0,0,0,0,0,0,17,34,0,9,14,9,5,0,0,82,0,15,28,45,45,35,84,27,3,14,6,8,3,4,13,333,3,7,9,12,16,25,204,188,75,81,80,92,15,3,18,818,4,77,139,43,14,6,0,4,5,0,0,0,0,0,16,314,0,12,6,0,9,0,13,3,0,6,0,17,3,0,0,85,3,4,9,7,24,19,37,31,3,4,4,13,0,0,6,165,240,647,298,143,144,64,110,55,13,9,6,14,3,0,59,1795,10,153,246,48,23,9,4,10,0,0,0,5,0,0,47,555,4,0,8,16,9,12,17,26,3,6,0,8,8,0,11,126,18,13,46,68,63,97,535,358,91,144,213,234,79,18,41,2008,5,21,6,12,9,19,53,36,23,13,26,44,24,0,8,303,0,0,0,0,5,11,20,21
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
