GCCSA_PEP_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
1GSYD,206112,728037,592793,182326,105522,1814790,96864,1911653
1RNSW,60615,387136,403352,140442,82726,1074275,72336,1146610
19799,0,0,0,0,0,0,0,0
2GMEL,153075,660923,652850,196371,107500,1770717,88076,1858799
2RVIC,29691,207649,233094,85014,52931,608380,40456,648837
29799,0,0,0,0,0,0,0,0
3GBRI,58805,329885,341758,112720,63250,906420,44210,950630
3RQLD,51787,354951,367996,128004,72190,974930,72460,1047392
39799,4,0,0,0,0,7,4,5
4GADE,41265,198711,196466,62962,34341,533749,20066,553819
4RSAU,9129,55457,56659,22407,14412,158070,11268,169342
49799,0,0,0,0,0,0,0,0
5GPER,39239,272908,307955,100347,54927,775378,34292,809675
5RWAU,10419,69109,73193,28381,17508,198620,21459,220072
59799,11,0,0,0,0,13,0,13
6GHOB,6728,34667,33503,12324,7554,94771,4008,98783
6RTAS,6702,42837,44488,18115,11336,123481,7166,130650
69799,0,0,0,0,0,0,0,0
7GDAR,2969,17150,18639,6385,3461,48611,4897,53503
7RNTE,5691,11902,6881,2195,1238,27912,3954,31867
79799,7,0,0,0,0,7,3,7
8ACTE,9544,66388,64944,18354,9303,168537,6436,174972
89799,0,0,0,0,0,0,0,0
9OTER,84,600,532,213,118,1549,253,1805
99799,0,0,0,0,0,0,0,0
