GCCSA_PEP_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
4RSAU,3,0,0,0,0,0,10,73,0,0,0,0,0,5,8,4,3,0,0,15,11,0,0,49,3,31,82,66,37,31,59,44,5,3,10,8,9,0,24,410,55,416,296,59,20,13,24,30,0,3,4,7,5,0,64,987,0,13,0,4,0,21,32,20,4,0,3,15,5,0,0,111,0,0,0,3,21,13,53,26,9,3,9,5,0,0,12,156,0,0,10,3,7,5,12,4,0,0,0,0,0,0,0,38,4,4,39,43,28,23,80,46,73,99,93,72,12,0,23,636,0,0,0,0,0,0,26,23,20,44,18,31,14,0,16,196,45,933,246,97,53,29,67,22,8,9,3,17,0,0,51,1582,12,30,220,574,695,477,578,326,61,38,46,48,37,20,189,3354,0,4,0,16,5,0,4,0,0,0,0,0,0,0,0,26,0,0,0,0,3,5,36,99,21,19,14,27,18,0,0,250
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,220,185,218,288,81,48,72,6166,0,9,29,10,34,943,1157,767,128,114,120,80,31,14,83,3517,49,224,931,1038,2704,1030,3614,4589,236,213,286,399,251,112,231,15901,765,5455,4301,1079,482,394,852,1580,242,157,153,203,108,24,583,16379,7,26,23,82,306,765,1395,617,138,152,221,281,145,88,108,4348,0,3,4,109,359,468,2393,1472,233,243,203,280,73,22,131,5990,3,16,90,204,268,144,188,97,30,15,12,20,16,3,54,1162,59,207,1022,2409,6872,3183,7662,4408,1028,988,1041,939,570,74,583,31046,0,0,0,0,12,59,1010,864,323,390,595,630,233,18,65,4196,273,2713,655,482,692,390,805,390,54,74,65,98,48,16,174,6927,64,187,1686,5223,10185,8259,14407,11239,845,776,871,1033,510,459,1645,57382,38,155,537,664,646,525,354,158,41,23,28,34,16,8,94,3311,11,15,60,95,171,333,1453,2220,441,518,525,737,414,59,109,7161
5RWAU,11,9,10,6,7,0,33,262,0,0,0,0,8,20,30,27,3,6,0,0,0,0,17,116,17,52,142,192,304,134,495,611,26,21,32,96,36,0,43,2205,111,619,361,75,22,26,84,203,24,30,34,65,31,0,116,1807,3,5,7,10,24,62,108,69,3,12,19,32,11,8,6,371,0,0,0,7,20,27,140,111,26,10,25,46,14,0,13,436,0,0,8,13,11,14,11,5,0,0,4,3,3,0,9,92,8,33,98,129,171,101,257,142,30,62,75,40,5,3,56,1213,0,0,0,0,0,4,60,56,41,30,33,18,16,0,3,254,70,824,215,141,186,114,178,93,22,9,20,19,18,4,58,1969,25,62,635,2021,3280,2711,4521,2760,239,291,273,337,135,148,847,18290,12,13,21,20,27,15,13,4,0,0,0,0,0,0,0,125,0,4,3,13,4,11,85,164,27,20,30,31,6,18,16,437
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,6,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,13,14,27,37,27,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6GHOB,35,40,12,18,12,0,0,270,0,0,0,0,0,6,14,23,10,5,0,6,4,0,0,70,4,18,51,53,81,38,58,30,8,6,5,9,0,0,10,375,20,182,125,29,12,16,25,42,16,6,8,5,3,0,18,502,0,3,4,8,20,55,94,62,8,6,8,16,7,0,10,303,0,0,0,11,66,42,137,106,40,44,31,32,10,0,18,532,0,0,8,16,7,7,9,3,8,3,0,4,0,0,3,73,0,24,44,54,68,60,160,192,74,64,50,42,22,0,8,872,0,0,0,0,0,11,387,1466,645,680,490,284,59,4,79,4116,37,353,84,60,71,42,49,19,6,7,8,6,3,0,18,761,17,30,159,381,478,315,358,148,37,26,23,32,22,23,63,2115,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,4,4,67,409,66,52,97,100,24,0,19,845
6RTAS,48,36,4,29,12,0,0,286,0,0,0,0,0,3,6,16,0,9,3,4,0,0,0,47,5,22,59,83,66,24,51,46,7,0,3,10,3,0,15,380,13,146,80,21,13,8,19,11,7,7,0,9,6,0,25,366,0,4,0,8,13,17,37,27,9,5,10,13,4,0,0,156,0,0,4,7,31,30,55,47,9,6,14,12,11,0,10,237,0,0,6,13,0,4,3,0,0,3,0,3,0,0,0,36,0,14,49,42,46,31,97,102,47,46,42,37,18,0,12,579,0,0,0,0,0,3,173,600,338,471,311,161,22,9,39,2119,83,615,187,106,102,62,71,17,3,3,3,3,0,0,43,1311,21,40,272,650,760,609,499,200,29,21,25,35,27,14,160,3360,0,0,8,4,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,37,277,51,53,66,82,35,4,10,632
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,7,0,7,6,0,0,9,100,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,16,0,4,39,29,38,23,149,208,22,17,17,50,25,6,14,650,5,62,86,42,11,16,31,72,10,17,14,14,0,0,19,398,0,0,5,3,11,28,34,54,9,10,0,12,0,5,4,171,0,0,0,0,16,32,112,74,21,19,8,11,0,3,10,305,0,0,0,3,0,3,13,14,0,0,4,0,0,5,0,48,4,13,52,96,139,51,102,87,28,39,19,30,7,0,10,678,0,0,0,0,3,8,305,632,401,444,363,261,78,0,37,2531,11,94,58,20,26,15,27,20,7,7,3,10,0,0,15,305,3,18,146,470,515,394,425,325,35,38,37,45,19,26,114,2602,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,15,11,98,222,44,58,55,69,24,5,5,610
7RNTE,0,0,0,0,0,0,0,21,0,0,0,0,0,7,10,3,0,0,0,0,0,0,0,23,0,3,17,21,32,19,52,28,0,3,7,11,9,0,0,205,7,33,33,8,5,6,10,27,0,4,4,24,11,0,11,172,0,0,0,0,0,5,24,0,0,0,0,8,3,0,0,57,0,0,0,0,7,5,26,19,9,7,6,9,0,0,0,84,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,4,14,18,12,17,13,16,15,7,7,7,3,0,0,134,0,0,0,0,0,0,71,114,82,74,54,38,6,0,13,459,9,66,29,16,19,12,14,8,8,3,9,9,4,0,5,197,5,11,58,266,281,233,329,336,41,34,65,64,26,26,67,1834,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,14,37,0,4,3,14,5,0,5,94
