GCCSA_PEP_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1GSYD,3107,7064,18220,17069,16019,11932,3451,489,20,77369,3532,10965,32045,29161,22645,15292,4516,995,208,119363,97717,220386,589669,579468,485223,339406,94652,11989,979,2419496
1RNSW,3127,5191,10684,9264,9370,7504,2347,334,37,47862,3221,4657,10087,9470,9577,7953,2964,1083,270,49279,81721,109776,250471,250713,263462,224578,67376,10624,1194,1259907
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,4,0,0,35
2GMEL,2357,7916,21096,18646,17113,12291,3562,493,33,83510,3419,10856,31285,27804,22520,15285,4365,959,224,116725,104076,228129,610247,576487,483089,331157,89331,10976,858,2434337
2RVIC,1336,2715,5897,5028,5007,4373,1453,195,11,26018,1623,2404,5494,5072,5690,4780,1919,723,173,27872,43812,60169,142726,141096,149547,132075,41790,6561,749,718526
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,15,0,4,16,44,56,44,5,0,0,170
3GBRI,2240,5241,11805,10120,9147,6308,1795,219,13,46892,2584,6030,13896,13039,10633,6955,1886,419,106,55543,71357,123938,285682,283835,255481,170316,41784,4683,344,1237418
3RQLD,3030,5276,11249,10258,9521,7218,2170,297,14,49029,3440,5157,11415,10941,10686,7967,2924,952,200,53674,78558,105493,242364,249995,259150,206087,59601,8551,749,1210543
39799,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,3,19,27,27,17,6,0,0,99
4GADE,1033,2785,6380,5457,5386,4112,1305,182,14,26656,862,2282,5058,4708,4248,3113,1001,326,76,21673,34824,64300,149897,145893,135386,104488,27179,3215,275,665462
4RSAU,359,618,1282,1105,1319,1115,422,57,9,6284,372,456,997,1002,1219,1172,524,233,38,6012,10130,12886,30870,31784,36877,35442,11496,1972,173,171633
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,22
5GPER,2144,4493,10091,8847,7668,5692,1818,243,15,41008,2292,4846,11623,11465,9701,6656,2126,475,102,49289,57413,96460,229378,237208,211403,154809,43154,4896,359,1035077
5RWAU,652,990,2098,1987,1899,1482,462,46,3,9611,691,872,1995,2043,2087,1796,734,231,44,10488,14406,18756,53027,58070,59459,51068,15592,2329,222,272925
59799,0,0,5,0,5,0,0,0,0,11,0,9,44,78,68,33,0,0,0,242,10,71,297,516,486,267,40,8,0,1697
6GHOB,149,405,1218,954,797,655,204,43,0,4428,120,267,860,584,551,404,155,44,13,2982,5438,10124,30552,25184,23295,18477,5046,573,43,118737
6RTAS,283,566,1206,980,1040,850,265,17,0,5208,207,364,774,725,803,725,317,129,36,4088,7526,11185,27422,25780,28908,26144,7352,1040,106,135466
69799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,58,76,70,53,12,0,0,277
7GDAR,169,256,805,689,539,410,127,11,0,3012,168,358,876,727,579,417,157,24,8,3304,3578,6730,20614,17934,15008,10814,3123,290,25,78112
7RNTE,57,95,324,329,248,237,75,4,0,1382,82,136,364,293,242,188,82,19,0,1401,1459,2832,9554,8153,7330,6601,1989,189,7,38122
79799,0,0,0,0,0,0,0,0,0,0,0,4,0,6,11,13,4,0,0,39,0,17,42,59,79,62,11,0,0,282
8ACTE,474,953,1787,1495,1276,808,289,38,0,7118,210,568,1573,1125,742,415,127,33,13,4808,12953,26478,64959,59663,47612,28478,7380,866,76,248458
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,4,17,13,20,10,3,0,67,4,14,15,19,18,26,20,5,0,124,136,177,451,462,524,572,247,44,3,2614
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
