GCCSA_PEP_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1GSYD,377613,251306,125161,50316,2794370
1RNSW,245847,197473,97077,34055,1423635
19799,12,0,0,0,15
2GMEL,330954,216341,107094,41042,2589213
2RVIC,129152,103578,49556,17409,770538
29799,147,17,0,0,530
3GBRI,174364,116429,55073,18702,1299808
3RQLD,219860,166162,77342,23186,1343193
39799,27,12,0,0,308
4GADE,101009,75666,37075,13638,692178
4RSAU,32469,27035,12516,3817,177972
49799,5,0,0,0,28
5GPER,148930,103262,50564,18612,1067165
5RWAU,51539,35716,13977,3891,303762
59799,465,123,24,0,2853
6GHOB,18920,14615,7182,2486,129857
6RTAS,26228,20439,9789,2883,145708
69799,70,27,4,0,303
7GDAR,11998,7723,2365,417,84411
7RNTE,8646,5755,1129,135,48406
79799,96,35,6,0,406
8ACTE,33522,23965,11823,3943,263450
89799,0,0,0,0,0
9OTER,572,411,168,28,3155
99799,0,0,0,0,0
