GCCSA_PEP_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1GSYD,70475,48472,62566,55807,47344,38835,27625,19205,13957,384289,960299,634435,808540,775813,664959,576018,436121,248481,105566,5210233
1RNSW,51214,33311,32805,31944,32665,32100,25961,16958,9054,266001,508078,318851,331869,325687,350368,381687,346234,201457,78038,2842264
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
2GMEL,63202,44121,57629,49616,43442,34212,23934,15946,9519,341620,889845,602051,785890,733122,626824,524519,396519,231597,99619,4889983
2RVIC,26671,16757,17061,17070,17772,17337,14662,9409,5192,141932,277497,171416,186404,182469,196704,212940,192832,107000,42187,1569447
29799,0,4,38,98,129,111,13,0,0,389,0,9,52,140,182,158,16,0,0,565
3GBRI,37114,26316,29810,26317,23196,17246,12195,7770,4817,184784,483930,330850,371931,358316,326719,270600,211821,115935,43010,2513115
3RQLD,48736,34331,39468,36809,37863,35144,27496,15578,6635,282056,482183,306538,330945,330321,348255,351917,309599,167282,55230,2682276
39799,0,13,60,75,43,16,12,0,0,220,6,24,87,111,79,34,14,0,0,354
4GADE,15386,10995,11463,11118,10900,9482,6831,4658,2714,83548,237644,169061,192067,183460,173585,165925,137874,80746,36200,1376567
4RSAU,6099,3881,4694,4671,5211,5396,4386,2666,1196,38193,65258,38629,42654,42794,50343,59497,55645,30842,10996,396657
49799,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34
5GPER,27555,19030,22156,20998,18815,14708,10689,7267,4701,145915,401152,253546,294228,298545,266007,231578,183993,101432,40773,2071253
5RWAU,13304,8815,14654,14321,14116,12274,7473,3374,1152,89478,105569,58094,78245,81548,82774,83651,65803,29846,9315,594855
59799,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
6GHOB,3223,2236,2675,2264,2152,1887,1481,964,443,17319,41548,28204,39747,31729,29613,29553,25431,14326,5593,245742
6RTAS,4567,3017,2917,2782,3128,3310,2837,1722,761,25039,50980,32738,36935,34049,39239,44569,39424,21536,7288,306757
69799,0,0,28,25,30,30,0,0,0,114,5,21,62,80,90,75,33,3,0,366
7GDAR,3268,2286,3687,3067,2712,2402,1625,511,130,19689,29418,17406,27502,23427,19906,17510,12685,4411,895,153156
7RNTE,2477,1794,2964,2353,2279,2332,1606,370,41,16209,21170,13820,18656,15108,13401,13484,9432,2249,357,107676
79799,0,11,15,38,39,36,11,3,0,156,0,37,58,105,120,106,42,10,0,482
8ACTE,4686,4645,4781,3762,3116,2367,1775,1009,537,26676,82610,60988,77621,69171,56053,44750,34875,19042,7200,452305
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,128,101,261,186,180,164,118,65,6,1212,819,488,741,697,767,893,669,295,60,5425
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
