GCCSA_PEP_CODE_2021,F_150_299_15_19_yr,F_150_299_20_24_yr,F_150_299_25_34_yr,F_150_299_35_44_yr,F_150_299_45_54_yr,F_150_299_55_64_yr,F_150_299_65_74_yr,F_150_299_75_84_yr,F_150_299_85_yr_over,F_150_299_Tot,F_300_399_15_19_yr,F_300_399_20_24_yr,F_300_399_25_34_yr,F_300_399_35_44_yr,F_300_399_45_54_yr,F_300_399_55_64_yr,F_300_399_65_74_yr,F_300_399_75_84_yr,F_300_399_85_yr_over,F_300_399_Tot,F_400_499_15_19_yr,F_400_499_20_24_yr,F_400_499_25_34_yr,F_400_499_35_44_yr,F_400_499_45_54_yr,F_400_499_55_64_yr,F_400_499_65_74_yr,F_400_499_75_84_yr,F_400_499_85_yr_over,F_400_499_Tot,F_500_649_15_19_yr,F_500_649_20_24_yr,F_500_649_25_34_yr,F_500_649_35_44_yr,F_500_649_45_54_yr,F_500_649_55_64_yr,F_500_649_65_74_yr,F_500_649_75_84_yr,F_500_649_85_yr_over,F_500_649_Tot,F_650_799_15_19_yr,F_650_799_20_24_yr,F_650_799_25_34_yr,F_650_799_35_44_yr,F_650_799_45_54_yr,F_650_799_55_64_yr,F_650_799_65_74_yr,F_650_799_75_84_yr,F_650_799_85_yr_over,F_650_799_Tot,F_800_999_15_19_yr,F_800_999_20_24_yr,F_800_999_25_34_yr,F_800_999_35_44_yr,F_800_999_45_54_yr,F_800_999_55_64_yr,F_800_999_65_74_yr,F_800_999_75_84_yr,F_800_999_85_yr_over,F_800_999_Tot,F_1000_1249_15_19_yr,F_1000_1249_20_24_yr,F_1000_1249_25_34_yr,F_1000_1249_35_44_yr,F_1000_1249_45_54_yr,F_1000_1249_55_64_yr,F_1000_1249_65_74_yr,F_1000_1249_75_84_yr,F_1000_1249_85_yr_over,F_1000_1249_Tot,F_1250_1499_15_19_yr,F_1250_1499_20_24_yr,F_1250_1499_25_34_yr,F_1250_1499_35_44_yr,F_1250_1499_45_54_yr,F_1250_1499_55_64_yr,F_1250_1499_65_74_yr,F_1250_1499_75_84_yr,F_1250_1499_85_yr_over,F_1250_1499_Tot,F_1500_1749_15_19_yr,F_1500_1749_20_24_yr,F_1500_1749_25_34_yr,F_1500_1749_35_44_yr,F_1500_1749_45_54_yr,F_1500_1749_55_64_yr,F_1500_1749_65_74_yr,F_1500_1749_75_84_yr,F_1500_1749_85_yr_over,F_1500_1749_Tot,F_1750_1999_15_19_yr,F_1750_1999_20_24_yr,F_1750_1999_25_34_yr,F_1750_1999_35_44_yr,F_1750_1999_45_54_yr,F_1750_1999_55_64_yr,F_1750_1999_65_74_yr,F_1750_1999_75_84_yr,F_1750_1999_85_yr_over,F_1750_1999_Tot,F_2000_2999_15_19_yr,F_2000_2999_20_24_yr,F_2000_2999_25_34_yr,F_2000_2999_35_44_yr,F_2000_2999_45_54_yr,F_2000_2999_55_64_yr,F_2000_2999_65_74_yr,F_2000_2999_75_84_yr,F_2000_2999_85_yr_over,F_2000_2999_Tot,F_3000_3499_15_19_yr,F_3000_3499_20_24_yr,F_3000_3499_25_34_yr,F_3000_3499_35_44_yr,F_3000_3499_45_54_yr,F_3000_3499_55_64_yr,F_3000_3499_65_74_yr,F_3000_3499_75_84_yr,F_3000_3499_85_yr_over,F_3000_3499_Tot,F_3500_more_15_19_yr,F_3500_more_20_24_yr,F_3500_more_25_34_yr,F_3500_more_35_44_yr,F_3500_more_45_54_yr,F_3500_more_55_64_yr,F_3500_more_65_74_yr,F_3500_more_75_84_yr,F_3500_more_85_yr_over,F_3500_more_Tot,F_Personal_inc_ns_15_19_yr,F_Personal_inc_ns_20_24_yr,F_Personal_inc_ns_25_34_yr,F_Personal_inc_ns_35_44_yr,F_Personal_inc_ns_45_54_yr,F_Personal_inc_ns_55_64_yr,F_Personal_inc_ns_65_74_yr,F_Personal_inc_ns_75_84_yr,F_Personal_inc_ns_85_yr_over,F_Personal_inc_ns_Tot,F_OS_vis_15_19_yr,F_OS_vis_20_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_OS_vis_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Neg_Nil_inc_15_19_yr,P_Neg_Nil_inc_20_24_yr,P_Neg_Nil_inc_25_34_yr,P_Neg_Nil_inc_35_44_yr,P_Neg_Nil_inc_45_54_yr,P_Neg_Nil_inc_55_64_yr,P_Neg_Nil_inc_65_74_yr,P_Neg_Nil_inc_75_84_yr,P_Neg_Nil_inc_85_yr_over,P_Neg_Nil_inc_Tot,P_1_149_15_19_yr,P_1_149_20_24_yr,P_1_149_25_34_yr,P_1_149_35_44_yr,P_1_149_45_54_yr,P_1_149_55_64_yr,P_1_149_65_74_yr,P_1_149_75_84_yr,P_1_149_85_yr_over,P_1_149_Tot,P_150_299_15_19_yr,P_150_299_20_24_yr,P_150_299_25_34_yr,P_150_299_35_44_yr,P_150_299_45_54_yr,P_150_299_55_64_yr,P_150_299_65_74_yr,P_150_299_75_84_yr,P_150_299_85_yr_over,P_150_299_Tot,P_300_399_15_19_yr,P_300_399_20_24_yr,P_300_399_25_34_yr,P_300_399_35_44_yr,P_300_399_45_54_yr,P_300_399_55_64_yr,P_300_399_65_74_yr,P_300_399_75_84_yr,P_300_399_85_yr_over,P_300_399_Tot
1GSYD,17050,13753,11473,12699,11559,15434,15866,9043,2949,109821,7569,13268,15162,15331,16978,23672,36910,23612,7214,159711,5347,13134,16746,16102,16564,21040,34867,29946,16557,170302,4936,18631,26909,24092,22097,21827,23146,14691,6958,163286,3163,18584,31912,27511,24581,21712,16440,8669,2829,155408,1743,18945,38992,31656,29019,23456,13286,6080,2165,165348,799,17519,48589,36645,31930,25626,11965,4097,1372,178544,237,10872,42813,30388,25420,18650,7284,2183,773,138636,109,4612,37106,29198,23807,16128,5783,1923,714,119380,53,1735,25878,24173,19668,12572,4080,1216,428,89790,54,1163,36813,48439,36706,20511,5460,1575,557,151284,26,182,5490,11577,9450,4642,1494,520,239,33619,46,250,5658,19104,19661,9099,2961,1327,557,58655,7565,10214,26381,21551,16528,13733,13156,13539,15456,138128,188,449,1098,718,756,1557,1272,356,101,6496,142017,165749,409825,391997,339957,296420,230257,133917,64886,2175026,143646,35247,50007,46385,39933,55116,46463,20083,7805,444692,48139,12515,7901,9344,9074,13270,14433,6681,2230,123594,31036,26239,18381,18072,17793,24965,27407,16323,5432,185644,13692,24771,26379,24159,27202,39111,66685,47927,15115,285042
1RNSW,10743,5895,6030,5694,6257,10919,12404,6351,1938,66234,4853,6274,8084,7811,9848,17250,33240,21485,5583,114422,3934,6479,9880,9407,11213,18072,32141,26888,15028,133050,4026,9722,16272,14471,15129,18858,22176,13356,5951,119956,2610,10961,18600,16761,16451,16907,14228,7573,2468,106564,1471,10626,20997,18319,19354,18059,10169,4383,1549,104931,651,7485,21053,18815,20157,18320,8239,2546,748,98018,202,4136,15154,13623,14109,11392,4271,1147,356,64382,68,1598,12246,11636,12200,9235,3223,1371,548,52115,37,572,7649,8857,9624,6801,1940,534,157,36178,25,437,7800,13969,15485,9449,2357,605,172,50297,13,56,882,2121,2400,1692,576,219,73,8039,74,129,972,2978,4087,2800,1402,710,240,13397,6402,5551,11747,11245,11222,11940,12347,12307,10379,93144,53,169,440,237,178,252,187,84,24,1635,79747,75803,168693,167141,180001,196295,175969,106068,47873,1197584,55779,8214,12451,11842,13747,27473,19954,7707,2992,160162,34883,4070,3654,3890,4670,9017,9962,4121,1384,75655,19289,11503,10311,9116,10545,18019,21791,11552,3401,115528,8495,11552,14106,12839,17107,30046,61159,43842,12078,211219
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,17677,17261,13471,13787,12142,14519,14922,8499,3036,115311,6587,15825,16567,15669,16202,21300,33902,23493,7210,156757,3829,14319,17509,16462,17280,20069,34386,30484,17875,172205,3186,17808,27491,24167,22880,21165,22911,14648,6745,160995,1852,15757,31308,28172,25129,21058,16183,8431,3027,150914,1110,16817,40910,33124,29944,22775,12526,5383,2135,164721,502,15033,49718,36301,31969,24054,10398,3424,1133,172522,140,7776,43528,29963,24436,17241,6246,1859,640,131822,78,3025,36584,28615,23360,15203,4836,1665,651,114004,33,1034,22055,22288,17463,10758,3137,906,348,78027,32,736,27445,39301,30485,16262,4007,1238,474,119973,26,161,3680,8647,7453,3682,1071,402,180,25306,51,214,3109,12616,14159,6533,2312,1043,480,40514,6975,9188,23125,18649,15226,12336,11972,11708,11836,121017,173,363,826,515,666,1361,1140,341,81,5469,133846,159589,397243,370701,322154,271644,211710,126499,61429,2054818,132130,34475,48236,44772,37169,49952,40068,16687,6848,410339,56665,16013,9475,10313,9725,12759,13147,6068,2155,136313,31736,32243,21206,19333,18221,23117,25761,15215,5438,192276,11685,29018,28799,24132,25783,34474,60143,46773,15068,275874
2RVIC,5800,3521,3689,3710,3804,6256,6917,3304,1026,38011,2215,3662,4872,4676,5709,9592,18316,11092,2851,62980,1767,3562,5505,5742,6765,10314,18177,14467,8078,74382,1678,5091,9090,8810,9149,10969,12528,7103,3303,67717,1074,5426,10358,9674,9932,10105,8220,3960,1264,60007,646,5603,11811,10510,11072,10131,5657,2276,816,58515,275,3902,11847,10348,11215,9978,4224,1252,440,53497,63,1969,8586,7507,7871,6482,2212,648,199,35546,27,799,7133,6614,6924,5310,1694,683,285,29474,16,256,3749,4519,4920,3484,1003,266,111,18303,11,174,3759,6292,7204,4773,1167,318,110,23815,11,31,425,1056,1237,861,304,97,41,4058,22,67,508,1637,2088,1537,714,386,139,7094,3590,2929,6402,6397,6620,6858,7455,6878,5881,53016,28,74,194,105,87,107,102,40,19,751,43098,40300,94554,94519,101621,110234,98142,56163,25856,664477,31255,4497,7425,7081,7825,15228,11128,3976,1528,89942,21078,2361,2361,2550,2747,4883,5381,2200,702,44268,10627,6534,6054,5599,6176,10207,12239,6221,1853,65505,3902,6467,8217,7463,9498,16136,33460,22694,6095,113922
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,7,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,8,13,16,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,17,14,18,24,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3GBRI,11081,7312,6128,5702,5351,6819,7679,3867,1101,55040,4892,7548,8156,7090,7520,10722,19497,11691,2933,80042,3320,7246,9105,8109,8665,10590,20070,15895,7883,90885,3158,10459,15348,12737,11631,11550,14568,8738,3471,91659,1989,10954,18224,15323,13189,11114,8744,4450,1366,85358,1135,11222,22731,18151,16279,12481,6560,2660,863,92082,508,8774,24288,19734,18019,13411,5202,1502,535,91967,166,4950,19317,16147,14170,9715,3040,683,268,68451,60,2240,16340,15283,13249,8157,2150,704,243,58418,34,728,9850,11878,10783,6266,1456,356,109,41468,25,530,11579,19480,17917,8921,1719,461,167,60791,10,93,1451,3545,3375,1539,430,158,66,10669,40,115,1268,5164,5823,2680,930,432,173,16629,4074,5170,11343,9077,7484,5884,5747,5821,5885,60491,96,235,576,312,305,545,418,133,37,2652,76915,86612,190475,184211,168404,140506,111678,62266,26883,1047958,63537,13531,18001,17026,15956,22765,15866,5802,2046,174528,32985,5746,4124,4695,4582,6527,6739,2692,770,68867,19909,14078,10314,8567,8402,11087,13462,6941,1941,94707,8705,14012,14779,11635,12534,17949,35220,23806,6113,144745
3RQLD,10842,5345,6225,6075,6315,10205,11050,5172,1369,62592,4471,5724,8077,7854,9337,15341,29429,17340,3804,101368,3483,5691,9221,9171,10327,14938,27685,20867,10277,111664,3826,8947,15574,14729,14729,16932,19617,11270,4174,109807,2545,10667,18564,17151,16820,15665,12117,5754,1621,100903,1456,10650,21579,19041,19771,16627,8651,3302,956,102034,631,7115,20025,18979,19686,16347,6547,1948,531,91796,207,3990,14088,13730,13887,10738,3601,983,265,61496,90,1934,11487,12106,12302,8569,2825,1001,347,50658,48,787,6732,8624,9509,6313,1778,459,130,34375,33,740,7304,11843,13131,7971,2065,549,146,43783,16,82,1028,1959,2194,1429,521,218,60,7504,44,125,1055,2774,3304,2310,1273,592,174,11652,6177,6853,15235,13079,13060,13254,12675,10283,6997,97618,80,398,1183,398,327,432,432,168,42,3454,76320,75233,169898,170875,178472,181105,156278,85471,32848,1126489,52686,8558,14089,13725,15418,27463,19540,6908,2179,160559,34227,3796,3848,4284,4587,8221,8752,3553,1086,72351,19631,10333,10394,9441,10347,16671,19752,9860,2577,108999,7951,10248,13637,12460,15659,25917,54772,36159,8438,185243
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,3,0,0,0,0,0,29,0,5,7,0,0,0,0,0,0,10,6,9,35,7,3,5,0,0,0,65,0,0,0,0,4,6,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,7,0,0,0,3,0,0,0,0,0,7
4GADE,6202,5235,4114,3593,3307,4746,5283,2837,945,36266,2289,4472,5013,4309,4824,7463,13021,8637,2645,52675,1516,3890,5143,4895,5188,7408,13916,12184,7506,61644,1284,5529,8819,7529,6896,7495,9306,6122,3268,56242,652,4860,9433,8555,7568,7013,6244,3251,1449,49021,330,4964,11671,9991,8972,7804,4389,1957,863,50936,171,4173,13176,11217,10345,8741,3477,1128,409,52839,55,2170,9772,8485,7853,6047,1959,562,206,37109,25,849,7668,7421,6801,4850,1502,522,228,29870,15,253,4239,5475,5287,3488,896,264,100,20014,16,171,4143,7563,7718,4723,1213,355,120,26020,9,41,507,1230,1306,783,282,118,49,4316,17,76,453,1727,2183,1406,625,301,158,6949,1683,1921,4194,3637,3267,2992,3129,3466,3379,27663,50,63,195,151,141,252,256,75,26,1207,38394,44292,96961,93770,88624,86369,73483,44572,22526,588994,32970,8178,9885,8177,7557,12272,8600,2961,1381,91968,17504,4117,2638,2618,2538,4105,4465,1710,486,40189,11111,9844,7087,5708,5679,7977,8771,4670,1609,62454,4037,8424,9095,7393,8559,12823,23143,16859,5506,95829
