GCCSA_PEP_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
1GSYD,947114,617941,787670,761394,652604,563967,425753,241362,100124,5097920,451,448,538,562,579,626,869,1012,1335,6425,12213,14199,18255,12540,10584,10018,8363,5735,4022,95930,159,346,628,417,300,363,252,96,23,2578,225,721,721,440,492,611,500,168,48,3924,21,106,160,73,72,73,86,24,6,625,40,246,230,152,130,129,113,39,3,1087,13,52,66,55,45,68,63,24,3,385,15,33,55,25,24,26,19,3,0,199,54,344,216,147,111,142,100,21,3,1141,0,3,0,3,0,0,8,0,0,20,12732,16054,20330,13854,11772,11428,9499,6112,4114,105884,13187,16496,20870,14417,12356,12052,10363,7130,5442,112306,971,1285,2366,1678,1575,2460,2289,679,186,13479,961267,635725,810897,777488,666530,578479,438409,249163,105750,5223712
1RNSW,493931,297720,313606,311959,335136,362413,328785,193125,74736,2711414,587,687,568,568,667,994,1132,1010,469,6679,12555,17753,14814,11230,12140,14809,12545,5739,2598,104184,267,755,890,560,667,1045,1822,922,109,7043,325,1038,1020,710,988,1177,786,235,52,6325,38,172,185,126,162,210,233,103,15,1249,20,131,112,61,88,154,141,38,5,749,20,74,73,51,74,166,192,68,14,735,21,38,38,27,33,28,17,7,0,206,304,480,548,396,407,691,572,208,40,3653,3,0,4,6,5,6,6,0,0,25,13561,20440,17689,13163,14563,18281,16317,7316,2832,124167,14143,21123,18262,13728,15238,19272,17449,8327,3301,130848,277,477,1117,627,423,465,370,170,45,3971,508360,319331,332989,326311,350787,382153,346607,201622,78082,2846239
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,0,0,13,0,0,0,0,8,4,0,0,0,14,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32,0,0,0,4,18,8,3,0,0,32,0,0,0,3,0,0,0,0,0,3,0,0,0,6,18,8,3,0,0,38
2GMEL,878401,585255,766486,719893,615236,513274,387193,225599,96012,4787350,427,434,508,484,519,580,713,612,385,4651,203,725,778,401,420,479,357,125,29,3519,10494,14447,16960,11637,9955,9260,7486,5033,3115,88378,126,527,435,295,300,415,355,93,25,2577,65,173,219,139,103,150,114,35,18,1017,58,207,193,108,127,163,118,34,8,1020,31,135,179,94,88,125,123,45,13,846,23,71,74,40,39,41,25,7,0,310,16,76,62,42,29,36,32,11,0,305,0,0,0,0,0,0,0,0,0,0,11014,16362,18901,12749,11072,10663,8617,5389,3217,97982,11442,16800,19404,13230,11593,11240,9328,5999,3603,102637,705,1136,1748,1239,1443,2188,1960,608,161,11189,890549,603187,787633,734368,628266,526705,398480,232206,99774,4901169
2RVIC,271192,161007,177397,175988,189501,204189,185550,103516,40414,1508761,324,331,236,271,350,524,634,455,204,3330,197,492,388,215,260,297,238,103,31,2219,5591,8800,7829,5663,6185,7333,5916,2824,1516,51663,70,314,282,133,185,263,203,32,0,1484,51,262,133,79,100,128,107,31,6,905,30,89,55,60,55,83,85,14,4,476,17,59,43,23,36,71,66,16,0,327,10,31,31,16,22,30,20,4,0,170,6,29,15,14,9,20,13,5,0,110,0,0,0,0,0,0,0,0,0,3,5979,10084,8774,6208,6850,8227,6641,3031,1570,57357,6301,10409,9012,6480,7200,8751,7275,3487,1772,60685,131,221,465,263,191,194,174,65,27,1736,277625,171630,186871,182735,196897,213130,193004,107069,42215,1571178
29799,0,0,6,16,3,14,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,31,0,0,26,57,107,77,12,0,0,270,0,0,0,15,9,14,0,0,0,37,0,0,0,13,12,8,0,0,0,27,0,0,10,3,9,0,0,0,0,25,0,4,11,32,26,46,4,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45,129,176,145,12,0,0,525,0,9,45,129,176,145,16,0,0,524,0,0,0,0,0,0,0,0,0,0,0,9,52,140,182,158,16,0,0,565
3GBRI,476550,318956,359903,350057,318798,262205,204597,112046,41163,2444265,290,335,358,298,305,374,487,397,204,3049,351,558,853,575,587,770,702,311,104,4807,145,234,523,310,292,362,492,206,51,2615,6454,10497,9942,6777,6414,6398,5051,2811,1458,55805,13,57,73,77,47,99,141,40,6,556,40,86,89,94,95,125,94,29,8,667,20,19,50,25,54,123,133,53,10,499,32,62,71,49,64,50,43,10,0,385,26,42,75,54,62,90,74,30,6,440,0,0,0,0,0,5,11,0,0,20,7085,11561,11670,7956,7621,8022,6742,3493,1647,65797,7380,11898,12028,8258,7919,8393,7228,3888,1849,68846,403,681,1382,755,637,942,794,240,64,5899,484332,331532,373315,359068,327363,271537,212617,116172,43077,2519014
3RQLD,468524,287127,306715,309797,323888,316544,269497,151730,51974,2485781,624,705,669,543,654,858,915,627,238,5830,1207,1336,1757,1553,1761,4253,6734,2297,314,21221,750,605,1071,960,1193,4702,10115,4557,552,24510,10394,16066,19513,16560,19547,22885,18030,6417,1941,131353,122,180,195,188,234,719,1508,653,77,3891,137,190,348,228,291,516,634,147,25,2518,131,100,225,184,274,789,1386,555,84,3730,129,141,214,148,200,181,124,37,3,1175,150,91,243,154,212,460,647,261,25,2242,7,0,0,7,0,5,0,0,0,20,13034,18712,23566,19985,23716,34518,39188,14923,3023,190657,13650,19411,24229,20528,24372,35383,40103,15550,3260,196491,351,1194,3280,1192,772,850,857,395,86,8979,482529,307733,334223,331524,349030,352774,310452,167669,55318,2691254
39799,0,6,20,46,38,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,13,21,11,11,0,3,0,0,60,0,0,3,0,4,0,0,0,0,11,6,6,35,33,25,30,5,0,0,139,0,0,3,12,0,0,3,0,0,19,0,0,3,9,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,71,61,46,34,14,0,0,240,6,20,71,61,46,34,14,0,0,240,0,5,15,6,0,0,4,0,0,24,6,28,102,114,79,34,23,0,0,385
4GADE,233292,162797,185582,178792,169226,161390,134124,78627,34986,1338814,170,147,144,178,190,242,308,216,133,1734,93,177,225,181,172,170,144,43,7,1222,98,184,359,219,161,242,159,41,9,1472,35,90,136,100,128,119,102,25,0,728,3842,5519,5411,3818,3488,3505,2850,1750,1057,31253,40,56,87,72,91,91,68,19,3,531,9,18,24,31,25,54,46,8,0,222,52,72,83,63,77,91,50,8,0,501,6,13,13,16,18,11,7,0,0,85,0,0,0,0,0,0,0,0,0,0,4180,6119,6348,4495,4162,4291,3437,1904,1088,36017,4351,6267,6485,4667,4351,4539,3744,2126,1216,37749,167,240,433,313,308,414,439,137,44,2497,237814,169302,192501,183767,173885,166342,138313,80886,36247,1379064
