GCCSA_PEP_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
1GSYD,9539,47365,202342,228896,185255,120093,26028,2245,136,821901,26198,42373,61702,46966,39890,38651,21081,4526,382,281759,11293,18267,28156,22479,19502,18280,6431,911,87,125400,865,2910,7725,5716,3685,2454,737,221,57,24369,47893,110913,299924,304053,248335,179473,54282,7901,663,1253431,2106,6279,12165,9620,8549,6968,1116,50,3,46863,5999,5737,4560,2118,1908,2612,1161,165,15,24272,8104,12017,16729,11736,10460,9578,2280,216,19,71135,56000,122932,316655,315788,258789,189052,56557,8115,685,1324567,88956,42582,57793,48270,51724,79483,140745,98438,34204,642193,6584,10257,25365,20482,15241,12621,9840,8366,5897,114649,151542,175772,399810,384535,325753,281151,207134,114924,40784,2081405,4288,42517,170641,150256,133437,77771,13145,666,33,592752,31441,46616,80689,95099,82122,64073,21597,2641,162,424445,13371,18186,32934,26283,18754,16353,5054,597,50,131581,726,2161,5477,3778,2571,1737,578,187,66,17289,49826,109471,289744,275414,236892,159934,40373,4088,310,1166062,1198,3631,7637,6203,5233,3365,333,17,7,27639,5893,4979,5940,5158,4055,3629,781,50,9,30509,7095,8613,13577,11366,9288,6997,1112,72,16,58146
1RNSW,13926,34155,96272,99774,101839,79736,19025,2612,241,447579,22318,17410,23207,18907,20570,26756,16592,3658,405,149825,3056,2999,5043,4534,5129,6222,2360,391,76,29818,982,1467,2915,2310,2062,1775,713,397,116,12744,40282,56029,127438,125523,129606,114500,38684,7060,839,639963,2138,3394,4898,3625,3892,3634,530,27,3,22135,3488,1881,1678,1037,1128,1727,737,66,15,11766,5623,5274,6578,4665,5022,5359,1265,90,15,33897,45907,61304,134016,130187,134623,119860,39953,7151,862,673864,33250,12124,18305,18034,24975,54594,120398,80839,25349,387851,5393,5548,11296,10562,10948,11191,10107,7486,3985,76518,84549,78978,163618,158787,170541,185645,170455,95473,30194,1138231,5902,22896,58816,57828,70463,47225,8330,828,58,272347,30435,25470,49910,58308,56009,54715,17585,2141,176,294742,4132,4270,12098,7417,5819,6801,2186,265,43,43033,965,1110,2209,1634,1564,1338,588,321,91,9815,41436,53741,123035,125190,133855,110079,28693,3562,355,619947,1197,1723,2392,1945,2133,1575,152,8,4,11134,3659,1958,2473,2237,2138,2339,482,40,8,15332,4856,3684,4867,4179,4264,3912,634,51,17,26466
19799,0,0,0,4,11,7,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,10095,54482,233308,247735,200289,130009,26659,2145,132,904847,33636,51948,64581,43607,36683,36871,21959,4559,342,294192,4896,6313,9561,7498,6505,6682,2730,490,66,44745,846,2886,7628,5418,3463,2187,714,224,69,23433,49473,115628,315080,304265,246933,175747,52061,7423,604,1267211,1908,6289,11691,8695,7878,5961,924,45,11,43411,10087,6610,4406,2154,1879,2524,1034,133,17,28827,11989,12898,16091,10853,9757,8482,1957,182,28,72243,61466,128527,331171,315108,256691,184230,54015,7601,632,1339451,73780,30950,35598,30258,35079,59792,124033,91302,33730,514526,5595,8840,22697,17570,13563,10211,7896,6540,3909,96811,140840,168318,389468,362938,305331,254229,185946,105443,38272,1950795,2901,37761,169690,139257,127280,72080,10973,521,22,560497,44354,63923,98842,113651,98037,73840,23024,2468,116,518254,6570,8563,21551,15796,8239,7864,2724,366,34,71717,774,2249,5082,3507,2592,1626,546,199,77,16655,54602,112500,295169,272221,236154,155410,37269,3553,247,1167127,1135,3727,7781,5587,4712,2935,276,13,0,26174,10282,6197,6473,6038,4753,3707,748,63,7,38263,11415,9925,14253,11623,9464,6642,1024,77,6,64435
2RVIC,6870,19554,56578,56964,58762,47214,11857,1744,162,259699,12585,9105,12421,10107,10927,15116,10460,2231,244,83196,1654,1371,2312,2193,2495,3592,1514,247,55,15434,577,767,1711,1375,1385,1118,599,280,63,7873,21680,30802,73025,70642,73571,67042,24419,4503,520,366203,858,1676,2516,1749,1996,1823,281,10,3,10915,1967,908,922,531,564,918,379,44,11,6251,2826,2590,3441,2288,2556,2745,666,54,12,17170,24508,33393,76459,72922,76132,69785,25087,4559,534,383373,18584,6069,9551,9433,13005,26980,63938,42240,13693,203499,2717,2851,6031,5702,6039,6042,5764,4078,2129,41347,45811,42310,92043,88060,95168,102813,94789,50879,16350,628219,2398,11659,32339,29173,36497,25517,4585,461,43,142675,16758,14946,29424,36192,35248,34443,10940,1206,88,179248,2378,2115,6704,4101,3165,4230,1380,162,29,24263,591,651,1243,994,1069,843,455,223,71,6140,22130,29363,69707,70457,75978,65030,17367,2054,230,352319,442,740,1207,953,1070,833,88,7,5,5347,1982,909,1286,1161,1157,1247,257,38,5,8046,2422,1648,2494,2114,2227,2086,346,45,14,13396
29799,0,4,13,35,42,35,5,0,0,131,0,0,0,5,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,11,39,44,43,5,0,0,148,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,39,49,43,5,0,0,151,0,0,0,0,0,5,0,0,0,7,0,9,19,84,121,96,13,0,0,335,0,4,30,131,163,141,16,0,0,493,0,0,8,5,7,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,7617,32662,106695,117361,104482,65410,12346,994,47,447611,20888,22479,27897,19921,17176,16620,9339,1761,121,136200,4516,5165,7145,5498,5277,5278,1962,235,27,35107,587,1483,3229,2324,1691,984,309,103,40,10757,33614,61788,144965,145107,128629,88292,23950,3092,232,629680,2048,4226,6153,4277,4002,3359,491,24,0,24594,5607,2886,2114,1084,948,1185,530,46,6,14415,7657,7114,8268,5368,4954,4548,1022,68,8,39009,41270,68904,153233,150471,133585,92839,24978,3168,239,668689,35884,13663,18518,15695,18179,32674,71365,47416,14125,267529,3291,4636,10277,8248,6853,5119,4224,3213,1801,47663,80451,87202,182030,174419,158614,130635,100565,53798,16160,983877,3202,23928,75565,72158,72144,40638,5673,263,16,293594,26635,29000,47441,54080,45216,33569,9952,1047,43,246992,7284,8037,15319,10867,8206,6994,1956,165,19,58852,623,1186,2384,1619,1272,824,249,106,34,8300,37740,62153,140715,138731,126853,82022,17825,1590,112,607740,1210,2435,3732,2834,2640,1629,157,0,3,14642,5325,2745,3269,2879,2153,1845,374,23,12,18615,6533,5182,6999,5712,4790,3478,526,25,16,33252
3RQLD,11272,33386,92022,98922,100888,74960,17533,2128,128,431246,22709,15305,21781,17797,18859,21901,13202,2790,253,134603,2994,2848,5794,5238,6130,7338,2671,409,48,33462,902,1579,3356,2595,2287,1634,655,323,88,13422,37885,53113,122963,124556,128160,105824,34061,5651,523,612734,2307,3509,5113,3806,4312,4094,619,27,8,23792,4217,1811,1817,1081,1157,1726,746,88,10,12644,6524,5320,6929,4887,5469,5811,1360,110,14,36430,44410,58432,129886,129445,133629,111635,35425,5762,537,649160,30320,9847,15297,15364,21109,45472,106640,68956,18884,331894,5313,7150,17049,15036,15364,14134,11687,7263,3003,96005,80043,75432,162233,159846,170105,171249,153754,81978,22424,1077058,5252,23096,58209,59391,69444,45186,7909,689,34,269205,30142,23210,46812,56023,52333,45621,14786,1708,100,270736,4360,4845,11878,8146,7443,8150,2315,254,27,47413,922,1236,2502,1880,1764,1304,529,252,75,10461,40673,52386,119403,125437,130985,100263,25541,2901,226,597814,1264,1835,2951,2371,2616,2124,223,10,3,13404,4059,1883,2802,2651,2381,2575,524,36,10,16916,5320,3722,5755,5015,4999,4694,752,48,15,30322
39799,0,0,12,16,22,6,3,0,0,70,0,3,0,3,0,0,0,0,0,8,0,0,3,4,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,11,0,3,16,28,25,10,6,0,0,90,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,23,28,29,10,6,0,0,88,0,3,4,0,3,0,3,0,0,21,0,5,40,74,45,16,6,0,0,192,8,8,69,102,77,26,14,0,0,302,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,3308,16021,56519,59885,54746,38667,7549,602,36,237333,11975,14494,17496,12055,10746,11804,6780,1357,111,86810,818,1096,2136,1813,1791,2140,674,126,13,10606,269,636,1447,1051,778,510,202,73,24,4989,16367,32246,77592,74807,68067,53119,15201,2159,177,339737,829,2223,3331,2416,2347,1961,267,18,0,13380,2775,1801,1301,724,630,819,284,37,8,8379,3604,4026,4636,3138,2974,2777,548,51,3,21758,19971,36268,82227,77944,71042,55901,15753,2206,186,361497,19065,8182,9180,8494,11024,21321,46757,32309,12491,168830,1280,1712,3897,3399,3034,2592,2139,1737,1028,20814,40319,46159,95305,89837,85098,79815,64645,36252,13704,551134,1263,11233,36639,33032,35258,23282,3468,149,7,144335,15954,18851,29405,33963,29514,25244,7609,767,54,161361,972,1428,5292,3424,1979,2408,736,74,12,16323,271,535,974,663,566,443,166,68,24,3708,18460,32048,72305,71084,67323,51371,11975,1058,97,325719,456,1144,1837,1392,1275,792,81,0,4,6990,2609,1606,1851,1675,1312,1089,210,10,3,10364,3073,2757,3687,3068,2588,1877,289,12,7,17355
