GCCSA_PEP_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
1GSYD,366340,707232,253705,224089,333512,188110,135891,163802,46812,2419496
1RNSW,169316,243088,182593,166396,146500,106634,86229,136851,22303,1259907
19799,0,0,0,0,0,0,27,0,0,35
2GMEL,335521,651706,295311,255546,313399,201489,142174,190928,48250,2434337
2RVIC,104583,135818,103021,91616,77820,61396,45259,85679,13336,718526
29799,11,33,36,22,4,0,29,33,5,170
3GBRI,155706,305343,151361,144224,167734,102087,77762,110879,22325,1237418
3RQLD,151542,219877,181854,157063,142517,109652,88390,135734,23912,1210543
39799,5,33,9,3,3,0,21,37,0,99
4GADE,80746,156794,85429,87748,87888,56834,36256,62291,11463,665462
4RSAU,28323,23203,24795,21257,16853,14050,14175,25628,3349,171633
49799,0,3,3,0,0,0,4,9,0,22
5GPER,123091,245654,149680,126282,130649,83586,69235,89615,17284,1035077
5RWAU,37837,41725,50097,28022,27087,18074,31819,33340,4925,272925
59799,96,324,627,58,45,6,172,344,23,1697
6GHOB,14571,28465,15720,16599,15331,9937,5358,10630,2127,118737
6RTAS,17800,22565,19657,17980,14447,11890,10744,17801,2574,135466
69799,14,78,74,21,9,0,18,58,0,277
7GDAR,10358,17331,11056,11415,11016,5389,4061,5973,1504,78112
7RNTE,5085,9106,4888,6274,4106,1900,2073,3725,961,38122
79799,12,85,63,17,0,0,8,86,4,282
8ACTE,44313,78043,23917,27158,36088,15245,6008,12417,5262,248458
89799,0,0,0,0,0,0,0,0,0,0
9OTER,501,399,421,398,290,150,142,269,42,2614
99799,0,0,0,0,0,0,0,0,0,0
