GCCSA_PEP_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
1GSYD,3156,9746,8179,8156,7420,5647,2918,699,45916,9886,28200,39482,18307,8389,2800,452,40,107545,11796,54226,54820,52528,54367,39000,21393,6452,294569,10755,26662,23712,22100,16482,10432,5668,1782,117592,1185,4037,4062,4013,3448,1925,905,272,19857,3712,16792,12903,10520,8786,6067,3257,1169,63200,996,7334,6448,6375,6886,7018,3137,867,39067,16383,72621,77799,56730,39155,24833,9995,2400,299914,7278,27803,24460,22306,17373,12715,5399,1311,118644,5782,16404,12996,7853,4879,2856,1086,277,52125,3902,10971,11054,7512,4729,2624,1319,272,42389,501,454,257,204,243,228,149,117,2156,1258,3973,4598,4140,3261,2096,1066,365,20756,20724,33450,28721,21569,17530,13867,11486,7203,154554,97308,312663,309484,242307,192959,132093,68233,23229,1378278,4388,11700,11382,8811,6666,3969,1571,414,48907,2407,10370,13743,6602,3620,1307,251,16,38319,1609,10265,9213,5646,5414,2994,1887,924,37954,1855,5874,4665,3124,1825,850,308,74,18571,935,2465,2255,1768,1319,698,261,55,9765,13389,47292,36461,29893,26022,17556,8042,2863,181525,6763,30891,28231,26375,23002,20327,8902,2535,147024,21207,94090
1RNSW,682,2425,2428,2662,2676,3047,1437,287,15642,1506,4443,4740,2867,2162,1305,269,22,17309,9353,31789,30477,33323,39330,34359,17684,4518,200830,6636,15243,13850,13783,14418,11200,5415,1555,82096,1765,4774,5644,6518,6069,4420,2058,474,31719,1405,6391,6221,5979,5936,4415,1844,500,32683,620,3940,4614,5071,6006,7704,2963,711,31622,3592,12574,15048,15158,14142,11543,4938,1017,78013,2608,8050,8557,9097,8050,7084,2754,637,46839,1702,3549,3229,2486,2003,1679,646,143,15439,2435,5719,5711,4935,3709,2535,1215,267,26521,216,165,104,72,66,98,40,32,797,604,1414,1709,1977,1866,1490,678,223,9952,14860,17228,16237,16104,15847,14856,11530,5675,112344,47975,117707,118566,120025,122270,105729,53475,16049,701811,815,2826,2849,2731,2408,1731,618,125,14098,204,1145,1189,1188,1281,809,209,21,6047,707,2299,2004,2009,1865,1369,816,473,11542,408,1244,1191,1013,757,418,132,19,5191,1385,2866,2782,2608,2083,962,312,59,13059,7187,24392,21218,20763,23704,17409,7357,2223,124253,3752,15514,17388,16750,17087,16216,6528,1663,94899,8363,26753
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,4461,10276,8303,7994,6928,5243,2678,575,46464,7152,28141,36313,16336,7558,2813,370,31,98715,13583,56939,54772,51101,48811,34939,18998,5817,284959,10606,31888,24367,20205,14357,8829,4867,1473,116602,1393,4636,4685,4150,2996,1614,716,208,20403,3682,17134,13176,10171,8085,5322,2384,834,60789,1371,8092,7251,6728,7267,6985,3438,873,42004,14052,59654,64653,47394,31401,19151,7662,1937,245911,7627,25592,22176,18769,14101,10529,4295,1013,104111,6590,18210,13323,7503,4156,2316,992,265,53368,3826,12988,12609,6997,4568,2198,1077,269,44535,450,430,280,159,153,142,88,20,1716,1336,4666,5680,4582,3243,2046,963,317,22826,18024,29657,24259,19137,14864,11647,9893,5571,133045,94159,308313,291849,221228,168495,113776,58422,19210,1275439,6277,13718,12692,9089,5668,3041,1021,310,51821,1926,11447,12986,5790,3064,1064,181,18,36466,1800,10147,9318,5636,3979,2343,1596,856,35679,1713,6646,4889,3167,1714,666,225,64,19082,1282,3085,2777,2022,1352,519,156,49,11248,14144,54940,41156,31332,24499,16474,7763,2931,193239,6176,31383,29637,27391,24229,20251,9016,2209,150293,15585,75021
2RVIC,495,1230,1368,1491,1408,1545,653,120,8310,759,2485,2786,1609,1151,705,130,8,9636,5093,16105,15199,17094,18971,16605,7939,1929,98934,3652,10913,8578,7443,7206,5079,2432,724,46024,1295,3372,4204,4428,4179,2593,1077,292,21427,803,3783,3449,3211,3297,2424,878,224,18060,409,2588,2900,2808,3489,4619,2248,383,19443,1686,6778,8321,8212,7322,5837,2039,371,40563,1689,4504,4201,4509,4093,3651,1292,261,24189,1100,2236,2027,1486,1073,1028,366,70,9378,1137,3327,3185,2650,2124,1297,560,122,14394,87,127,73,56,44,33,14,3,447,263,959,1233,1328,1189,902,429,128,6433,7371,8109,7842,8425,8622,8474,6607,3222,58662,25841,66501,65355,64742,64153,54802,26654,7852,375913,643,1713,1866,1651,1197,762,192,44,8071,104,597,702,556,561,328,76,3,2931,441,1243,1132,1150,958,571,351,217,6063,268,934,775,656,448,229,82,13,3406,879,1964,2026,1744,1287,494,167,30,8599,4458,15945,13201,12204,13680,10150,4283,1331,75256,2090,9364,9934,9377,9366,9827,4321,923,55188,2941,11718
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,31,26,0,0,0,93,0,0,3,0,0,0,0,0,6,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,19,90,121,100,13,0,0,338,7,26,124,161,129,17,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,1685,4049,3996,3641,2786,2241,1022,221,19647,3107,8868,11582,6858,3169,1091,191,12,34875,9906,30028,31505,29420,27609,21060,10748,2756,163033,4939,13489,12444,10868,8812,6517,3372,857,61302,941,2173,2685,2725,2071,1216,619,141,12564,2218,8404,7299,6399,4637,3011,1432,378,33775,639,3188,3749,4044,3804,3461,1833,354,21071,9483,23279,26832,22936,15438,9431,3494,711,111612,6286,12499,11135,9981,6956,5158,2086,435,54540,3724,6773,4636,2826,1672,1020,405,110,21167,3357,5952,5314,3895,2357,1365,611,115,22962,495,259,126,85,66,71,45,18,1168,829,1755,2230,2124,1530,972,438,153,10029,10546,13869,12020,10106,7539,6328,5023,2651,68085,58161,134582,135555,115911,88450,62947,31320,8900,635832,2093,4787,5029,3540,2167,1306,434,107,19453,726,2848,3216,2029,1116,427,81,3,10453,1376,4162,3987,2576,1815,995,489,246,15646,797,2456,2045,1346,638,280,85,21,7675,709,1567,1621,1149,736,322,85,17,6204,9426,26346,22333,18723,15475,9666,4432,1359,107758,3079,12837,16132,16433,12923,10210,4184,944,76740,12935,36422
3RQLD,795,2031,2096,2228,2059,2178,1012,184,12580,1411,3663,4111,2721,1786,1046,204,17,14956,11295,31667,32173,33177,35619,30809,14787,3187,192713,4575,13867,14101,14258,13644,11163,5047,1113,77775,1555,3144,4124,4781,4129,2572,1193,235,21733,1776,7042,6750,6522,5685,3731,1497,402,33399,612,2950,4067,4597,5012,5228,2207,404,25080,5949,12664,15015,15105,12858,10252,4089,767,76688,4442,8096,7479,7755,6396,5264,2110,358,41900,1840,3243,2695,1987,1467,1279,479,122,13114,3300,6144,6026,5412,3880,2524,1018,185,28490,378,156,85,86,78,94,35,10,931,806,1546,1967,2114,1846,1281,657,165,10385,15688,20569,19040,19321,17886,15308,10311,4303,122440,54436,116792,119733,120046,112355,92724,44636,11459,672183,1177,2785,2902,2408,1847,1192,405,75,12800,282,946,1174,1017,820,484,108,9,4835,1047,2670,2281,2041,1680,990,603,221,11541,430,1502,1249,993,650,342,108,19,5295,1225,2090,2277,1784,1334,540,149,27,9428,8061,23869,20784,19706,19855,13522,5561,1511,112857,3351,12442,17193,17713,15597,12770,4954,992,85018,11176,27148
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,14,3,4,0,0,43,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,76,48,16,6,0,0,198,9,58,95,64,26,12,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,761,2217,2353,2269,1867,1803,889,199,12364,1596,4684,5402,2735,1572,729,112,8,16834,4573,15628,15176,15712,15616,13137,7028,2244,89119,2603,7002,5117,4695,4106,3114,1865,615,29115,553,1544,1611,1601,1327,804,319,90,7861,1273,4698,4203,3594,3129,2199,1015,300,20410,417,2385,2180,2093,2424,3199,1451,258,14404,3333,11933,13787,11483,8728,6029,2505,669,58465,2530,6557,6267,5369,4570,3795,1561,338,30991,1677,3117,2574,1569,1103,764,294,73,11166,1339,3444,2908,2105,1533,885,384,100,12700,97,77,53,44,45,31,11,7,370,368,1062,1201,1105,819,629,343,123,5660,4041,5408,5087,4608,3981,3371,2896,1768,31166,25151,69772,67916,58983,50830,40488,20678,6801,340626,969,2648,2795,1945,1329,892,309,90,10978,355,1823,1644,887,522,265,55,8,5561,535,1897,1669,1219,885,583,445,255,7478,374,1330,927,693,393,227,70,15,4026,494,976,897,719,487,197,56,10,3826,4594,15708,13074,11001,10719,7237,2973,1106,66422,1671,7486,7569,6966,6798,6930,3044,747,41198,4506,16817
