GCCSA_PEP_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
1GSYD,88266,175361,88983,58156,138485,26769,2460,578479,55338,111795,71378,49567,125900,22149,2289,438409,31733,52703,32786,24022,87368,19873,679,249163,12389,14251,6994,4692,49243,17995,186,105750,807511,1107374,500492,365179,1211558,257820,12509,4262444
1RNSW,61705,121953,60920,37964,75803,23346,465,382153,40522,87570,61368,46551,88289,21936,370,346607,21999,39677,28251,25000,68303,18230,170,201622,8503,10230,5410,4320,37872,11709,45,78082,433572,637979,309333,222335,555661,175305,3693,2337878
19799,4,5,0,0,3,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,0,14,0,3,38
2GMEL,87549,167525,77237,46667,122949,22591,2188,526705,52009,103975,64568,43464,114010,18488,1960,398480,29106,48767,31604,23053,83094,15974,608,232206,11643,13889,6936,4709,50750,11689,161,99774,816574,1082107,452554,312409,1116375,220125,10483,4010621
2RVIC,34395,68074,34797,21594,41296,12773,194,213130,22258,48025,34394,27477,48109,12570,174,193004,11206,20634,15136,14274,35578,10178,65,107069,4304,5235,3104,2587,20633,6328,27,42215,240499,353568,173281,129579,299440,95581,1599,1293551
29799,14,5,0,3,25,111,0,158,0,0,0,0,4,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,15,3,89,389,0,565
3GBRI,47785,91476,41436,24032,54455,11424,942,271537,26562,56003,37620,26594,55332,9714,794,212617,13655,24425,16981,13017,39721,8133,240,116172,4975,5799,2881,2052,21555,5752,64,43077,429667,585997,246682,165672,486970,114186,5502,2034683
3RQLD,58926,108199,51239,32540,73589,27425,850,352774,37489,75785,51144,39668,81739,23763,857,310452,18621,31920,22735,20137,57632,16235,395,167669,6018,6782,3787,3173,26990,8485,86,55318,421951,584630,265266,196098,535308,196847,8625,2208722
39799,0,5,0,6,9,16,0,34,0,3,0,0,3,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,6,5,81,220,24,380
4GADE,29643,58009,25559,13710,33361,5640,414,166342,17636,38698,25407,16648,34397,5086,439,138313,9613,17748,12558,9239,27115,4480,137,80886,4140,5219,2760,2023,18976,3088,44,36247,240248,330186,143600,92344,283978,48555,2325,1141251
4RSAU,9749,18629,9524,5798,11533,4266,64,59562,6373,13445,10166,8160,13619,3883,58,55704,3093,5823,4517,4334,10301,2769,25,30871,1092,1462,910,713,5524,1296,15,11011,59173,89290,45721,34200,75220,27790,1098,332496
49799,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,19,8,7,40
5GPER,42165,76796,33017,20540,49910,9159,929,232513,23932,49551,31117,22683,48845,7871,798,184787,11857,21650,14485,11789,34310,7340,268,101701,4732,5951,3043,2247,19207,5589,80,40849,360108,462095,191085,143320,425394,88108,5020,1675126
5RWAU,13629,23879,10886,7259,17508,10490,186,83843,8295,15684,10192,8795,16306,6530,134,65939,3414,5750,4105,4033,9201,3356,41,29890,1065,1337,784,678,4017,1446,15,9332,88309,122828,54874,44344,110708,68216,1906,491193
59799,39,46,15,11,208,218,29,560,20,20,9,7,67,53,0,178,3,11,3,0,7,6,0,32,0,0,0,0,0,0,4,3,221,231,78,61,1268,1385,164,3410
6GHOB,5252,10558,4519,2366,5692,1160,61,29621,3158,7202,4715,3049,6114,1188,40,25470,1594,3186,2049,1698,4802,993,22,14348,670,851,415,336,2791,535,7,5603,43129,60368,25499,15799,49014,10387,482,204671
6RTAS,7109,14057,7105,4562,9385,2352,38,44606,4291,9471,7078,5715,10447,2417,42,39463,2042,3963,2946,2989,7719,1870,16,21554,730,987,542,428,3680,919,15,7305,46615,69582,34237,25899,63216,16231,511,256292
69799,7,15,3,3,16,25,0,77,3,13,0,0,7,0,0,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,35,53,20,13,125,116,13,374
7GDAR,3068,5275,2084,1174,3758,2146,150,17665,1844,3171,1668,1068,3391,1543,83,12766,584,922,514,363,1493,536,22,4433,112,129,44,36,431,138,6,904,24733,33039,12327,8053,30173,15402,2555,126296
7RNTE,2548,3568,1359,724,3132,2145,65,13556,1446,2197,1037,630,2627,1501,33,9464,315,397,204,161,814,359,13,2264,56,41,14,16,185,48,0,357,18505,21121,8761,5442,19514,13160,553,87063
79799,4,6,4,0,54,34,0,106,0,0,0,0,20,11,0,40,0,0,0,0,6,3,0,10,0,0,0,0,0,0,0,0,22,44,12,9,237,155,17,494
8ACTE,8282,17558,7454,3308,6640,1509,179,44930,4742,11575,6941,3792,6454,1367,152,35030,2500,5120,3276,2200,4865,1079,49,19085,1017,1315,679,434,2996,755,7,7204,85472,122254,46719,24478,73682,17089,1020,370716
