GCCSA_PEP_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
1GSYD,38236,138941,307989,294031,215565,159119,109503,46937,12899,1323226,5652,9245,16182,14548,14292,12129,7230,3916,1151,84349,11067,12952,36059,38406,59414,68340,43143,24612,7384,301378,2124,2045,5480,6873,9221,11391,14397,10582,3741,65854,439,681,3280,4759,6458,10273,15199,14069,6698,61852,125,706,3333,3358,3812,5290,4872,3699,2015,27214,6568,10639,26903,22152,16552,14212,12447,10954,6850,127270,64227,175196,399221,384129,325310,280752,206800,114774,40727,1991137,41272,140310,338899,319626,237568,164814,100775,41367,13640,1398271,3815,6250,12580,12006,13747,11749,7814,4609,1681,74258,5774,7700,24167,27606,54085,73167,60467,35489,13658,302113,1089,1091,3922,5250,7866,12270,18619,13662,7099,70870,267,429,2198,3778,6263,12126,19891,18220,11110,74278,98,457,2655,3078,4723,7125,7376,6379,4311,36201,5804,8625,23877,19519,14520,13103,13628,13625,13205,125916,58116,164865,408309,390867,338777,294359,228560,133352,64706,2081912,79512,279251,646885,613656,453139,323931,210279,88305,26542,2721496,9470,15498,28764,26556,28041,23878,15039,8526,2830,158603,16845,20653,60224,66016,113498,141509,103608,60095,21041,603487,3212,3131,9405,12125,17081,23667,33021,24247,10843,136725
1RNSW,14506,47794,92174,86119,73871,58290,57448,25083,6222,461499,5948,8690,13304,12603,12594,11251,8565,4281,1066,78302,11279,12979,36099,37547,57599,79363,54427,27447,6645,323381,2640,2221,4972,6005,8922,14665,21667,15244,4669,81007,655,533,1906,2586,3871,7963,14498,12404,6035,50459,81,150,569,596,699,869,976,816,416,5177,5451,6502,14488,13240,12892,13145,12801,10147,5120,93787,40558,78866,163524,158705,170439,185544,170384,95421,30181,1093617,17658,54040,115183,111031,93790,70823,51037,22501,6743,542805,4070,6246,10955,11037,12898,12760,8803,4902,1485,73159,7024,8495,25405,27527,51925,79613,67131,37069,12308,316499,1673,1305,3941,4560,7616,14215,23038,16487,8254,81100,375,328,1214,1671,2546,6351,12287,11712,9103,45586,66,121,471,535,635,775,918,920,720,5150,4873,4978,11000,10452,10326,11420,12461,12339,9206,87055,35731,75508,168169,166819,179728,195970,175683,105925,47825,1151356,32162,101828,207356,197151,167653,129118,108484,47590,12965,1004307,10016,14937,24261,23646,25490,24006,17371,9187,2555,151468,18300,21472,61503,65075,109516,158979,121562,64514,18958,639883,4315,3522,8918,10572,16539,28880,44705,31729,12926,162103
19799,0,0,0,0,4,5,0,0,0,9,0,0,0,0,4,3,0,0,0,6,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,12,0,0,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,0,0,14,0,0,0,0,5,0,0,0,0,3
2GMEL,34094,136393,303917,279549,196161,133526,92427,39492,11037,1226601,5462,10008,22737,21061,37874,40927,21764,8469,2307,170596,5989,8707,25495,27281,36106,40935,28771,16387,4872,194543,1836,1941,6539,7648,10748,13504,13672,9723,3262,68863,815,1041,3892,5288,6029,8917,14745,18638,9636,69000,190,848,3387,3541,3739,4326,4056,3581,1905,25579,5667,8971,23071,18206,14349,11830,10291,9051,5217,106662,54047,167910,389041,362567,305006,253969,185728,105343,38241,1861852,36999,138036,335115,308801,229288,149322,90054,35468,12424,1335510,3197,6182,15440,14500,33007,43194,26942,11925,3972,158367,3059,4880,15166,16576,26641,36785,36924,21993,8489,170516,952,1095,3766,5025,8186,12823,16594,11754,5815,66015,438,671,2943,4602,6496,10673,21973,27379,16664,91839,128,572,2857,3698,4634,5941,6075,6045,4048,33997,5111,7432,20817,16672,12914,11233,11751,11485,9889,107301,49890,158873,396103,369868,321176,269962,210313,126050,61303,1963539,71090,274433,639030,588347,425451,282849,182483,74960,23458,2562108,8665,16190,38176,35555,70880,84121,48709,20396,6284,328965,9048,13589,40659,43851,62750,77714,65695,38382,13363,365058,2790,3029,10307,12671,18936,26329,30271,21473,9082,134881
2RVIC,7736,27053,54514,49764,40870,30819,30620,12285,2893,256555,3331,5610,11374,10697,18875,23548,15548,4818,1096,94891,3995,4863,13800,14659,19476,27009,22165,10778,2559,119303,1259,1111,3533,4170,6155,9566,11031,7685,2089,46595,556,497,1592,1882,2260,3931,7535,9113,4568,31921,61,172,577,577,674,654,531,468,231,3942,2743,2916,6575,6271,6814,7237,7318,5705,2911,48489,19681,42216,91965,88008,95121,102757,94754,50849,16347,601698,9163,30257,68658,67366,56958,43095,30519,11397,3716,321134,1866,3343,7878,7918,17631,26025,17998,7021,1845,91523,2078,2911,8468,9150,14345,22195,23445,13128,4323,100044,707,637,2031,2341,4295,8340,10880,7434,3351,40025,306,293,947,1100,1617,3274,7296,9543,6912,31285,36,120,423,500,605,584,549,534,357,3712,2575,2569,5917,5979,6011,6552,7320,7037,5313,49267,16719,40125,94320,94358,101473,110078,98010,56100,25820,636997,16900,57309,123175,117126,97827,73916,61140,23683,6601,577686,5196,8948,19249,18615,36503,49584,33549,11833,2943,186416,6078,7774,22269,23805,33826,49201,45609,23907,6884,219346,1966,1752,5565,6514,10455,17900,21916,15121,5439,86623
29799,0,4,6,23,26,8,0,0,0,71,0,0,0,11,13,13,0,0,0,36,0,0,3,8,16,19,0,0,0,47,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,19,90,121,93,13,0,0,339,0,4,30,131,163,141,16,0,0,493,0,0,5,5,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,4,16,30,26,15,0,0,0,86,0,0,0,11,11,14,0,0,0,38,0,0,3,8,16,17,0,0,0,49,0,0,0,0,0,5,0,0,0,5
3GBRI,24171,71951,137673,128910,100567,63411,44122,19469,4543,594817,2573,3841,9855,9830,11389,10253,5801,2339,535,56415,4155,5059,18223,19970,30301,39420,30894,14038,3385,165434,1309,936,3055,3841,5104,6609,6159,3629,1204,31842,432,355,1400,1902,2573,3763,7165,9153,3668,30430,79,227,1070,1033,1113,1183,936,594,304,6526,3252,4680,10641,8840,7482,5930,5423,4542,2517,53301,35963,87051,181913,174333,158522,130561,100502,53764,16152,938758,25188,74194,153375,146899,114358,69101,41159,17016,5129,646413,1893,2923,8601,8495,11239,10008,6245,2814,771,52988,2833,3760,13346,14613,27880,44301,41465,19842,6687,174730,807,620,2199,2821,4111,5990,6865,4458,1890,29761,250,253,1083,1589,2348,3455,8436,11327,6764,35506,50,191,915,1149,1396,1389,1143,853,590,7667,3119,4308,10264,8231,6675,5625,5866,5781,5011,54888,34135,86250,189781,183801,168009,139875,111175,62089,26833,1001945,49359,146146,291046,275810,214926,132507,85284,36482,9671,1241232,4462,6762,18461,18333,22629,20267,12046,5147,1309,109403,6988,8813,31561,34588,58176,83727,72361,33878,10067,340157,2114,1557,5256,6660,9217,12599,13026,8090,3092,61598
3RQLD,19172,54356,103414,96098,82979,58105,51575,23505,5079,494282,3640,4831,11767,12514,15414,15689,10771,4408,885,79926,6632,6972,23737,27829,44370,64310,52371,22142,4644,253002,1947,1254,3712,5064,7287,11065,12288,7019,1880,51509,595,513,1416,2073,3169,5811,12485,15084,5750,46897,93,192,670,606,714,789,785,644,315,4810,5244,7215,17414,15567,16091,15386,13404,9130,3865,103315,37325,75335,162128,159749,170020,171153,153683,81928,22414,1033745,20623,58784,123824,120530,103435,70112,46823,20096,5362,569584,2468,3499,9802,11193,15571,17280,11560,4816,1153,77340,4406,5075,16797,20975,38912,66277,61915,27663,7959,249965,1273,871,2683,3495,5345,9448,11835,7215,2824,44988,333,306,926,1403,2139,4233,10694,14722,8492,43256,86,167,602,678,716,759,791,627,407,4831,4749,6055,14006,12112,11926,12480,12137,10106,6587,90159,33935,74751,168627,170379,178051,180594,155760,85250,32782,1080124,39795,113143,227236,216626,186413,128215,98398,43603,10439,1063870,6109,8328,21570,23702,30990,32969,22334,9224,2035,157258,11039,12050,40530,48805,83275,130586,114280,49801,12605,502972,3215,2124,6392,8554,12633,20516,24125,14233,4702,96499
39799,0,7,8,15,8,8,4,0,0,52,0,0,0,3,0,0,0,0,0,9,0,0,12,8,13,4,0,0,0,36,0,0,0,3,5,0,0,0,0,8,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,40,74,45,16,6,0,0,192,6,9,69,102,77,26,14,0,0,300,0,3,8,3,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,3,0,0,0,0,0,29,6,3,21,7,3,5,0,0,0,53,0,4,16,20,8,10,4,0,0,70,0,0,0,3,0,0,0,0,0,13,0,0,12,8,11,3,0,0,0,33,0,0,0,0,5,0,0,0,0,11
4GADE,10690,36642,68820,61235,50194,36441,27856,12413,3603,307891,2119,4489,11229,11531,16000,19161,12795,4561,1182,83063,1431,2224,7852,9044,10673,14147,12471,7688,2389,67927,398,402,1658,2111,2443,3723,3551,2816,1256,18361,194,253,896,1261,1382,2149,4186,5513,3275,19110,37,159,611,854,1000,991,842,659,417,5572,1280,1781,4129,3733,3350,3148,2895,2582,1571,24466,16149,45951,95197,89761,85044,79762,64609,36232,13694,526398,11476,37379,77070,71112,57712,41544,26353,11646,4268,338551,1307,2856,7642,8581,14413,20789,15128,5346,1967,78036,894,1591,5631,6801,8919,14160,17820,11054,4350,71220,260,308,1166,1616,1964,3396,4404,4209,2394,19720,108,144,727,1133,1221,2060,5091,7448,5733,23662,26,89,611,986,1287,1230,1060,1093,919,7313,1220,1614,3803,3325,2908,2883,3331,3663,2853,25601,15292,43969,96658,93553,88428,86071,73189,44462,22487,564105,22162,74019,145895,132346,107903,77986,54209,24056,7874,646446,3423,7346,18870,20112,30414,39955,27928,9904,3149,161101,2323,3815,13483,15843,19598,28307,30293,18749,6739,139144,660,709,2823,3731,4403,7121,7951,7028,3655,38082
