GCCSA_PEP_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
1GSYD,351,3887,29,4261,139244,8040,204,151742,2535,3198,68,5803,158143,11827,448,176218,66777,4830,767,72371,298123,29312,1264,401071,192888,3506,1723,198114,162670,23747,958,385494,120681,3931,1100,125717,182935,17097,818,326575,24019,11006,347,35379,232140,13635,903,282054,3925,17486,172,21578,175271,10284,1014,208153,579,4180,36,4793,101719,8407,321,115241,78,224,0,297,34621,5864,85,40868,411834,52249,4239,468319,1484871,128213,6014,2087418,526,6708,55,7285,127410,7124,188,142017,6442,5714,199,12360,143389,9551,449,165749,115050,7876,1956,124885,258317,25524,1098,409825,236575,5502,3189,245259,125570,20447,718,391997,119204,9302,1553,130058,194365,14784,756,339957,11712,30757,600,43069,239683,12122,1557,296420,2830,30277,402,33514,184683,10783,1272,230257,585,5157,72,5807,117057,10694,356,133917,86,290,8,385,52589,11807,101,64886,493003,101582,8032,602620,1443068,122838,6496,2175026,871,10587,81,11547,266656,15165,387,293755,8976,8918,270,18160,301528,21376,897,341968,181831,12705,2724,197255,556443,54839,2366,810897,429458,9009,4907,443371,288242,44196,1678,777488,239888,13237,2658,255780,377300,31884,1575,666530
1RNSW,317,3225,23,3562,73748,7240,44,84593,3186,2212,93,5502,66606,6871,211,79188,44569,3869,1235,49677,99111,14827,677,164297,82497,3136,2541,88178,57228,13379,394,159174,50477,5215,1385,57076,100785,12690,243,170790,9591,14541,306,24438,148955,12248,208,185851,1668,16948,96,18716,140914,10824,182,170634,331,3442,24,3792,83884,7798,87,95558,39,200,6,239,25856,4093,21,30212,192676,52799,5707,251180,797087,89973,2060,1140295,677,5893,57,6624,66687,6380,53,79747,6962,4574,381,11914,58405,5307,169,75803,68187,6599,3650,78428,78497,11322,440,168693,101583,4954,5220,111763,44540,10603,237,167141,48992,12879,2009,63879,105673,10272,178,180001,4317,35118,358,39795,145758,10489,252,196295,1109,26649,151,27909,137825,10041,187,175969,280,4499,25,4807,91712,9457,84,106068,57,287,9,355,40091,7395,24,47873,232162,101457,11854,345475,769197,81276,1635,1197584,990,9118,80,10190,140439,13620,93,164336,10147,6787,479,17416,125006,12176,385,154994,112752,10471,4882,128108,177611,26152,1117,332989,184084,8089,7762,199938,101765,23979,627,326311,99465,18099,3390,120952,206456,22960,423,350787
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,4,4,0,0,16,0,0,0,0,10,0,0,10,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,20,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,4,5,0,0,18
2GMEL,344,4229,40,4613,129096,7131,188,141025,1905,3444,64,5411,152495,10415,413,168727,63019,6127,937,70076,292761,26629,921,390390,182914,4163,2520,189594,152849,20497,724,363661,112473,4269,1448,118190,172172,14969,782,306117,20603,13933,344,34875,208119,11231,822,255052,3379,25412,173,28964,148622,8358,824,186766,576,6481,37,7095,91630,6719,271,105710,67,317,0,389,33948,3936,73,38350,385275,68373,5570,459217,1381679,109896,5014,1955807,464,7138,44,7651,119499,6530,173,133846,4759,6789,226,11773,139043,8409,363,159589,106047,11619,2857,120519,253343,22558,826,397243,219238,7768,6013,233022,119643,17521,515,370701,111173,11437,2513,125127,183201,13163,666,322154,10621,41319,658,52598,207255,10428,1361,271644,2838,44289,361,47485,153869,9217,1140,211710,658,7537,78,8273,109494,8387,341,126499,111,358,8,476,53486,7382,81,61429,455915,138254,12758,606929,1338831,103591,5469,2054818,807,11367,85,12266,248590,13661,361,274875,6665,10231,296,17183,291535,18818,781,328318,169062,17742,3790,190595,546104,49192,1748,787633,402150,11936,8536,422618,272491,38018,1239,734368,223655,15708,3964,243321,355372,28132,1443,628266
2RVIC,161,1669,10,1847,40160,3803,37,45846,1450,1223,34,2704,36340,3264,75,42386,24393,2159,604,27151,57137,7750,267,92317,47100,1554,1188,49839,31030,7183,159,88215,29506,2558,554,32621,55603,6946,107,95276,5309,7701,121,13134,82987,6689,93,102904,969,9833,40,10835,77613,6343,71,94861,172,1947,5,2130,44359,4388,26,50905,8,93,0,101,13979,2270,9,16362,109067,28726,2578,140370,439215,48639,850,629074,292,3043,25,3356,36178,3528,28,43098,3071,2460,175,5705,31839,2682,74,40300,36457,3937,1968,42365,45900,6098,194,94554,57216,2711,2831,62757,25684,5974,105,94519,28682,6598,1037,36312,59421,5800,87,101621,2595,20017,236,22847,81466,5812,107,110234,648,16152,78,16877,75368,5792,102,98142,172,2449,11,2624,48246,5250,40,56163,27,148,0,174,21763,3902,19,25856,129164,57504,6349,193017,425871,44843,751,664477,451,4711,40,5202,76341,7331,66,88945,4517,3679,207,8408,68184,5946,155,82691,60850,6092,2568,69515,103040,13847,465,186871,104315,4263,4017,112594,56712,13159,263,182735,58191,9152,1589,68932,115028,12742,191,196897
29799,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,5,0,0,5,9,19,0,30,23,0,0,23,18,84,0,131,18,0,0,14,27,116,0,163,0,3,0,3,39,100,0,141,0,0,0,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,45,109,336,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,16,0,17,0,0,0,0,3,8,0,14,0,0,0,0,7,13,0,18,0,0,0,0,6,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,19,49,0,72,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,11,0,0,7,13,38,0,52,25,0,0,25,20,96,0,140,18,0,0,14,36,128,0,182
3GBRI,305,3220,22,3547,72715,4183,94,80546,2771,2394,94,5250,76156,5790,255,87455,39979,3734,1025,44739,123822,13472,805,182842,89100,2950,2115,94167,69609,10639,441,174857,53718,3906,1039,58660,91729,8232,336,158958,8961,9073,168,18213,106591,5836,397,131035,1522,12329,76,13926,82061,4573,374,100940,216,2948,21,3179,47247,3373,103,53905,18,126,0,146,14175,1839,28,16189,196583,40684,4561,241832,684113,57937,2846,986723,529,5634,48,6217,66669,3938,96,76915,5629,4436,315,10379,71114,4889,235,86612,62633,6633,2647,71914,106916,11067,576,190475,110277,4885,4179,119344,55877,8681,312,184211,51804,9519,1736,63057,98240,6811,305,168404,4062,23422,336,27820,106921,5231,545,140506,993,21095,156,22243,84390,4629,418,111678,221,3592,25,3843,53974,4318,133,62266,38,185,3,220,22818,3808,37,26883,236181,79390,9449,325024,666911,53369,2652,1047958,833,8862,67,9766,139380,8125,195,157459,8398,6824,407,15628,147271,10679,490,174069,102613,10370,3670,116655,230744,24536,1382,373315,199376,7839,6298,213507,125490,19318,755,359068,105519,13425,2774,121714,189965,15042,637,327363
3RQLD,350,3388,39,3775,69465,6797,89,80127,3141,2143,105,5389,61863,8178,632,76060,40105,3745,1207,45058,97879,19298,2094,164326,78075,3183,2323,83577,59491,16779,795,160643,47867,4975,1288,54131,99453,16521,446,170552,9138,10842,258,20233,136114,14898,418,171669,1634,12248,69,13946,127593,12211,420,154175,307,2762,13,3085,71485,7409,226,82204,23,132,0,157,19180,3091,41,22471,180643,43401,5303,229346,742533,105182,5170,1082234,703,5916,70,6693,63567,5975,80,76320,6778,4268,388,11437,56855,6546,398,75233,63100,6470,3499,73068,80964,14676,1183,169898,99003,5144,5047,109196,48867,12417,398,170875,47003,11752,1916,60672,105452,12028,327,178472,3978,27746,285,32009,136801,11861,432,181105,926,20888,125,21939,123290,10617,432,156278,254,3428,30,3712,73555,8036,168,85471,43,210,4,258,27365,5181,42,32848,221788,85820,11370,318979,716718,87340,3454,1126489,1056,9311,111,10467,133033,12776,171,156447,9917,6411,490,16827,118718,14721,1029,151289,103207,10208,4708,118124,178844,33980,3280,334223,177079,8327,7368,192772,108358,29200,1192,331524,94872,16723,3206,114801,204898,28556,772,349030
39799,0,0,0,0,0,0,0,8,0,0,0,0,6,5,0,8,9,0,0,9,15,40,6,69,5,0,0,5,28,74,6,107,4,0,0,4,27,45,0,77,0,0,0,0,7,16,0,26,0,0,0,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,104,187,17,317,0,0,0,0,3,4,0,6,0,0,0,0,3,4,5,9,0,0,0,0,9,12,7,35,0,0,0,0,5,3,0,7,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,29,10,65,0,0,0,0,8,10,0,11,0,0,0,0,5,8,5,18,9,0,0,9,26,57,15,102,3,0,0,3,30,77,6,114,3,0,0,3,28,45,0,79
4GADE,118,1643,13,1774,36799,1742,54,40370,839,1353,29,2213,41903,2043,82,46244,19441,2155,479,22073,68567,4669,235,95539,46481,1575,1303,49361,36475,4001,166,90001,28059,1963,758,30789,50915,3400,166,85262,5109,6197,119,11431,65543,2843,162,79976,870,10610,43,11529,50783,2333,186,64830,159,2741,9,2906,31584,1759,61,36315,9,145,0,160,12491,1059,18,13723,101096,28385,2748,132231,395058,23852,1120,552258,196,2746,17,2958,33798,1594,50,38394,1967,2456,111,4530,37924,1778,63,44292,31084,3701,1436,36219,56501,4049,195,96961,56679,2607,2776,62069,28171,3382,151,93770,26265,4881,1058,32194,53392,2893,141,88624,2369,16412,190,18973,64600,2540,252,86369,629,17390,87,18107,52624,2492,256,73483,155,3050,19,3221,38772,2498,75,44572,20,165,0,186,20395,1916,26,22526,119362,53410,5696,178462,386183,23139,1207,588994,321,4383,34,4734,70593,3338,103,78764,2807,3809,133,6743,79828,3817,143,90532,50525,5852,1912,58291,125068,8714,433,192501,103161,4181,4081,111422,64645,7385,313,183767,54323,6842,1816,62982,104308,6296,308,173885
