GCCSA_PEP_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1GSYD,710,1106,5480,8535,12717,22394,35090,32295,17807,136134,220,1160,5993,6439,8536,12411,12243,10084,6327,63410,12370,19264,50784,41680,31071,27314,26077,24577,20050,253182,122338,340061,807532,774996,664083,575107,435358,248124,105436,4073040
1RNSW,1035,865,3125,4259,6414,14319,26783,24116,15134,96045,146,268,1039,1137,1335,1646,1893,1729,1142,10329,10322,11478,25488,23694,23217,24565,25260,22490,14327,180840,76291,154375,331688,325527,350166,381515,346065,201352,78002,2244976
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
2GMEL,1251,1716,6839,9890,12525,19590,36712,46016,26298,160842,316,1422,6243,7239,8369,10265,10135,9627,5958,59581,10782,16402,43886,34875,27264,23070,22040,20538,15101,213958,103945,326783,785143,732439,626180,523936,396042,231395,99545,3825393
2RVIC,861,783,2539,2981,3879,7204,14832,18650,11478,63211,96,291,1000,1080,1276,1234,1073,1005,593,7653,5315,5480,12493,12243,12823,13785,14640,12747,8226,97760,36406,82342,186289,182365,196593,212837,192760,106947,42162,1238695
29799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,38,98,129,108,13,0,0,389,0,4,52,140,182,158,16,0,0,565
3GBRI,681,606,2482,3497,4925,7221,15598,20485,10434,65932,132,416,1979,2181,2506,2568,2077,1440,890,14190,6371,8998,20902,17072,14153,11552,11291,10325,7522,108190,70102,173301,371688,358139,326529,270433,211675,115853,42985,1940703
3RQLD,933,822,2341,3483,5309,10050,23176,29810,14243,90156,179,359,1266,1282,1432,1550,1579,1273,720,9641,9997,13269,31421,27681,28021,27868,25541,19233,10452,193473,71260,150091,330753,330130,348070,351749,309444,167180,55202,2113870
39799,0,0,0,3,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,10,8,57,76,45,16,6,0,0,219,9,12,92,111,79,34,14,0,0,348
4GADE,299,395,1622,2395,2601,4210,9281,12959,9009,42772,66,255,1222,1834,2292,2221,1904,1750,1343,12881,2502,3387,7933,7056,6255,6031,6229,6245,4423,50059,31435,89929,191858,183318,173470,165831,137790,80695,36180,1090503
4RSAU,122,138,509,661,850,1761,4522,5912,3405,17880,24,45,170,207,248,235,231,217,127,1495,1319,1372,3498,3445,4095,4480,4364,3424,1698,27683,8454,18217,42610,42765,50322,59474,55628,30825,10989,319296
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34
5GPER,482,463,1687,2644,3395,4985,9128,11359,7141,41279,96,237,1337,1899,2169,2212,1925,1575,1156,12608,4371,5898,14706,13140,10846,9208,9532,9578,7387,84668,54821,129939,294004,298354,265825,231409,183848,101337,40736,1600267
5RWAU,250,215,581,717,1074,1761,3399,3898,2015,13914,43,67,247,269,342,341,328,299,196,2134,2739,4046,12748,12276,12162,10749,7089,3974,1776,67568,14791,28306,78213,81495,82726,83624,65780,29836,9311,474085
59799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,44,223,434,399,218,49,8,0,1387,20,116,521,957,893,533,176,32,0,3245
