GCCSA_PEP_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
6GHOB,76,72,254,257,330,629,1106,1448,1168,5342,12,25,164,133,183,174,163,97,56,1008,522,655,1903,1421,1203,1243,1454,1297,711,10406,5451,14852,39732,31713,29596,29544,25421,14316,5591,196216
6RTAS,100,112,312,368,535,1164,2343,2510,2018,9463,21,42,168,191,239,201,161,124,75,1222,879,997,2295,1968,2230,2657,2899,2487,1257,17663,7428,16082,36915,34030,39215,44547,39403,21528,7284,246441
69799,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,25,31,25,7,0,0,112,3,15,62,80,90,75,33,3,0,360
7GDAR,65,42,192,281,426,583,881,659,208,3339,5,30,94,108,142,162,183,102,50,869,675,1065,3022,2434,2291,2120,1620,589,174,13990,3595,9550,27482,23409,19885,17495,12673,4407,896,119386
7RNTE,494,452,920,923,939,836,859,337,78,5843,64,88,153,199,235,264,289,139,61,1504,673,969,2669,2107,2164,2202,1598,398,63,12846,4254,7207,18623,15097,13393,13474,9422,2250,358,84083
79799,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,9,17,43,40,34,11,3,0,156,11,27,58,105,120,106,42,10,0,482
8ACTE,74,70,298,400,486,850,1532,1694,994,6393,18,53,276,232,266,291,266,281,155,1840,1167,1901,3664,2557,1884,1484,1545,1268,829,16308,11891,34462,77573,69136,56025,44726,34854,19029,7195,354895
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,3,5,17,31,60,21,3,142,0,0,0,0,9,25,37,28,7,107,27,70,257,182,176,180,119,64,5,1087,115,272,741,691,765,892,664,295,60,4490
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
