GCCSA_PEP_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
4RSAU,191,109,1466,1721,293,2945,293,2886,220,10130,726,1177,2693,2154,862,1507,911,2622,227,12886,3386,5274,5821,3899,2492,2189,2547,4741,520,30870,5397,5354,4676,3732,3470,1939,2630,4019,569,31784,6946,5160,4755,4474,4352,2470,3255,4792,676,36877,7000,4500,4180,4358,4041,2346,3446,4943,619,35442,3597,1484,1088,873,1177,582,997,1397,303,11496,971,141,115,49,156,71,82,204,183,1972,92,3,3,3,6,7,0,14,33,173,28323,23203,24795,21257,16853,14050,14175,25628,3349,171633
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,9,0,22
5GPER,685,1278,5867,11374,2405,19307,2597,13041,855,57413,3779,13060,15433,20228,9926,15062,5891,11449,1635,96460,20726,64730,38701,28335,26254,13903,14904,17603,4210,229378,34211,68455,35145,24469,29628,11042,15079,15263,3927,237208,34056,52200,28745,22252,30070,11409,14392,14942,3337,211403,22557,34130,20470,15818,24742,9433,12660,12766,2225,154809,6127,10444,4918,3560,6903,3050,3449,3966,739,43154,884,1289,381,234,678,352,260,544,271,4896,62,69,13,8,47,29,9,37,88,359,123091,245654,149680,126282,130649,83586,69235,89615,17284,1035077
5RWAU,212,188,2301,2413,563,4131,626,3645,331,14406,814,1821,4495,2590,1561,1775,1880,3477,343,18756,4775,9846,12179,5366,4762,2645,5724,6892,842,53027,8293,10392,11704,5677,5942,2635,6570,5836,1023,58070,9697,9398,10174,5959,6510,3056,7735,5898,1029,59459,8722,7611,7430,4861,5909,2869,7269,5588,811,51068,4104,2271,1694,1072,1662,848,1878,1712,351,15592,1085,197,111,77,174,112,128,277,158,2329,131,8,0,3,4,8,4,22,39,222,37837,41725,50097,28022,27087,18074,31819,33340,4925,272925
59799,0,0,0,0,0,0,0,3,0,10,0,10,21,12,0,0,0,31,0,71,11,60,106,20,4,0,19,80,0,297,19,93,212,16,11,0,58,116,10,516,29,100,183,6,23,0,63,77,10,486,27,57,93,12,9,0,32,32,4,267,8,10,10,0,0,0,4,7,0,40,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,96,324,627,58,45,6,172,344,23,1697
6GHOB,99,92,698,1026,278,1899,167,1089,101,5438,447,1331,1801,2143,1108,1701,336,1093,159,10124,2674,7530,4750,4952,3394,2350,1378,2966,563,30552,3902,7239,3159,3113,3155,1279,1021,1855,470,25184,3903,6260,2582,2756,3578,1271,979,1570,397,23295,2658,4491,2136,2104,3021,1080,1166,1543,288,18477,745,1392,551,469,714,316,286,479,97,5046,142,113,45,33,80,46,31,46,37,573,8,11,0,0,0,4,0,0,12,43,14571,28465,15720,16599,15331,9937,5358,10630,2127,118737
6RTAS,194,76,1158,1213,270,2494,271,1718,137,7526,610,920,2337,2128,917,1568,692,1805,205,11185,2736,5130,4884,4001,2401,1988,2065,3758,474,27422,3708,5483,3678,3184,2780,1626,1993,2844,486,25780,4470,5208,3554,3686,3703,1999,2408,3378,505,28908,4015,4306,3194,3123,3414,1708,2584,3359,445,26144,1620,1296,788,610,861,451,668,847,202,7352,400,140,58,38,91,51,64,96,103,1040,50,7,4,4,8,4,0,4,27,106,17800,22565,19657,17980,14447,11890,10744,17801,2574,135466
69799,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,9,0,15,18,8,0,0,5,9,0,58,3,27,22,5,0,0,0,15,0,76,10,13,17,5,4,0,4,18,0,70,3,18,12,3,3,0,4,3,0,53,0,5,0,4,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,78,74,21,9,0,18,58,0,277
7GDAR,62,65,456,702,271,1128,133,686,81,3578,335,785,1165,1693,922,759,333,582,156,6730,1918,5271,3135,3539,2778,1228,956,1395,398,20614,2722,4626,2638,2412,2474,811,800,1122,326,17934,2709,3343,2010,1778,2290,686,847,1086,255,15008,1979,2403,1293,1032,1735,562,776,832,186,10814,557,777,342,245,495,202,201,242,66,3123,74,62,18,16,46,20,21,24,18,290,7,3,0,0,4,0,0,0,7,25,10358,17331,11056,11415,11016,5389,4061,5973,1504,78112
7RNTE,19,72,156,315,98,335,44,352,67,1459,105,494,429,630,261,209,102,514,93,2832,888,2598,1325,1785,940,467,412,892,248,9554,1189,2114,1101,1383,852,288,430,602,198,8153,1271,1620,881,1146,883,251,496,627,158,7330,1144,1656,770,829,817,242,452,560,133,6601,412,508,212,180,235,103,125,165,53,1989,48,37,13,14,24,5,13,13,11,189,0,3,0,0,0,0,0,0,0,7,5085,9106,4888,6274,4106,1900,2073,3725,961,38122
79799,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,11,0,17,0,9,0,4,0,0,3,26,0,42,0,29,21,0,0,0,0,16,0,59,3,20,19,0,0,0,6,25,0,79,0,23,23,0,0,0,0,14,0,62,6,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,85,63,17,0,0,8,86,4,282
8ACTE,543,568,1177,3461,833,4011,295,1881,172,12953,1934,5447,3377,5555,4231,3220,582,1597,520,26478,8721,23197,7523,6960,8790,3381,1596,3309,1483,64959,13586,21791,5179,4722,8099,1645,1112,2186,1340,59663,12199,15347,3739,3595,7646,1360,1072,1628,1027,47612,6049,8804,2268,2252,5120,1112,980,1352,540,28478,1120,2567,579,557,1217,425,347,414,151,7380,143,297,71,49,134,65,25,48,27,866,13,25,5,0,7,10,0,11,12,76,44313,78043,23917,27158,36088,15245,6008,12417,5262,248458
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,27,0,17,54,3,12,4,19,4,136,31,25,29,41,14,6,7,23,0,177,82,87,80,92,42,16,18,35,3,451,85,73,70,71,58,23,26,43,9,462,109,75,83,73,70,24,28,51,7,524,116,89,102,50,75,47,25,56,5,572,29,42,38,22,23,22,26,35,9,247,10,3,4,6,9,3,0,6,4,44,3,0,0,0,0,0,0,0,0,3,501,399,421,398,290,150,142,269,42,2614
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
