GCCSA_PEP_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
1GSYD,35733,41765,947,78444,471821,25747,2460,578479,6753,47767,569,55093,359957,21075,2289,438409,1164,9337,109,10605,218779,19101,679,249163,164,516,11,687,87207,17671,186,105750,904833,153832,12267,1070940,2927936,251056,12509,4262444
1RNSW,13908,49658,664,64232,294713,22741,465,382153,2778,43599,247,46620,278746,20873,370,346607,614,7940,50,8605,175595,17253,170,201622,101,483,9,595,65954,11489,45,78082,424840,154254,17560,596652,1566286,171243,3693,2337878
19799,0,0,0,0,8,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,22,0,3,38
2GMEL,31227,55252,998,87478,415372,21668,2188,526705,6212,69703,533,76454,302488,17577,1960,398480,1232,14012,119,15364,201123,15111,608,232206,176,678,8,869,87439,11316,161,99774,841198,206628,18326,1066145,2720510,213489,10483,4010621
2RVIC,7909,27720,360,35980,164458,12497,194,213130,1612,25982,120,27715,152974,12139,174,193004,343,4394,20,4755,92604,9638,65,107069,38,235,6,281,35741,6172,27,42215,238227,86232,8923,333386,865090,93478,1599,1293551
29799,0,3,0,4,45,111,0,158,0,0,0,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,55,121,385,0,565
3GBRI,13027,32494,505,46024,213511,11059,942,271537,2515,33424,231,36167,166454,9200,794,212617,434,6537,47,7020,101219,7686,240,116172,49,311,7,367,36989,5651,64,43077,432766,120075,14014,566855,1351024,111303,5502,2034683
3RQLD,13111,38584,541,52237,272920,26764,850,352774,2562,33127,194,35891,250883,22829,857,310452,561,6188,41,6788,145041,15447,395,167669,67,340,0,413,46548,8265,86,55318,402430,129218,16669,548322,1459243,192523,8625,2208722
39799,0,0,0,4,14,16,0,34,0,0,0,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,14,118,220,24,380
4GADE,7481,22611,309,30399,130146,5384,414,166342,1501,28007,135,29638,103405,4828,439,138313,313,5790,23,6135,70360,4258,137,80886,33,308,5,344,32885,2969,44,36247,220457,81793,8443,310690,781237,46989,2325,1141251
