GCCSA_PEP_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
1GSYD,31590,29641,61238,31769,30378,62148,32254,30207,62466,32078,30016,62096,32767,31063,63831,160460,151310,311771,33412,31845,65255,33458,31333,64790,33513,32071,65575,33990,32107,66101,34024,32181,66208,168402,159526,327929,33463,31550,65014,33529,31607,65136,32772,31126,63893,32651,31036,63683,32388,30482,62868,164802,155797,320601,31326,29400,60723,30629,28491,59116,30022,27968,57988,29738,28018,57757,29831,27948,57782,151542,141825,293365,32707,30305,63013,35259,32422,67680,35067,32739,67805,35691,34037,69730,37043,35801,72844,175772,165303,341071,38029,36824,74854,39194,38383,77580,39358,39214,78577,39918,40017,79936,39755,41143,80902,196257,195591,391848,40974,42628,83602,41273,42854,84121,41223,42691,83914,40126,42544,82664,39953,42429,82383,203549,213138,416689,40771,42147,82925,40774,42119,82896,40896,41965,82864,41076,42136,83210,39896,40573,80472,203418,208951,412365,39414,39182,78593,37275,37055,74326,35985,36501,72483,34461,35046,69506,33988,34545,68534,181118,182326,363449,33527,34258,67789,33453,34290,67743,33549,34676,68220,33895,35207,69108,34672,36161,70836,169091,174590,343687,34553,36776,71330,31835,33356,65185,31224,32937,64154,29846,31511,61356,29206,30034,59239,156657,164610,321272,29389,29814
1RNSW,15422,14772,30185,15963,15055,31019,16090,14943,31037,16071,15354,31430,16383,15744,32126,79932,75866,155801,17446,16317,33754,17167,16341,33508,17578,16594,34172,18242,16907,35146,18273,17347,35619,88701,83504,172200,18164,17107,35273,18429,17779,36203,18592,17518,36103,18482,17685,36170,18758,17561,36323,92422,87660,180077,17917,16980,34901,17430,16325,33754,16787,15815,32605,16454,15417,31866,15965,15156,31123,84549,79692,164242,16055,14950,31000,15745,15204,30951,15796,15251,31046,15533,15077,30612,15848,15150,30993,78978,75632,154604,15740,15561,31299,16210,16174,32383,16323,16364,32683,16447,16692,33139,16818,16996,33813,81536,81783,163315,16612,17512,34119,16869,17585,34453,16264,17206,33474,16091,16965,33052,16256,17198,33455,82087,86470,168556,16501,17146,33646,16455,17227,33680,16015,17192,33202,16323,17161,33481,16163,16716,32882,81452,85441,166894,15933,16957,32893,15522,16065,31592,15310,16108,31416,15182,16173,31360,15370,16151,31531,77328,81465,158789,15654,16392,32043,16015,16629,32640,16695,17591,34283,17259,18347,35609,18368,19464,37833,83988,88418,172403,18882,19685,38567,17219,18113,35328,17303,18300,35598,16434,17503,33932,16726,17811,34539,86556,91407,177968,16738,17633
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,4,0,4,0,0,0,3,0,3,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,0,10,3,0
2GMEL,28811,27593,56404,29617,27980,57595,29627,28150,57778,30090,28368,58459,30925,29072,60001,149077,141159,290242,31828,29989,61823,31366,29805,61176,31626,29538,61162,31827,30218,62042,30954,29651,60609,157596,149212,306813,30198,28616,58816,30445,29311,59758,29916,28199,58116,29980,28361,58336,29745,28019,57764,150288,142504,292787,28730,27207,55938,28053,26290,54340,27750,26161,53908,27878,26493,54372,28430,27520,55948,140840,133671,274512,31419,29560,60976,33048,31549,64593,33296,31519,64818,34202,32394,66587,36354,34205,70564,168318,159222,327541,38144,35559,73703,39050,37083,76133,38933,37734,76667,38484,38955,77440,38077,39656,77731,192689,188988,381676,39187,41174,80355,39492,42008,81504,39138,41681,80816,39349,41657,81000,39620,40912,80529,196783,207425,404216,39364,41301,80661,39335,41204,80534,38851,39808,78660,38980,39770,78751,37879,38338,76220,194406,200415,394826,36732,36769,73497,34689,34825,69509,33479,33787,67272,32138,32488,64625,31495,31902,63389,168529,169768,338297,31179,31536,62709,31073,32217,63294,30842,32679,63521,31153,32661,63812,31865,34184,66054,156115,163275,319388,32222,35107,67331,30618,32248,62862,30038,31833,61870,28914,30219,59133,27438,28809,56247,149221,158218,307436,27186,28518
2RVIC,8367,8185,16549,8520,8035,16554,8524,8446,16968,9011,8365,17372,8857,8654,17515,43273,41685,84960,9612,9021,18631,9554,9053,18602,9648,9301,18953,9893,9155,19045,10015,9279,19297,48714,45811,94524,9809,9195,19003,9975,9478,19452,10204,9487,19691,10152,9399,19558,10505,9808,20315,50646,47361,98007,9817,9362,19180,9240,8681,17926,9276,8773,18048,8871,8374,17241,8608,7876,16487,45811,43065,88874,8449,7807,16254,8293,7994,16285,8404,8036,16440,8486,7994,16481,8680,8396,17074,42310,40231,82540,8865,8656,17513,9408,9191,18599,9356,9378,18729,9254,9370,18631,9307,9571,18875,46192,46163,92353,9444,9599,19038,9274,9896,19170,9173,9458,18626,8968,9654,18622,8999,9597,18596,45853,48204,94051,9247,9780,19028,9152,9781,18927,8977,9701,18678,9123,9620,18747,8562,9525,18091,45061,48404,93466,8698,9507,18206,8417,9092,17516,8476,9021,17492,8802,9122,17923,8598,9264,17864,42992,46011,88999,8805,9225,18031,8903,9566,18468,9262,9901,19164,9406,9981,19383,9996,10663,20660,46376,49336,95705,10362,11128,21493,9668,10339,20006,9887,10638,20526,9496,10099,19592,9385,10001,19383,48797,52206,100995,9440,10240
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,5,5,3,0,3,0,0,0,3,5,10,4,5,10,6,0,6,4,0,4,4,5,10,10,10,22,25,15,44,5,6,6,0,0,0,16,0,16,14,0,18,16,0,18,49,10,60,15,6,14,9,0,9,18,0,18,31,0,31,15,0,15,79,6,85,19,0,19,33,5,38,9,0,9,16,11,21,21,0,21,91,13,105,18,0,18,8,0,8,15,5,16,9,0,9,27,5,31,77,8,80,18,3
3GBRI,14951,14144,29097,15142,14457,29598,15624,14626,30251,15543,14687,30232,16135,15093,31230,77401,73010,150403,16521,16033,32546,16732,15861,32591,17162,16102,33261,17349,16297,33648,17194,16328,33520,84950,80621,165574,16969,16345,33311,17400,16580,33984,17484,16369,33857,17236,16250,33482,17296,16014,33317,86398,81560,167954,16656,15507,32163,16313,15121,31433,15563,14980,30542,15662,15034,30703,16254,16172,32430,80451,76815,157267,17222,16767,33992,17348,17086,34439,17235,17277,34507,17721,17400,35119,17678,17848,35523,87202,86380,173579,18299,18026,36316,18348,18703,37054,18275,18523,36803,18094,18577,36674,17818,19254,37071,90833,93089,183925,18392,19622,38011,18656,19571,38230,18235,19308,37541,18153,19233,37383,17761,19083,36845,91195,96810,188010,18404,19612,38023,18331,19620,37947,18200,19313,37516,18561,19780,38343,18111,18602,36711,91608,96926,188536,17704,18347,36044,16735,17818,34561,16503,17101,33606,16107,16965,33077,15754,16746,32501,82809,86973,169780,16011,16752,32764,15960,17010,32972,16133,17113,33244,16570,17630,34202,16976,17864,34844,81658,86364,168029,17042,18116,35157,15834,16850,32684,15258,16140,31396,14540,15527,30068,14286,15099,29387,76957,81736,158693,13653,14412
3RQLD,13857,13070,26930,14731,13619,28347,14718,13721,28439,15000,14206,29205,15392,14403,29797,73703,69022,142721,16277,15427,31704,16602,15495,32095,16879,16175,33057,17224,16227,33446,17356,16697,34053,84345,80018,164358,17560,16787,34349,17831,17136,34964,18102,17162,35267,18466,17096,35557,18228,16734,34963,90183,84913,175102,17527,16622,34145,16739,15823,32566,16187,15321,31509,14826,14469,29292,14760,14001,28760,80043,76232,156273,14927,14701,29630,15160,14714,29874,14905,14753,29657,15058,15271,30332,15376,15393,30767,75432,74833,150265,15674,15838,31510,16167,16296,32472,16374,16532,32909,16554,16988,33541,16508,17350,33859,81273,83007,164288,16571,17413,33986,16549,17268,33818,15881,17136,33021,15796,16878,32675,16160,17012,33169,80955,85704,166657,16221,17280,33495,16115,17485,33598,16145,17542,33691,16638,17978,34617,16372,17266,33636,81487,87552,169037,16431,17246,33680,15681,16443,32131,15559,16658,32220,15066,16102,31169,15614,16475,32089,78362,82922,161285,15728,16709,32431,16098,16913,33012,17045,17367,34409,17506,18278,35786,17882,19037,36914,84254,88299,172558,18718,19511,38229,17273,18117,35388,17004,18031,35037,16420,17076,33493,16435,17115,33553,85849,89845,175696,16298,17227
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,5,0,6,4,8,6,11,0,4,5,0,0,0,0,0,0,0,0,0,5,0,5,8,3,15,4,6,5,6,12,21,15,7,20,6,0,6,10,5,10,37,21,53,4,0,4,3,0,6,0,0,0,9,0,9,8,0,8,29,0,33,9,7,16,14,0,14,12,0,13,3,0,3,10,0,10,50,3,52,9,4,14,12,0,12,8,0,13,16,0,16,3,0,3,54,4,61,21,8,22,8,0,8,7,0,14,8,0,8,10,0,10,53,3,58,6,0,6,3,0,3,0,0,0,5,0,5,9,0,9,22,0,22,8,0
4GADE,7529,7171,14700,7623,7235,14856,7566,7206,14772,7834,7255,15093,7911,7468,15381,38460,36337,74804,8288,7811,16100,8243,7784,16023,8412,7875,16286,8419,8003,16420,8566,8056,16621,41921,39527,81450,8190,7896,16086,8546,7813,16357,8311,7945,16255,8318,8071,16391,8292,8005,16296,41662,39729,81390,8213,7660,15874,7841,7528,15373,8119,7548,15668,7934,7736,15673,8204,7871,16083,40319,38348,78669,8715,8505,17223,9289,8804,18092,9266,8789,18053,9349,8928,18279,9545,9204,18752,46159,44233,90394,9852,9385,19243,10046,9477,19528,9455,9509,18960,9578,9565,19140,9445,9659,19111,48380,47601,95979,9457,9731,19185,9430,9882,19309,9405,9706,19110,9349,9904,19256,9277,9946,19219,46930,49164,96089,9486,10039,19525,9535,10004,19536,9613,10101,19719,9528,9868,19404,9085,9551,18642,47251,49571,96821,9028,9359,18385,8631,8863,17495,8505,8724,17230,8073,8495,16569,8353,8603,16960,42588,44050,86639,8196,8275,16470,8345,8477,16821,8320,8717,17032,8527,8897,17416,8952,9387,18346,42341,43745,86086,9110,9442,18550,8759,9012,17774,8546,8992,17540,8349,8771,17122,7986,8512,16504,42761,44733,87497,8148,8615
