GCCSA_PEP_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
1GSYD,17217,21789,39000,5018,6245,11260,5695,14586,20286,6481,30103,36583,18525,60844,79364,20460,37991,58445,56086,29034,85119,52129,36574,88705,66650,42459,109110,80056,36063,116123,63860,32186,96051,68331,27462,95792,157986,52751,210732,125027,8027,133053,112907,16108,129015,80946,4254,85198,309176,30926,340103,67699,9898,77595,13344,16318,29666,1327581,513616,1841202
1RNSW,7528,10871,18394,3448,4473,7928,3312,11712,15023,4050,24241,28300,14061,65550,79613,15492,40633,56126,54397,25290,79699,45977,30856,76840,53600,30223,83823,61370,21201,82570,42313,16942,59252,45127,13161,58291,92660,20589,113247,67944,3535,71472,53374,4962,58329,33329,1397,34728,80597,9316,89912,48509,4981,53494,10424,17370,27789,737521,357306,1094827
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,16659,22392,39052,5604,6627,12236,6343,14822,21165,6512,28519,35031,18578,64177,82750,20319,41273,61591,57552,31978,89525,55838,40698,96535,70330,46921,117255,84502,40506,125004,67312,36551,103864,71251,29283,100535,161091,51304,212400,128070,8072,136146,108210,14086,122297,73369,3903,77269,231665,23414,255083,66490,10199,76689,13906,16541,30453,1263599,531265,1794869
2RVIC,4179,6283,10464,1978,2658,4629,1907,6768,8673,2342,14338,16681,8381,38165,46545,9221,23352,32573,30760,15339,46096,27208,18638,45852,31174,17946,49115,35446,12605,48052,24721,10236,34954,26538,7519,34055,53730,10782,64514,38218,1805,40024,28536,2651,31189,16778,758,17540,38438,5193,43628,26160,2347,28513,6822,10368,17187,412530,207744,620275
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,5841,8297,14134,2285,2816,5101,2537,6902,9440,2915,14316,17229,8756,33886,42639,11155,24921,36073,31801,16850,48657,31140,21954,53092,38582,24832,63418,45664,20622,66286,36134,17379,53514,38251,13816,52065,85979,23396,109381,65895,4269,70166,55005,5948,60957,37607,1568,39174,108689,8756,117441,39953,6116,46075,5871,8314,14189,654061,264971,919025
3RQLD,7324,10260,17588,3204,3817,7014,3135,9313,12451,3627,19124,22745,12272,48556,60830,13934,32835,46773,45578,22971,68551,39571,28173,67745,46417,28629,75039,53491,22391,75887,38729,17093,55824,41555,13711,55267,86334,21654,107987,62531,4401,66931,48440,5999,54442,29782,1704,31482,71488,9654,81140,56867,6241,63107,9542,16609,26154,673819,323143,996962
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,5
4GADE,3086,5009,8093,1351,1977,3331,1524,5823,7351,1853,11867,13716,5904,28933,34834,7214,18458,25675,21885,12301,34188,21576,15103,36674,25790,16031,41819,29464,12270,41730,21921,9825,31745,22863,7234,30097,49215,10787,60002,36892,1922,38814,28401,2484,30883,18088,654,18745,44785,3736,48522,22606,2789,25396,3108,5410,8520,367534,172607,540145
4RSAU,1070,1557,2626,518,761,1280,540,2235,2777,643,4521,5161,2582,11996,14576,2702,6559,9267,9953,4434,14388,8081,5181,13267,8529,4835,13365,9750,3421,13171,6144,2581,8726,6615,1822,8433,12262,2722,14988,8149,454,8609,5705,708,6408,3118,177,3295,6354,1240,7596,8528,549,9073,1725,3246,4972,102966,59007,161967
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,5251,7681,12931,2099,2729,4824,2423,7149,9577,2781,13847,16627,7956,31118,39075,9514,20667,30180,26189,13758,39945,24497,17105,41603,30032,20006,50035,34623,16965,51586,27742,14928,42665,29699,11696,41385,67269,20783,88050,53325,2695,56021,46930,5640,52569,30768,1197,31967,96960,8431,105387,53954,5580,59534,5003,7431,12437,557005,229393,786404
5RWAU,1222,2143,3371,603,896,1496,719,2456,3178,802,4236,5040,2624,9761,12388,2709,5887,8597,8288,4836,13124,6755,5648,12401,7819,6318,14136,8636,5134,13765,6249,4261,10508,7020,3792,10812,15203,6920,22126,11798,1211,13010,10098,2284,12376,6077,650,6729,15718,3745,19461,15622,1192,16821,1974,4853,6836,129939,76236,206167
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,13
6GHOB,463,749,1209,197,296,488,251,928,1174,319,1923,2243,1099,5322,6430,1418,3323,4743,3744,2368,6113,3692,2696,6388,4561,2931,7489,5482,2135,7611,3985,1907,5897,4124,1331,5454,8668,1966,10629,6430,406,6835,4877,523,5400,3225,165,3387,7407,769,8173,4233,602,4831,537,1070,1603,64705,31393,96103
6RTAS,684,1072,1759,403,505,910,409,1580,1987,597,3386,3986,2010,9321,11332,2263,5143,7407,7966,3154,11117,6347,3819,10167,6793,3611,10404,7694,2349,10049,5273,1903,7172,5252,1400,6653,10308,1783,12096,6873,329,7206,4789,410,5196,2691,120,2812,5310,762,6073,6198,465,6666,1053,1880,2937,82908,43010,125922
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,184,441,627,59,130,191,116,337,453,170,833,1002,350,1205,1563,416,775,1194,865,807,1676,873,1154,2030,1307,1420,2729,1651,1429,3083,1454,1299,2753,1673,1181,2855,4442,2085,6526,3658,436,4100,3273,567,3836,2478,228,2708,6465,985,7455,3825,639,4467,296,847,1151,33581,16801,50387
7RNTE,84,311,401,170,149,319,302,344,641,184,404,592,608,738,1345,392,514,904,850,723,1571,879,862,1741,997,1185,2176,1074,1124,2196,814,940,1759,814,824,1643,1760,1581,3341,1469,427,1897,1271,556,1830,836,236,1065,1925,894,2813,1843,290,2132,384,1306,1696,16660,13414,30072
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,7
8ACTE,542,1043,1589,239,390,635,248,990,1242,319,1927,2249,855,4232,5086,1096,2764,3862,2531,2713,5247,2737,3385,6117,4041,4177,8218,5688,4438,10129,5113,4869,9976,5486,4224,9706,14033,8438,22468,12128,1021,13149,12033,2044,14082,9814,619,10431,33714,3516,37228,6046,1100,7150,544,1013,1561,117214,52899,170110
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,8,14,23,7,13,23,6,14,18,12,36,43,20,80,99,21,50,67,50,53,104,55,55,107,64,60,123,72,50,122,63,33,96,72,38,109,127,36,166,97,0,98,75,19,95,57,4,60,94,18,111,97,8,102,26,30,56,1008,615,1629
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
