GCCSA_PEP_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
1GSYD,89456,161969,122147,777599,8722,1159887,1507,6092,3184,74123,1044,85961,511526,8751,15426,12917,3265,551876,26953,4239,2572,9837,276,43876,22545,7362,4599,13727,205,48433,320993,126939,91179,687072,9631,1235815,114154,3511,9952,2466,454,130536,20840,2965,2322,7849,142,34111,44922,11238,8161,57005,790,122123,67328,12711,6802,36720,667,124229,11959,2407,1344,3859,94,19662,227070,4077,3178,2133,486,236944,83021,32281,22013,258546,2052,397909,104834,27166,12775,76741,1188,222707,65592,687,2049,583,275,69183,105868,24549,10901,28524,740,170574,20070,2607,1565,4471,162,28870,26668,7939,4371,23918,335,63235,19536,4027,2481,2029,232,28302,19001,7225,5148,3736,192,35304,26231,3995,3253,8131,202,41804,21793,1834,2002,3464,166,29259,24475,3327,1392,946,300,30435,68408,29314,21404,192528,1486,313138,22758,2329,1577,2925,144,29730,23697,3486,2590,1128,107,31004,32498,2000,1857,3344,228,39918,16186,1047,791,690,62,18777,110053,2105,3641,2085,673,118562,10670,2885,1908,9366,80,24905,870190,60878,49291,63601,5668,1049627,46109,3096,2276,12900,245418,309794,2736383,339787,246809,1608900,278347,5210233
1RNSW,14619,90651,67683,956417,11942,1141310,476,5416,2806,162068,2534,173291,20389,1237,1809,5904,215,29547,5559,1344,620,3176,135,10825,15539,5906,3780,13050,239,38512,137030,84043,61429,865894,13134,1161532,16309,706,3961,1072,191,22242,5346,1221,982,6731,88,14371,22977,8426,6171,81269,1021,119863,6823,2173,964,7169,147,17276,3371,1020,421,1896,44,6756,20939,1040,772,1173,91,24022,28926,18245,12371,272784,2715,335038,24570,9200,3561,40746,592,78672,2674,124,313,165,16,3297,3079,1137,560,2798,53,7625,9655,1368,688,3069,101,14881,5333,2050,1159,6915,112,15574,5643,2268,1388,2011,92,11394,6889,4248,3026,2915,140,17221,8166,2075,1357,6099,127,17821,3056,638,612,1902,73,6282,2139,823,292,283,57,3591,36151,22132,15864,228877,2148,305173,4277,616,329,1030,55,6310,5605,1269,947,671,36,8531,5940,869,606,2977,84,10477,1536,282,246,275,12,2348,4619,186,433,195,32,5475,6090,2342,1468,9818,92,19815,108915,20003,15761,37862,1619,184158,5545,1172,936,20323,169435,197410,442835,169079,122047,1908932,199371,2842264
19799,0,0,4,19,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,26,0,32
2GMEL,76577,151678,115391,790473,8834,1142951,1212,2390,1348,26737,435,32125,380334,5736,11185,9441,2023,408718,26788,4188,2266,8653,272,42168,30876,10908,6864,23567,310,72534,285438,125313,93441,732236,9828,1246256,71931,1767,6985,1473,248,82410,16034,2496,1831,7725,148,28237,43801,13642,9602,71423,928,139392,100105,16325,8610,45028,1049,171116,11885,2444,1427,4516,146,20418,249465,4649,3316,2518,510,260455,67668,31627,21772,281235,2240,404551,148999,36455,17356,117756,1878,322447,18283,220,780,230,51,19560,30553,6950,3256,6455,238,47458,31045,4280,2406,8175,264,46181,34181,8464,5042,22803,401,70889,16287,2317,1778,1167,154,21705,18220,6190,4629,2547,150,31740,30545,5402,4128,11868,267,52211,17896,1613,1721,2950,143,24323,18909,1562,724,296,214,21713,67164,30586,23321,223210,1760,346046,20647,2173,1349,2483,217,26866,16344,2727,2193,996,80,22342,18553,1530,1303,3163,129,24673,41003,2880,2017,2247,160,48309,109454,1906,3683,1793,530,117369,8792,2531,1830,9582,75,22811,754750,51275,42617,59732,5190,913564,41110,2590,2033,14025,202546,262297,2417560,318987,234297,1684868,234264,4889983
2RVIC,8674,47595,34421,516766,7786,615241,197,1133,615,27781,525,30244,13127,546,913,3619,136,18336,5011,990,468,2421,93,8981,13922,5313,3309,12929,252,35718,72374,44256,32339,479775,8206,636948,10013,294,1850,420,142,12709,2237,526,453,3439,40,6699,12831,4883,3496,49767,707,71693,4375,1222,473,3610,82,9762,2236,588,270,1145,35,4276,14554,646,303,552,49,16109,15765,10734,7025,166220,1915,201654,18580,6344,2522,33028,532,61000,792,30,84,47,4,954,623,246,97,625,11,1598,1823,360,161,835,19,3201,4140,1342,703,4118,91,10395,2287,698,506,614,46,4146,3590,1996,1451,1205,63,8308,4742,1181,674,3325,78,10008,1572,309,238,795,26,2935,970,213,92,72,7,1359,19599,12057,8779,141346,1556,183335,2133,323,178,544,26,3203,2399,520,365,325,30,3641,2094,358,272,1346,34,4103,1638,304,177,261,11,2392,3161,110,259,84,31,3645,2735,997,634,4542,59,8965,63345,9030,6927,18499,976,98782,3456,724,553,12870,90523,108132,258969,89831,63401,1048024,109216,1569447
29799,0,11,6,44,0,60,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,13,18,9,8,42,0,72,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,7,0,4,9,0,15,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,23,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,8,0,0,5,0,14,0,0,0,0,385,385,52,9,17,98,387,565
3GBRI,26414,99255,79659,582124,6430,793875,838,4794,2868,61303,934,70738,102947,2595,4879,6492,578,117492,4887,1133,607,2168,49,8835,18257,6392,3990,12135,203,40979,216034,87423,65776,540124,6865,916215,32593,1112,5646,1360,194,40905,8789,1635,1179,5010,97,16706,26761,10080,7232,98081,843,143007,7192,2854,1352,8439,95,19936,4461,1015,563,1601,39,7673,63478,1988,1395,1524,173,68554,47833,20521,14323,195392,1458,279535,22021,8607,4158,33950,369,69105,16201,129,730,160,37,17255,2453,895,430,2119,23,5913,1238,240,166,340,16,1994,2420,1228,719,3937,40,8338,28845,4135,3028,1725,261,37997,20067,7156,5312,2674,238,35452,9100,2004,1546,5715,91,18450,6115,810,822,2375,80,10204,25092,2417,1198,486,276,29468,55477,21723,16141,159118,1254,253713,4748,581,364,728,44,6462,15071,2012,1562,620,69,19322,9704,999,759,2221,77,13765,5414,465,363,447,22,6722,25806,735,1225,681,123,28564,7215,1873,1253,7495,75,17908,233502,23857,22832,39224,2356,321774,13841,1423,1291,11610,110507,138674,854915,184089,143834,1201371,128906,2513115
3RQLD,18592,88262,74217,751735,9549,942363,658,5314,3103,124449,1965,135497,31452,1338,2209,7697,291,42989,4303,1018,458,2200,63,8045,19574,5601,3762,11479,215,40626,214942,80301,64107,690484,10317,1060147,25449,816,5010,1412,252,32936,8680,1318,1085,5470,90,16639,29020,9649,7430,120783,1228,168113,4496,1845,864,5719,94,13012,4127,860,372,1425,52,6838,22256,1034,665,1168,74,25198,42563,16932,12355,219395,2088,293327,24891,9342,4174,45345,615,84368,7484,77,445,116,19,8141,1342,442,236,1543,20,3588,804,167,95,305,5,1380,4197,1834,988,6863,89,13972,19143,3421,2362,1852,192,26983,17603,6485,4713,2897,210,31903,7452,1414,1098,4631,92,14693,4291,602,607,1914,61,7472,4257,795,339,353,62,5806,54032,19641,15051,187311,1754,277786,2561,390,195,530,35,3712,12582,1455,1252,568,64,15934,7498,817,602,2982,68,11967,2033,277,195,372,12,2885,4644,142,417,155,27,5382,7096,1736,1163,6964,100,17060,137472,20114,19655,65256,2471,244967,8399,1511,1350,18033,192573,221871,590220,165343,132755,1576267,217692,2682276
39799,0,8,0,35,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,14,4,0,32,0,56,16,0,0,0,0,16,0,0,0,0,0,0,5,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,17,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,220,220,45,10,7,74,218,354
4GADE,15670,50156,38065,309263,3755,416912,262,1465,773,19490,425,22409,51772,964,1942,1687,260,56627,4985,929,524,2259,56,8749,10014,3544,2269,6820,119,22762,123016,49342,38480,291591,4473,506907,14680,438,2025,540,91,17775,2986,577,469,2597,33,6668,16062,6930,4811,63966,615,92381,18981,4021,1840,12490,244,37581,2976,686,335,1328,33,5361,39878,737,552,512,88,41764,20903,8040,5570,69515,672,104700,41942,10783,4558,36859,605,94742,4106,87,286,132,9,4617,2948,839,441,1358,19,5609,973,171,111,457,5,1717,2833,930,554,2674,40,7034,1460,567,315,376,35,2749,2467,1309,941,580,26,5320,10307,1835,1168,4661,120,18087,4391,451,476,983,54,6351,314,123,29,21,0,489,26016,10079,7797,67531,687,112105,5102,587,350,857,28,6927,4043,554,480,223,18,5317,3404,357,310,881,20,4973,2783,203,190,133,12,3322,20140,732,768,542,117,22300,4909,1131,826,3480,44,10397,138813,11280,8844,17123,1249,177308,6490,514,453,4978,43705,56135,515665,98545,72201,635260,54894,1376567
