GCCSA_PEP_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1GSYD,11203,24660,27933,24375,25939,34117,56770,46022,23504,274523,13039,36295,44427,35202,32960,35417,40598,25768,10443,274155,8218,38721,55263,42440,38106,36667,30304,17006,5212,271934,4578,40289,76976,56396,50553,45092,27089,12285,3844,317107,2187,36832,101522,73451,62642,53835,27610,9842,2544,370459,674,22509,88159,63953,51676,40487,18108,5577,1507,292650,324,10669,76942,63090,50392,36665,14566,4627,1342,258627,156,4519,54952,54169,42742,29377,10226,3032,832,200015,138,3829,88354,121428,88385,53211,15347,4236,1147,376077,63,592,15721,34036,26268,14311,4368,1380,447,97183,88,656,19157,63143,65924,35293,10851,3732,1205,200045,16176,22731,56448,46161,35374,29076,25296,23963,22968,278193,387,897,2366,1678,1575,2460,2289,679,186,12509,293755,341968,810897,777488,666530,578479,438409,249163,105750,4262444
1RNSW,8610,11357,15551,14495,18598,30858,56535,43840,21706,221546,10300,17068,23350,20228,22336,30461,40735,24253,8784,197521,6504,21044,28857,23916,24394,28026,27934,15439,4457,180577,3870,22856,39791,31294,33285,34453,22354,9584,2794,200275,1781,16908,45225,37465,39084,38821,21498,7084,1497,209359,575,9049,33443,29159,29189,26170,11859,3375,738,143558,219,4188,27745,26493,26574,22422,8795,3208,1008,120647,95,1831,18693,21637,22301,17033,5342,1466,374,88779,70,1646,24267,39436,40781,26920,7015,1719,393,142246,22,201,3564,7648,8240,5735,1815,575,140,27943,151,330,3699,10914,14314,10608,4427,1708,481,46627,13612,12786,27170,25314,25189,25613,25066,21980,15807,192539,93,385,1117,627,423,465,370,170,45,3693,164336,154994,332989,326311,350787,382153,346607,201622,78082,2337878
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,4,0,0,0,0,5,4,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,18,8,3,0,0,38
2GMEL,8246,26750,29154,24488,26350,31552,55036,46164,25311,273055,8599,34638,44879,34800,33055,33244,39780,25615,10232,264838,4958,33959,55434,42841,37776,34227,29911,16839,5528,261468,3246,37308,83289,60024,52342,43594,25948,11209,3712,320664,1574,31926,105331,75034,63066,50864,24273,8286,2268,362624,450,16770,89877,64360,50853,38128,15497,4724,1294,281947,245,7493,76771,63736,50123,34986,12246,3992,1252,250838,102,2971,49308,52064,39932,26430,8266,2340,672,182086,103,2364,70914,105989,78848,46484,12335,3241,950,321233,52,431,11442,27344,22214,12472,3403,1008,338,78706,119,680,11513,44084,48989,26521,8315,2781,973,143968,14602,20501,50245,39807,32383,25719,22384,20673,17593,243910,361,781,1748,1239,1443,2188,1960,608,161,10483,274875,328318,787633,734368,628266,526705,398480,232206,99774,4010621
2RVIC,4091,6304,8711,8502,10825,16868,31895,23514,11679,122397,4640,9253,13052,12009,13138,17140,22944,13071,4942,110191,2740,11056,16248,13817,14634,16551,16356,8493,2371,102267,1707,12377,23266,18262,19350,19777,12781,5090,1508,114111,852,9043,26736,21396,22471,22092,11035,3343,808,117758,219,4455,19427,16721,16963,15184,6227,1730,404,81344,98,2037,16233,15523,15406,12824,4634,1526,536,68824,48,799,9440,11521,11891,8966,2806,708,198,46376,46,599,11277,18716,19726,13953,3649,879,239,69083,14,100,1584,3674,4180,2997,971,279,83,13877,57,185,1860,5616,7367,5564,2295,910,307,24157,7504,6471,14512,14013,14499,14579,15017,12388,8946,107921,66,155,465,263,191,194,174,65,27,1599,88945,82691,186871,182735,196897,213130,193004,107069,42215,1293551
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,4,4,3,3,0,0,0,13,0,0,5,11,3,4,0,0,0,26,0,0,3,19,21,23,0,0,0,67,0,0,3,0,10,0,0,0,0,17,0,0,0,13,14,8,0,0,0,47,0,9,38,96,128,106,13,0,0,387,0,0,0,0,0,0,0,0,0,0,0,4,52,140,182,158,16,0,0,565
3GBRI,6404,12899,14649,12177,13453,17124,33215,25154,11344,146423,7098,18558,23579,17882,16770,17921,25459,15255,5173,147704,4770,21217,29643,22209,18962,17724,16511,8926,2474,142437,3057,23785,43782,31476,27651,22796,13761,5620,1564,173499,1412,18925,50963,39627,34743,27848,12807,3983,981,191291,442,10631,40868,33554,28530,20887,7789,2009,505,145212,173,5009,34860,32197,27385,18483,5866,1736,503,126222,72,1834,22180,26674,23235,14527,3833,931,228,93520,59,1506,29819,50594,44943,24877,5305,1224,320,158652,33,238,4658,11463,10837,5638,1374,411,111,34760,86,333,4592,18493,22357,11992,3378,1136,354,62725,8513,11284,25121,20052,16379,12446,11231,10283,8575,123886,195,490,1382,755,637,942,794,240,64,5502,157459,174069,373315,359068,327363,271537,212617,116172,43077,2034683
3RQLD,7018,9893,14022,13448,16210,24690,48861,34839,15118,184099,8650,15567,22410,20193,21237,26753,36295,20862,6474,178438,6079,19679,28547,23890,24196,25053,23887,12284,3054,166666,3793,21864,40060,31780,32980,30726,19018,7511,1858,189591,1752,15899,42900,37589,38072,35052,17413,5592,1098,195369,606,9065,31274,29259,29206,24304,9887,2811,564,136976,309,4676,26127,27424,27390,21084,7636,2480,683,117809,144,2221,17084,21164,22144,15969,4884,1286,275,85171,104,2437,23350,36177,38026,24875,6514,1641,329,133453,31,274,4054,7970,8469,5829,1745,539,139,29054,107,365,4047,10990,13480,9730,4094,1568,377,44758,13190,15393,35095,30544,30833,29580,26554,19380,10994,211556,171,1029,3280,1192,772,850,857,395,86,8625,156447,151289,334223,331524,349030,352774,310452,167669,55318,2208722
39799,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,4,5,4,0,0,0,0,12,0,0,11,4,4,0,0,0,0,17,0,0,4,3,6,0,0,0,0,11,0,0,5,8,6,0,0,0,0,14,0,0,4,3,3,3,0,0,0,16,0,0,4,7,7,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,56,77,54,16,6,0,0,221,0,5,15,6,0,0,4,0,0,24,11,18,102,114,79,34,23,0,0,380
4GADE,2973,7363,8559,7597,8666,12330,22564,18499,10698,99247,3152,10397,13938,10736,10219,11854,16254,10471,4745,91769,1660,10127,16025,12909,11448,11375,11532,6495,2491,84054,962,10873,23477,18108,16256,14604,9293,4372,1633,99572,490,8907,28839,22930,20491,18069,8879,3192,879,112673,138,4581,21566,18506,16275,13049,5370,1610,438,81534,80,1953,16952,16542,14555,11033,4021,1271,460,66871,33,726,10033,13094,11669,8314,2475,725,213,47291,28,480,11684,21086,20361,13303,3526,971,253,71697,16,91,1581,4070,4189,2780,880,309,96,14019,39,201,1663,6142,8059,5708,2142,788,285,25025,3473,4149,9047,7831,7059,6319,5963,5837,5039,54722,103,143,433,313,308,414,439,137,44,2325,78764,90532,192501,183767,173885,166342,138313,80886,36247,1141251
