GCCSA_PEP_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
1GSYD,18898,439224,458118,499630,86316,585950,296815,28655,325474,304386,17612,322001,130889,7913,138805,76958,4343,81307,1327581,584075,1911653
1RNSW,15884,314055,329940,350419,62008,412428,144942,16094,161037,133912,9757,143672,61051,4724,65770,31319,2446,33762,737521,409084,1146610
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,19573,455242,474819,497962,84601,582563,281631,28230,309861,293254,16603,309855,114086,7085,121171,57098,3430,60530,1263599,595195,1858799
2RVIC,8544,187087,195631,202636,32210,234846,79294,8229,87528,73946,5132,79075,33467,2463,35931,14639,1187,15830,412530,236308,648837
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,13493,222773,236264,267529,47067,314594,142621,14353,156975,139159,7458,146622,57899,3270,61169,33360,1652,35012,654061,296572,950630
3RQLD,18839,264829,283671,310071,75537,385610,136752,16775,153529,123258,9810,133067,53419,4374,57796,31472,2257,33728,673819,373578,1047392
39799,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
4GADE,8200,151158,159358,161275,22810,184084,80145,6908,87054,76300,3382,79685,28309,1343,29649,13309,679,13993,367534,186283,553819
4RSAU,3003,52286,55289,54877,10129,65007,18103,1929,20033,15901,1214,17116,7453,527,7979,3626,284,3912,102966,66372,169342
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,17791,202206,219994,228764,32381,261143,122118,9816,131936,120111,5073,125183,46368,2142,48507,21865,1043,22905,557005,252669,809675
5RWAU,5325,60407,65734,59693,20830,80526,25123,3819,28942,22997,2929,25929,10688,1396,12083,6107,755,6858,129939,90138,220072
59799,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
6GHOB,1619,26823,28442,29358,4291,33648,14072,1576,15652,12286,830,13114,4951,374,5325,2423,176,2600,64705,34073,98783
6RTAS,2300,38663,40962,42539,6323,48864,16087,1410,17496,13500,806,14305,5557,369,5928,2927,170,3097,82908,47737,130650
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,1365,12296,13659,12103,4688,16785,7915,1429,9346,6935,908,7842,3175,389,3563,2095,216,2311,33581,19914,53503
7RNTE,433,8017,8451,5037,5361,10394,3060,785,3845,2820,629,3453,1792,278,2065,3522,140,3665,16660,15205,31867
79799,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
8ACTE,2635,44434,47074,48651,8073,56718,25384,2972,28350,26314,1465,27775,9861,564,10427,4370,255,4625,117214,57759,174972
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,33,580,614,467,122,592,195,45,239,173,26,201,88,12,99,65,4,68,1008,794,1805
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
