GCCSA_PEP_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1GSYD,960299,634435,808540,775813,664959,576018,436121,248481,105566,5210233
1RNSW,508078,318851,331869,325687,350368,381687,346234,201457,78038,2842264
19799,0,0,0,4,18,8,3,0,0,32
2GMEL,889845,602051,785890,733122,626824,524519,396519,231597,99619,4889983
2RVIC,277497,171416,186404,182469,196704,212940,192832,107000,42187,1569447
29799,0,9,52,140,182,158,16,0,0,565
3GBRI,483930,330850,371931,358316,326719,270600,211821,115935,43010,2513115
3RQLD,482183,306538,330945,330321,348255,351917,309599,167282,55230,2682276
39799,6,24,87,111,79,34,14,0,0,354
4GADE,237644,169061,192067,183460,173585,165925,137874,80746,36200,1376567
4RSAU,65258,38629,42654,42794,50343,59497,55645,30842,10996,396657
49799,0,0,0,16,10,0,0,0,0,34
5GPER,401152,253546,294228,298545,266007,231578,183993,101432,40773,2071253
5RWAU,105569,58094,78245,81548,82774,83651,65803,29846,9315,594855
59799,3,137,518,957,896,533,176,32,0,3250
6GHOB,41548,28204,39747,31729,29613,29553,25431,14326,5593,245742
6RTAS,50980,32738,36935,34049,39239,44569,39424,21536,7288,306757
69799,5,21,62,80,90,75,33,3,0,366
7GDAR,29418,17406,27502,23427,19906,17510,12685,4411,895,153156
7RNTE,21170,13820,18656,15108,13401,13484,9432,2249,357,107676
79799,0,37,58,105,120,106,42,10,0,482
8ACTE,82610,60988,77621,69171,56053,44750,34875,19042,7200,452305
89799,0,0,0,0,0,0,0,0,0,0
9OTER,819,488,741,697,767,893,669,295,60,5425
99799,0,0,0,0,0,0,0,0,0,0
