GCCSA_PEP_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
1GSYD,102797,77320,51198,28195,10466,3210,388487,15894,53641,51923,43335,31448,17830,6026,1380,221479,9237,26076,19634,12812,7414,3851,1647,588,81258,8052,17450,15889,12772,7680,4559,1884,482,68761,434,360,249,262,367,334,265,280,2550,1426,4618,5454,4661,3047,2010,860,369,22447,17124,29464,25089,18541,15637,14752,14537,13893,149042,104737,344564,326972,251936,184653,119215,56922,27089,1416090,7544,21447,19557,16966,14089,9610,4492,1112,94820,12291,38566,53226,24909,12009,4106,701,53,145862,13408,64494,64029,58175,59784,41984,23274,7376,332524,12611,32535,28378,25224,18309,11275,5970,1858,136164,2122,6505,6320,5783,4764,2625,1170,325,29619,17098,64085,49364,40416,34808,23623,11307,4034,244728,7762,38224,34677,32755,29883,27344,12041,3406,186084,37596,166711,180598,134047,90353,53029,20461,5606,688399,23173,81449,76388,65639,48825,30543,11431,2688,340121,15018,42486,32632,20666,12294,6700,2733,867,133387,11958,28422,26938,20289,12412,7178,3205,752,111150,934,816,510,468,612,561,420,395,4711,2683,8586,10048,8796,6310,4106,1927,742,43204,37845,62913,53812,40105,33171,28628,26026,21100,303600,202042,657231,636454,494241
1RNSW,30425,31359,28263,18476,6829,1810,152275,8293,21705,22694,22914,21290,12457,3510,612,113477,2378,6199,5838,4603,3679,2533,1117,321,26657,6172,11848,9932,8609,6061,3929,1492,354,48395,275,180,85,115,131,99,79,50,1013,472,1198,1471,1670,1380,926,410,133,7657,12271,13029,12779,12847,13589,14414,14192,10134,103252,52684,131203,131843,129172,123578,91741,43601,18007,721824,1498,5252,5280,5392,5082,4776,2055,411,29742,1707,5591,5927,4053,3446,2110,483,43,23360,10057,34087,32481,35329,41193,35729,18501,4995,212370,7040,16491,15043,14798,15171,11621,5545,1576,87292,3144,7641,8426,9125,8153,5378,2368,538,44772,8591,30789,27437,26741,29639,21826,9194,2723,156940,4372,19453,21999,21821,23087,23919,9492,2375,126528,11961,39325,45472,46514,42403,30017,11761,2831,230283,10895,29753,31250,32017,29336,19544,6270,1249,160310,4081,9749,9065,7088,5687,4207,1755,462,42094,8607,17567,15644,13539,9766,6461,2710,621,74915,490,343,193,181,196,197,128,83,1814,1082,2611,3176,3651,3245,2411,1090,357,17614,27132,30260,29020,28947,29437,29269,25723,15811,215596,100660,248904,250415,249198
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2GMEL,83038,60365,36206,17764,6236,2218,296431,14708,53071,51253,43771,31507,17645,5631,1207,218802,8838,24708,17651,10433,5762,3019,1356,474,72242,8081,20102,17379,12596,7850,4718,2013,551,73299,434,305,217,185,175,226,106,52,1697,1774,5466,6503,5271,3240,2038,835,293,25416,15282,25767,21465,16386,13209,12793,12544,10609,128054,98034,335816,310953,233430,162455,102563,48673,21839,1313767,10736,23998,20990,17080,12593,8290,3703,884,98285,9079,39589,49297,22123,10621,3877,549,50,135184,15387,67080,64086,56739,52793,37281,20588,6671,320638,12319,38533,29257,23375,16072,9491,5096,1537,135682,2676,7717,7462,6173,4351,2135,872,253,31652,17828,72074,54332,41501,32581,21800,10148,3762,254018,7548,39477,36886,34114,31494,27232,12455,3080,192293,29632,134681,147691,107759,67612,36916,13901,4152,542341,22336,78660,73436,62546,45606,28176,9932,2222,322914,15429,42923,30978,17938,9921,5335,2347,739,125608,11916,33094,29988,19593,12419,6922,3094,818,117835,885,732,497,345,330,361,190,76,3412,3111,10133,12181,9850,6477,4085,1801,605,48254,33305,55423,45718,35517,28073,24439,22432,16185,261103,192191,644125,602797,454658
2RVIC,15240,13718,10697,5928,1880,534,62651,4268,12926,13247,14088,13183,8009,1974,292,67990,1286,3322,3239,2386,1864,1267,443,175,13979,3020,7332,5883,4679,3337,2222,937,201,27603,90,120,68,54,54,55,31,11,479,241,778,1083,1132,876,609,219,104,5046,6550,7025,7150,7192,7492,8322,7952,5687,57370,27292,74974,75542,70591,64997,48777,22906,9554,394626,1145,2942,3225,3144,2608,2306,844,157,16377,868,3084,3487,2160,1714,1036,202,17,12570,5537,17344,16332,18247,19925,17174,8285,2146,104993,3921,11852,9351,8093,7654,5309,2513,738,49433,2178,5341,6229,6169,5462,3091,1243,321,30027,5265,19724,16650,15412,16969,12577,5164,1553,93314,2493,11951,12834,12189,12853,14447,6568,1305,74635,4625,18488,23562,21927,18016,11766,3925,910,103218,5954,17426,17449,18598,17275,11664,3266,550,92183,2389,5550,5269,3864,2942,2298,804,246,23357,4154,10656,9067,7328,5464,3517,1497,320,41993,184,243,144,112,100,88,45,14,925,504,1737,2321,2464,2061,1514,645,233,11474,13920,15131,14983,15617,16112,16801,14555,8905,116030,53137,141474,140896,135332
29799,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,13,16,0,0,0,49,0,20,14,19,18,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,37,26,0,0,0,96,0,0,3,0,0,0,0,0,6,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,4,38,98,129,111,13,0,0,389,7,48,136,178
3GBRI,41208,32794,20615,10064,3062,792,157891,11058,25725,26171,22184,15825,8964,2616,433,112982,5090,9245,7113,4773,2563,1347,602,220,30961,7608,11338,8778,6852,4071,2444,931,192,42213,508,223,135,102,87,107,68,42,1275,739,1620,2038,1738,1138,719,319,122,8431,9351,12834,10690,8369,6743,6634,6374,5290,66284,65496,152423,150495,122606,85917,53477,23757,9803,663977,3777,8833,9024,7179,4955,3548,1458,322,39099,3832,11715,14794,8885,4290,1516,275,14,45325,11287,34189,35493,31997,29421,22060,11236,3003,178679,5733,15950,14494,12221,9448,6797,3453,878,68980,1645,3744,4303,3874,2807,1543,701,157,18772,11641,34753,29629,25122,20106,12675,5870,1732,141528,3716,16017,19886,20475,16730,13671,6013,1301,97808,22415,59705,68039,55730,36050,19502,6565,1502,269503,17345,38219,37306,32164,22783,14124,4700,876,167521,8817,16017,11749,7602,4241,2364,1005,335,52135,10966,17294,14093,10746,6432,3811,1537,303,65180,1011,484,265,186,150,178,114,59,2446,1573,3371,4266,3869,2665,1690,754,280,18461,19898,26702,22712,18475,14282,12959,11402,7939,134368,123655,287010,286052,238521
3RQLD,31171,28431,22684,12823,4026,832,138287,8895,19239,21157,21193,18486,10440,2715,379,102506,2554,5494,5011,3678,2596,1651,790,206,21983,8181,12504,10607,9385,6405,4232,1554,278,53142,415,149,116,87,115,96,69,23,1064,598,1182,1433,1466,1197,802,346,108,7122,13406,16487,14704,14388,14222,13560,11309,7062,105143,60789,128495,132054,124286,107500,73440,32706,11731,671006,1972,4816,4998,4636,3909,3373,1412,256,25373,1691,4607,5283,3736,2605,1526,309,28,19791,12343,34338,34453,35212,37303,31797,15388,3409,204248,5006,15364,15351,15253,14297,11513,5158,1129,83067,2777,5238,6398,6561,5467,3111,1344,261,31162,9836,30910,27536,26223,25539,17250,7055,1909,146261,3966,15395,21260,22315,20611,17997,7167,1393,110097,17127,39812,46183,43532,35545,23074,8113,1595,214982,13339,27334,28632,28945,24887,15701,4826,736,144402,4395,8738,7706,5661,4061,2925,1271,335,35097,11486,18637,16635,14798,10288,6753,2574,462,81632,791,304,201,174,192,187,103,30,1989,1405,2729,3399,3569,3044,2086,1000,275,17509,29101,37055,33745,33715,32112,28869,21623,11371,227583,115226,245293,251790,244326
39799,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,0,0,0,0,0,29,13,24,7,4,4,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,14,3,4,0,0,48,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,59,79,46,16,6,0,0,225,20,79,96,65
4GADE,19593,15455,10594,5535,1856,573,74933,5011,13842,13948,12423,10311,6403,1934,387,64255,1952,3858,3286,2163,1364,880,421,170,14094,2891,5643,4686,3819,2542,1691,729,204,22203,123,91,80,96,122,97,41,14,672,295,911,1247,924,685,517,231,108,4910,3675,4684,4273,3801,3432,3724,4244,3164,30998,27448,77712,75684,62111,50180,35181,16400,6840,351551,1734,4867,5148,4215,3203,2700,1200,286,23339,1950,6505,7045,3621,2094,993,171,12,22387,5110,17524,16840,16928,16503,13719,7471,2495,96599,2973,8327,6049,5387,4498,3344,1933,628,33141,1041,2520,2510,2317,1812,1004,372,105,11681,5869,20406,17276,14599,13845,9436,3989,1407,86833,2086,9873,9747,9057,9223,10124,4489,998,55608,7840,28752,33382,26940,19321,11571,4356,1242,133400,7545,20400,20216,17789,14878,10197,3496,728,95252,3628,6972,5856,3737,2463,1647,712,238,25263,4230,9088,7595,5925,4074,2576,1115,305,34899,222,174,132,140,168,121,53,21,1044,663,1973,2449,2030,1502,1143,568,233,10570,7719,10096,9361,8408,7420,7088,7141,4932,62160,52601,147482,143599,121094
