GCCSA_PEP_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
4RSAU,5522,6466,15036,16011,18895,17432,4704,677,63,84806,3520,1610,4229,3794,4427,10248,21052,13805,5735,68414,585,526,1367,1273,1512,1648,1694,1275,738,10622,9628,8602,20632,21076,24835,29327,27448,15758,6534,163844,2458,7476,19033,19637,23471,19774,4958,623,43,97467,6843,4514,9319,10341,11276,13046,5496,1053,82,61974,475,549,1848,1268,1449,2028,762,138,17,8540,353,346,662,539,682,591,281,159,29,3655,10130,12886,30870,31784,36877,35442,11496,1972,173,171633,379,732,1090,789,1006,967,100,9,3,5073,697,411,550,455,536,730,165,14,4,3557,1076,1145,1637,1244,1541,1695,263,21,7,8633,11211,14029,32504,33023,38421,37141,11761,1991,177,180271,7868,2995,6939,6722,8317,18551,40406,26357,9601,127751,1267,1260,3213,3049,3612,3804,3475,2489,1207,23382,20343,18281,42654,42794,50343,59497,55645,30842,10996,331397
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,22,0,0,0,4,0,0,0,0,0,6,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34
5GPER,35451,51736,117970,119364,108969,77396,18829,1632,114,531456,22691,9944,27277,28600,23580,39270,74144,48907,21531,295948,2130,2726,6884,5896,4571,3615,3572,3809,3376,36578,60270,64401,152136,153858,137117,120283,96546,54350,25027,863984,9701,43918,149600,155432,143904,95397,17839,1103,60,616959,44930,47485,63463,69408,58517,50843,22652,3357,212,360875,1881,2914,11623,9058,6431,6905,2126,243,24,41205,897,2139,4686,3317,2552,1659,539,189,66,16044,57413,96460,229378,237208,211403,154809,43154,4896,359,1035077,2315,4353,7052,5775,5725,4433,667,44,3,30374,9460,4053,4374,3797,2970,2863,972,87,8,28583,11774,8407,11431,9573,8698,7295,1634,130,11,58959,69183,104864,240805,246783,220101,162104,44789,5024,373,1094032,49811,19499,39302,39346,36047,61745,132303,89758,35133,502944,4360,5823,14117,12418,9864,7735,6890,6656,5267,73133,123358,130185,294228,298545,266007,231578,183993,101432,40773,1670105
5RWAU,7962,9103,24498,27074,27971,23296,6267,778,46,126988,5059,2434,7347,6274,5850,12513,22569,12415,4581,79039,1233,1640,4410,3783,3680,3543,2703,1568,802,23355,14250,13177,36252,37134,37497,39352,31540,14763,5424,229384,4480,12371,35978,37939,40359,31067,7072,797,60,170135,8915,4871,12184,15665,14619,14784,6791,1193,100,79128,619,985,3673,3445,3558,4487,1421,180,16,18381,399,528,1185,1016,921,728,311,160,43,5288,14406,18756,53027,58070,59459,51068,15592,2329,222,272925,666,891,1360,1150,1185,1068,169,5,4,6498,1103,433,713,706,644,707,243,24,6,4586,1765,1322,2071,1858,1832,1779,411,28,11,11080,16169,20079,55101,59931,61293,52848,16006,2355,230,284005,10887,4305,10876,9831,9905,20869,43688,24360,7765,142489,2708,3946,12265,11789,11578,9937,6115,3136,1323,62792,29767,28335,78245,81548,82774,83651,65803,29846,9315,489282
59799,7,21,54,28,32,29,5,5,0,190,0,0,0,0,6,24,36,11,0,81,3,15,28,20,23,24,12,5,0,123,8,36,89,49,60,77,61,17,0,392,12,74,263,456,430,220,25,6,0,1478,0,0,15,24,15,15,7,0,0,77,0,0,18,29,37,30,9,5,0,120,0,3,5,6,3,4,0,0,0,20,10,71,297,516,486,267,40,8,0,1697,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,5,5,0,0,0,7,8,76,301,517,488,269,40,8,0,1711,0,0,4,7,10,45,86,21,0,165,6,43,219,425,390,221,49,6,0,1367,20,116,518,957,896,533,176,32,0,3249
6GHOB,3533,5674,15864,13096,12373,9613,2299,206,17,62661,2677,1381,3171,2560,2558,5362,10584,7206,3160,38660,240,317,824,635,519,474,556,505,323,4400,6445,7372,19858,16294,15444,15448,13434,7923,3498,105720,930,4562,17475,15142,15013,10391,1721,117,4,65356,4149,4958,11057,8733,7211,6993,2966,401,24,46485,262,386,1418,1008,846,920,295,35,5,5169,96,220,605,298,226,176,67,18,13,1722,5438,10124,30552,25184,23295,18477,5046,573,43,118737,310,725,1410,680,477,370,49,0,0,4021,1072,682,938,420,321,296,90,6,0,3826,1381,1406,2349,1102,794,667,139,7,4,7844,6823,11532,32903,26286,24090,19147,5185,581,42,126585,5997,2714,5166,4180,4450,9397,19178,12876,5058,69013,508,620,1679,1265,1071,1008,1067,880,493,8596,13335,14867,39747,31729,29613,29553,25431,14326,5593,204195
6RTAS,4500,5913,13730,13398,15313,13294,3066,327,27,69570,3171,1488,3781,3476,4119,8553,15762,9871,3859,54075,377,458,985,863,879,1041,1036,945,496,7085,8048,7854,18500,17736,20300,22899,19864,11144,4382,130731,1802,6278,16345,15289,17716,14005,2813,280,22,74535,5190,4180,9009,9022,9526,10274,3958,619,51,51825,354,431,1522,1065,1192,1509,419,63,17,6571,186,295,551,400,481,365,160,81,23,2540,7526,11185,27422,25780,28908,26144,7352,1040,106,135466,426,816,1138,722,817,687,92,6,0,4704,799,478,601,449,462,566,119,15,5,3483,1225,1288,1744,1168,1273,1253,210,19,3,8186,8759,12471,29169,26945,30181,27404,7560,1059,109,143655,7018,2680,5647,5312,7141,15001,29699,18768,6323,97586,859,954,2121,1792,1917,2165,2165,1713,859,14537,16630,16110,36935,34049,39239,44569,39424,21536,7288,255779
69799,0,6,12,12,16,12,0,0,0,50,4,0,0,0,4,4,8,0,0,24,0,0,0,0,0,0,0,0,0,0,4,6,13,12,18,11,9,0,0,73,0,9,48,67,64,40,7,0,0,237,0,0,4,0,3,5,0,0,0,19,0,0,4,3,4,5,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,9,58,76,70,53,12,0,0,277,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,58,76,69,53,12,0,0,282,4,6,0,0,6,15,19,5,0,58,0,0,4,4,15,11,0,0,0,31,5,15,62,80,90,75,33,3,0,362
7GDAR,2088,3327,10730,9244,7605,5350,1362,107,4,39832,1418,650,1936,1570,1227,2378,4057,1772,425,15430,350,478,1462,1184,1048,943,641,242,67,6413,3858,4452,14133,12003,9886,8667,6060,2121,493,61675,892,4177,14120,12837,11193,7272,1608,113,10,52225,2450,2107,4776,3796,2710,2334,1111,144,7,19434,145,262,1279,1020,882,1034,342,23,0,4988,100,182,442,281,227,174,64,12,7,1466,3578,6730,20614,17934,15008,10814,3123,290,25,78112,198,289,531,347,303,295,62,6,0,2028,380,160,284,177,134,136,49,6,0,1324,571,448,813,523,438,431,113,10,0,3346,4151,7173,21425,18457,15449,11244,3232,299,21,81457,2998,1346,3153,2600,2274,4260,8022,3633,761,29045,681,1051,2919,2375,2179,1999,1432,478,111,13233,7824,9571,27502,23427,19906,17510,12685,4411,895,123737
7RNTE,943,1645,5257,4193,3865,3265,851,71,6,20078,1942,1537,3127,2353,1964,2614,2919,778,190,17420,274,384,1080,791,809,932,632,134,19,5055,3159,3562,9463,7341,6634,6808,4393,983,211,42552,616,1921,6706,5464,5101,4118,1028,87,3,25049,721,632,1823,1808,1292,1228,578,71,4,8154,56,169,748,682,793,1130,338,17,0,3932,58,117,282,196,149,132,45,14,0,991,1459,2832,9554,8153,7330,6601,1989,189,7,38122,249,373,688,472,313,170,23,3,4,2291,158,151,261,196,129,90,34,7,0,1016,408,521,944,666,441,256,56,8,4,3307,1868,3358,10500,8818,7772,6858,2048,201,14,41429,4129,3003,5698,4354,3663,4570,5961,1716,309,33403,597,874,2460,1936,1964,2061,1424,333,35,11674,6589,7230,18656,15108,13401,13484,9432,2249,357,86513
