GCCSA_PEP_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
1GSYD,1475192,1479694,2954883,7818,6125,13947,14991,12862,27852,4805,5623,10427,104980,133165,238145,6114,6759,12871,10149,9509,19654,15726,18441,34172,8338,9414,17751,12539,14434,26971,21618,24489,46103,100259,87420,187687,15691,19701,35388,13655,12385,26040,26380,26214,52592,11926,10361,22286,20002,18678,38681,4110,8823,12943,22993,27657,50648,31759,29846,61603,16859,18090,34950,32744,26279,59023,4420,4244,8663,43469,41617,85086,17875,13140,31019,37347,53947,91296,5002,6608,11614,6100,7034,13135,19487,19914,39396,14560,14183,28744,5666,7379,13042,8584,17714,26292,95355,84961,180315,12519,13294,25815,41148,52575,93730,164064,175188,339258,120820,117403,238220,6506,6974,13479,2581571,2642142,5223712
1RNSW,1138287,1170922,2309211,398,291,692,970,782,1751,2056,2691,4750,4271,5172,9446,1312,1297,2611,826,639,1469,1707,1478,3180,5036,6039,11079,1217,1203,2420,917,1075,1998,11553,9631,21183,952,1545,2496,809,662,1473,1355,1401,2755,2483,2152,4638,4551,3934,8483,590,1351,1941,1067,1299,2370,922,749,1670,2228,2424,4651,3110,2782,5893,3414,3651,7069,16599,16633,33230,1859,1013,2872,4965,10668,15636,903,1287,2190,651,858,1512,5042,5215,10255,1411,1291,2698,541,975,1513,1347,3970,5320,46684,47556,94237,4094,4874,8974,1851,2412,4266,29731,31314,61042,93579,91725,185307,2229,1742,3971,1401513,1444721,2846239
19799,27,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,31,4,38
2GMEL,1451542,1476249,2927790,13231,10285,23509,5091,4610,9697,3733,4636,8367,72433,93488,165916,6135,6715,12850,6551,6710,13257,5183,6238,11420,8897,10006,18907,20841,23990,44834,11533,12853,24393,131183,111306,242489,8164,11119,19280,11091,9824,20915,12622,12398,25018,7631,6999,14629,28254,29575,57835,2519,5963,8485,6432,8287,14719,9411,8914,18327,26843,30408,57252,10161,8331,18494,5676,5658,11333,41378,41185,82564,17124,11954,29081,23797,35080,58883,5474,7508,12976,7724,9310,17035,13186,13719,26906,33566,31475,65040,3763,5588,9348,5425,11880,17305,81886,78354,160237,9638,10472,20104,39545,50934,90482,152751,165847,318603,107342,104347,211687,5352,5840,11189,2413108,2488067,4901169
2RVIC,623943,647465,1271408,1142,758,1898,322,273,595,874,1108,1983,2403,3076,5477,1171,1196,2363,475,315,789,461,527,986,2863,3288,6156,925,779,1707,425,483,914,8700,6797,15498,506,829,1336,539,448,987,572,477,1050,1475,1241,2713,3568,3136,6703,205,573,776,302,415,718,203,141,345,2692,2567,5261,874,774,1651,3375,3355,6737,8023,8288,16313,1144,710,1856,3240,6268,9508,498,655,1151,398,497,896,2053,2173,4222,1574,1355,2933,508,835,1345,1269,2417,3681,24541,25790,50334,1728,2024,3749,1401,1624,3028,14596,14875,29475,51848,51035,102881,935,799,1736,771787,799391,1571178
29799,122,20,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,0,0,0,0,0,0,9,0,9,335,49,385,0,0,0,493,72,565
3GBRI,849460,870317,1719775,2448,1847,4293,1184,1133,2318,2849,3211,6058,18036,23967,41999,963,1008,1966,908,728,1639,4930,5861,10790,4541,4887,9428,1167,1077,2245,4651,5154,9801,27770,23893,51660,2001,3237,5232,3293,2988,6277,1417,1260,2672,4163,3418,7584,3504,3024,6531,1651,3988,5636,6005,7283,13291,608,544,1149,5327,6481,11811,3273,3187,6458,3253,3108,6360,55257,55736,110989,2682,2238,4923,9789,18085,27879,1375,1891,3267,2324,2832,5152,13262,13476,26738,4392,4330,8722,5384,7444,12830,2220,5288,7505,58296,55096,113389,5131,5376,10506,8792,11553,20347,55986,61368,117353,54343,54189,108525,3033,2867,5899,1235654,1283364,2519014
3RQLD,984199,1003103,1987299,244,202,452,533,463,993,3030,3866,6901,5548,8309,13849,860,841,1699,766,605,1367,1702,1987,3692,5488,6372,11863,646,544,1196,1426,1635,3060,11005,9211,20216,1227,2273,3495,932,824,1759,1335,1332,2666,2633,2505,5138,3864,3072,6934,2241,5367,7608,2859,3509,6364,291,236,526,2138,2764,4904,2217,2129,4342,3991,3795,7785,48120,49496,97614,913,611,1522,7252,16423,23677,1068,1480,2552,1078,1344,2427,11385,11692,23075,1745,1579,3323,1438,2345,3784,1515,4904,6418,57876,58535,116409,4685,5193,9880,1716,2481,4197,37952,41623,79577,109379,94334,203709,5363,3611,8979,1330649,1360596,2691254
39799,76,9,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,3,0,0,0,3,0,0,192,29,222,17,10,24,317,65,385
4GADE,465960,481200,947155,4443,3443,7881,1135,1022,2162,1063,1212,2274,10744,14101,24844,1207,1301,2510,838,751,1590,536,609,1143,3446,4146,7587,3552,4015,7571,2089,2032,4122,23170,19720,42887,808,1257,2073,2644,2502,5145,856,729,1589,1487,1387,2874,7558,8070,15627,428,1086,1515,1676,2017,3690,893,888,1784,3768,4670,8443,3595,3460,7055,2193,2285,4475,5062,5039,10103,3049,2371,5420,4601,8155,12753,1976,2560,4541,1207,1462,2667,3314,3613,6927,2561,2417,4980,612,950,1563,932,2068,3001,44551,46830,91383,2227,2250,4477,7227,9310,16537,27425,29977,57408,24328,24481,48805,1208,1286,2497,674396,704664,1379064
