GCCSA_PEP_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
1GSYD,4998,4770,9768,149130,140459,289585,6335,6080,12415,160460,151310,311771,5050,4571,9616,156019,148044,304061,7328,6916,14244,168402,159526,327929,4941,4746,9688,153099,144790,297885,6763,6256,13020,164802,155797,320601,4713,4269,8976,140688,132139,272828,6139,5418,11557,151542,141825,293365,4240,4249,8489,162934,153711,316647,8600,7342,15936,175772,165303,341071,3754,3820,7568,182115,181933,364047,10391,9845,20228,196257,195591,391848,2955,3123,6083,190527,200284,390803,10071,9730,19800,203549,213138,416689,2423,2709,5129,191610,197184,388794,9387,9066,18451,203418,208951,412365,2141,2379,4519,171117,172684,343805,7858,7263,15123,181118,182326,363449,2243,2485,4731,159986,165709,325698,6866,6400,13262,169091,174590,343687,2033,2363,4398,148400,156766,305165,6221,5488,11710,156657,164610,321272,1697,1948,3650,141310,146174,287485,5757,5112,10875,148764,153242,302006,1438,1550,2987,126147,135599,261745,4801,4472,9274,132388,141627,274009,2453,2930,5386,344602,404272,748873,15790,20126,35913,362839,427329,790172,45078,45914,90992,2417682,2479739,4897422,112305,109512,221817,2575068,2635166,5210233
1RNSW,10566,9892,20456,65108,61863,126975,4263,4119,8376,79932,75866,155801,11185,10276,21463,71965,67940,139906,5552,5281,10833,88701,83504,172200,10966,10521,21485,75698,71705,147407,5762,5428,11188,92422,87660,180077,9420,9122,18543,69853,65777,135635,5276,4792,10065,84549,79692,164242,7837,7624,15459,66012,63508,129525,5131,4500,9628,78978,75632,154604,6722,6752,13478,69706,70199,139909,5107,4828,9935,81536,81783,163315,5644,5808,11445,71457,75851,147313,4986,4807,9791,82087,86470,168556,4826,5067,9898,71665,75458,147119,4963,4913,9884,81452,85441,166894,4119,4446,8561,68392,72365,140754,4821,4650,9473,77328,81465,158789,4299,4875,9178,74643,78714,153355,5045,4829,9872,83988,88418,172403,4266,4851,9114,77159,82067,159229,5133,4488,9624,86556,91407,177968,3795,4281,8071,81710,86576,168287,5389,4924,10310,90890,95777,186667,3327,3706,7029,86237,91963,178200,5188,4597,9786,94750,100267,195021,5916,6574,12488,273712,304548,578262,16497,18488,34983,296121,329606,625727,92873,93791,186665,1223321,1268542,2491860,83093,80642,163737,1399291,1442975,2842264
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,4,3,0,3,0,0,0,9,0,6,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,4,0,3,0,0,0,4,0,3,0,0,4,34,5,30,0,0,0,31,4,32
2GMEL,1737,1640,3378,141974,134381,276358,5369,5141,10509,149077,141159,290242,1610,1568,3181,149889,141802,291690,6103,5844,11942,157596,149212,306813,1602,1567,3165,142909,135452,278358,5784,5483,11265,150288,142504,292787,1543,1435,2977,134010,127355,261360,5286,4884,10171,140840,133671,274512,1679,1660,3339,159208,151183,310396,7427,6378,13809,168318,159222,327541,1624,1489,3112,181388,178754,360145,9676,8746,18416,192689,188988,381676,1321,1267,2592,186692,197496,384190,8771,8668,17438,196783,207425,404216,1064,964,2028,185165,191498,376669,8177,7948,16126,194406,200415,394826,893,889,1790,160730,162689,323416,6904,6192,13099,168529,169768,338297,878,880,1757,149065,156670,305732,6172,5722,11894,156115,163275,319388,881,829,1708,142608,152228,294833,5739,5160,10894,149221,158218,307436,585,697,1286,129010,136032,265044,5036,4444,9483,134632,141178,275810,514,489,1003,114943,124678,239624,4145,3937,8079,119596,129110,248708,864,986,1853,315597,380864,696466,13198,16221,29420,329655,398080,727735,16799,16366,33169,2293190,2371078,4664265,97765,94780,192550,2407757,2482226,4889983
2RVIC,1812,1808,3626,39210,37764,76976,2254,2111,4364,43273,41685,84960,1998,1881,3879,43660,41134,84798,3051,2792,5845,48714,45811,94524,1966,1851,3813,45556,42660,88218,3118,2855,5975,50646,47361,98007,1520,1534,3053,41613,38936,80550,2676,2593,5271,45811,43065,88874,1311,1310,2620,38432,36616,75042,2573,2302,4877,42310,40231,82540,1184,1176,2357,42255,42308,84554,2753,2684,5436,46192,46163,92353,988,1044,2030,42247,44592,86836,2620,2569,5185,45853,48204,94051,830,876,1705,41540,44718,86257,2692,2809,5505,45061,48404,93466,677,792,1473,39707,42614,82322,2608,2605,5215,42992,46011,88999,718,784,1498,42855,45888,88741,2804,2661,5463,46376,49336,95705,743,836,1587,45196,48762,93958,2853,2603,5452,48797,52206,100995,703,726,1434,46860,51024,97883,2899,2658,5559,50464,54412,104877,562,641,1202,48984,52520,101502,2798,2551,5355,52347,55717,108066,966,1088,2054,151762,168840,320604,9288,10074,19366,162014,180000,342018,15985,16351,32334,709878,738374,1448247,44993,43873,88868,770853,798589,1569447
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,9,0,9,4,0,4,0,0,0,0,0,0,3,4,7,3,5,10,0,0,0,12,4,15,16,12,26,25,15,44,0,0,0,17,5,23,33,8,39,49,10,60,0,0,0,26,0,25,55,6,61,79,6,85,5,0,5,24,0,26,64,12,72,91,13,105,0,0,0,21,3,23,54,3,55,77,8,80,0,0,0,27,5,29,62,10,76,84,16,101,0,0,0,18,0,21,33,3,41,50,3,61,0,0,0,7,0,7,13,0,13,16,0,16,3,3,7,146,19,164,336,49,387,493,72,565
3GBRI,4413,4227,8640,70000,65950,135954,2986,2827,5812,77401,73010,150403,4456,4225,8683,76940,73095,150031,3556,3304,6855,84950,80621,165574,4377,4259,8630,78589,74039,152630,3432,3265,6694,86398,81560,167954,3958,3810,7766,73431,70052,143489,3057,2956,6008,80451,76815,157267,3599,3729,7333,79640,78832,158467,3961,3818,7779,87202,86380,173579,3206,3301,6504,83219,85240,168458,4413,4548,8955,90833,93089,183925,2623,2714,5336,84405,89872,174272,4174,4226,8400,91195,96810,188010,2081,2281,4367,85607,90677,176285,3914,3967,7889,91608,96926,188536,1796,1947,3743,77752,81869,159624,3254,3163,6414,82809,86973,169780,1840,2031,3875,76560,81335,157892,3263,2999,6262,81658,86364,168029,1595,1892,3488,72459,77211,149670,2900,2634,5538,76957,81736,158693,1293,1526,2819,65249,69400,134650,2510,2324,4842,69060,73249,142303,1033,1229,2261,58438,63467,121898,2109,2024,4134,61578,66717,128293,1662,2062,3731,162152,190025,352182,6708,8148,14854,170528,200239,370771,37947,39234,77176,1144449,1191053,2335496,50224,50210,100439,1232619,1280494,2513115
3RQLD,8794,8341,17133,60659,56782,117443,4246,3894,8146,73703,69022,142721,9290,8940,18229,69822,66071,135894,5239,5002,10239,84345,80018,164358,9763,9204,18968,74751,70641,145391,5670,5070,10737,90183,84913,175102,7968,7910,15878,66996,63689,130683,5071,4641,9710,80043,76232,156273,6631,6594,13228,62309,62705,125016,6490,5530,12023,75432,74833,150265,5852,5919,11774,67572,70540,138112,7847,6547,14394,81273,83007,164288,4845,5149,10001,68373,74410,142785,7734,6139,13874,80955,85704,166657,4314,4689,9001,69861,77042,146901,7314,5820,13134,81487,87552,169037,3852,4286,8132,67704,73457,141163,6808,5180,11988,78362,82922,161285,3920,4405,8323,72974,78412,151388,7359,5483,12842,84254,88299,172558,3838,4151,7989,74706,80278,154981,7312,5422,12731,85849,89845,175696,3237,3542,6779,75222,81428,156652,7055,5588,12641,85516,90566,176079,2684,2863,5545,76486,81982,158467,6567,5266,11825,85727,90111,175840,4340,5140,9482,235829,251434,487259,17984,17383,35367,258154,273957,532110,79332,81138,160473,1143260,1188882,2332141,102697,86968,189662,1325293,1356986,2682276
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,8,0,4,10,8,6,11,0,0,0,6,3,6,3,4,9,8,3,15,0,0,0,17,3,19,23,15,36,37,21,53,0,0,0,11,0,12,20,0,25,29,0,33,0,0,0,11,3,15,34,3,38,50,3,52,0,0,0,18,3,17,32,4,36,54,4,61,0,0,0,19,3,19,36,0,34,53,3,58,0,0,0,12,0,12,10,0,10,22,0,22,0,0,0,4,4,8,9,0,9,17,4,15,0,0,0,4,0,9,10,0,10,14,0,16,0,0,0,10,0,10,6,0,6,15,0,15,5,0,5,115,24,135,191,30,215,306,53,354
4GADE,1372,1203,2574,35988,34009,69994,1101,1131,2229,38460,36337,74804,1363,1300,2664,39244,36950,76192,1315,1285,2595,41921,39527,81450,1399,1302,2697,38925,37237,76164,1334,1193,2532,41662,39729,81390,1226,1163,2388,37837,36011,73847,1259,1174,2428,40319,38348,78669,1127,1117,2243,43568,41680,85249,1467,1433,2900,46159,44233,90394,992,1006,2003,45657,45029,90686,1725,1568,3293,48380,47601,95979,798,897,1693,44564,46715,91282,1560,1553,3121,46930,49164,96089,678,727,1405,44974,47318,92291,1601,1531,3127,47251,49571,96821,518,593,1110,40608,42158,82764,1463,1300,2761,42588,44050,86639,528,630,1156,40389,41847,82231,1422,1270,2694,42341,43745,86086,534,635,1173,40859,42927,83794,1361,1170,2531,42761,44733,87497,391,508,893,39417,42100,81521,1278,1106,2381,41083,43710,84795,342,420,763,37245,40912,78160,1141,1069,2206,38730,42398,81128,567,639,1203,110428,135024,245447,3605,4561,8169,114603,140220,254824,11844,12129,23973,639710,669917,1309624,21633,21330,42963,673187,703380,1376567
