GCCSA_PEP_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
1GSYD,2581571,2642142,5223712,160662,151512,312180,333487,315601,649094,151742,142017,293755,176218,165749,341968,401071,409825,810897,385494,391997,777488,326575,339957,666530,282054,296420,578479,208153,230257,438409,115241,133917,249163,40868,64886,105750,6506,6974,13479,2531995,2595056,5127049,49579,47086,96660,43178,44030,87211,1017,951,1963,882,932,1816,45078,45914,90992,1475192,1479694,2954883,979049,1038072,2017124,1490194,1486779,2976980,944034,1011257,1955289,2076189,2131029,4207219,47879,44981,92860,312936,296725,609662,122885,120398,243283,80976,82079,163057,102089,144447,246537,1331944,1407496,2739443,109655,99945,209602,327661,327492,655152,88927,92063,180989,68170,78893,147056,27234,36224,63458
1RNSW,1401513,1444721,2846239,80010,75924,155936,181207,171215,352424,84593,79747,164336,79188,75803,154994,164297,168693,332989,159174,167141,326311,170790,180001,350787,185851,196295,382153,170634,175969,346607,95558,106068,201622,30212,47873,78082,2229,1742,3971,1354826,1406250,2761075,46688,38473,85159,89232,90281,179514,1636,1513,3153,2003,1998,3998,92873,93791,186665,1138287,1170922,2309211,167421,180327,347752,1210434,1255612,2466050,91105,99057,190163,1241886,1291826,2533711,24282,23321,47600,166930,157903,324837,57333,57824,115162,21466,27106,48576,33297,61704,95003,464350,546204,1010550,88409,84466,172876,335540,329112,664656,94764,93804,188571,55291,49297,104584,5191,5165,10356
19799,31,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,16,0,18,10,0,8,4,0,3,0,0,0,0,0,0,0,3,3,0,0,5,30,4,32,0,0,0,0,0,0,0,0,0,0,0,4,27,4,32,3,0,3,31,4,34,3,0,3,34,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,6,0,8,14,0,14,8,0,3,0,0,0,0,0,0
2GMEL,2413108,2488067,4901169,149222,141313,290535,308078,291939,600016,141025,133846,274875,168727,159589,328318,390390,397243,787633,363661,370701,734368,306117,322154,628266,255052,271644,526705,186766,211710,398480,105710,126499,232206,38350,61429,99774,5352,5840,11189,2369736,2442855,4812587,43370,45212,88583,15726,15385,31110,609,528,1139,462,455,917,16799,16366,33169,1451542,1476249,2927790,848878,901636,1750509,1477871,1502637,2980512,811322,865072,1676393,1949682,2014294,3963975,44724,42165,86887,290006,275071,565079,116886,115532,232415,80146,82517,162660,96426,137644,234072,1233127,1342258,2575385,194512,183128,377637,220055,195317,415371,92238,87565,179804,78031,99150,177178,25608,34029,59637
2RVIC,771787,799391,1571178,43302,41704,85008,99416,93203,192621,45846,43098,88945,42386,40300,82691,92317,94554,186871,88215,94519,182735,95276,101621,196897,102904,110234,213130,94861,98142,193004,50905,56163,107069,16362,25856,42215,935,799,1736,748261,777514,1525770,23530,21882,45401,15103,15505,30605,495,449,943,391,395,788,15985,16351,32334,623943,647465,1271408,95062,100092,195159,663282,692445,1355732,55087,58071,113156,680286,711314,1391600,12423,11967,24394,91567,86208,177769,32539,32796,65336,11035,14244,25281,16466,31964,48433,258058,322774,580836,100910,98472,199382,126727,107576,234304,54106,47133,101239,35359,34212,69574,3949,3719,7666
29799,493,72,565,0,0,0,0,0,0,0,0,0,4,0,4,30,17,52,131,14,140,163,18,182,141,24,158,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,493,74,560,6,0,10,0,0,0,0,0,3,3,3,7,122,20,138,28,6,41,141,20,163,13,0,13,148,20,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,16,86,36,3,38,47,3,49,5,0,5,4,0,4,0,0,0
3GBRI,1235654,1283364,2519014,77464,73071,150540,171467,162328,333797,80546,76915,157459,87455,86612,174069,182842,190475,373315,174857,184211,359068,158958,168404,327363,131035,140506,271537,100940,111678,212617,53905,62266,116172,16189,26883,43077,3033,2867,5899,1204475,1256067,2460538,31181,27297,58477,33700,34962,68659,1989,1964,3952,2261,2309,4566,37947,39234,77176,849460,870317,1719775,328822,355989,684811,957589,986079,1943671,211601,235817,447421,1031100,1072199,2103301,21969,20668,42635,160972,152824,313794,59830,61309,121143,30570,36564,67137,43614,70382,113997,597959,649659,1247616,69560,65968,135528,179644,188452,368099,43921,41178,85095,32585,37187,69777,6536,7688,14218
3RQLD,1330649,1360596,2691254,73771,69092,142863,174649,165017,339671,80127,76320,156447,76060,75233,151289,164326,169898,334223,160643,170875,331524,170552,178472,349030,171669,181105,352774,154175,156278,310452,82204,85471,167669,22471,32848,55318,5363,3611,8979,1251355,1308262,2559616,79299,52335,131630,61735,63328,125060,8857,8972,17834,8739,8833,17574,79332,81138,160473,984199,1003103,1987299,231707,259553,491265,1103146,1135697,2238840,109190,126883,236071,1115714,1154778,2270488,19544,18465,38010,159853,151747,311603,52229,54693,106921,16532,23383,39916,31118,60470,91586,497363,572943,1070305,91714,89590,181303,266431,263294,529729,63488,56521,120004,49186,45003,94186,4830,4842,9672
39799,317,65,385,0,0,0,6,0,6,8,6,11,8,9,18,69,35,102,107,7,114,77,3,79,26,5,34,23,0,23,0,0,0,0,0,0,17,10,24,9,3,12,308,61,370,5,0,5,0,0,0,0,0,0,5,0,5,76,9,87,39,12,48,89,19,109,24,7,29,82,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,16,69,10,0,10,36,0,33,8,0,11,4,0,7,0,0,0
4GADE,674396,704664,1379064,38495,36367,74862,83644,79303,162946,40370,38394,78764,46244,44292,90532,95539,96961,192501,90001,93770,183767,85262,88624,173885,79976,86369,166342,64830,73483,138313,36315,44572,80886,13723,22526,36247,1208,1286,2497,659997,687324,1347331,14400,17339,31738,11169,11469,22642,335,345,682,337,313,650,11844,12129,23973,465960,481200,947155,182897,197700,380597,504924,525127,1030044,142506,152969,295475,581429,608382,1189812,10606,9896,20504,79757,75719,155471,31574,31831,63394,19113,21276,40390,25211,37738,62947,309577,340250,649825,90202,85071,175273,75280,78424,153707,24817,25726,50546,20981,25170,46153,5581,7324,12909
