GCCSA_PEP_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
4RSAU,201830,195942,397774,9859,9530,19394,23555,22327,45885,10733,9626,20357,9774,8622,18396,22445,20697,43146,21906,21112,43018,25570,24856,50426,30199,29373,59562,28227,27473,55704,15091,15778,30871,4472,6542,11011,864,250,1113,189746,189759,379508,12085,6185,18268,8973,8960,17934,167,144,309,162,158,326,9300,9267,18563,162557,158210,320768,22574,23927,46499,173843,172441,346283,10610,11019,21626,176880,175748,352629,2283,2256,4535,21718,20631,42346,6892,6792,13678,1285,2073,3359,2705,6202,8904,57011,68622,125639,36546,32861,69410,35562,30047,65603,12373,10015,22390,10014,8760,18775,849,652,1502
49799,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,17,0,17,17,0,17,7,0,7,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0
5GPER,1015022,1061633,2076653,66671,62929,129600,139643,132287,271923,63158,60338,123494,66034,64599,130631,142680,152630,295309,145095,154105,299200,129265,137389,266653,111713,120801,232513,87790,96990,184787,47208,54492,101701,15777,25072,40849,2777,2614,5399,990720,1040157,2030876,24300,21472,45774,20458,20198,40662,520,434,956,535,508,1046,21521,21143,42659,613113,627727,1240840,358193,390811,749010,756594,782115,1538714,206773,231981,438755,845857,883771,1729630,19244,17887,37130,132318,125410,257727,48464,48696,97154,25645,28543,54193,32403,52953,85353,474884,528597,1003476,75745,75945,151692,153850,152769,306615,34004,32922,66927,19969,23682,43652,5643,6996,12641
5RWAU,315466,281377,596836,16697,15690,32386,37712,35549,73256,15521,14265,29787,15308,13300,28607,42438,36567,79006,44643,37203,81843,45394,37549,82943,44409,39430,83843,34331,31609,65939,15117,14779,29890,3896,5429,9332,1198,785,1988,260675,262582,523260,54786,18797,73580,22361,22053,44413,359,314,670,530,488,1019,23256,22847,46107,214810,199625,414433,55353,53029,108388,242858,227409,470269,25178,25171,50350,247548,232689,480233,3921,3791,7714,33381,31448,64826,9134,8985,18121,1730,2252,3981,4733,9777,14515,98694,106041,204728,28914,26236,55155,66668,53535,120204,13984,10616,24599,8147,6326,14476,1208,929,2139
59799,3003,413,3413,0,0,0,0,4,3,14,8,19,81,37,121,459,94,549,945,55,999,896,57,951,473,86,560,119,61,178,15,17,32,0,3,3,143,16,164,24,15,37,2981,399,3380,40,6,44,0,0,0,0,0,0,39,6,48,1000,174,1179,618,97,717,1404,244,1654,208,22,233,1373,231,1606,0,0,0,0,0,0,0,5,5,10,4,10,63,9,68,944,198,1141,246,22,272,366,40,402,32,6,38,4,0,4,4,0,0
6GHOB,120136,126110,246246,6638,6235,12867,14707,13995,28699,6889,6449,13339,7551,7385,14931,20033,19892,39927,15477,16307,31784,14187,15460,29652,14125,15488,29621,12015,13454,25470,6410,7935,14348,2103,3504,5603,332,172,502,116207,122400,238600,3932,3710,7641,5046,5187,10233,256,255,509,251,274,522,5552,5710,11265,91735,96751,188484,22824,23693,46515,98511,104618,203126,15649,15992,31643,101221,108009,209227,1778,1699,3478,13894,13211,27109,5234,5095,10325,2755,2948,5698,6185,7871,14056,53356,58513,111871,7696,8191,15885,23083,24038,47120,5527,5848,11378,3158,3260,6418,492,521,1015
6RTAS,151497,155786,307286,7892,7529,15420,18251,17321,35576,8591,8055,16644,8325,7867,16193,18526,18583,37116,16380,17764,34140,18954,20323,39277,21692,22917,44606,19580,19884,39463,10403,11155,21554,2910,4390,7305,323,207,529,146967,151259,298222,4533,4528,9063,8464,8939,17406,340,374,713,340,362,700,9149,9674,18818,122468,126540,249007,18958,19641,38601,134155,138860,273022,8327,8556,16878,134599,139691,274285,1865,1845,3703,16906,16059,32964,5915,5967,11892,1707,2118,3828,3932,6190,10119,45033,53639,98674,10853,12427,23283,42688,40184,82874,11014,10066,21079,5763,4963,10724,634,591,1224
69799,299,76,378,0,0,0,0,0,5,0,4,5,9,6,15,58,13,69,67,16,78,71,18,90,63,11,77,25,9,33,4,0,3,0,0,0,8,0,13,0,0,0,299,76,378,6,0,9,0,0,0,0,0,0,3,0,5,224,61,285,34,7,42,181,59,240,16,0,16,186,61,244,0,0,0,0,0,5,3,0,3,0,0,3,0,3,8,100,34,131,21,9,27,68,13,84,3,5,6,4,0,4,0,0,0
7GDAR,79131,76649,155778,5124,4887,10010,9902,9572,19478,4057,3867,7921,6224,4577,10795,13877,14305,28189,11580,12046,23627,10083,9906,19990,8915,8744,17665,6668,6102,12766,2294,2136,4433,399,504,904,2077,552,2629,69115,70648,139769,10013,5994,16015,6798,6853,13648,290,241,530,700,694,1394,7785,7786,15572,49879,47412,97289,19402,21363,40762,51699,50269,101969,15988,17830,33816,59467,58708,118172,1323,1278,2601,8829,8523,17357,2490,2659,5151,1107,1415,2526,3218,5579,8802,31634,35602,67233,7212,6266,13478,10984,8623,19606,2695,2232,4922,1855,1710,3568,401,473,873
7RNTE,55428,52813,108242,3623,3172,6801,7509,6872,14379,3443,3163,6598,3752,3582,7336,9322,9563,18888,7812,7360,15167,6790,6645,13439,6706,6843,13556,5052,4410,9464,1274,989,2264,143,211,357,348,217,562,47142,47926,95071,8287,4887,13173,22286,22825,45114,87,94,177,227,230,462,22601,23152,45748,41159,40358,81522,6943,6958,13894,26324,25023,51346,20792,21895,42684,43955,43727,87682,832,775,1608,6476,5934,12407,1313,1236,2554,211,345,554,1130,1934,3068,14923,17410,32326,5334,5243,10585,9066,7567,16632,3364,2914,6279,3234,2930,6162,736,773,1504
79799,429,73,494,0,0,0,0,0,0,10,0,11,17,15,27,54,16,65,106,3,112,117,7,124,96,12,106,22,21,40,4,5,10,0,0,0,12,7,17,13,5,12,418,68,486,12,0,9,0,0,0,0,0,0,11,0,15,204,37,242,73,11,83,248,45,295,29,4,32,245,43,287,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,151,33,185,35,4,40,78,14,86,6,0,5,6,0,3,0,0,0
8ACTE,223743,229708,453453,13763,12901,26659,28895,27183,56078,13461,13059,26526,17274,17328,34599,38737,39065,77804,34340,35004,69342,27903,28290,56195,21617,23317,44930,16276,18755,35030,8612,10468,19085,2864,4342,7204,553,597,1151,216237,222617,438857,7504,7094,14600,4265,4124,8387,120,104,223,142,159,300,4521,4386,8908,151910,153723,305634,62889,67459,130348,159572,162684,322259,54094,57597,111691,191376,197033,388413,4019,3861,7885,27715,26013,53729,10928,10869,21793,8418,9101,17516,12507,15773,28278,134175,140215,274391,8509,7984,16497,19805,21953,41763,5309,5773,11083,3555,4232,7786,823,1020,1845
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,2900,2549,5446,129,112,236,313,272,589,110,113,220,148,130,273,453,290,745,365,332,701,389,379,767,457,442,893,361,309,673,148,142,295,30,34,60,15,10,23,2111,2111,4225,787,435,1225,102,123,217,4,0,9,3,0,6,106,121,228,1503,1437,2939,873,661,1529,1189,1168,2357,1002,954,1959,1954,1867,3824,40,30,66,255,228,484,56,63,121,19,29,42,56,73,122,945,1061,2008,144,133,279,449,376,831,87,62,145,91,61,149,50,59,107
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
